start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	20020	Olha só, o Guaxaverso sabe o que faz.
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sim que existiu!
24700	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45000	47760	Aqui vamos ler os comentários e discutir as teorias do último episódio.
47840	48760	Escuta, Doméstico!
48800	50400	Que no caso foi...
50400	51700	Tu tentou imitar a minha filha, isso, né?
51700	52500	Eu tentei, desculpa.
56560	58200	Olá, eu sou o Marcelo Guaxinim,
58280	58540	narrador,
58560	59060	produtor,
59160	59760	idealizador,
59880	61260	podcast na realidade do Guaxinim
61260	64100	e eu hoje estou em lua de mel com o Danilo.
64380	65140	Olha lá, que lindo.
65280	68340	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
68640	71140	Aqui vamos ler os comentários e discutir as teorias do último episódio,
71320	75300	que no caso foi o olho de Deus RPG Guaxa 118.
75880	78700	Danilo, muita gente achou que hoje estar aqui comigo,
78820	80600	ou o Felipe ou a Shelly.
80780	81140	Por quê?
81400	84340	Porque você postou fotos casando no final de semana.
84620	85080	Sim!
85900	88080	Então, tecnicamente, hoje é a tua lua de mel.
88560	91300	Até que, mais tecnicamente, teria sido ontem,
91380	93560	porque eu casei no sábado, teria sido domingo, né?
93840	95940	Ah, só domingo.
96280	98360	É, mas domingo não é dia útil, né?
98360	99460	Então a gente considera segunda.
100200	102480	É porque a Carol tem faculdade, é isso, né?
102860	104920	Ela trabalha e tem faculdade.
105700	107300	No caso, só eu consegui...
107300	109240	Eu tirei 15 dias de férias do estúdio,
109480	111220	que a gente vai se mudar também,
111380	112920	então tá meio correria.
113660	115500	Tu vai te mudar pra dentro de São Paulo ainda?
116000	117000	É, vou pra São Bernardo.
117000	118320	Tá, pro B.
