start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	13220	É isso! É isso! Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15980	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18240	18940	Olha só, faz tudo!
18940	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24020	Todos nos conhecemos!
24020	24540	O Guaxaverso sempre existiu!
24540	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45060	51000	Siga também o arroba Marcelo Asnin e o arroba rpeguaxa, tá aí, isso é um ponto preto.
51080	53040	É, é, tá. Deixa eu ver se vai sair aqui.
53540	57100	Não, eu tô vendo com delay. Onde que eu tô? Não tá aparecendo nada.
57500	58180	Agora apareceu.
58180	58520	Aí, ó.
58900	59980	Sabe que é um podcast, né?
60140	62540	Isso aqui a gente tá aqui só por diversão, mas depois vem o podcast.
63140	65880	Mas o pessoal que tá na live tá aqui, ó, acompanhando pra quem não sabe, hein?
67220	71240	Ok, se você quer saber a letra, a caligrafia do Danilo...
71240	74000	Minha caligrafia de dedo em um tablet.
74800	76180	Isso, tá lá no VOD.
80940	85460	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast da realidade do Pará do Guaxinim e...
85460	88020	A qualquer momento, Dona Neves. A qualquer momento.
88560	90140	Essa é a minha imitação de capitão.
90520	91200	A qualquer momento.
91360	93220	Para quem não sabe, o GuaxaVest é o nosso antigo escudo-mestre.
93320	95600	Aqui vamos ler os comentários e discutir as teorias do último episódio,
96020	100020	que, no caso, foi os animais da floresta e o grande roubo do bolo.
100340	102260	RPE Guaxa 138.
102720	108460	E eu estou aqui hoje com ele, nosso convidado da vez, nosso galo querido,
108860	110240	nosso querido Danilo Battistini.
110660	111300	Boa noite, querido.
111300	117140	Boa noite aos queridos amigos da Twitch, aqueles que nos acompanham,
117140	120040	seja lá onde vocês estiverem, tenham todos uma boa noite.
120500	123180	Muito obrigado, DaviLukT, por ter se inscrito com o Prime.
123540	126700	Como é que seria o Adam falando isso?
126980	130340	Nossa, faz tanto tempo que eu não faço o Adam, eu tinha quase esquecido a voz dele.
130800	131780	Mas é mais ou menos assim.
131900	133940	Então, muito obrigado a todos que estão por aqui,
134240	136740	a todos que ainda não estão por aqui, que vão vir depois,
137060	140900	e a todos aqueles que não estão aqui, não vão vir depois, mas vão vir depois quando sair no feed.
141400	143920	E agora, devolvam o Danilo Battistini quanto pra gente.
143980	146480	O que você faz na internet, como as pessoas te encontram?
146480	147120	Fala, pessoal.
147140	151540	Olá, meu nome é Danilo Battistini, eu sou o criador do podcast Contador de Histórias.
152000	156940	É meu podcast de audiodrama, pra quem não conhece, fica aí o convite, né, pra conhecê-lo.
157360	161640	Você encontra em qualquer agregador de podcast, praticamente, é só procurar por Contador de Histórias.
162120	167300	Tem sete anos de podcast ali, são várias aventuras...
167300	167980	Ah, aventuras, né?
168340	169840	Tô aqui no RPG Watch, tô pensando em aventura.
170860	172800	Ah, tu tá copiando meu formato, é isso?
172800	176800	São vários episódios de, né, tipo...
177140	179360	Antológicos, né, não tem continuação.
179440	183780	Tem algumas séries, sim, que elas estão devidamente numeradas, número de episódios,
183860	189060	mas vários que você consegue ouvir como quiser, na ordem que quiser, do jeito que quiser, tal qual RPG Watch.
189500	190700	Não ex... é isso, não.
190900	192640	Não existe um Danilo Versa, né?
192840	193200	Não.
193520	194480	Pelo menos não que eu saiba.
195100	198540	Apesar que já foi comprovado, né, que eu...
198540	203140	Teve um especial de Natal que eu fiz, que teve alguma coisa que eu...
203140	204440	Putz, o que que tinha acontecido mesmo?
204920	207120	Ah, não, pô, eu coloquei o Sombras de Gal e também...
207120	211240	Tive uma edição aí de um Cavaleiros do Bicho, que alguém tá ouvindo no rádio...
211240	213040	Existe um paralelo aí, né?
213100	217340	Tipo, eu sou um pequeno universo que às vezes aparece no Guaxa Verso.
217460	218580	É, uma oitava linha.
218700	220820	Que não existe também, então na verdade não existe nada, né?
221180	221380	É.
221640	223340	Fica aí o questionamento, nós existimos?
224000	224200	É.
224980	226300	Quem somos, né?
226300	229800	Eu participei semana passada de um...
229800	234480	Décima jornada de licenciatura lá em Rio do Sul.
234520	237080	E os ouvintes que eu encontrei, eu expliquei.
237120	239700	Assim, a função de um evento presencial é decepcionar as pessoas.
240520	243320	Porque a gente guarda uma voz na internet, né?
243740	245400	E a gente encontra a pessoa e ok.
245920	248260	Não é necessariamente aquilo, né?
248780	249020	É.
249740	252000	Pô, na época que a gente começou a fazer CCXP,
252500	256740	que a Jujuba participava de vez em quando lá no SciCast,
257100	258800	que ela era só uma voz misteriosa,
259300	261440	as pessoas se impressionavam com a altura dela.
261620	263720	Porque ela é menor que o Danilo, inclusive.
264720	265340	Hobbits Unidos.
265820	266060	É.
266060	266080	É.
267120	268140	Ela é menor que o Danilo também.
268700	269060	Exatamente.
269400	270940	Por poucos centímetros, mas é.
271720	272720	Eu fico triste, assim.
272860	274800	Seria mais engraçado se ela fosse maior, assim.
274880	275880	Eu acho que ela é muito bonita.
276420	277000	Mas ok.
277160	277780	Ok, ok.
277840	278940	Não é sobre a altura das pessoas.
279300	281060	Eu não tenho 1,80, gente.
281100	281640	Eu tenho menos.
282080	284200	Eu tô falando dos outros aqui porque eu posso.
284380	284600	É isso.
285180	287060	Mas, voltando aqui...
287060	287960	Na verdade, me sigam.
288040	289020	É CDHCast.
289120	289860	Twitter e Instagram.
290180	291060	Tinha só esquecido disso.
291500	291680	É.
292780	293180	CDHCast.
293280	293640	É isso.
293900	295940	O RPG Watch só existe porque a gente tem padrinhos, né?
295940	296060	Eu só conheci o Danilo.
296060	297080	Eu só conheci o Danilo.
297080	297100	Eu só conheci o Danilo.
297120	298360	Eu só conheci o Danilo quando ele se tornou padrinho.
298520	298800	Exatamente.
298800	300500	Já contei essa história um milhão de vezes.
300880	301120	A Jujuba...
301660	302300	Meu Deus!
302380	303380	O Danilo Batistinho!
303560	304040	Ah, quem?
304460	305860	E daí, pô, depois a gente foi atrás.
306360	307940	Danilo, antes de começar o meu aqui.
308520	311120	Danilo esteve, há umas semanas atrás, no...
312000	312660	Não é a Cardiofobia?
312740	313060	Como é que é o nome?
313340	315420	É no curso de podcasts do Léo.
315440	316440	Porra, é um nome tão fácil.
316540	316960	Como é que eu escrevi?
317180	320580	Eu sabia que era um curso de podcast, que ele grava em podcast, né?
320820	323020	Mas eu pensei, porra, deve ter um nome melhor.
323200	323920	Mas não, é esse mesmo.
323960	324960	É curso de podcasts.
324960	326320	Tem no YouTube dele.
326620	327080	Tem no...
327080	328460	Tem o feed também de podcast.
328940	331900	Que ele entrevista a galera da podosfera aí pra...
331900	332920	Tem, por exemplo, o...
332920	334960	Putz, o episódio antes do meu é maravilhoso, assim,
335020	338040	pra quem quer realmente entrar no meio de podcast profissionalmente,
338140	339060	quer...
339060	341520	Com a advogada cansada, que era lá do olhar desse podcast.
342040	342300	Sim, uhum.
342760	343540	Pô, é bem massa lá.
344020	346480	Mas, mas, enquanto você não aprende a fazer podcast,
346780	349280	e você quer ajudar um podcast a ser feito,
349360	350640	olha o gancho bonito.
350700	351200	Olha lá.
351260	354200	Você pode ser padrinho desse podcast a partir de um real se tá ajudando a gente.
354200	356820	A partir de dez reais, você faz parte do nosso grupo,
356820	357620	do Telegram.
358020	360300	Volta e meia, as pessoas ameaçam sair do ar.
360560	361700	Mas ele tá vivo ainda.
362180	362980	É um grupo maravilhoso.
363060	365000	Tem um monte de subgrupos lá.
365400	366300	Tem grupo de spoiler.
367100	368640	O Danilo, esses dias, tava no grupo de spoiler,
368760	371780	mandando vídeo, ensinando a fazer a voz do capitão.
372540	373020	É verdade.
373740	375960	Eu não sei se depois isso foi pro Instagram, ou não foi,
375980	376700	não sei que fim levou.
377220	380060	Mas, pelo menos, esse conteúdo, por algum momento, tava lá.
380780	382400	Então, seja nosso padrinho.
382500	385160	Converse com as pessoas que jogam os episódios.
385160	386640	Eu dificilmente chamo alguém,
386640	388240	eu venho de fora da minha bolha.
388240	390240	E, quando eu chamo, como foi essa semana,
390240	394240	eu gravei com um importante autor nacional de RPG.
394240	394740	Olha lá.
394740	396740	E, no dia seguinte, ele assinou o podcast.
396740	397240	Uhul.
397240	401840	Eu vou falar mais quando sair o episódio dele, daqui, sei lá, um mês ou mais.
401840	403040	Mas, foi engraçado.
403040	404040	Sem pressão, editor.
404040	408040	Quando ele sentou, quando a gente começou, no final, ele falou pra mim.
408040	412040	Aí, eu fiquei tranquilo, jogando, quando eu entendi que ia ser, realmente, um podcast.
412040	414840	Porque ele tava o tempo todo preocupado em que houvesse uma direção de arte,
414840	416040	Porque ele tava o tempo todo preocupado em que houvesse uma direção de arte,
416040	418040	sabe? Alguma coisa, sei lá.
418040	420040	Pra dizer, não, agora tu faz isso aqui.
420040	422040	Que não ia ser um, sabe?
422040	424040	Não sei se eu fiz entender.
424040	426040	Mas, pelo que eu entendi da fala dele,
426040	428040	ele achou que não ia ser um RPG RPG.
428040	432040	Que ia ser meio direcionado pra virar um audiodrama.
432040	434040	Mas, não. É um RPG. A pessoa faz o que ela quiser, né?
434040	438040	Eu não escolhi nem os bichinhos dessa aventura, foram os jogadores.
438040	440040	Mas, é isso.
440040	442040	Então, seja padrinho. Eu tô me perdendo no...
442040	444040	Antes de começar o episódio.
444040	446040	Segue a gente nas redes sociais. Além de seguir o canal.
446040	448040	Segue o CHCast.
448040	450040	Segue também o...
450040	452040	E o arroba
452040	454040	Tanto no Twitter quanto no Instagram.
454040	456040	E estamos, excepcionalmente hoje,
456040	458040	normalmente é em segundas-feiras.
458040	460040	Mas, como eu fiquei na loucura aí o mês gravando
460040	462040	pro RPG Guaxa.
462040	464040	E estive viajando semana passada, como eu falei.
464040	466040	Na segunda-feira eu vou ter que recuperar
466040	468040	o tempo perdido gravando esse iCast.
468040	470040	Então, tenho gravação desse iCast segunda e terça.
470040	472040	Não vai dar pra gravar o...
472040	474040	Se eu deixasse pra quarta,
474040	476040	ia ter muito comentário.
476040	478040	Estou gravando aqui no domingo, excepcionalmente.
478040	480040	Mas, normalmente é em segundas-feiras.
480040	482040	Em twitch.tv barra RPG Guaxa.
482040	484040	A gente tem a leitura de comentários do episódio.
484040	486040	Dito tudo isso, vamos ler os comentários.
486040	488040	Uhum. Os animais da floresta
488040	490040	e o grande roubo do Bobo.
490040	492040	O primeiro é o seu, né?
492040	494040	É. Eu não leio os comentários antes.
494040	496040	A gente não lê os agregados, tá?
496040	498040	Os comentários de comentários.
498040	500040	Comentário 7.
500040	502040	A gente pode dar um comentário por cima ali.
502040	504040	Mas, pô. Os caras, às vezes, fazem um textão.
504040	506040	O nome dele, Jorge Marcos Santos Silva,
506040	508040	ele coloca, olha só.
508040	510040	Talvez tenha sido um dos episódios mais caóticos
510040	512040	e divertidos que já ouvi aqui no RPG Guaxa.
512040	514040	Mas eu simplesmente amei.
514040	516040	Um bom dia, Sr. Guaxinim. Sou eu.
516040	518040	Convidade, que é o Danilo Bastini.
518040	520040	Oi.
520040	522040	Chat, que as pessoas estão ouvindo ao vivo na twitch.tv barra RPG Guaxa.
522040	524040	E o Vinxinins,
524040	526040	que é você que está ouvindo isso editado depois.
526040	528040	Tudo bem com vocês?
528040	530040	Tudo bem comigo? Tudo bem contigo, Danilo?
530040	532040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
532040	534040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
534040	536040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
536040	538040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
538040	540040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
540040	542040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
542040	544040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
544040	546040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
546040	548040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
548040	550040	Tudo certo. Cansado. Narrei por cinco horas e meia de RPG antes de vir gravar aqui.
550040	551720	São cinco anos gravando RPG, eu acho
551720	553540	Mas em especial no começo
553540	555820	Eu sentia que eu saia cansado
555820	557520	Sabe, que consumia mais
557520	559820	É outra preocupação, assim
559820	561820	Tipo, é uma preocupação nova, então fica aquela coisa
561820	563800	Tipo, e agora? Tá, peraí, eu tenho que fazer
563800	565020	Isso aqui, isso aqui, isso aqui
565020	567500	Ok, ok
567500	568340	Voltando
568340	571800	A primeira pergunta é, claro
571800	573620	Foi o Silvio quem
573620	575880	Pediu o sequestro do bolo? Não
575880	578020	Dessa vez, não
578020	579800	O Danilo
579800	582100	Tá atrasado ou sabe qual é o lore do Silvio?
582440	583880	Eu tô atrasado, perdão
583880	584280	Tá, ok
584280	587640	Há um esqueleto tentando
587640	589300	Fugir do casamento há um bom tempo
589300	591720	E daí esse é o casamento
591720	593680	Que culminou essas loucuras todas
593680	595400	Mas
595400	597100	Dessa vez
597100	599860	A culpa não é dele, porque como ele mesmo
599860	601800	Disse, né, ele teria que fazer alguma coisa pra evitar
601800	603580	O casamento, roubar o bolo que ela fecha
603580	605820	Depois do casamento, não resolveria
605820	606760	O problema de ninguém, né?
606760	608440	Mas deixar três animais
608440	610880	Estragarem ele, distribuírem ele numa floresta
610880	612340	Com certeza atrasa, se era ele
612340	613600	O bolo, olha lá
613600	615720	É, mas é que o bolo é pra festa, né? O bolo é depois
615720	617660	É verdade, não adiantaria muito
617660	620440	Como tivemos a maravilhosa participação do capitão
620440	622380	Nessa história com os bichinhos da floresta
622380	624400	Claro, isso não foi uma reclamação
624400	625420	É, então
625420	628360	Os pombos precisavam de uma ave forte
628360	630360	Pra ajudar eles, e eles deram o jeito de
630360	632300	Sequestrar o capitão da fazenda
632300	634800	E no caminho, quando ele estava trazendo
634800	636400	O capitão conseguiu se soltar e caiu na floresta
636760	637440	Ave não
637440	638680	Ele bateu a cabeça
638680	641680	Ele bateu a cabeça e esqueceu
641680	642900	Do sequestro dos pombos
642900	644860	E começou a viver com os animais ali
644860	647120	Ele queria ir embora, mas ele viu que os animais
647120	649880	Da floresta precisavam de uma liderança
649880	651720	Pra organizar as coisas, né?
652100	653420	Então ele ficou um tempo por ali
653420	655060	Essa é a minha desculpa oficial
655060	656420	Desculpa oficial
656420	657920	Então temos uma ligação
