0;10120;"01";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;15000;"01";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"01";Como assim?
16180;18000;"01, 04";Você entendeu a referência do último episódio?
18260;18980;"01";Olha só, faz tudo!
18980;20020;"01, 04";Não, o Guaxaverso sabe o que faz!
20020;20960;"01, 04";Espera, o que é o Guaxaverso?
21000;22980;"01, 04";Era só uma questão de tempo.
23080;24000;"01";Todos vão conhecer o Guaxaverso!
24000;24520;"01";O Guaxaverso sempre existiu!
24520;25460;"01";Até o nosso final!
25460;27140;"01, 00, 03";Eu quero entender o Guaxaverso!
27220;28560;"00";Alguém me explica o que é o Guaxaverso?
28560;32020;"01, 00, 03";É, pessoal, não existe o Guaxaverso.
32080;33740;"01";Eu acredito no Guaxaverso!
33760;36560;"03";Mas supondo que ele exista...
37880;41540;"01";Guaxaverso, onde o que não existe é debatido.
44920;49740;"03";Não sabe? Ah, a Agatha Sofia! Nossa Deus, que a gente puxa tanto saco!
50160;54060;"03";Não sabe o que é Rodriguinho dos Travessos! Não sabe o que é Travesso!
57060;58540;"03";Olá, eu sou Marcelo Bastidinho, narrador.
58560;60940;"03";Produtor, idealizador, podcast do Realidade Paralelo do Guaxinim.
61260;63580;"03";E... 2024? Cansei.
64000;65800;"03";Pra quem não sabe, o Guaxaverso é o escudo do mestre.
65880;68560;"03";E aqui vamos ler os comentários discutidos nas teorias do último episódio.
69040;70400;"03";Que, no caso, foi...
70400;73060;"03";A Loucura e o Tesouro, de Florian Seip.
73240;74940;"03";Escreve-se Hebe, gente, mas se lê Seip.
75240;76420;"03";Eu acho. Ou eu escrevi errado.
76780;78760;"03";RPG Guaxa 154.
79020;81280;"03";Temos aqui ele, que talvez você já deva ter ouvido.
81320;83800;"03";Eu cortei toda a bobagem que eu falei no começo, que estava meio triste.
84340;85060;"00, 03";Caio Lourenço.
85480;88020;"00";Olá, olá, pessoal. Olá, Guaxa.
88020;88400;"00";É um...
88560;91040;"00";É um prazer inenarrável estar aqui hoje.
91860;92260;"00";E...
92260;95520;"00";Aparecendo aí, mais uma vez, no feed de todo mundo.
95900;97320;"00";Dois episódios no ano tá bom, né?
97800;98020;"00";Tá.
98560;99640;"00";Mais do que eu sonhava.
99860;101900;"00";Eu achei que eu ia ficar só com um, então...
101900;103320;"00";O que vier a partir de agora é louco.
103540;105280;"00, 03";Na verdade, tu tem um vale-aventura.
105660;109400;"03";Se tu não cair numa mesa com um dos jogadores de microfone ruim,
109920;112060;"03";tu sai mais uma vez no feed esse ano ainda.
