start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido.
45000	46660	Primeiro comentário...
46660	47560	Ele voltou!
48200	49380	O primeiro comentário é dele?
49820	50880	O primeiro comentário é dele.
51320	53000	Não, pra mim é o do Jorge Marcos.
53300	56700	O Jorge Marcos Santos Silva é o do primeiro comentário.
56820	57460	Tu tá no Glória?
57460	58440	Tô no Glória.
58840	60020	Ordenar por mais antigos.
60060	61160	Ordenar por mais antigos.
61700	62920	Ué, pra mim não.
63140	64580	Não é o Jorge Marcos Santos Silva quem?
65060	65380	É o...
65380	66380	Já, tá, é o Jorge Marcos...
66380	67020	Ah, ele voltou.
67260	68240	Ele voltou.
68740	70400	Eu entendi que eu não tô desistindo.
70560	73380	Não, o Jorge Marcos Santos Silva voltou a comentar em primeiro lugar.
73860	74260	Ah, tá.
74360	75300	Desculpa, então de novo, gente.
77600	81760	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade
81760	82460	Paralelo do Guaxinim e...
83160	85940	Você sabia que muitas amizades surgiram na taberna do Guaxinim?
86680	88440	Muitos padrinhos encontraram o seu...
88560	94000	Melhor amigo, ou seus melhores amigos, ou pelo menos um grupo de amigos, lá na taberna.
94600	97860	Inclusive, já que estamos nesse dia dos namorados...
97860	99540	Deixa eu mudar a minha voz.
101460	106940	Lembrando a vocês que nesse dia dos namorados, muitos casais se formaram dentro da taberna.
107180	111460	Afinal, pessoas com o mesmo gosto acabam criando boas amizades.
112100	115620	E para alguns, até quem sabe, um algo mais.
118560	120740	Um beijo especial a todos os casais da taberna.
121180	128440	E se você está sozinho, ser apoiador deste projeto, além de me ajudar, pode fazer você
128440	132120	conhecer o amor da sua vida.
133160	134640	Mas o mais provável é não, tá?
134920	138280	É mais fácil tu jogar uma aventura comigo do que tu encontrar o amor da tua vida assim
138280	139100	aleatoriamente num grupo.
139200	140720	Mas, vai saber, né?
142440	145080	Pra quem não sabe, o Guaxinim vai ser o nosso antigo escudo do mestre.
145080	148080	Aqui, vamos ler os comentários e discutir teorias do último episódio, que no caso foi...
148560	149180	Glória.
149820	154300	Esse episódio fechou a nossa sequência de um mês do nosso mês-aniversário.
154640	157180	Essa é a última Guaxa Verso Extra que a gente gravou.
157420	158880	Gravou eu e André Trapani.
159180	163920	No sábado já saiu o episódio último da trilogia da Vela, que eu tô com ele também.
164240	165680	Não quero me enrolar mais.
166240	168300	Apenas pedi pra você seguir a gente nas redes sociais.
168440	171040	Arroba Marcelo Guaxinim, arroba RP Guaxa.
171360	174940	Se você quiser ter seus comentários lidos, deixa lá no post do Portal Deviante.
174940	177300	Do nosso próximo episódio, que já saiu, né?
177380	178240	No momento que você tá ouvindo isso.
178240	181400	Já tá lá no feed, o 111, a voz da garotinha.
181780	183920	Então, deixe seus comentários lá, que a gente lê na Twitch.
184060	186640	Twitch.tv barra RP Guaxa.
186820	189020	Essa semana ainda, se tudo é certo.
189720	191640	E como eu falei acima, seja nosso padrinho.
191760	195160	Mas vamos lá, vamos ouvir o que eu e o Trapani lemos sobre o Glória.
195600	199380	Pessoal, então agora vamos ler os comentários do episódio de Glória, episódio 110.
200100	203780	Da mesma forma que o episódio do Theo abriu o mês de aniversário,
203780	205440	que é o meu aniversário e do RP Guaxa,
205560	208000	sendo um episódio que seria pra todo mundo,
208500	214280	Glória é um episódio mais focado em quem curte Guaxa Versíces, né?
214640	218620	Ele é uma continuação, ele é algo muito pedido por vocês.
219100	220580	Então, eu espero que vocês tenham gostado.
220620	221960	Eu vou descobrir agora, lendo os comentários.
222280	225940	Eu tô aqui novamente, tô com o André Trapani, que jogou nesse episódio.
226380	230920	Quando eu, assim, o André Trapani tava no grupo onde as pessoas,
231480	233980	a geladeira, né? Onde o Pessoa que Tem Vale Aventura.
234120	237960	Quando ele se candidatou pra essa aventura, eu fiquei muito feliz,
237960	242620	porque, assim, porra, o André tem uma chance de voltar a Sherryfield.
242840	243440	E não aconteceu.
243640	245020	Desculpa te decepcionar, Guaxa.
245440	247900	Eu fiquei bem triste, bem triste.
248120	249560	Mas é a vida, né, gente?
249800	251960	Então, vamos lá, Glória, episódio 10.
252320	254820	Então, o primeiro comentário é do Jorge Marcos Santos Silva.
255620	257900	Fiumque, fiumque. Não sei o que é isso.
258200	260680	Ah, ele tá cheirando. Mas que cheirinho é esse?
261160	262860	Será cheiro de continuação no ar?
263160	265380	Bom dia, senhor Guaxa. Convidade, que é o André.
265520	265800	Oba!
266100	267900	Ouvinte, nincho e chat, tudo bom?
267980	268380	Tudo bom.
268820	270040	Tá melhor da Covid, Guaxa?
270180	270400	Tô.
270740	271480	Espero que sim, viu?
271540	272820	Não, tô 100%.
272820	276380	Assim, pra um brasileiro, classe média,
276940	279460	tirando tudo isso, saúde, por enquanto, eu tô bem.
279840	281200	Espero que todos eles também estejam bem.
281260	282500	Estão bem também, as meninas estão bem.
283120	283560	Spoilers.
283700	284540	Deus meu!
284640	286160	Tem que fazer a mãozinha, o André explicou.
287140	287580	Impressionante.
287740	289400	Sou meio confuso com datas e tal.
289780	293260	Mas jurava que essa semana seria Guaxa verso kkkkkk.
293480	294820	E não esse episódio incrível.
295480	296100	Deveria ser.
296440	297820	Eu estaria mais feliz, porque agora...
297960	302000	Obviamente, o bebê ali é mais um dos construtos daquele ser.
302440	303540	O bebê do ovo, certo?
303720	304080	Certo.
304420	310220	A Angel foi, de alguma forma, controlada ou ludibriada pelo próprio bebê para aceitá-lo?
310580	310900	Sim!
311400	316700	Assim como o Cuco bota o ovo e a mãe passa a cuidar do ovo achando que é o filho dela,
317120	319760	mesmo sendo um ovo de outra cor, muito maior do que era antes,
320200	324460	no caso da natureza não tem nada psíquico, é só a mãe, é só o instinto da natureza, né?
324980	327460	Ali, o bebê, ele influencia...
327960	332680	A mãe, né, a acreditar que aquele é o bebê e que eu devo protegê-lo.
333080	336920	Então, sim, o bebê influencia e faz com que a Angel acabe aceitando.
337260	338340	É, involuntariamente, né?
338340	339480	O bebê não fazia isso...
339720	344180	É, só o fato do bebê existir e de ter a mãe, a relação entre eles fazia isso acontecer.
344380	349380	Houve algum envolvimento de alguém do hospital, além dos pássaros que presumo serem criações daquele ser?
349500	350000	Não.
350320	351620	Do hospital, ninguém tem culpa.
352020	354580	Essas criações deles, aliás, são extensões dele.
354980	356400	Tem uma consciência própria?
356780	357280	Parcial.
357280	357960	Como funciona?
357960	365940	Tem uma consciência própria, embora eles próximos entre si, eles acabem funcionando coletivamente, né?
366400	371380	E quando se aproxima da criatura lá de Cherryfield, a consciência da criatura é que manda.
371600	373300	Agora, você sabe que o bebê não é humano.
373420	374200	O que rolará?
374660	375980	Pã, pã, pã, não sei.
376460	379980	Tipo, três pessoas da máfia dizem que essa criança não é humana.
380400	386080	A filha do chefe da família, Trapani, que estamos aqui com o André Trapani, inclusive,
386080	388140	que é parente, pode falar melhor do que eu.
389400	392040	Como é que a família vai reagir a essa informação?
392660	395740	Como é que essa criança vai crescer?
396260	397360	Porra, ainda é um bebê?
398380	398940	Não sei.
399860	404960	E eu, sinceramente, eu tenho ideias, mas como nenhuma delas...
404960	408380	São ideias que poderiam render um conto, mas eu sou péssimo em escrever.
409040	412760	O dia que elas renderem uma aventura, aí elas viram aventura.
413300	415620	O mínimo apuguinho atrás da orelha vai ficar, né?
415620	417160	Vai ficar, aquele bebê tá lá.
417540	418300	Que é uma menina.
418780	423800	E aí, quem escuta o Zé P. Baixa até o final, sabem que três meninas serão um problema um dia.
424000	425260	Vamos lá, pá, pá, pá.
425740	427580	Olha, temos uma boa desculpa em...
427580	428320	Ah, tá de novo.
428620	430840	Aí, se vai ter condenação, temos uma boa desculpa.
431220	432020	É verdade.
432460	433400	Motivos não falta.
433780	436560	A Dora Investigação é ainda mais com horrores sobrenaturais.
436880	439440	Os jogadores mandaram bem, embora meio perdidos.
440740	441520	Totalmente perdidos.
441720	442900	Mas entendo bem como é.
443800	445360	Lembrando que eles não ouviram o episódio.
445620	447380	O Cuco, quando jogaram a aventura, né, gente?
447620	449020	Eles não faziam ideia do que tava acontecendo.
449460	452100	Pra quem ouviu o Cuco, porra, era tudo muito óbvio.
452560	454560	Pros jogadores, era tudo muito bizarro.
455100	459000	A gente sabia que existia um outro episódio, mas não tinha nem noção do que tinha acontecido.
459260	462140	Eles poderiam ter achado elas, se sim, o que poderia rolar.
462680	467580	Poderiam, assim, com a foto delas, eles podiam, sei lá, descer e usar a rede da máfia.
467580	472820	Ou em lugares que elas poderiam ter ido, e com a foto delas, dava pra tentar descobrir por onde elas foram.
473300	473580	Mas eles...
474420	474580	Aquele...
475620	477820	E a montanha a pé, isso vai levar muito tempo.
478180	480320	Aí já era tarde demais, não tinha mais como alcançar.
480660	482600	E já tinha duas horas de gravação, né, gente?
482740	483620	Tem que encerrar o episódio.
483960	489420	O que poderia rolar era o André voltando com outro personagem, no mesmo lugar onde ele morreu uma vez.
489540	490300	Seria divertido.
491080	492960	Seria mais divertido se eu morresse de novo lá.
493060	495620	E era o mais provável, assim...
496180	498640	Eram mafiosos, talvez tivessem uma chance.
498640	500380	Mas a criatura lá é perigosa.
500680	501680	Acredito que seja isso.
502080	503520	Se não estiver bem, melhoras.
503580	504360	Gosto, tô bem, obrigado.
504700	505600	Um forte abraço a todos.
506020	507780	Força e luz para todos nós.
507900	508340	E até mais.
508660	509460	Até mais, Jorge.
509820	511220	A Sereia Amiga falou com o Jorge.
511560	512500	Puxou ele pro fundo do lago.
512600	513360	Não, ela botou.
513880	518860	Jorge, ele explicou nos últimos episódios que o Guaxa Versa da última trilogia ia demorar um pouco mais pra sair.
519240	521380	Devido à correria de postar um episódio por semana esse mês.
521500	521880	É verdade.
522260	523800	Obrigado, Sereia Amiga, por me ajudar.
524440	526240	O próximo comentário é da Mariana Rodrigues.
526400	528380	Olá, pessoas queridas desse podcast.
528680	529820	Mais um episódio incrível.
530220	532980	Só vim pra elogiar mesmo, porque vocês merecem demais.
533420	535440	Grande abraço e até o próximo episódio.
535620	536060	Coração.
536180	536720	Obrigado, querida.
536780	538300	Obrigado pelo seu comentário.
538840	540020	Orlando Ferreira.
540500	543340	Olá, querido Guaxa e querida convidada, que é o André.
543640	543900	Olá.
544180	545800	Saudações ao Guaxandon.
546460	549940	Guaxandon, eu lembro do, sei lá, do champanhe.
550200	551020	Não tinha um champanhe champanhe?
551040	551800	Aham, champanhe.
552120	553100	Vamos lá, ele coloca.
553240	554060	Espera, como é?
554460	555620	Meu pai tá chamando?
555760	556420	Meu pai.
558040	559760	Eu achei que ninguém ia pegar essa.
560400	561060	Eu não peguei.
561160	562360	O áudio mudou.
562480	563160	É isso mesmo?
563400	565100	Volto na primeira vez que o episódio...
565100	569500	Ó, a 1h23min31min, meu pai tá chamando.
569720	575080	No áudio de 1h13min30min, ele tá chamando, se eu não me engano.
575280	578820	Vocês acham que eu ia pedir pra jogadora regra...
578820	580260	Assim, temos duas possibilidades.
580560	584240	A jogadora gravou mais de uma versão e o Zorzal fez bobagem.
584500	587240	Eu pedi pra menina, pra...
587240	587620	O que foi que fez?
587680	588340	Foi a Ana Beatriz?
588560	589420	Acho que foi, não vou lembrar.
589800	590300	Acho que foi.
590300	594880	Eu pedi pra madrinha que fez regravar essa frase pro segundo episódio.
595100	597160	Então, eu pedi pra ela regravar.
597560	603380	Eu disse pro Zorzal, usa o áudio do episódio anterior, tanto que o Orlando coloca aqui.
603700	608780	Volta no episódio 104, aos 46h38min, e agora eu preciso de mais lã.
609160	610300	Muita lã, eita.
610680	613580	Porque lá ela fala igual a primeira vez que ela fala no episódio.
614340	621920	Ou seja, eu pedi pra NPC regravar a frase e disse pro Zorzal, ó...
621920	624280	Da segunda vez, ela fala pai.
624280	625500	Por que isso?
625760	627600	Eles estavam lá perto do Cuco.
627840	634900	O Cuco, mais do que o bebê, o Cuco, ele serve pra ativar a menina quando ela chega na idade certa.
635240	637020	Pra ela fazer todas as bobagens que ela fez no Cuco.
637060	639840	E ele mexe com a mente das pessoas.
640340	645380	Como ele estava investigando aquele lugar, já era o Cuco brincando com eles.
645380	649480	Eu queria colocar algum elemento em que fizesse...
649480	652380	Em que brincasse com a ideia de que...
653020	653780	É...
653780	657620	Nem tudo que eles estavam vendo, era exatamente o que eles estavam vendo.
657860	662580	Então, eu acabei fazendo isso pelo áudio ali, pela brincadeira do pai.
663080	665220	Quando você narrou pra gente, você mudou? Como que foi?
665380	669400	A frase é diferente das duas vezes, mas aí pro jogador pode parecer.
669540	671060	Eu acho que eu só esqueci o que ele falou antes.
671340	672760	Mas eu tinha anotado isso, tá?
673260	675680	É porque pra gente não fazia sentido nenhum, então.
675780	677420	Não faz, mas a ideia era...
677420	679760	A brincadeira mesmo era pro ouvinte.
680240	682380	A sacanagem tava pro ouvinte.
682380	683380	Porque pra vocês...
683780	684660	Eu não fazia ideia do Cuco.
685000	690780	Pra vocês, o que tava claro, era o teu personagem, inclusive, que ficou encucado.
690940	691440	Fica aí, ó.
693660	696140	Porque ele já tava brincando com a tua cabeça ali.
696500	698120	O Cuco só tava saindo normal.
698500	700180	Tu foi desmontar o relógio, por exemplo.
700660	702200	Eu tava esperando achar um bebê lá dentro.
703540	705860	Próximo episódio é dele, do Corvo.
706300	707440	Olá, Mestre Guaxinim.
707880	708840	Olá, demais humanos.
709260	709700	Tudo bem?
710060	710840	Espero que sim.
710840	712840	Tendo acompanhado o desenrolar...
713780	716060	Os fatos que precedem esse episódio...
716060	720180	Fiquei alternando entre estar feliz pelo progresso dos planos do Cuco.
720400	724280	Afinal, temos que manter a classe dos seres penosos sobrenaturais unida.
724740	726240	Já que não somos tantos.
726700	731480	E, ao mesmo tempo, frustrado por não ver a investigação dos jogadores avançar mais.
731980	734560	Curiosa a sensação de torcer pelos jogadores.
735000	737820	E saber de cada fato por trás das dúvidas deles.
738380	740580	Foi como ter informações privilegiadas.
740920	742980	Eu, como ser de origens...
742980	744380	Que prefiro não comentar...
744700	747820	Devo admitir que estes episódios de investigação...
748080	751160	Como uma asa ou duas no sobrenatural...
751420	753000	São os meus favoritos.
753420	754280	Antes de ir...
754540	758840	Ficam meus biscoitos crocantes em formatos de corvo para todos os envolvidos.
759140	762940	Mestre, jogadores, editor e revisores também.
763160	763660	Por que não?
763980	764900	Todos de parabéns.
765140	768340	Alguacha com meus biscoitos de corvo na outra gravação e tá de boa.
768740	772560	Sigo daqui acompanhando o desenrolar de todas as tramas.
772560	774720	Torcendo por algumas mais que outras.
775000	777900	E esperando outras oportunidades de alçar voo.
778200	781340	Um abraço penoso do amigo Porquenão Porvo.
781440	783080	Porquenão, olha só, eu posso...
783380	784820	Eu podia te explicar Porquenão.
785160	787100	Mas já tem bastante comentário pra ler.
787460	790540	Como o da Ana Beatriz Ribeiro, ela coloca...
790800	792440	Boa noite guacha e convidade.
792720	794580	Talvez Ju, quem sabe?
794960	795740	Não sou a Ju.
795820	797060	Não é a Ju, gente.
797260	798980	É o André Trapani.
799260	800120	Kkkkk
800500	802400	Um olazinho para o chat caso a minha internet...
802400	803840	Não esteja boa no dia da live.
803940	805040	Hoje a minha internet tá ruim.
805140	806340	Tu acredita, Beatriz?
806540	808040	Parabéns a esses jogadores maravilhosos.
