start	end	text
0	9440	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
45180	50320	Se hidrate, beba água e escove muito bem seus dentes antes de dormir.
51860	55720	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast Realidade Paralelo Guaxinim
55720	58080	e, pra quem perguntou no episódio passado,
58560	63780	a Malu adorou ter o colégio chamado Maria Luísa de Sousa Pinto de Matos.
63780	65260	E a Betta também gostou.
65680	69420	As duas ouviram recentemente esse episódio comigo e adoraram.
69800	74320	Foi o primeiro episódio completo que as duas ouviram e, pô, eu tô bem feliz.
74640	76360	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
76760	79420	Aqui vamos ler os comentários e discutir as teorias do último episódio,
79920	85120	que, no caso, foi Aprovação da Água, RPG Guaxa 171.
85120	87000	Eu estou aqui com ele.
87440	88120	Uma das vozes...
88560	91740	Uma das vozes mais bonitas que já passaram neste...
91740	94160	No Portal Deviante, não só no RPG Guaxa,
94440	95540	nosso querido amigo Gilles.
95820	96420	Olá, Gilles.
96740	97620	Olá, Guaxa.
97680	98760	Assim você me encabula.
100200	101160	Boa noite.
101780	102960	A frase correta é
102960	104000	Fico ruborizado.
104140	105940	Essa é a nossa frase padrão pra isso.
105980	106240	Ok.
106500	107380	Fico ruborizado.
107620	107920	Ok.
108160	109580	Perfeito, perfeito, perfeito.
109960	111460	Como é que as pessoas te acham na internet, Gilles?
112040	114040	As pessoas me acham por Gilles Azevedo.
114040	117040	Eu acho que em todos os lugares que dá pra ser Gilles Azevedo sou eu.
117400	118400	Ou o ex-ministro da...
118560	119260	Casa Civil.
119640	121040	Mas eu acho que dá pra diferenciar os dois.
122020	122340	Ok.
123460	124400	Ok, ok.
124860	125520	É complicado, né?
125520	126000	Tem um...
126000	129280	Tinha um jogador do Corinthians, sei lá, que era Marcelo Matos.
129720	130040	Aham.
131460	131820	E...
131820	132200	E é isso.
132240	134640	E tem alguém com um ficha na polícia que é Marcelo D. Matos.
135160	137380	Que sempre que a polícia me para, eu tenho que...
137380	139040	Olha bem o CPF aí, o nome da mãe.
139560	140640	Ah, nossa.
140820	141080	É pesado.
141880	141900	É.
141900	142780	É, porra, é complicado.
142780	143000	É complicado.
144020	148500	Eu já recebi documentos do Gilles, ex-ministro da Casa Civil, no meu e-mail pessoal.
148560	150560	Que alguém mandou.
151680	153560	E aí eu apaguei, porque eu não queria...
154420	159380	Eu apaguei, deitei no chão, botei as mãos na cabeça, nada aconteceu.
159560	161060	Depois de uma hora eu fui seguir minha vida.
161380	162440	Exatamente, exatamente.
162720	163840	Porra, é complicado, né?
164260	164660	É.
164740	168780	O pior é que veio, tipo, RG, comprovante de residência, os documentos assim, sabe?
168800	171020	Que o pessoal usa pra, sei lá, abrir conta no banco.
171380	172640	E veio tudo no meu e-mail, assim.
173280	174100	Eu falei, meu Deus.
174560	174900	Ok.
175160	178540	Eu, como jogador de futebol, no máximo vou receber, sei lá, proposta de bem-estar.
178560	180920	Um bilhete pra ganhar um vermelho e...
180920	182340	Num esquema de aposta ilegal.
182420	184280	Não sei o que os jogadores recebem no e-mail.
185140	186980	É, eu também não sei, Guaxa.
189560	191300	Tudo que eu sei de futebol é isso.
191520	193820	Eu também não sei muito, então não posso colaborar contigo.
194040	195320	Ok, ok, ok.
195720	200360	Mas, você que está aí, que quer fazer como o Gilles, que apoia este projeto.
200660	203620	Você pode ir em apoia.se barra rpguaxa.
203820	205600	A partir de um real você está ajudando esse projeto.
205600	207980	A partir de dez reais você é convidado.
208080	208320	Você...
208320	210800	Uma aposta, você deu dez reais, não precisa nem esperar meu e-mail.
211300	213660	Já vai liberar lá um post que está com o cadeadinho.
213820	215700	Quem fez doação de dez ou mais.
216160	217720	Tem o link pra você clicar.
218220	219480	Aí você vai entrar no grupo.
219960	221320	Se apresenta e tal.
221880	224320	E lembrando, pra maioria dos oito anos, né?
224320	225740	A Fábio sempre pede pra gente fazer isso.
226080	229680	Porque embora não aconteça nada de absurdo lá dentro.
230040	235760	A gente não é pai nem babá de ninguém pra se responsabilizar.
235760	238080	A gente fica meio preocupado com os outros.
238320	240240	Afinal, é um grupo com muita gente.
240680	241600	Mas você pode ir lá.
241600	245720	Como eu falei, muita gente, muitos amigos, muitas aventuras pra viver.
246180	248640	Tem vários subgrupos pra vocês ficarem.
249060	250960	Tem o grupo dos spoilers.
250960	253040	A gente recebe o episódio antes por lá.
253400	256960	Então o pessoal, a partir de segunda e terça-feira já começa a discutir.
257340	258080	Tem...
258640	261480	O grupo de anime, grupo de videogame.
261480	263000	Tem o pessoal além da Arco-Íris.
263360	265440	Tem as meninas, né?
265440	267160	Acho que é a irmã da Taverna, se não me engano.
267560	268280	Que é o grupo só da Taverna.
268280	269520	Tem as meninas ali dentro.
269620	274580	Então assim, uma série de grupos de amigos pra vocês estarem conversando.
