start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32100	33720	Eu não acredito no Guaixaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaixaverso, onde o que não existe é debatido.
45140	46780	Ah, finalmente chegaram!
47080	51100	Me dá os biscoitos, me dá as bolachas, vamos lavar a mão.
51100	52540	Me dá os biscoitos, me dá as bolachas, vamos lavar a mão.
52960	58540	Olá, eu sou Marcelo Guaxinim, narrador, produtor...
58560	64460	E graças a Fanta, eu gravei quatro podcasts em uma noite.
64700	67600	No caso, foram quatro Guaixaversos que eu gravei junto com a Ju.
67920	72640	Lá na Twitch, a gente fez duas horinhas, leu todos os comentários dos quatro episódios.
72840	75880	Dos três episódios extras que a Fanta nos proporcionou,
76140	80860	mais o episódio regular, que seria Filho Único, quase a Fanta não estivesse aqui.
81080	84360	Quero aproveitar, então, para agradecer novamente a Fanta pelo apoio.
84360	87360	A lembrar você que a Fanta é a bebida oficial...
88560	94880	Acompanhar o seu RPG, o seu videogame, a sua confraternização com os amigos, os seus lanches, o seu cinema.
95180	100460	Pessoal que já foi assistir o Miranha, levou seu copão de Fanta para acompanhar com o seu balde de pipoca.
100860	103500	Fanta acompanha você, Fanta acompanha o RPG Guaxa.
103740	105920	Então, muito obrigado, Fanta, muito obrigado pelo apoio.
106340	109520	A Fanta que, para quem está meio perdido, apoia o RPG Guaxa.
109720	112700	Porque ela estava apoiando a CCCP World 2021.
113200	118240	Lá ela fez várias ações no evento, incluindo Tribu Arena Game by Fanta.
118560	119360	E foi incrível.
119460	121600	Se você perdeu, dá uma conferida lá no Instagram da Fanta.
121920	126580	E mesmo que você tenha acompanhado, lembra de passar nas redes sociais da Fanta.
126580	131580	E se você ainda não fez, agradecer por esses episódios extras maravilhosos.
132140	135620	Falando em redes sociais, segue a gente, arroba Marcelo Guaxinim, arroba rpguaxa.
135800	140600	Eu não vou me estender muito aqui, gente, porque realmente são quatro Guaxa Versos.
140800	147400	Essa semana está bem puxada aquela correria para poder fechar o ano, tirar aquele recesso entre o Natal e o Ano Novo.
147680	148540	Então, eu vou deixar para vocês.
148560	153900	Dá para ler o nome dos padrinhos em um dos outros episódios que a gente ainda vai ter lá para o fim de semana.
153900	159940	E fica aí, fica aí com a primeira parte, com a leitura dos comentários do episódio
159940	163220	As Bolachas de Natal, Uma Aventura Fanta.
163880	166660	Então, eu vou ler aqui o primeiro comentário é do Diego de Melo.
167020	168400	Guaxa, Guaxa, vem aqui.
168880	170440	Isso, toma aqui um biscoito.
170540	171860	Ou melhor, essa bolacha.
172380	174060	Aproveita e toma uma deliciosa Fanta.
174540	175000	Bom, né?
175440	175800	Olha.
176360	177700	Olha lá, um corvo.
177800	178180	Corre lá.
178560	178960	Puta.
179460	181520	A pessoa me atreveu para uma armadilha, gente.
182820	185040	Ela botou comida e me jogou nos corvos.
185480	186300	Nada mais justo.
186300	192620	Bem-vindos, guaxates ou vichinins, para mais uma leitura de comentários sobre o episódio.
193020	195360	Que, aliás, está fantástico.
196000	198900	Ele fez uma coisa que é comum em One Piece.
199500	200720	Ele roubou a introdução.
201200	201880	Obrigado, Diego.
202260	205460	O próximo comentário é do Jorge Marcos Santos Silva.
205880	206720	Que não foi o primeiro.
206800	208520	Olha só, eu lembro que no último Guaxa Verso.
208560	209120	Eu falei.
209620	214260	Será que com o episódio saindo fora do normal, o Jorge vai conseguir ser o primeiro?
214560	215320	Aí está a resposta.
215500	215720	Não.
216160	217240	Perdeu esse posto.
218040	219100	Perdeu dessa vez.
219120	219400	Sim.
219960	222300	Nem sei se vai ter Guaxa Verso desse episódio.
222660	223700	Mas adorei muito.
223700	227440	Por muito mais parcerias como essa, para muito mais RP Guaxa.
227680	229120	Tudo bem, meu querido Guaxa?
229500	230200	Tudo bem, tudo bem.
230300	230740	Melhor agora.
231140	234880	Como já teve muito biscoito nesse episódio, trouxe Chocotone.
235320	236440	Espero que goste.
236860	238520	Eu não gosto de Panetone.
238560	240960	Mas, em geral, Chocotone eu não sou fã.
241260	242320	Se tiver na mesa, eu como.
242700	243660	Mas eu não sou fã.
244560	245080	Spoilers.
245620	248560	Ria até que barriga doer com o final do episódio.
249320	250300	Simplesmente genial.
250900	253680	Parabéns a todos, porque todos mandaram bem demais.
254320	257320	Minha única pergunta é se era Gertrudes mesmo.
257840	262300	De resto, cara, esse episódio foi muito minha infância também.
