start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15980	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24000	Todos vão conhecer o Guaxaverso!
24000	24520	O Guaxaverso sempre existiu!
24520	25460	Até o nosso final!
25460	27200	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu não acredito no Guaxaverso!
33880	36540	Mas supondo que ele exista...
37900	41520	Guaxaverso, onde o que não existe é debatido.
45020	47720	Se o Guaxaverso contar com o episódio, chegou a 10.
47720	50940	Não, não, não, não conta. Eu acho que Guaxaverso é uma instância apartada.
51060	52700	Sai no mesmo feed, no mesmo site.
52700	56300	Não conta que o nome é diferente. Um é RPGuaxa, outro é Guaxaverso.
56300	58300	Eu acho que eu tenho que fazer...
58540	61900	Eu tenho que fazer mais 9 Guaxaversos para o aposentado Guaxaverso.
61900	67220	A regra é clara, tu só pode gravar um Guaxaverso, não um RPG.
67220	72180	Ah, então. Então eu já esgotei o Guaxaverso, mas aí você me chama nos RPGuaxa que eu topo.
72180	79500	Gravou 9 episódios. Tá chamando, tá, tá, tá... Gravou 9 episódios.
79500	82980	Ei...
82980	88300	Olá, eu sou o Marcel Guaxinim, narrador, produtor, idealizador,
88300	91900	podcast da Realidade Paralela do Guaxinim, e eu estou de férias.
91900	97700	Tanto o trabalho que realmente paga as contas, quanto de gravar podcast, que paga as contas do editor.
97700	104420	Mas não se preocupe, o RPGuaxa da semana que vem já está gravado e editado, então tudo vai dar certo.
104420	106820	Pra quem não sabe, o Guaxaverso é nosso antigo escudo-mestre.
106820	109620	Aqui vamos ler os comentários e discutir as teorias do último episódio,
109620	112740	que no caso foi Guerreiras Mágicas do Guaxinim.
112740	117740	Eu recebi a Fernanda Cortes, lá do Estação 21, e que gravou esse episódio,
117740	120100	e a gente, junto, lê os comentários.
120100	124580	Não esquece de seguir nas redes sociais, arroba marcelaguaxinim, arroba rpguaxa,
124580	129540	e se você quiser se tornar apoiador deste projeto, você pode apoiar a partir de um real.
129540	133340	Você tá me ajudando. A partir dos 10 reais você faz parte do nosso grupo do Telegram.
133340	139860	Esse grupo do Telegram, você pode gravar voz de NPC, participar de várias aventuras com o pessoal da Taberna, né.
139860	141780	Fazer parte de vários grupos de discussão.
141780	145340	Esses dias eu nem tava conversando de quando chegar a Copa criar um grupo no Telegram pra não ficar aquela discussão.
145340	146040	Fazer parte de vários grupos de discussão. Esses dias eu nem tava conversando de quando chegar a Copa criar um grupo no Telegram.
146040	147820	grupo no Telegram, para não ficar aquela discussão
147820	149800	no grupo principal, vai ter um grupo só
149800	151600	para falar da Copa. Então quem quiser,
151720	153680	for padrinho e quiser falar de Copa, vai ter um grupo só
153680	155640	para isso, com direito a um bolão
155640	157760	e quem ganhar o bolão, ganha um
157760	159700	famigerado Vale Aventura, ou seja, vai
159700	161440	participar de uma aventura
161440	163760	como esses três jogadores, que não vieram aqui
163760	165620	através de Vale Aventura, mas
165620	168060	que eu conheci os três por serem padrinhos.
169140	169780	A chance de você
169780	171780	assinar e jogar é baixíssima, gente, pelo amor
171780	173640	de Deus, de gravar um RPG.
173800	175320	Eu acho que é muita gente, são quase
175320	177260	500 pessoas, mas
177260	179600	existe. Eu quero também aproveitar
179600	181440	agora essas férias, para dar uma
181440	183140	reestruturada nos tiers
183140	185340	do nosso patronato. Será que
185340	187340	entrar no grupo do Telegram vai subir, vai
187340	189640	inflacionar? Não sei. Não sei, então
189640	191080	se fosse o seu, eu aproveitava
191080	193200	agora. Ainda falando
193200	195400	em patronato, além
195400	197580	de poder assinar pelo PicPay e pelo
197580	199620	Padrim, eu estou testando
199620	201640	a plataforma Orelo.
202140	203620	Ela é tanto um player que você
203620	205300	pode ouvir, quanto você pode
205300	207480	assinar por lá. Além disso,
207620	209280	se você não quer apoiar, ou não
209280	211280	pode, né? Só de ouvir
211280	213280	na Orelo, só de tu dar um
213280	215360	play lá no episódio e ouvir ele inteiro,
215840	217040	eu ganho centavinhos.
217480	219320	Então, mesmo que você não possa
219320	221280	ajudar de outra forma, se você
221280	223400	quiser ouvir pela plataforma
223400	224980	Orelo, você está ajudando a RPG
224980	227220	Guaxa também. O RPG Guaxa não
227220	229320	é exclusivo, que fique muito claro.
229700	230820	Você pode ouvir pelo Spotify,
231240	233440	pelo Deezer, pelo seu agregador
233440	234880	favorito, mas
235300	237220	se você quiser, se estiver
237220	239200	na sua mão, dá a testada
239200	241120	lá no player do Orelo.
241440	243360	Você ajuda não só a RPG Guaxa, como
243360	245480	a grande parte dos podcasts que você escuta
245480	247280	já estão lá, e você
247280	249740	acaba ajudando o seu produtor de conteúdo favorito.
249920	251020	Mas vamos lá, sem enrolação,
251400	253120	vamos ouvir o que eu e a Fernanda
253120	255120	gravamos na nossa live
255120	257540	lá na Twitch, com a leitura de comentários.
258320	259320	Então, pessoal, estamos aqui
259320	261040	hoje para ler os comentários
261040	262840	do episódio Guerreiras Mágicas do Guaxinim,
262840	264320	RPG Guaxa 113.
265300	267280	É 12 do 7, a gente está aqui na Twitch,
267620	269560	twitch.tv bar rp guaxa,
269960	272020	e eu recebi uma das jogadoras,
272100	273520	a Jumozinha da Noite,
274160	275040	é a nossa querida
275040	277920	Fernanda Cortes. Cortes, Cortes?
278340	279800	Olá, gente, é Cortes,
279940	280900	mesmo, tudo bom?
282720	283720	Longe de mim,
283800	285620	ser Jumozinha, que nada, estou aqui
285620	287560	só, uma mera mortal.
288120	289680	Hoje nem tanto, tenho meus poderes
289680	291520	mágicos, mas estou aqui
291520	293220	para a gente ler os comentários
293220	295280	desse episódio, que eu já digo que é um,
295280	296940	um dos que eu mais gostei de gravar,
297080	298520	o Guaxa realizou meu sonho.
298620	301320	Fico feliz, assim, foi um episódio que
301320	302960	eu já estava, esse era uma,
303040	304880	essa foi uma das promessas mais fáceis,
305160	307040	que quando me pediu se foi a Bela ou alguém,
307280	308180	surgiu a ideia.
308720	311600	Não, a pessoa da taverna estava fazendo um quiz
311600	313180	para saber que
313180	315060	menina mágica é você,
315200	317140	uma coisa assim. Sim, começou no quiz,
317240	319160	foi isso mesmo. É, e daí
319160	321120	eu, putz, é isso, eu quero
321120	323140	gravar uma aventura disso, e
323140	325200	o meu deu o Rei Urte, que é uma coisa que
325200	327000	eu amo muito, e então
327000	328900	para mim foi fácil, porque eu acordava
328900	330600	cedo, sábado,
330980	332940	para assistir no SBT, passava
332940	335300	Fly e Guerreiras Mágicas de Rei Urte,
335680	337060	e outras coisas, mas
337060	339160	eu acordava para ver esses dois, sabe,
339360	341140	botava despertador, na época
341140	342520	era num relógio Cássio,
343000	345220	falsificado, do Paraguai,
345300	346540	mas ele tocava, assim, então,
347040	349400	porra, bons tempos, bons tempos.
349640	351040	É, não, eu não, a
351040	353060	Guerreiras Mágicas não foi tanto o que me pegou,
353200	355000	não, mas eu fui da turminha do
355000	356680	Sakura Cardcaptors, né, foi
356680	359400	assistir o anime... É porque tu é mais nova que eu, né?
359420	361140	Uhum, eu tô com... Sakura Cardcaptors
361140	363020	eu já era maior. É, eu tenho,
363300	364900	eu tô com 32, né, então
364900	366780	o meu foi na época que Sakura tava
366780	368960	bombando, e eu ainda lembro
368960	370540	que eu ia lá na banquinha,
370900	372960	né, fazer a minha mãe na banquinha
372960	375120	de jornal, pegar o
375120	376220	mangá que saía, né,
376400	379160	o volumezinho que saía, pra eu ir acompanhando
379160	380440	a história também pelo mangá.
380820	382320	Perfeito, eu acho o Rei Urte, assim,
382820	384880	o plot twist do final do primeiro
385000	387040	barco, né, eu, aquilo
387040	389260	me marcou, e é uma coisa que marca
389260	390880	o RPG Guaxa desde o
390880	393080	princípio, assim, a chegar naquilo
393080	395000	ali, aquele plot twist
395000	396980	foi o primeiro plot twist
396980	399220	grande, assim, que eu, da minha vida.
399540	400940	E não vamos falar mais nada, porque
400940	403140	ainda hoje dá pra assistir, né, assistam
403140	405060	sem esse
405060	406840	plot twist, se bem que
406840	409060	eu fui rever com a Malu, e tanto
409060	411040	eu quanto a Malu, achamos ele meio, assim,
411520	412580	pros padrões de hoje,
412580	414660	ele é meio lento, os episódios.
415000	417020	Ah! Ele é aquele episódio
417020	418660	que acontece uma
418660	421180	coisinha, que quase avança,
421380	422820	sabe, a história é muito
422820	425120	devagar, é episódio
425120	426840	que se elas se perderam numa caverna, e tem
426840	428960	o inimigo da vez que é vencido, e vai voltar no episódio
428960	430220	que vem, então
430220	433000	eu não sei, mas
433000	434740	pra época ele era incrível.
435240	436940	É, eu, eu acho,
437080	439240	eu gosto, eu assisti depois, eu adorei,
439320	441120	como também assisti Sailor Moon, tudo isso,
441120	442920	e ainda do Guerreiras Mágicas,
443120	444840	eu, recentemente,
444840	446700	eu apresentei pra minha prima, né,
446780	448960	ela tem 17, aí eu apresentei,
449000	450980	que ela gosta de ler, aí eu apresentei pra ela o mangá
450980	452220	que eu tenho, a coleção, né,
452660	455000	aí ela me mandou mensagem, que ela já tá no volume 4,
455120	456700	que ela tá devorando, que adorou
456700	457280	a história.
459400	460820	Mangá não tem problema, o problema é
460820	462520	o desenho, eu imagino que mangá
462520	465120	ele é mais atemporal, né, então...
465120	466700	Sim, os animes, eles vão ficando
466700	467820	mais datados, né.
468720	471000	Tanto pela animação, que às vezes não acompanha
471000	472660	o ritmo do desenho,
472660	474540	ainda hoje a gente vê isso em alguns animes, né,
475220	476600	mas, é,
476680	478700	o mangá, sempre o mais indicado é
478700	480640	o mangá, porque o mangá depois do toleto pode
480640	481360	colorir, inclusive.
483440	484560	Mas estamos aqui
484560	486580	para ler os comentários deste episódio
486580	488820	maravilhoso, que teve a Fernanda,
489260	490420	que teve a Belo,
490600	492640	que já gravou um Guaxa Verso, por isso
492640	494560	ela não está aqui, e teve
494560	496320	a nossa querida Ágata,
496860	498080	que tá trabalhando essa noite.
498580	500140	Ela gravou semana passada,
500300	502300	porque essa semana e na semana
502300	504280	anterior, ela ia estar de plantão.
504280	506320	Então ela gravou um RPG Guaxa, né.
506740	508160	As pessoas normalmente preferem,
508300	510060	gostam de gravar Guaxa Verso,
510340	512100	mas, se eu tiver que escolher, elas
512100	514280	preferem gravar o RPG Guaxa, eu não sei porquê.
514960	516380	Por que será, né? Não faço ideia.
516940	518580	Mas estamos aqui para ler os comentários,
518740	520080	o primeiro foi do World1,
520500	522280	ele coloca...
524620	531680	E daí ele colocou...
531680	533680	1, 2, 3, 4, 5, 6...
534280	536280	E aí ele coloca...
536280	537900	Então, obrigado, obrigado pelos biscoitos.
538200	539480	E uma reclamação a fazer.
539940	542480	Não acho que cada envolvido seja 50%,
542480	544120	mas sim 101.
544720	546520	Sempre. Porque os episódios
546520	547720	são sempre, no mínimo,
548300	550440	606%.
550440	552120	101 do Guaxa,
552240	553500	101 de cada jogador,
553980	556260	101 do editor, 101 dos padrinhos
556260	558160	que emprestam as vozes.
558780	560160	Como eu sou de humanos, eu não vou
560160	561720	discordar dessa tua matemática.
561720	562780	Eu não sei se é certo.
564280	566160	Exatas, mas eu agradeço a matemática.
566440	568440	Hoje eu vi um cara jogando
568440	570860	Final Fantasy XIII 2,
571380	572800	em que ele batia no inimigo
572800	575580	e pro inimigo ficar vulnerável, tinha que chegar em 300%.
575580	576700	Por que não 100?
576840	579000	Era 300%, e é isso.
579100	580060	A gente só aceita.
581140	583180	É. O World1 termina aqui
583180	584940	e vou ouvir novamente agora
584940	587240	pelo Spotify, e um velho abraço.
587600	589040	Então ele ouviu quando saiu pelo
589040	590920	link direto que quem é padrinho recebe
590920	593260	e depois ele escuta pelo Spotify.
593640	594120	Muito obrigado.
594280	595720	Muito obrigado pelo seu comentário, querido.
595840	597660	Obrigado, Odjuan, maravilhoso.
597860	600120	E você também, viu? Sejam padrinhos pra escutar antes,
600240	602880	porque é muito legal você escutar antes e depois escutar de novo
602880	604800	e pegar mais e mais detalhes.
605200	606520	O próximo é do
606520	608760	Jorge Marcos Santos Silva.
609220	610140	Bom dia, galera.
610600	611680	Guaxa, chat,
612260	614140	ouvi xinins e convidade.
614580	615340	Tudo bem com vocês?
615980	618260	Tamo indo, né? Brasil. Mas vamos.
618760	620380	Sou brasileiro, tirando isso,
620380	621340	tá tudo ótimo.
621780	623640	Eu tô legal. Que bom que você tá legal.
624280	625800	E aí ele já vem aqui. Spoilers.
626180	627700	Daqui em diante é por sua conta e risco.
628620	630540	Episódios de anime sempre me lembram
630540	632540	da minha adolescência. Ainda mais
632540	634400	um anime assim. Acho que não há
634400	636540	muitas teorias hoje. Está bem clara
636540	638400	a ligação com os episódios dos ratos.
638880	640700	Você poderia só explicar melhor pra gente
640700	642600	sobre essa mudança de mundo
642600	644360	deles e do porquê disso?
644900	646480	Elas realmente foram pro mundo
646480	647900	ou só pro esgoto mesmo?
648300	650500	Então, elas mudaram de linha
650500	651960	totalmente. Elas mudaram
651960	654240	de realidade. Explico.
654280	655800	Não muito, mas explico.
655980	657680	Então quer dizer que a gente foi pra outro universo?
662180	663760	Isso. Assim, ó.
664640	666460	Os ratos se referem à deusa
666460	667300	que criou eles.
667840	670000	Todo mundo sabe que é a Nick, né?
670100	670980	Que criou os ratinhos.
671520	674360	E o ratinho fala, com todas as letras,
674540	676220	que ela não ia poder
676220	678420	mais usar os poderes dela pra proteger
678420	680120	os ratos. Então, provavelmente
680120	682240	na linha em que ela está, ela está
682240	683260	tendo problemas.
684280	685820	A gente viu um pouco disso no
685820	688420	Pão, Margarina e o Meteoro, né?
688880	690240	E pra atirar os ratos,
690360	692340	ou ela tirava o encantamento deles
692340	693660	e eles voltavam a ser só ratos,
694100	696640	ou ela levava eles pra uma fonte de magia.
697140	698380	Ela acabou levando
698380	700080	pra mesma linha dos Cavaleiros do Bicho,
700140	700940	inclusive, né?
701400	704480	O que a gente estava brincando antes de começar a gravar
704480	706540	de um crossover entre
706540	708720	Guerreiras Mágicas do Guaxinim
708720	709520	e Cavaleiros do Bicho.
710000	712100	É possível com uma viagem de um lado
712100	713840	pro outro do mundo, mas
713840	716340	então, esses ratos foram levados
716340	717960	pra linha do Cavaleiros do Bicho
717960	720300	pro Japão e colocados
720300	722140	embaixo da escola. É isso
722140	723120	que eu posso dizer por enquanto.
723300	725580	Oh, esse é o momento que o editor coloca aquele
725580	728320	tan, tan, tan. Momento revelações.
728380	729260	Não, porque eu sou que vou editar.
730280	732240	Mas, ó, então, gente, já confirmado,
732380	734360	tá? Cavaleiros do Bicho tá no mesmo universo,
734480	735660	a gente já vai querer o crossover.
736200	737660	Não foi o que eu disse, prossegue.
739320	740080	Aí tá aqui,
740080	740800	ele termina.
743840	757160	Ai, obrigado, Jorge.
757500	759040	Fico muito feliz, você gostando
759040	760940	do episódio.
761380	763240	Sim, eu e as meninas, eu posso dizer
763240	765580	por elas, tá? E o Guaxi é testemunha.
765720	767200	A gente ficou mega
767200	769580	empolgado. A gente virou a madrugada
769580	771120	pensando na aparência, nos
771120	773260	poderes, que frases íamos falar,
773640	773820	como é que a gente ia falar, como é que a gente ia falar.
773820	775520	Como é que a gente ia combinar nossas roupinhas,
775900	777460	como que ia ser o nosso pingente.
777800	779480	A gente tava realmente mega empolgada
779480	781660	por esse episódio. E eu tava tendo
781660	782960	crise de ansiedade,
783340	785600	porque elas tavam todas programando que
785600	787640	menininhas elas iam ser, mas
787640	789480	eu não falei pra elas, eu falei assim, ó,
789780	791120	pensem numa arma,
791700	793360	num elemento, né?
793880	795660	E mais ou menos na transformação de
795660	797780	vocês, mas em momento algum
797780	800000	eu expliquei que elas iam diminuir
800000	801120	e salvar ratos.
