start	end	text
0	10100	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	O Guaixa sabe o que faz!
20020	20960	Espera! O que é o Guaixaverso?
21000	22980	Era só uma questão de tempo!
23080	24520	O Guaixaverso sempre existiu!
24520	27180	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso!
32100	33720	Eu acredito no Guaixaverso!
33820	36560	Mas supondo que ele exista...
37900	41520	Guaixaverso, onde o que não existe é debatido!
45060	49900	Mas eu tô desconfiada que eu pulei o comentário do Rodrigo Alves ali em cima!
51000	52480	Eu acho que eu pulei!
52600	54700	A gente não leu o comentário dele, olha ali!
54920	56540	Eu li o comentário dele!
56540	57500	Tu leu? Eu não...
57500	58540	Tu leu? Tu leu?
58560	62000	Eu li o do Lennon, Bianca, tu leu o do Hulk, eu li o do Rodrigo, tu leu o do Peregrino...
62000	63640	Ah, sim, de saúde, desculpa!
64200	66820	Eu não sei! Já não sei meu nome!
67260	67420	Tá!
68640	69000	Jumosinho!
70360	71660	Tá! Leiva!
73720	77920	Olá, eu sou o Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade de Palavra do Guaxinim
77920	81400	e eu chorei quando vi que tinha mais de 50 comentários!
81720	83760	Pra quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre!
83760	87760	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso foi Téo!
88560	89700	Episódio 106.
89880	94560	Como eu comentei lá no escudo-mestre do episódio Cera, que é o episódio 107 que saiu depois desse,
94840	100520	eu iria gravar essa semana, né, que tá saindo, foi no dia 11 do 5 que eu gravei a leitura de comentários,
100900	105380	e eu só vou ler de novo comentários quando acabar essa trilogia da vela.
105660	113080	Tivemos Cera, tivemos Chama, e agora vamos ter Pavio, na semana que vem, se esse episódio sair na semana certa.
113080	115380	Porque estamos tendo episódios semanais!
115760	118540	Entre o meu aniversário e o aniversário da RPG Guaxinim.
118880	121280	Temos episódio toda semana, então aproveitem bastante.
121560	125820	E daí como temos uma trilogia de episódios, eu só volto a ler quando acabar a trilogia,
125900	128360	mas deixe seu comentário nos três episódios que a gente vai ler.
128540	132800	Se esse episódio conseguiu sair no domingo, no dia 15, hoje é o último dia pra votar no iBest.
133140	134220	Votem, gente, por favor!
134480	139920	A gente tem uma chance muito boa, então vota lá, vota com o e-mail da sua mãe, da sua tia, do seu cachorro,
140180	141760	de quem tu puder, ajuda a gente.
141760	147280	Daí a partir do dia 16, eu não sei quando começa a segunda fase, e se a gente vai pra segunda fase,
147520	148540	mas fica de olho nas redes sociais.
148560	151740	Pra ajudar nessa segunda fase também.
152000	153080	Por sinal, nossas redes sociais,
153420	161480	Pense também com carinho em se tornar nosso padrinho, poder ajudar a fazer mais meses no ano como esse.
161660	166360	Talvez imagina crescer bastante os padrinhos pra gente ter um mês lá pro segundo semestre,
166580	168960	também de episódios toda semana, não sei?
169260	170180	Vamos lutar por isso?
170520	172580	Quem é padrinho faz parte do grupo do Telegram maravilhoso,
172880	174780	onde a gente discute os mais variados temas.
175180	177680	Há vários subgrupos discutindo outras coisas,
177680	178540	e em especial,
178620	181540	tem um grupo de spoiler, onde a gente discute teorias dos episódios.
181760	183580	Quem é padrinho recebe os episódios antes,
184040	186140	mesmo nesse que a gente está semanal,
186380	188040	eu tô tentando lançar sempre antes,
188100	189360	alguns dias antes, pros padrinhos.
189620	191800	Além disso, eles recebem várias coisas extras.
192100	194220	As próximas três aventuras que eu escrevi,
194500	196820	eu colei uma sinopse lá no grupo do Telegram.
197120	199260	Falta só tempo pra gravá-las, pra jogar.
199480	200500	Áudio, áudio...
200500	202260	Sabe aquele escudo do mestre,
202340	204940	que a Malu fala ao final de todo episódio?
205240	206460	Sabia que aquilo foi gravado,
206460	208460	eu tenho um áudio com ela falando várias vezes,
208560	210560	e com eu pedindo pra ela repetir,
210560	212560	com entonações diferentes,
212560	214560	e que a primeira tentativa dela
214560	216560	foi a que eu usei?
216560	218560	Pois é, quem é padrinho recebeu esse áudio esses dias,
218560	220560	lá dentro do grupo do Telegram.
220560	223560	Então, quer receber coisa extra, quer participar do nosso grupo?
223560	225560	Seja nosso padrinho.
225560	227560	Mas vamos lá, tem bastante comentário.
227560	229560	Eu recebi a Jumazinha, a Juleiva,
229560	231560	veio e gravou de novo,
231560	233560	e participou dessa maratona de leitura comigo.
233560	235560	E vocês podem até não reconhecê-la no áudio,
235560	237560	porque ela tá loira, mas é a mesma ajuda sempre, gente.
238560	240560	Pessoal, estamos aqui então para gravar
240560	242560	os comentários do episódio TEL.
242560	244560	Foi o episódio 106.
244560	246560	A minha primeira opção a estar gravando aqui
246560	248560	seria ou Nuvem,
248560	250560	que ele não pôde gravar,
250560	252560	ou a Fer, que no momento está gravando
252560	254560	um outro podcast.
254560	256560	Então, como plano C,
256560	258560	temos a Jumazinha.
258560	260560	Não que eu não goste de gravar com ela,
260560	262560	qualquer um que comprou o feed sabe
262560	264560	que eu gosto de gravar com ela.
264560	266560	Um pouco mais do que deveria,
266560	268560	alguns vão dizer. Mas,
268560	270560	tô muito feliz que ela esteja aqui.
270560	272560	É óbvio que é sempre legal ter uma pessoa diferente,
272560	274560	pra gente ouvir uma opinião diferente e tal.
274560	276560	Mas, a Ju, pra poder gravar hoje,
276560	278560	ela pintou o cabelo,
278560	280560	cortou. Só quem tá ao vivo na live
280560	282560	tá vendo isso hoje, né?
282560	284560	Boa noite, Ju.
284560	286560	Boa noite. Eu pintei o cabelo
286560	288560	só pra parecer que eu sou outra pessoa
288560	290560	e não ficar repetitivo. Foi só por isso.
290560	292560	É verdade, é verdade.
292560	294560	Que em áudio é uma coisa que faz muita diferença.
294560	296560	Eu cortei o cabelo e ninguém vai notar.
296560	298560	Quer dizer, se pegar,
298560	300560	a última live eu tava um
300560	302560	monstro. Hoje eu tô um monstrinho na parada.
302560	304560	Eu cortei o cabelo, quer dizer,
304560	306560	a minha mãe cortou meu cabelo
306560	308560	e meu pai cortou minha barba.
308560	310560	Inclusive meu bigode, um lado tá um pouco maior,
310560	312560	esse lado tá um pouco maior do que esse.
312560	314560	Mas como eu tô de máscara...
316560	318560	Mas é isso aí.
318560	320560	Eu tô cortando em casa ainda, tô usando máscara
320560	322560	e eu só fui em aglomerações duas vezes.
322560	324560	Pra ver o Homem-Aranha e pra ver o
324560	326560	Doutor Estranho. Porque
326560	328560	sou marvete. É um absurdo.
328560	330560	Mas eu fui ver Doutor Estranho em Blumenau
330560	332560	segunda-feira. Tinha eu
332560	334560	e duas famílias lá dentro.
334560	336560	Maravilhoso. Cinema exclusivo.
336560	338560	Uma criança chorou e tudo. Ela tinha criança pequena.
338560	340560	O filme é 12 ou 14 anos
340560	342560	de classificação e levaram a criança
342560	344560	pequena. E tem sangue.
344560	346560	E teve choro. Foi bem legal.
346560	348560	Não pra criança. Se ela não tava batendo os pés
348560	350560	nas tuas costas, já tá bom.
350560	352560	Não, não. Porque daí eu cheguei... Tipo, o filme começou
352560	354560	18 e 40.
354560	356560	E eu cheguei no cinema depois do trabalho
356560	358560	18 e 35.
358560	360560	Então eu já olhei onde não tinha ninguém.
360560	362560	Eu disse, eu vou sentar aqui. Pá.
362560	364560	Daí eu fui. Jantei e pipoca naquela noite.
364560	366560	Maravilhoso. Maravilhoso.
366560	368560	Luxuoso. Perfeito.
368560	370560	Meia-meio. Meia-meio. Meia
370560	372560	salgada e meia-doce. Incrível.
372560	374560	Como é que você come pipoca no cinema?
374560	376560	Salgada ou doce? Salgada.
376560	378560	Geralmente salgada. Salgada.
378560	380560	Eu sempre peço os dois. Salgada com doce.
380560	382560	Eu pedia quando...
382560	384560	Tipo, eu era solteiro. E daí quando eu fui
384560	386560	com a Betta a primeira vez. E daí eu deixei
386560	388560	o homem, deixei a mulher escolher a pipoca.
388560	390560	Isso tá no manual de cavalheirismo.
390560	392560	É abrir porta e escolher pipoca de cinema.
392560	394560	Eu acho que é isso. E daí
394560	396560	ela escolheu e ela falou, eu quero meia-meio.
396560	398560	Porra, eu vou casar com essa mulher.
398560	400560	Revelações. Casei. E daí hoje a gente tem uma filha
400560	402560	que come pipoca de colher.
402560	404560	Ela senta pra ver TV
404560	406560	com uma colher. É isso.
406560	408560	É sobre isso.
408560	410560	A gente acerta pra errar.
410560	412560	Maravilhoso.
414560	416560	Ai, gente.
416560	418560	Desculpa, gente.
418560	420560	Voltando.
420560	422560	Estamos aqui pra ler os comentários
422560	424560	do episódio Tel.
424560	426560	Foi um episódio que eu sou um doido, assim.
426560	428560	Tipo, eu podia ter perdido meus amigos
428560	430560	nessa brincadeira. Porque...
430560	432560	Eu avisei que ia ser
432560	434560	pesado o tema, né? Antes de gravar.
434560	436560	Tu avisaste que poderia ter tema sensível.
436560	438560	E sim. E que ia ser um
438560	440560	negócio... Assim, né?
440560	442560	Estamos há quase um ano
442560	444560	pensando sobre o
444560	446560	canto da cidade? Estamos. Mas...
446560	448560	Tá tudo bem.
448560	450560	Eu não me arrependo. E assim, eu não...
450560	452560	Quando eu escrevi
452560	454560	a aventura e escolhi os
454560	456560	jogadores, eu não tinha na minha
456560	458560	cabeça ainda que ia ser o meu episódio
458560	460560	favorito. Pra mim ia ser um bom
460560	462560	episódio, mas ia ser mais um
462560	464560	episódio. E...
464560	466560	O Nuvem eu acho que tinha gravado um ou outro episódio
466560	468560	só. Sabe? Não...
468560	470560	Eu não tinha ainda na cabeça que, pô, vai ser...
470560	472560	A Ju na época tinha gravado pouca coisa.
472560	474560	Tinha gravado um. É. Então, tipo assim...
474560	476560	Se eu soubesse que seria o meu melhor episódio,
476560	478560	eu teria chamado a Ju com um episódio
478560	480560	só nas costas.
480560	482560	Era certo? Não era certo, né?
482560	484560	Mas...
484560	486560	Ainda bem que todos os planetas se
486560	488560	alinharam, né? E...
488560	490560	Talvez o Guaxa do futuro disse pro Guaxa do passado, ó...
490560	492560	A Ju é... Vai, vai...
492560	494560	Põe a Ju. Mas ela gravou uma vez só, né?
494560	496560	Ela gravou um milhão. Só que nesse ponto aí
496560	498560	ela gravou um só, não se preocupa. E...
498560	500560	Deu tudo certo.
500560	502560	E daí quando eu terminei de gravar, assim, quando acabou o episódio
502560	504560	eu sabia, porra, isso é incrível.
504560	506560	Eu vou... Eu quero que isso seja
506560	508560	especial. E daí foi.
508560	510560	Né? Foi. Mas...
510560	512560	Mas estamos aqui pra ler os comentários.
512560	514560	E o primeiro comentário é do
514560	516560	Marcos Sonestim.
516560	518560	Olá, mestre. Eu.
518560	520560	Convidada. A Ju. Olá.
520560	522560	E chat. Que é o chat.
522560	524560	Ver mais alerte.
524560	526560	Ah, não. Ver mais. Eu já cliquei, inclusive.
526560	528560	Esse é meu primeiro comentário. Olha só.
528560	530560	A pessoa veio comentar a primeira vez.
530560	532560	Apesar de já ter ouvido todos os
532560	534560	episódios, meu favorito é
534560	536560	o Grêmio das Almas, que é o do vampiro.
536560	538560	Eu tenho que voltar naquele episódio.
538560	540560	É um dos primeiros, né? Porque não existem...
540560	542560	É... Não existem muitos vampiros
542560	544560	no Guaixa Versa, então não tem muita história pra contar.
544560	546560	Não que exista no Guaixa Versa.
546560	548560	Episódio pesado, pesado, mas necessário.
548560	550560	Minha infância sempre foi muito
550560	552560	traumática no que se refere
552560	554560	a amizades. Já fugi
554560	556560	de casa para ver amigos que
556560	558560	ficavam num bairro...
558560	560560	Que ficaram num bairro anterior. Já peguei
560560	562560	muito ônibus pra ver amigos que ficaram
562560	564560	em outra cidade. Quando não tinha dinheiro
564560	566560	pro ônibus, pedalava cerca de 26
566560	568560	quilômetros. Entrei
568560	570560	de volta pra passar o fim de semana com amigos.
570560	572560	O Guaixa deve conhecer.
572560	574560	E é de Camboriú a Itajaí de
574560	576560	Magrela. Pô, é longe.
576560	578560	A Ju também conhece, né? Também conheço. Tem morro
578560	580560	também, eu acho. Não é legal. É...
580560	582560	Tem um período que tem uma
582560	584560	parte que é mais fácil, que tu vai descer,
584560	586560	e tem a parte mais difícil que tu vai subir. Até porque tu vai e volta, né?
586560	588560	Enfim, já movi
588560	590560	mundos e fundos para estar perto de pessoas
590560	592560	que eu amava. Tudo isso antes
592560	594560	dos 17 anos. Depois
594560	596560	de uns anos, comecei a analisar todo
596560	598560	o esforço que fiz para estar com pessoas
598560	600560	que gostava, e percebi que isso era
600560	602560	unilateral.
602560	604560	Hoje me tornei alguém que sabe lidar com pessoas,
604560	606560	mas prefiro não.
606560	608560	Sou extremamente isolado.
608560	610560	Me mudei pro interior de São Paulo
610560	612560	na largada da pandemia, e descobri
612560	614560	que numa cidade que não conheço ninguém, consigo
614560	616560	ser mais que suficiente pra mim mesmo.
616560	618560	Interessante
618560	620560	como às vezes nos tornamos dependentes emocionais
620560	622560	de alguns relacionamentos, né?
622560	624560	É. Em resumo, às vezes é bom mudar
624560	626560	de ares, conhecer um sotaque novo,
626560	628560	um tempero diferente.
628560	630560	Esse episódio mexeu muito comigo, choradeira bateu
630560	632560	valendo aqui. Me vi como um
632560	634560	Theo na adolescência,
634560	636560	que moveria o mundo para ter aqueles
636560	638560	dias novamente. Mas seria legal
638560	640560	se alguém me dissesse que aquele seria o
640560	642560	último dia. Acredito que tenha
642560	644560	mais pessoas com histórias parecidas,
644560	646560	e pra essas pessoas gostaria de dizer
646560	648560	que a vida nos leva pra caminhos
648560	650560	que às vezes não queremos. Então,
650560	652560	quanto mais cedo você se abrir para a mudança,
652560	654560	mais cedo você vai ganhar um novo
654560	656560	apelido.
656560	658560	Mais cedo vai conhecer músicas novas,
658560	660560	e mais cedo vai receber indicações
660560	662560	de podcasts maravilhosos, e você vai se tornar
662560	664560	padrinho. Obrigado aos jogadores
664560	666560	pela entrega e ao editor por editar
666560	668560	com o coração.
668560	670560	Obrigada, Marcos, por deixar o coração
670560	672560	dele aqui também, um pouquinho, né?
672560	674560	Verdade. Assim, o episódio
674560	676560	é sobre, realmente,
676560	678560	saber, né? Esquecer.
678560	680560	E tu coloca uma coisa aqui muito bacana,
680560	682560	que é a ideia de
682560	684560	relacionamento unilateral. Eu acho
684560	686560	que a maioria das pessoas passou por isso,
686560	688560	aquele relacionamento, aquela
688560	690560	situação com amigos mesmo, né?
690560	692560	Que só tu vai atrás, que só tu faz
692560	694560	as coisas, que só tu pega o ônibus, que só tu pega
694560	696560	a bicicleta, que só
696560	698560	tu vai até o lugar,
698560	700560	e que a pessoa não se esforça.
700560	702560	Às vezes a gente já foi assim na vida
702560	704560	de algumas pessoas, e tá tudo bem,
704560	706560	né? Se tu não faz isso conscientemente
706560	708560	de sacanagem, mas...
708560	710560	é...
710560	712560	legal, assim, que despertou
712560	714560	isso em ti. E...
714560	716560	de relembrar, né? Porque, por mais
716560	718560	que foi uma situação unilateral,
718560	720560	por mais que seja uma coisa que hoje tu olhe
720560	722560	pra trás e não tenha
722560	724560	saudade, é uma
724560	726560	coisa que tu viveu, é uma coisa que faz parte da tua
726560	728560	vida, né? E isso é legal. Isso é legal
728560	730560	tá relembrando. Vamos pro próximo?
730560	732560	Por favor.
742560	744560	O que é que tu acha de acompanhar há muito tempo?
744560	746560	Desde os primeiros cinco episódios. Sim,
746560	748560	há muito tempo. Segundo comentário
748560	750560	que foi a primeira... Segundo comentário e o segundo
750560	752560	comentário de alguém que é a primeira vez que comenta.
752560	754560	Olha, que legal. Não sei por onde começar.
754560	756560	Se agradeço a todos os 50%
756560	758560	do episódio. Você,
758560	760560	os jogadores, o editor,
760560	762560	canta muito. E aos
762560	764560	ouvintes. Se digo como
764560	766560	o podcast tem sido um episódio maior
766560	768560	que o outro, melhor que o outro,
768560	770560	além de ter apresentado e com
770560	772560	tantas pessoas incríveis, ou se envolviu
772560	774560	direto ao textão. Enfim,
774560	776560	você disse ao fim do episódio que era
776560	778560	uma obra de arte. E não tenho
778560	780560	como discordar de tal afirmação.
780560	782560	Concordo. Devo dizer
782560	784560	que não foi o primeiro episódio que me fez chorar.
784560	786560	O Centésimo já tinha feito
786560	788560	um excelente trabalho nisso. Além
788560	790560	de outros episódios. Ele fez
790560	792560	eu relembrar tantas amizades que tive
792560	794560	e acabaram passando. Indo
794560	796560	embora com o tempo. E mudanças de
796560	798560	um lugar pro outro. E tantas outras
798560	800560	que fiz e não quero deixar passar.
800560	802560	Até o meio do episódio,
802560	804560	achava que era o Theo que tinha morrido
804560	806560	e o pessoal que não conseguia abandonar
806560	808560	ele. E me surpreendi ao
808560	810560	ser o exato oposto. O momento da
810560	812560	carta e quando o Theo fala com os
812560	814560	filhos, fizeram eu desabar.
814560	816560	Os últimos anos foram
816560	818560	difíceis pra mim. E poucas
818560	820560	coisas me ajudaram a alegrar um pouco
820560	822560	mais os meus dias. Você
822560	824560	e o Sycaste sendo alguns desses
824560	826560	que me trouxeram sorrisos e outras
826560	828560	emoções. Um grande abraço
828560	830560	e não se esqueçam de beber água.
830560	832560	Já gostei de São Oliveira.
832560	834560	PS1. Não posso
834560	836560	me esquecer dos biscoitos a todos os
836560	838560	envolvidos. Mais que merecidos.
838560	840560	PS2. A pergunta
840560	842560	sobre por onde ouço o podcast.
842560	844560	Uso Spotify atualmente.
844560	846560	PS3. Feliz aniversário
846560	848560	e muitas felicidades.
848560	850560	Obrigado, querido. É interessante
850560	852560	assim, coisas que
852560	854560	me passaram pela cabeça enquanto eu estava lendo esse comentário.
854560	856560	Um deles, quando eu reclamei
856560	858560	e quem não tava aqui na live perdeu o
858560	860560	momento auto-ajuda que eu
860560	862560	só falei bobagem. Mas
862560	864560	quando eu falei do episódio
864560	866560	porra, ele não estourou a bolha e tal.
866560	868560	Achei que ele ia desenvolver mais
868560	870560	né. Algumas pessoas falaram pra mim
870560	872560	porra, tu tem que chamar famosos.
872560	874560	Daí eu pensei, porra, num tel
874560	876560	eu nunca trocaria
876560	878560	a Juliana por uma outra pessoa.
878560	880560	Eu não consigo imaginar esse episódio
880560	882560	com o peso que tem. Pode ser o
882560	884560	famoso que for. Pode ser
884560	886560	atriz da Globo. Pode ser Jade Picon
886560	888560	que agora é atriz da Globo. Pode ser, sabe
888560	890560	que eu não consigo imaginar uma pessoa
890560	892560	que desse um peso naquele momento
892560	894560	que não fosse esses três.
894560	896560	Porque são pessoas, pelo menos
896560	898560	não sei se tu já era bem amiga do Nuvem
898560	900560	naquele momento. Não, eu não era.
900560	902560	Mas foi muito
902560	904560	especial assim. Eu senti um entrosamento muito
904560	906560	bom com os dois. Com a Fernanda e com o Nuvem.
906560	908560	Pessoas incríveis. A ligação
908560	910560	dos três foi
910560	912560	única. A carta pessoal
912560	914560	isso aqui não é uma
914560	916560	um conto narrado.
916560	918560	Essa carta não tava
918560	920560	nem prevista na aventura.
920560	922560	Em momento algum eu imaginei
922560	924560	esse ponto é o que os jogadores se reúnem e fazem.
924560	926560	Assim, eu tenho
926560	928560	a aventura no
928560	930560	Google Drive. Eu escrevi
930560	932560	a introdução da aventura, como eu faço na maioria
932560	934560	das aventuras. E o resto
934560	936560	é freestyle. Os jogadores me mandam
936560	938560	e eu respondo. Eu tenho uma ideia de
938560	940560	por exemplo, eu sabia que no final
940560	942560	quem estavam mortos eram os jogadores. O tempo
942560	944560	todo tinha isso já cravado.
944560	946560	Isso não vai mudar. Mas como os jogadores
946560	948560	vão descobrir isso? Que
948560	950560	brincadeiras vão decidir fazer?
950560	952560	Será que eles vão decidir furar o pneu do ônibus
952560	954560	no primeiro dia? Será que eles
954560	956560	nunca vão aceitar furar o pneu do ônibus?
956560	958560	Como é que
958560	960560	eles vão tratar cada um dos ciclos? Eu não fazia
960560	962560	ideia. Eu não fazia ideia que
962560	964560	ia ter uma carta. Aquela carta me quebra.
964560	966560	Eu começo a chorar.
966560	968560	No final desse episódio aqui, vocês vão ouvir
968560	970560	os extras do
970560	972560	episódio. Eu não ouvi ainda,
972560	974560	mas deve ter alguma coisa lá de coisa
974560	976560	que o editor cortou, que não cabia
976560	978560	na história. Mas
978560	980560	sabe assim, foi total
980560	982560	de surpresa que eu fui
982560	984560	pego por essa carta. Da mesma forma
984560	986560	que eu não planejava chegar no final e dizer
986560	988560	agora o Theo tem três filhos que são...
988560	990560	Cara, isso foi... Os jogadores me mandaram
990560	992560	aquela história toda da carta.
992560	994560	Eu entendi. Porra, o Theo superou isso aqui.
994560	996560	Então, a ideia dos filhos
996560	998560	foi aquele estalo que me deu no final.
998560	1000560	Sabe, isso não estava
1000560	1002560	anotado. Isso não estava planejado.
1002560	1004560	Aconteceu. E só aconteceu
1004560	1006560	porque tinham essas três pessoas.
1006560	1008560	E isso, quando eu brinco que
1008560	1010560	50% dos episódios são os jogadores.
1010560	1012560	Isso é muito verdade, porque
1012560	1014560	por mais que eu planeje uma história,
1014560	1016560	ela é... Ela só
1016560	1018560	existe porque os jogadores estão agindo
1018560	1020560	em cima dela. Eu não faço uma aventura
1020560	1022560	sabendo para onde ela vai. Então,
1022560	1024560	assim, eu agradeço muito esses três,
1024560	1026560	porque o Theo é meu episódio
1026560	1028560	favorito, não porque eu sou... Ah, eu
1028560	1030560	escrevi um episódio foda e eu sou foda.
1030560	1032560	Também. É, porque os três
1032560	1034560	foram muito mais fodas, sabe?
1034560	1036560	Eles foram... Eles
1036560	1038560	abraçaram aquela ideia.
1038560	1040560	Porra, eles podiam pegar o Theo, amarrar ele e jogar no
1040560	1042560	mar, sabe? Tinha
1042560	1044560	tanta coisa... O legal do RPG é
1044560	1046560	isso. Tem tanta coisa que podia fazer
1046560	1048560	e... Se eles jogassem o Theo no mar,
1048560	1050560	eles nunca mais iam ser convidados à junta.
1050560	1052560	Eu nem ia falar na junta. Mas, assim,
1052560	1054560	eles podiam ter feito isso e o episódio
1054560	1056560	teria um desfecho completamente diferente, sabe,
1056560	1058560	gente? Então, eu acho isso
1058560	1060560	legal. Eu tenho muito medo... Eu nunca
1060560	1062560	chego para alguém e falo, ah, você quer gravar o
1062560	1064560	RPG? Eu acho. As poucas vezes que eu me
1064560	1066560	arrisquei a chamar alguém de fora,
1066560	1068560	eu primeiro recomendei um link.
1068560	1070560	Ou, no caso do André Manente, que é um cara
1070560	1072560	que eu sou fã pra caramba. Ele
