start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
47320	52140	Ele não tem nem erros pra gente botar no final, não tem nada.
52140	58400	Não tem, mas não se preocupe que o Guaxaverso do episódio que saiu vai ser o próximo.
58560	60320	101, tá? Não se preocupem.
61200	66240	Ah, isso! Eu não sei quando isso saiu, mas vai ter o Guaxaverso do episódio...
67200	67940	Pô, eu fechei.
68300	68920	Fechou o quê?
70260	71380	O nome dos episódios.
71480	72340	Ah, tá, calma.
73800	74640	Você falou...
74640	79940	A ordem do primeiro filho vai ter o seu Guaxaverso 101.
80380	81700	Daí, normal, gente.
81700	86860	A gente pode criar alguma coisa pro final, quem sabe?
87820	88080	Isso.
88560	89420	A Fábio vai cantar.
90140	91180	Ok, tá bom.
91920	95160	Ah, eu vou cantar a música da velha debaixo da cama.
95440	99840	A velha debaixo da cama não morre nem fica doente.
113040	118240	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidades paralelas do Guaxinim e...
118240	119760	Sem Guaxaversos.
119820	121500	É um podcast que surgiu do nada.
122140	123400	E, porra, tá aí.
123500	126900	Quem diria que uma coisa que não existe chegaria tão longe.
127300	128960	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
129060	130620	Aqui vamos os dois comentários discutir teorias.
131040	139080	Não do último episódio, mas surgiu uma ideia e a Fábio abraçou, assim, a loucura.
139080	141300	Eu tava, porra, deitado, assim, joguei a mensagem.
141680	144720	Porra, alguém falou, ah, vai ter o Guaxaverso 100.
145100	147080	Eu falei, porra, eu podia fazer alguma coisa, né?
147360	148080	Podia, sei lá, pegar o...
148080	155300	Um comentário lá dos primeiros episódios e dar uma lida pra ver o que aconteceu nesses seis anos, né?
155300	159780	Que separam, praticamente, esse episódio dos episódios lá.
160320	163260	Enquanto eu soltava isso, assim, tipo, ah, não vou fazer.
163700	167600	A Fábio já veio com vários prints e comentários separados.
167780	172400	E, então, vai acontecer o Guaxaverso 100.
173000	173740	Obrigado, Fábio.
173880	175280	De nada, é um prazer.
176220	178000	O que que tu achou, assim, já que tu...
178000	180540	Revisitou os posts antigos?
181160	187900	Tu notou alguma coisa que mudou, sei lá, do primeiro episódio pra agora, em relação aos ouvintes, alguma coisa?
188240	190680	Bem, agora tem mais comentário, né?
190800	192380	Antigamente tinha poucos comentários.
192980	195280	É porque é a bola de neve, né?
195280	199020	Tipo, se eu leio os comentários, as pessoas comentam e...
199020	205820	Tipo, o Psycrest tem mais que o dobro de downloads que o RPG Guaxa e quase não tem comentário nenhum.
206300	207840	Porque a gente lá...
207840	213520	Até lê comentário, mas é tipo um ou outro pontual e não é sempre, é de vez em quando.
213960	218100	Então, aqui, como a gente lê todos, o pessoal se empenha um pouco mais, eu acho.
218200	219700	Sim, e tem mais dúvidas também, né?
219700	221520	Porque antigamente também não tirava dúvida.
221800	222000	É.
222680	225380	Antigamente, o Escudo Mestre era mais completo, né?
225760	229260	Eu lembro que, assim, a minha ideia, quando eu lancei...
229260	229780	Eu era...
229780	231020	Pô, eu era muito doido.
231580	237820	Quando eu fui lançar o episódio do Corvo, na minha cabeça, assim, porra, eu não vou explicar nada.
237840	239020	Nada no Escudo do Mestre.
239620	242320	E as pessoas que criam suas teorias...
242320	247000	Porra, seria bacana se um dia as pessoas, sei lá, montassem um...
247000	249380	Um fórum pra discutir isso aqui.
250560	250960	É...
250960	251280	Sabe?
251420	252460	Deixar bem solto.
253020	256520	E daí as pessoas que ouviram o episódio antes de sair, uma das pessoas foi o Fencas.
257000	263740	E o Fencas falou, não, o ideal é tu pegar o Escudo do Mestre e explicar as coisas do episódio, que eu acho que fica mais legal.
263740	267740	Então, a versão que saiu no feed tem as explicações das minhas instruções.
267840	268640	As inspirações.
269100	271220	Do que eu queria com cada coisa e tal.
271660	275760	O Escudo do Mestre mais explicado surgiu por um comentário do Fencas.
276760	277200	Que...
277200	279220	E daí, quando ele falou assim, porra, realmente...
279220	285800	As pessoas não vão querer entender essa ideia maluca de universo interligados que eu tô criando aqui, né?
286060	287600	É melhor eu explicar logo as coisas.
288240	288680	E...
288680	290100	Fencas, você estava errado.
291480	293980	Mas, assim, eu acho legal ter explicado.
294320	295840	Talvez não tivesse tanto...
295840	297700	As pessoas não tivessem abraçado tanto.
297700	297820	Talvez não tivesse tanto...
297840	302880	Talvez não tivesse dado mais pistas do que eu realmente dei naquele momento, né?
303100	303520	Não sei.
303940	308420	Mas, então, é justamente porque você explica que a gente vai tentando juntar os pontos.
308560	310380	Se não explicasse, eu acho que a gente já tá pedindo.
311320	311760	É verdade.
312240	312820	É verdade.
313240	315460	Fábio, como é que as pessoas te acham na internet, antes de mais nada?
315480	317460	As pessoas me acham no grupo de apoiadores.
317780	318940	Na taberna do Gaxinim.
320240	322640	Não adianta me procurar em rede social, porque eu não posto nada.
322840	323880	Então, assim...
323880	327360	Eu existo lá só pra dar curtida nos posts do Instagram.
327360	328800	É. Tu é pegosa.
329240	330200	É. Ok.
331120	333500	Assim, fico muito feliz. Fico muito feliz.
333900	337820	Mas, então, a gente pegou um comentário de cada um dos 20 primeiros episódios.
337980	338280	É isso mesmo.
338780	340280	E eu vou ler lá do primeiro episódio.
340820	343200	A Bruxa, a Morte e as Quatro Gatas.
343580	344920	O comentário é da Acafeína.
345460	345960	Que coloca...
345960	347480	Rapaz...
347480	350080	Assim, se a Acafeína que eu estou pensando é...
350080	352840	É editora de podcast conhecida, né?
353280	354860	E ela comentou há seis anos atrás.
355460	356860	Rapaz, eu só fico imaginando o trabalho...
357360	359340	Para editar um episódio de RPG como esse.
359860	361780	Meu abraço e café quente para o editor.
362300	364120	Eu, pessoalmente, só peço a uma pessoa...
364120	365540	Para acompanhar as histórias de RPG.
366200	367440	Médio déficit de atenção.
367680	370240	Médio falta de lúdico na infância.
370380	370800	Risos.
371140	372220	Mas a história eu gostei.
372520	375260	O lance das gatas adaptando a nova forma foi bem criativo.
375680	376160	Piscadinha.
376500	378060	Destaque para a atuação das meninas.
378280	378880	Sim, foi muito bom.
379280	380700	Coragem e vida longa para vocês.
381120	382440	Nesse novo projeto.
383040	383520	Beijos.
383600	384040	E bora lá.
384620	385700	Eu ia dizer beijo, querida.
385780	387200	Não sei nem se seis anos depois...
387200	389100	Como ela mesmo diz.
389480	391820	RPG não é o lance dela, né?
392500	395120	Mas é uma pessoa que entende bastante de podcast.
395240	397280	Fico feliz com esse comentário.
397880	400580	Sabe quem editou esse episódio, Fábio?
401160	401680	Você.
402320	402620	Fui eu.
402940	404840	Os primeiros episódios fui eu.
405180	407280	Esse episódio fui eu que editei todo.
408120	408800	Então, poxa.
409100	409620	Obrigado.
410420	413020	Graças a Deus, hoje não edito mais.
413020	416020	Porque o projeto cresceu e você agora tem...
417200	418580	Pega certos trabalhos.
418840	420360	Graças aos padrinhos, né?
420420	421560	Eu pago o Zorzal.
421900	424260	Para estar editando os episódios ali.
424680	425280	Muito bem.
425640	428260	Então, o próximo comentário é do episódio 2.
428400	429100	O Corvo.
429340	429760	Maldito.
431320	433560	A bisneta dele está aqui no chat ainda.
433680	434640	Como é que você fala um negócio assim?
434780	435620	É verdade.
436000	436480	É verdade.
437220	439180	O comentário é do Igor Chaves.
439380	440020	Ele disse...
440020	441220	Parabéns pelo trabalho.
441500	443640	Foi o primeiro podcast seu que eu vi.
443640	445360	E achei a história sensacional.
445540	446580	Muito bom mesmo.
446580	451040	Vou dar uma de executivo de Hollywood e propor mais podcasts no mesmo mundo.
451300	455300	Eles serão anuais e vão variar entre a história do personagem principal e sua família
455300	457400	e histórias que expandem o universo.
457740	459200	Alô, Disney, me contrata.
459380	460580	Na verdade, contrato o Guacho.
460840	461340	Mas tudo bem.
461640	462040	É verdade.
462160	467580	Para a trilogia clássica, o Adam pode ficar mais velho e ser recrutado para parar o Elliot,
467800	469900	que, como vimos no final, continuou doente.
470160	473620	No outro ano, dá para ter uma prequel da história do Corvo,
473620	476360	que se mostrou um personagem muito enigmático e interessante.
476580	479240	A próxima ideia é apenas pagando milhares de Trumps.
479400	481020	Mas que, ainda bem, não é mais Trump.
481240	482700	Botou acertou, mas vamos lá.
482940	485500	Mas, falando sério agora, ganhou mais um seguidor.
485700	487960	Parabéns pelo excelente trabalho e criatividade.
488460	489280	Obrigado, Igor.
489480	490820	Espero que você ainda esteja ouvindo.
491060	495500	Cinco anos se passaram do seu comentário para essa leitura agora.
496660	497140	Obrigado.
497220	497780	Obrigado mesmo.
498460	499800	Muitos comentários, gente.
499880	503540	Na época, eles, inclusive, têm comentários meus embaixo.
503540	505180	Eu lia todos.
505500	506540	Dava o joinha.
506740	508140	Alguns até comentavam.
508580	512840	Porque não tinha ainda esse canal de comunicação que é o Guaxa Verso hoje.
513040	513360	Isso.
513460	517380	E, assim, já teve prequel do Corvo.
517520	518160	Já, já.
518300	521300	Se o Guaxa Verso existisse, já teve um prequel do Corvo.
521500	522680	E um depois também.
523000	524120	Mas, ué, não apareceu.
524260	525800	Só no fundo, né?
528660	529460	Digamos assim.
529700	533020	No episódio 3, A Herança, tem um comentário do Júlio,
533020	535880	que ele fala excelente episódio, assim como os outros.
535880	541580	E ele fala para eu fazer algum episódio inspirado em Viagem no Tempo, né?
541640	542480	Em Chrono Trigger.
542960	544080	E eu respondi a ele.
545000	549120	Anotado Viagem no Tempo em um episódio, só seria complicado.
549600	550800	Mas aceito o desafio.
551680	552920	E o Guaxa do Futuro diz.
553380	556860	Desafio foi mais que concluído mais de uma vez.
557140	557980	É isso aí.
558460	561840	Guaxa aí evoluindo e sempre trazendo ótimos episódios para a gente.
561920	562640	Muito bem, Guaxa.
562760	563180	Parabéns.
563320	563920	Obrigado.
564040	564360	Obrigado.
564360	565860	Mais um comentário para Valer.
565880	568900	O comentário do episódio 3 é o do Lucas Cardoso Ferreira, que coloca.
569380	569860	Demais!
570220	573460	Sério, o Guaxinha é muito criativo com as histórias.
573840	576880	Como ele molda a aventura para os personagens é simplesmente perfeito.
577360	579300	Todos os episódios são excelentes, porra.
579400	581400	Todos os episódios, todos os três, na época, né?
581680	584000	Mas muito obrigado, Lucas Cardoso Ferreira.
584300	584800	Muito bem.
584900	588640	O próximo comentário é do episódio 4, Pacto John Lennon.
588960	589940	E é um ver mais.
591320	594240	É o comentário da JP Verenca.
594240	595580	Ou JP Verenca.
595580	596160	Não sabemos.
596500	598900	Parabéns por mais episódio formidável.
599220	603420	Não apenas a você, Guaxa, mas a todos os envolvidos, tanto players quanto quem ajudou
603420	604140	na confecção.
604580	609360	Eu realmente achei que no final você iria plantar um plot twist carpado e esfiapado.
609620	611660	Como aí tem uma citação.
612040	617400	Como o pessoal percebeu que quem iria desarmar a bomba era o próprio, entre astas, vice-presidente
617400	622400	e tiraram fotos, numa situação futura essas fotos teriam chegado na internet e na mídia,
622400	625160	a ponto de causar um desconforto na população.
625160	629880	E talvez até um problema no tratado John Lennon, devido a falta de confiança das outras
629880	630880	nações do Zéua.
630880	634660	Mas, talvez fosse muita maldade, aí kkkkk.
634660	638720	Queria comentar também que acho muito boa essa conversa de final de programa onde você
638720	644020	expressa suas inspirações pro episódio, além de passar algumas curiosidades adicionais.
644020	648640	Passa a impressão de que você está aqui do nosso lado, batendo papo, deixa mais íntimo.
648640	650520	Ou seja, o escudo do mestre, né?
