start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
44780	49140	A gente achando que é lutar contra a ditadura, a gente tá lutando contra a monogamia.
51740	52860	Desculpa, Guaxa.
53860	58380	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast Realidade Paralelo Guaxinim.
58560	66680	E eu espero que todos vocês, antes de mais nada, tenham ajudado o pessoal, nossos amigos do Rio Grande do Sul.
67100	71820	Nas redes sociais eu tenho divulgado lá algumas coisas, especialmente o que o pessoal do Caquitas tem feito, né?
72880	75400	As duas são de Porto Alegre, né?
76060	82380	Embora de uma área mais alta, pelo que eu entendi, uma área que não foi, assim, diretamente atingida, né?
83880	88380	E o que o pessoal tá mandando pra mim, a gente tá divulgando, seja na taberna, lá nas redes sociais,
88560	95000	fiz a minha parte também, espero que todo mundo esteja fazendo a sua parte nesse momento tão difícil.
95460	97860	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
98180	100580	Aqui vamos ler os comentários e discutir as teorias do último episódio.
100920	101360	Alegria!
101620	108420	Que, no caso, foi, como um sabiá, RPG Guaxa 163.
109760	115340	E pra falar deste episódio, eu estou aqui com a nossa querida Doutora Deba!
115680	116560	Olá, Doutora!
116560	116920	Aê!
116920	117380	Doutora!
118560	121700	É só Doutora Deba, não atenda de outra forma.
122500	123700	Boa noite, Guaxa!
124060	131460	Mas pro Guaxa, que é o nosso mestre, e, querendo ou não, mestre é acima de doutor, pode chamar só de Deba, tá podendo.
131920	133660	Eu prefiro Guaxa, inclusive.
134220	136520	Ah, beleza, então não vai mais ser mestre Guaxa, Guaxa.
136920	137520	E aí, Guaxa?
138300	141960	Mas assim, doutora, a ponta dos meus dedos tá formigando, eu devo me preocupar?
141960	147960	Eu acho que... sim, pare de comer perto do teclado, que as formigas vão embora.
148560	153920	A coceira na mão, na verdade, a tua formação não é doutora médica, né?
154060	154360	Não.
154520	156960	Coceira na mão é dinheiro que tá vindo?
157400	164100	Coceira na mão direita é dinheiro que tá vindo, e na esquerda é dinheiro que tá indo embora.
164580	166280	Porra, é só tristeza nessa minha vida.
166820	167340	Vamos embora.
169420	170360	Poxa, Guaxa.
171740	172960	Tá difícil, doutora.
173160	173880	Tá bem difícil.
174240	174720	Difícil.
174720	174780	Difícil.
174780	184300	Pra mais consultas sobre suas finanças associadas a coceiras, mande uma mensagem lá pra mim, no Instagram ou no Twitter.
185400	188280	É uma boa, como é que as pessoas te acham no Instagram ou no Twitter?
188800	198680	Ixi, no Twitter eu tô como arroba outra eu normal, é o meu perfil secreto, onde os meus empregadores não vão me achar, então por favor não divulguem.
199940	201820	E no Instagram eu tô como...
201820	203380	Tu acabou de divulgar, tu sabe, né?
203380	204600	Ah, não, eu sei, Guaxa.
204780	207080	É, eles não falam português, então tá tudo bem.
207540	207840	Ah, ok.
208420	216000	É, e no Instagram eu tô deba.mazeto, é, ultimamente tem tido muitas fotos dos meus papitos.
216520	217640	Ah, pra gente poder te visitar, né?
217800	218200	Sim.
218780	219960	Ah, eles são tão bonitinhos.
220040	228200	Como é bonitinho, né, um casalzinho de senhores, um senhor e uma senhora de 60 anos tirando foto, né, é muito fofo.
228200	230720	É, meu pai foge de foto, né, mas sim.
232240	234200	Ele acha que rouba a alma, eu imagino.
234780	240300	É, é assim, talvez roube por alguns momentos, mas depois ela volta pro corpo.
240640	246360	Na de, na, quando era foto de papel roubava, agora que é de celular eu não sei como é que funciona.
246540	247300	Vai pra nuvem.
247740	252640	Vai pra, fica um tempo na, na internet e depois volta, tem que ler os cookies direitinho.
252840	254880	Você tem que fazer o download, depois é só a alma.
255820	256800	Tem que fazer o download.
259220	260860	Ok, ok, ok.
260860	260960	Ok.
261260	261540	Ok.
261540	261560	Ok.
261560	261580	Ok.
261580	261600	Ok.
261600	261620	Ok.
261620	261680	Ok.
261680	261740	Ok.
261740	261760	Ok.
261760	261780	Ok.
261780	261800	Ok.
261800	261840	Ok.
261840	261860	Ok.
261860	261880	Ok.
261880	262160	Ok.
262160	262180	Ok.
262180	262200	Ok.
262200	262220	Ok.
262220	262240	Ok.
262240	262260	Ok.
262260	262280	Ok.
262280	262340	Ok.
262340	262360	Ok.
262360	263280	Ok.
263280	263300	Ok.
263300	263380	Ok.
263380	264360	Ok.
264360	265320	Ok.
270320	270680	Ok.
270700	271400	Ok.
293280	293880	Ok.
293880	294140	Ok.
294140	294160	Ok.
294160	294220	Ok.
294360	297880	começando do zero, que seria um exagero,
298380	301340	mas assim, voltou, vai voltar pra anos,
301800	303380	uns dois, três anos atrás.
303980	305900	Então, quem ainda não migrou, migre.
306340	308520	Quem quer continuar ajudando,
309100	311480	quem quer começar a ajudar, vai pra lá.
311940	314500	Se por algum motivo você tem uma conta na Aurelo,
315020	316440	na Aurelo também tem o RPG Watch.
316500	318220	Eu prefiro concentrar tudo no Apoia-se,
318540	321340	embora concentrar tudo no lugar não seja realmente uma boa ideia,
321340	325140	mas o sistema do Apoia-se e o apoio que eles estão dando
325140	328500	tá sendo bem bacana, então eu prefiro arriscar.
328640	330460	Mas se você já tiver uma conta na Aurelo,
330520	332060	não quiser fazer uma conta no Apoia-se,
332480	333740	pode ser na Aurelo também.
333840	335180	A Aurelo demora um pouco mais pra pagar,
335400	338500	eles têm um sistema meio complicado de gastar tanto dinheiro,
338940	340420	mas como é pouquinho, não tem problema.
340900	342480	Ô gente, vamos lá, né?
342600	346880	Vamos migrar a conta do Padrim pro Apoia-se quanto antes.
347000	349740	Eu lembro que quando o Padrim anunciou que ia sair,
349740	351320	eu já mandei mensagem de mediador,
351340	352500	diretamente na taverna.
352880	355060	Gente, pra onde tá indo o RPG Watch agora?
355180	357420	Porque não pode ficar um mês sem pagar o RPG Watch.
357680	359340	O buraco é a resposta correta.
359760	361660	Pro buraco, não! Não!
361820	363780	Só se for um buraco com mais guaxinins
363780	367020	pra apoiar essa causa, esse projeto maravilhoso.
367420	369500	Tu é madrinha há quanto tempo? Tu lembra?
369960	371660	I vixe, não lembro não,
371820	375180	mas eu acho que desde dezembro de 2021.
375780	377640	Não, não lembro, mas bem específico.
377740	379100	Pá, dezembro de 2021.
379100	383460	É que eu não sei se o ano tá certo, mas o mês tá certo.
383780	386320	As pessoas perguntaram pra mim quantos anos o RPG Watch tá fazendo,
386420	387060	eu digo, eu não sei.
387560	390360	Eu tenho que ir no Google, digitar RPG Watch 001,
390860	393300	aí eu vejo a data do post, faço as contas,
393380	394660	e daí eu digo, ah, é tanto.
394960	397380	Qual que é o signo do RPG Watch, é guaxa?
397760	399380	É guaxinim, galáctico.
399860	402220	Obviamente, guaxinim com ascendente galáctico.
402600	402960	Obviamente.
403200	403560	Isso.
404340	407220	Nada em corvo antes que alguém venha fazer uma piada.
407220	408140	Nada, nada.
409100	411840	É questão de não ter nada.
412080	414680	Lancei o episódio um dia antes pra não ter nada em corvo,
414760	418240	pra ser uma criança puramente guaxinim galáctico.
419620	421120	Você também pode me seguir nas redes sociais,
421220	423200	é o Marcelo Guaxinim, é o Robert P. Guaxa,
423360	425180	tá no Twitter, no Instagram, no Blue Sky,
425680	427340	e tô tentando começar a usar o Blue Sky,
427760	429480	mas esse sim, eu tô começando do zero.
429840	431500	É muito triste tá abandonando uma rede social
431500	433540	que tem, sei lá, quase 13 mil pessoas,
433880	435800	pra começar uma com, sei lá, 100.
435800	437760	E, poxa.
438260	439060	Então, segue a gente.
439100	441940	Mas, se você for seguir numa rede social só,
442440	444000	o Instagram do RP Guaxa,
444120	444780	quem cuida é
444780	448100	Fábio, Dani, é a Ju, é o Felipe Xavier.
449660	451840	Então, assim, tem uma equipe muito melhor
451840	452860	do que eu cuidando lá,
453320	455540	trazendo muito material bacana, então segue
455540	458040	o Instagram do RP Guaxa.
458240	459800	O Instagram do RP Guaxa
459800	461240	é divertidíssimo, gente.
462200	463520	Esse último jogo
463520	466200	de caça-palavras eu não consegui encontrar.
466740	467580	Tive que ir nos comentários
467580	469080	dar uma roubadinha, porque...
469100	470920	Tava difícil?
471980	474180	Fiquei curiosa. O que vai ser esse próximo episódio?
474880	476060	É engraçado que uma das palavras
476060	478060	era ratinho, e muita
478060	479620	gente não pegou.
479620	480700	Por que o ratinho?
481700	483800	Tá esperando o ratinho até agora,
483940	485040	mas pode falar disso.
485080	485960	A gente fala disso.
487860	489920	O primeiro comentário é do Jorge Marques Santos Silva,
490020	490540	que coloca
490540	493460	vários episódios daqui, merece ser um filme.
494040	495620	Esse merece ser uma novela.
496180	497520	Uma novela épica.
498020	498700	Um bom dia, senhor.
499100	500660	Baixa a convidada de Guaxual.
501040	502380	Tudo bem, queridos? Comigo tudo bem.
502520	504500	Tudo certo.
505040	507320	E agora em diante, todos os tudo bem estão respondidos.
507540	507900	Isso.
508480	509000	Spoilers!
509900	511960	Esse episódio merecia mesmo ser uma novela.
511960	513860	Com mais episódios pra contar
513860	515040	mais dessa história.
515240	517660	Como ficou o novo vereador depois de tudo?
518140	519500	Psicologicamente, digo,
519940	522080	pois não deve ter sido fácil lidar com isso tudo.
522580	524140	Existe mais da história
524140	525140	do Boi que não sabemos?
526000	527760	Sim. Um passado que conte
527760	528880	como ele ficou tão forte?
529100	531140	Trabalho na roça, né, gente?
531220	532460	Trabalho na roça, gente forte.
532720	533660	Meu avô era forte.
534100	537020	Nossa, minha avó era muito forte. Ela picava lenha, cara.
537460	538760	Sabe como é difícil picar lenha?
539200	539880	Sim, poxa.
540420	543340	A única pessoa que consegue fazer isso
543340	544920	no cinema é o
544920	546400	Capitão América. Exato.
546900	548760	Não, é difícil, é difícil, sim, sim, tô ligado.
549160	551140	Meu avô também, meu avô tinha fogão a lenha.
551600	552040	Então, assim,
553080	554520	essa história tem
554520	556460	algumas pitadinhas, assim, de
556460	556500	de
556500	560220	alguns nomes que eu usei, que só
560220	562320	sei lá quem conheceu muito a minha família
562320	564440	vai pegar umas referências,
564560	566300	mas isso não, não estão
566300	567660	pro público. Pô,
567920	569440	casos de família, hein, cara?
571020	571500	Literalmente.
572500	574520	Ele continua. Embora seja um episódio
574520	575800	bem mais realista,
576260	578080	tem algo de incomum em toda a força de alguns personagens?
578560	580540	Sim, eles são exageradamente
580540	582660	fortes. Como eu comentei,
582660	584980	uma das minhas inspirações é um jogo de videogame,
585240	585360	né?
586500	588080	E, porra, no jogo
588080	591160	oito da série, fica o spoiler,
591780	592700	é...
592700	595040	eles socam um tubarão.
595420	596420	Um tubarão, assim,
596820	599080	gigante, sabe? Que a boca cabia, sei lá,
599140	600260	quatro pessoas lá dentro.
601060	603080	É... eles socam o tubarão.
603400	605160	Então, há um certo
605160	607220	exagero, né, que nos primeiros jogos da série
607220	609160	não tem, que vai aumentando.
610140	610580	Ah...
610580	612120	Mas nos primeiros jogos mesmo,
612900	614540	no segundo jogo, o Kiril
614540	616480	enfrenta, sei lá, tigre no soco,
616500	618720	é... jogando vai fazer sentido,
618840	619760	eu juro pra vocês.
620080	621580	Até o tubarão vai fazer sentido.
622080	624720	Tem certeza que é um jogo
624720	626300	em não-velozes e furiosos?
626680	628400	Em que as coisas vão ficando um pouquinho mais
628400	630700	exageradas? É, assim, cada jogo
630700	632600	vai... é porque o
632600	633600	sete, o oito,
634180	636200	o protagonista,
636340	637800	ele é um sonhador.
638200	640460	Ele é um cara que se imagina num jogo...
