start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33940	36560	Mas supondo que ele exista...
37900	41520	Guaxaverso, onde o que não existe é debatido.
45180	48640	Pessoal do chat, eu vou parar de atenção vocês um pouquinho, porque...
48640	49620	Que eu sou uma peça, pessoal.
49840	51760	Não, porque a gente vai ler os comentários agora e vai gravar.
51860	53140	E depois pra editar eu abasto.
53240	55320	Nossa, ainda bem que você... Agora que eu entendi o que você falou.
55740	57760	Mais antigos, mas aí vai ser o último ou o primeiro?
57760	57960	O primeiro.
58200	58540	O primeiro.
58560	59860	O primeiro é o do Jorge Marcos Santos Silva.
60620	61560	Sempre, certo.
74780	79420	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Parada do Guaxinim.
79620	82860	E sou uma guerreira com roupa de marinheira, luto pelo amor e pela justiça.
82960	85420	Sou Célio Armand e punirei você em nome da lua.
85800	88000	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
88000	90720	Aqui vamos ler os comentários e discutir teorias do último episódio.
90980	96280	Que, no caso, foi o episódio 112, Mistério em Jumozinha do Norte.
96560	104420	A leitura que você vai ouvir foi gravada na última quarta-feira, junto com o Ricardo Nespoli, que participou do episódio.
104640	108060	Ele vai falar um pouquinho, responder aquelas perguntas básicas daqui a pouco.
108260	110840	Quero lembrar vocês que é muito importante que você nos siga nas redes sociais.
111200	112860	Arroba Marcelo Guaxinim, arroba RPG Guaxa.
112980	117100	Tanto no Twitter quanto no Instagram, pra saber de novidades, pra rir de nossas postagens.
117100	117860	E saber quando a gente vai sair.
117860	123140	Quando a gente tem essas lives na twitch.tv barra RPG Guaxa.
123480	129620	Tô pensando bastante em voltar a mestrar pela Twitch, de vez em quando, não toda aventura, né?
129820	132140	Ou talvez criar um conteúdo exclusivo pra cá.
132380	137240	Talvez mestrar uma campanha num sistema diferente, ou coisa parecida.
137600	138740	Mas eu ainda tô pensando.
139040	143280	O fato é que a Twitch não vale a pena pra mim, no momento.
143540	146280	É muito trabalho e praticamente nenhum retorno.
146440	147840	Mas uma coisa que está valendo a pena.
147960	152100	Que está ajudando esse projeto a crescer cada vez mais, é ser padrinho.
152300	155600	Apoiar lá pelo PicPay, ou pelo Padrim, procura por RPG Guaxa.
155800	157240	A partir de R$1,00 você ajuda muito.
157440	159740	A partir de R$10,00 você faz parte do grupo do Telegram.
159940	164360	Onde tem vários subgrupos, onde eu discuto aventura antes dela sair.
164560	167360	Onde eu converso sobre muitos e muitos assuntos.
167560	172160	Então se você quiser fazer parte deste grupo, seja nosso padrinho.
172360	173440	E eu peço a vocês o seguinte.
173640	176160	Às vezes leva até uma semana pra você receber o e-mail.
176360	177160	Você se inscreveu?
177160	178160	Eu recebo o e-mail.
178360	182960	Aí eu te mando o e-mail de volta com o link lá pro grupo do Telegram e tal.
183160	184160	Então às vezes demora.
184360	185760	O Padrim demora também.
185960	189360	Porque às vezes o Padrim demora um pouco a contar lá o pagamento.
189560	190360	Sei lá como é que funciona.
190560	193960	Mas leva um tempinho até eu responder vocês.
194160	195360	De pelo menos uma semana.
195560	197560	Eu sei que tem muita gente ansioso, né?
197760	199760	Aquela assina na hora, já quer entrar no grupo.
199960	201360	Mas tenha um pouco de paciência.
201560	206080	E antes que eu me esqueça, abriu o Catarse do Solaria RPG.
206280	207080	O que é o Solaria RPG?
207280	210760	Ele é um RPG com a temática solar punk.
210960	214960	Sobre um futuro melhor através da coletividade.
215160	217960	Ele tem alguns modos de tu jogar.
218160	221760	Quando eu conheci o sistema, a gente jogou no modo fazendinha.
221960	223560	Eu fui um pescador, por sinal.
223760	226560	Essa aventura, se não está no YouTube, estará em breve.
226760	228160	Eu comento mais da próxima vez.
228360	231360	Mas quem quiser apoiar um RPG nacional, dá uma conferida lá.
231560	232960	Se eu lembrei, tá o link no post.
233160	236960	Se não, procura Solaria Catarse e vocês vão encontrar.
237160	239560	É um livro bem bonitinho, bem good vibes.
239760	242560	Para quem estava reclamando que o RPG Guasta estava dark.
242760	247360	Está aí um RPG good vibes para você aproveitar.
247560	250040	Agora sim, vamos ouvir o que a gente gravou lá na Twitch.
250240	253160	Então, estamos aqui hoje com o Ricardo Nespoli.
253360	256960	No final, a gente vai fazer aquelas perguntas básicas para ele,
257160	258360	para conhecê-lo um pouco melhor.
258560	260080	Mas obrigado por aceitar o convite, Ricardo.
260280	262600	Nada, eu que fico muito feliz de estar aqui, na verdade.
262800	263480	Que bom, que bom.
263680	266080	Vamos ler os comentários, então, e eu começo.
266080	268680	Não sei se foi uma boa escolha, hoje eu não olhei aqui.
268880	270880	Porra, eu já vi que o segundo é teu, então está certo.
271080	272680	Vamos lá.
272880	275480	Primeiro comentário é do Jorge Marcos Santos Silva.
275680	277880	Como quase sempre, ele aqui é o primeiro, né?
278080	279680	Um bom dia, Guasta.
279880	281680	Convidade, que é o Ricardo.
281880	283080	Oi, bom dia.
283280	284680	Bom dia, na verdade, está escrito.
284880	287080	É, foi uma explosão de bom dia.
287280	290480	Ouvinte Nins, que é você que está ouvindo isso editado em casa.
290680	294280	E chat, chat é o pessoal que está ouvindo ao vivo na Twitch.
294480	295680	Tudo bem com vocês? Comigo tudo bem.
295680	296680	Tudo bem contigo, Ricardo?
296880	298280	Ah, graças a Deus, tudo ótimo.
298480	300680	Não vou perguntar para o chat, porque tem um delay, porque a internet é uma bosta.
300880	306080	Antes de mais nada, só que é verdade, a recepção da taberna é incrível.
306280	308480	Agora que sou padrinho do RP Guasta.
308680	311680	Aliás, descobri que sou uma celebridade lá.
311880	313080	Kkkkk.
313280	314480	Imagina só.
314680	317880	Grato a todos pelo acolhimento e ao Guasta por iniciar tudo isso.
318080	319680	E sejam padrinhos, galera.
319880	322480	Vale muito mais do que é cobrado.
322680	324280	Mas não vou falar muito por aqui,
324280	326680	porque aí o Guasta aumenta o preço.
326880	327680	Eu já pensei nisso.
327880	330080	Assim, mas é porque está muito grande.
330280	332680	Eu fico com medo de uma hora, porque ela é tão gostosa,
332880	335080	que eu tenho medo de uma hora chegar naquele limite.
335280	341280	E sabe aquela chance de 0.001% de um babaca estragar tudo?
341480	342880	E eu tenho medo desse dia.
343080	346480	Cara, mas eu acho que as pessoas vão proteger,
346680	348680	vai ter uma autoproteção e o babaca vai sair.
348880	350680	Enfim, acho que vai dar tudo certo.
350880	353080	Eu espero que sim, mas muito obrigado.
353080	356080	Claro, o Jorge Marcos Santos Silva, por ser sempre,
356280	357880	ou quase sempre, o primeiro aqui.
358080	361680	Ele é sentido falta quando ele não é o primeiro.
361880	364880	Sempre tem debate sobre, e daí é óbvio que tu ia chegar lá.
365080	368480	Já conhecido por todos, assim como algumas figuras
368680	371080	conhecidas nas nossas leituras de comentários.
371280	375080	Eu tenho certeza que se aparecer lá, o pessoal vai tietar.
375280	378880	Mas não importa se você é um famoso do mundo dos comentários ou não.
379080	381080	Todos são muito bem recebidos.
381280	382880	Então, agradeço esse
382880	384880	merchan que o Jorge deixou aqui.
385080	389480	E se você quiser fazer parte desse grupo, faça como o Jorge, faça como o Ricardo.
389680	391280	Faça como a Jumosinha.
391480	393680	A gente sempre tem que citar um famoso, né?
393880	395680	Faça como a Jumosinha.
395880	397680	Seja padrinho do FGOD.
397880	398880	Continuando.
399080	402880	Pra ser sincero, eu consegui prestar dois terços da minha atenção nesse episódio.
403080	404080	Pelo sono.
404280	408680	Foi uma semana difícil, porque eu causei um mal muito grande a uma pessoa que eu amo muito.
408880	409680	Não foi intenção.
409880	411280	Cara, ele tá abrindo o coração.
411480	412680	Não foi intencional.
412880	414080	Mas não muda o ocorrido.
414280	425680	E a dor que causei venho passando algumas noites em claro pra entender melhor tudo e saber como posso reparar o que fiz e poder ser alguém melhor pra ela.
425880	428680	Porque ela merece algo muito melhor do que eu fui.
428880	431080	Desculpa o desabafo no meio do post, mas vamos lá.
431280	432480	Isso foi um indireto.
432680	436680	Provavelmente a pessoa vai ouvir e... sei lá.
436880	437880	Boa sorte a vocês.
438080	440880	Porra, não sei o que aconteceu, né?
441080	442680	Não vou me meter, né Ricardo?
442880	443680	É verdade.
443880	447680	Mas assim, o Jorge Marcos Santos Silva é uma pessoa famosa.
447880	448680	Spoilers.
448880	451680	Pra onde eles iam quando entravam na casa?
451880	456680	Quer dizer, a mente deles ia pra algum lugar enquanto o corpo ficava lá possuído?
456880	468680	Ou a partir do pedido era aberto um canal onde uma cópia da pessoa era feita ou ela era realmente possuída?
468880	472680	O lugar para onde iam era alguma espécie de outra dimensão?
472680	477480	A entidade era realmente um demônio, um gênio, ou quem sabe até um antigo?
477680	478880	E o que sucedeu com as crianças?
479080	480480	Vamos lá.
480680	484480	O que aconteceu naquele episódio, eu devia ter falado isso até no...
484680	487480	Não, é bom deixar aberto pro pessoal também deixar perguntas, mas...
487680	490480	Aquelas três adolescentes, não são mais crianças, né?
490680	492480	Quando faz merda é criança.
492680	500480	Eles tinham uma página, que seja, de um livro similar àquele de um outro episódio no interior do Brasil,
500480	502280	do pessoal que invocava umas criaturas.
502480	506280	A versão deles invocava um gênio, entre muitas aspas.
506480	512280	A partir do momento que esse gênio surgia, ele ia realizar três desejos, da pior forma possível,
512480	515280	e então o acordo fechava e ele ia embora.
515480	525280	Ele surgiu, realizou da pior forma possível dois desejos, o da menina de morar dentro da casa,
525480	530280	da maior casa da região, e ela passou a morar dentro da parede da casa da maior região,
530280	538080	e a outra menina que pediu uma experiência gastronômica, e ela ganhou um paladar muito peculiar, né?
538280	541080	Ela meio que enlouqueceu e tomou um gosto estranho ali.
541280	547080	E o rapaz que acabou... o grupo acabou não encontrando, até onde eu lembro,
547280	554080	ele não conseguiu fazer o desejo dele, porque ele foi atacado pela namorada, né?
554280	556080	Antes de tudo acontecer.
556280	560080	Então, a casa ainda estava aberta para aquela criatura,
560280	563080	porque o ciclo dos três desejos não tinha sido fechado.
563280	568080	Quando os jogadores entram na cena, eles não fizeram parte do ritual original,
568280	571080	então começou um novo ciclo de três desejos.
571280	575080	E só quando o terceiro desejo foi feito, tudo se encerrou.
575280	580080	Eu tenho mais coisas para falar sobre aquilo ali, mas isso é uma base para a gente ter ideia.
580280	583080	Para onde eles foram quando entraram na casa?
583280	588080	Eles estavam na casa, mas a realidade lá dentro estava alterada,
588280	590080	tipo a...
590280	595080	A carrocinha do Dr. Who, não sei se é maior por dentro do que por fora, né?
595280	602080	É tipo uma semi-dimensão ali que foi alterada, porque o poder do gênio é gigantesco,
602280	605080	mas é limitado a alguma pessoa fazer um desejo, né?
605280	609080	Ele pode fazer qualquer coisa, mas não o que ele queira, o que outras pessoas querem.
609280	614080	Então ele conseguiu criar aquela casa, já que o desejo da menina era a maior casa da região.
614280	616080	Se eu já respondi...
616280	619080	A entidade era um demônio, um gênio, pode chamar como quiser.
619080	622880	Os gênios originais, os Djinns lá.
623080	628880	Está sendo até explorado de uma maneira diferente nesse seriado novo da Marvel, da Miss Marvel.
629080	631880	É uma lenda antiga, de antes do Aladdin.
632080	635880	E para muitas pessoas eles eram chamados de demônios também, né?
636080	636880	Mas são gênios.
637080	638880	Por hoje é isso, gente.
639080	640880	Gratidão novamente a todos pelo carinho.
641080	642880	Força e luz para todos nós.
643080	643880	E até mais, querido.
644080	644880	Vai lá, Ricardo.
645080	647880	Antes do Ricardo ler o próximo, eu queria comentar que é um absurdo.
647880	650680	O jogador que só comenta no episódio...
650880	651680	Tem explicações.
651880	653680	E que ele participa.
653880	655680	Dito isso, vai lá, querido.
655880	658680	Olá, mestre guache, guache-omunidade.
658880	662680	Não sei se aqui está incluso o Corvo, mas um olá respeitoso para ele também.
662880	665680	Antes de mais nada, já comentei antes.
665880	667680	Então não sou um jogador que só comenta o que participou.
667880	668680	Isso é o que tu diz.
668880	670680	Não comentei tanto assim, mas...
670880	674680	Sobre o episódio, estou aqui mais para agradecer a possibilidade de participar dele.
674880	677680	A Eni narrava que o poder da voz é um personagem.
677680	682080	Até mesmo como NPC desse projeto maravilhoso que me faz companhia por tanto tempo.
682280	685480	Como minha mãe nasceu no Mato Grosso do Sul, na época nem tinha um sul,
685680	688480	eu peguei diversas referências para poder ir soltando ao longo do episódio,
688680	695080	mas um nervoso esqueci de usar absolutamente todas elas, exceto o sobrenome da minha avó.
695280	698080	Então fica a homenagem à minha avó, que é Aide Ferreira de Azevedo.
698280	699480	Por isso eu usei esse sobrenome.
699680	702480	Na taberna, estão falando de um episódio baseado em Mágico de Oz
702680	704880	com espantalho amaldiçoado e estou à disposição.
705080	706480	Chama eu, hashtag.
706480	709280	No mais, um grande prazer mesmo ter estado nesse episódio.
709480	712280	Um obrigado especial ao Filipe, a Belo e vida longa ao RPGuache.
712480	717280	Obrigado, querido. Eu que agradeço por ter abrilhantado o episódio e...
717480	720280	Não teve... Assim, sobre o Mágico de Oz, eu acho...
720480	726280	É complicado. Assim, temos o espantalho, mas talvez o destino dele seja outro.
726480	729280	Eu comento mais ao final.
729480	731280	Hum, vamos saber então.
731480	734280	Próximo comentário é do Alan Filipe, ele coloca...
734480	736080	Ele coloca...
736480	738480	Guaxonvidade, que é o Ricardo.
738680	739680	Olá, Alan.
739880	744480	Guaxate, que é o pessoal que está ao vivo aqui na twitch.tv bar rpguache.
744680	747080	Guaxouvinte, que é você que está ouvindo este editado.
747280	752880	Guaxomonidade é todos vocês, incluindo quem baixa só o episódio regular e não baixa o guaxaverso.
753080	756680	Sabia que metade dos ouvintes não escuta guaxaverso?
756880	757880	Nós temos...
758080	762880	O episódio regular tem o dobro de downloads que um episódio normal.
763080	764080	Caramba.
764280	766280	Às vezes pode ser também...
766280	774080	Alguma pessoa escuta pelo spotify sem baixar, e sei lá, o episódio ela escuta mais de uma vez, e o guaxaverso escuta uma vez só?
774280	778080	Talvez, talvez, mas metade é pouco, né gente?
778280	782080	Mas tudo bem, eles não sabem o que estão perdendo.
782280	785080	E tudo mais, tudo bem com vocês? Tudo bem com a gente.
785280	786080	Eu estou a...
786280	789080	Eu já estou a um tempo sem conseguir deixar minha mensagem.
789280	795080	Inclusive, tinha umas perguntas da trilogia da vela, mas não consegui remandar.
795080	797080	Mas precisei vir comentar.
797280	801480	Ouvi o episódio assim que ele foi lançado na taberna, porque o Ala é padrinho e padrinho é sabiante.
801680	806080	No final, passava da meia noite quando já estava toda a tensão e loucura do episódio.
806280	810480	E um galo, filho da mãe, aqui em casa, começou a fazer muito barulho.
810680	815480	Eu levei um susto gigantesco, porque estava totalmente imerso na história.
815680	819280	Parabéns pela história, parabéns aos jogadores e parabéns ao editor.
819480	821080	Foi um episódio arrepiante.
821280	823880	Ah, para responder a pergunta, eu escuto pelo spotify.
823880	826080	E talvez eu já tenha contado aqui.
826280	829680	Mas eu encontrei o RP Watch procurando pelo podcast do Critical Role.
829880	831680	Lá no começo de 2019.
831880	835480	Nunca deixei de ouvir e acabei ficando bem atrasado no Critical Role.
835680	837480	Ha, ha, ha, ha. Um forte abraço.
837680	839080	Um forte abraço, querido. Muito obrigado.
839280	845480	Tem muita gente que escuta, ou vê, porque o Critical Role também é o canal do YouTube.
845680	847680	Que é muito funk.
847880	849680	São maravilhosos, são percussores.
849880	851080	Piu, piu, piu, piu, piu, piu.
851280	851880	Mas assim...
852080	853680	Tipo, o pessoal do Jogabilidade.
853680	855480	Porque eu sou muito fã do podcast deles.
