start	end	text
0	10120	Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	19620	Não, o Guaxaverso sabe!
19620	20960	Espera! O que é o Guaxaverso?
20980	22980	Era só uma questão de tempo!
23080	24220	Todo mundo conheceu!
24220	24540	O Guaxaverso sempre existiu!
24540	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso!
32100	33720	Eu acredito no Guaxaverso!
33780	36560	Mas, supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido!
45480	46000	Gravando!
46420	46940	Gravando!
47340	49800	É isso! Queremos mais um mozinho!
50220	53060	Assim, acho que tá bom já! Acho que agora ela pode ir pra geladeira!
53240	54880	Quem quer morrer de overdose aqui?
55200	55460	Que?
55700	57600	Não queremos que ninguém morra de overdose!
57600	57860	Não queremos!
57860	58360	Mas...
58360	59960	De... de... Jumozinha?
60180	61760	Sei lá, né? Perigoso!
62280	65980	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o lado do Guaxinim.
66140	70280	E, se esse arquivo é editado e não tiver meia hora, é porque eu falhei.
70760	72700	Pra quem não sabe, o Guaxaverso é o antigo escudo do mestre.
73080	75220	Aqui vamos ler os comentários discutidos nas teorias do último episódio.
75700	78520	Que, no caso, foi com a RPG Guaxa 134.
79040	83460	Os Cavaleiros do Bicho, a nova geração, resgate em São Paulo.
83460	87220	E eu estou aqui, a Jumozinha, a Juvidada da vez.
87220	88980	É a Jumozinha.
89340	89680	Oi, Ju.
89900	92260	Oi, gente. Tudo bom? Tudo certinho?
93140	94120	É sempre bom estar aqui.
94380	96860	Desculpa estar aqui de novo.
97920	101000	Ah, sim. O Tiki já tinha vindo, o Jean já tinha vindo.
101520	103880	Me achei no direito de chamar a Ju e chamei a Ju.
104340	105520	Meu programa e minhas regras.
105740	106960	É tipo o Silvio Santos.
108360	109800	Isso. Foi as filhas.
111360	111920	É isso.
113740	116220	A Ju é a minha Juliana Abravanel.
116220	116820	Juliana Abravanel.
117220	119220	Eu não estou aqui para estragar o bonde e companhia.
119340	120340	Não.
120420	124420	Assim, vamos lá. Não estamos aqui para perder contrato com SBT.
124820	128520	Estamos aqui para lembrar vocês que estamos no mês de aniversário
128720	130420	e ainda assim gravando um Guaxa Verso.
130620	132820	Vai ficar mais curto. Explico como daqui a pouco.
133020	134520	Como eu vou tentar daqui a pouco.
134720	137520	Mas se você quer apoiar esse projeto, a partir de um real você está ajudando.
137720	139720	A partir de dez reais você faz parte do nosso grupo do Telegram.
139920	142720	Enquanto ele existir, se o Telegram deixar de existir
142920	145020	porque o pessoal que é dono é um bandido...
145220	146940	Não vou falar uma palavra, mas você sabe o que eu ia dizer.
147220	148220	Não se preocupe.
148420	150420	A gente vai mandar pelo e-mail que você tem lá cadastrado
150620	154220	ou pelo Discord ou parece que no WhatsApp cabem mil pessoas agora.
154420	156420	Ou sei lá, a gente vai dar um jeito.
156620	160820	Mas você vai continuar recebendo episódio antes, discutindo os episódios.
161020	164020	Essa aventura que eu falei que antes de começar a gravar
164220	166220	eu comentei que o pessoal está conversando com o pessoal aqui
166420	168020	que eu vou gravar uma aventura essa semana.
168220	173420	Lá para início de junho, a sinopse, eu mandei para os padrinhos.
173620	177020	Os padrinhos já sabem a mesma coisa que os jogadores sabem.
177220	178620	O tema da aventura.
178820	183020	Embora eu vá surpreender, espero, os jogadores e os ouvintes depois.
183220	184620	Mas a base está lá.
184820	188220	Eles já estão pensando o que será que vem, que personagens será que surgem.
188420	190420	Já sabem quem são os jogadores.
190620	195620	Amanhã, a gente está gravando isso no dia primeiro, no dia do trabalhador.
195820	197220	Amanhã é dia dois.
197420	202420	Em algum momento eu vou separar falas do episódio do final desse mês.
202620	203820	Algumas falas.
204020	206220	Quando são falas maiores ou personagens muito importantes?
206220	210220	Eu procuro um padrinho específico, mas sempre tento chamar um padrinho.
210420	215420	Ou então eu mando lá no grupo do Telegram principal e falo o seguinte.
215620	218420	Olha, preciso de um padre.
218620	220820	Preciso de um sorveteiro.
221020	225020	Preciso de, sei lá, dá um exemplo Ju.
225220	229620	Preciso de uma pessoa doente.
229820	234820	Preciso de um, sei lá, um velhinho.
235020	236020	Um coelho açougueiro.
236220	237220	É isso.
237420	239420	Preciso de um pombo.
239620	242620	Eu vou precisar de um pombo ainda este mês.
242820	249220	Eu vou precisar de um pombo ainda este mês, mas falamos disso em outro momento.
249420	250620	Outra forma de apoiar.
250820	251620	Dinheiro é bom, gente.
251820	252820	Ajuda lá.
253020	255020	Procura no PicPay ou no Padrim, RP Guaxa.
255220	259020	Ou, claro, quero só dar um presente de aniversário para o RP Guaxa.
259220	262420	Nosso Pix é o rpguaxa.gmail.com.
262620	266020	E outra forma de ajudar é ir nas nossas redes sociais e seguir.
266220	269020	Arroba Marcelo Guaxinim, arroba RP Guaxa.
269220	271020	Tanto no Twitter quanto no Instagram.
271220	272220	Quer seguir um só?
272420	276220	Segue o Instagram do RP Guaxa, porque existe um grupo de pessoas maravilhosas
276420	278020	que tá sempre lá postando coisa.
278220	282420	Inclusive, eu quero agradecer a uma outra Juliana, a Tchau Ju.
282620	283620	Como é que é o nome dela todo?
283820	284820	Cadê aqui? Eu tenho anotado.
285020	288620	Júlia, o nome dela, deixa eu ver.
288820	290220	Não é Juliana, é Júlia.
290420	293420	Talvez, será que a Ju usa o nome fake?
293620	294820	Ó, Júlia.
294820	300620	Ju Almeida, da agência Volp Design, arroba Tchau Ju no Instagram.
300820	302620	Por que Tchau Ju?
302820	306620	Porque, não sei, quando eu vi o nome eu pensei assim, meu Deus, o que que eu fiz?
306820	309020	Mas daí eu entendi que não tem nada a ver comigo.
309220	312020	Ela é Tchau Ju lá no Instagram, sigam lá.
312220	315020	Ela fez a parte da identidade visual do RP Guaxa.
315220	318020	Ficou, cara, incrível, incrível mesmo.
318220	320620	Então, conheçam lá o trabalho da Tchau Ju.
320820	324420	E entrem no nosso Instagram pra ver que bonito que ele ficou.
324420	325420	Ficou bem legal.
325620	327420	Tchau é oi em italiano.
327620	328420	Não é isso, não.
328620	331420	Não é com TCH lá, não, não, não.
331620	332420	Mas ok.
332620	333620	Mas é uma boa desculpa, hein?
333820	336420	É uma porra, é uma boa desculpa, é uma boa desculpa.
336620	339620	Falando em boas desculpas, o que eu vou tentar fazer pro episódio de hoje.
339820	342620	O episódio teve menos comentários que o normal.
342820	346020	Imagino que é porque eu disse que ia ler menos comentários esse mês.
346220	349020	Ou não sei, o Telegram ficou fora do ar, né?
349220	351420	Pode ser que isso tenha afetado as pessoas também.
351620	354220	Mas, assim, algumas regrinhas que eu vou tentar colocar.
354420	356020	Espero que vocês não fiquem chateados.
356220	357820	Começamos a Twitch.
358020	360420	Não lemos mais comentários que chegarem depois.
360620	362020	Comentários agregados.
362220	364820	A gente vai citar por cima, mas não vai ler tudo.
365020	368620	E, sei lá, se a gente ver que o episódio está muito grande,
368820	371820	os últimos episódios ele dá aquela corridinha básica.
372020	373020	Pode ser, Ju?
373220	374020	Pode ser.
374220	376420	Estou preparada, vou tentar seguir as regras.
376620	379820	Mas, já tem um comentário novo, peço desculpa.
380020	383020	Mas a regra continua, o primeiro a ler sou eu.
383220	384220	E eu vou ler.
384420	387020	É um comentário do Jorge Marcos Santos Silva, que coloca...
387220	391620	Olha só, dessa vez eu esqueci de ouvir antes, usando meus benefícios de padrinho.
391820	393220	Por isso cheguei tarde.
393420	395220	Não, tu foi o primeiro a comentar, olha só.
395420	397220	Às vezes ele quer ser o primeiro e não é.
397420	399020	E, às vezes, ele chega tarde e ele é o primeiro.
399220	401420	A força e a luz tem o seu tempo...
