start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37900	41520	Guaxaverso, onde o que não existe é debatido.
50920	58180	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade para a uso do Guaxinim e eu sobrevivi a 2021.
58180	58540	Para que?
58560	60720	Para quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
60820	67660	Aqui vamos ler os comentários e discutir teorias do último episódio, que no caso foi A Fazenda do Seu Natalino, nosso especial de Natal.
67860	72040	Antes de ouvir o que a gente gravou lá na Twitch, quero avisar para vocês, seguem as minhas redes sociais,
72240	74900	arroba Marcelo Guaxinim, arroba RP Guaxa, tanto no Twitter quanto no Instagram.
75200	84140	E pense, pense com muito carinho em ser apoiador do RP Guaxa para continuar tendo episódios com essa qualidade no seu feed,
84140	88540	para fazer parte do nosso grupo do Telegram, ter uma série de vantagens e principalmente ajudar.
88560	90860	Este podcast a continuar existindo.
90980	94240	Mas agora sim, vamos ouvir o que foi gravado na Twitch.
95200	100940	E vamos lá, vamos ler os comentários do último episódio, que foi A Fazenda do Seu Natalino e RP Guaxa 97.
101160	107020	Primeiro comentário de 2022 é o do Orion Bezerra, ele colocou.
107020	118020	Ah, oi Guaxa, vou tentar ser breve. Primeiramente, acho que devíamos montar uma banda com o Jonas Pessoa, já que você é Marcelo Guaxinim e eu sou o Orion Bezerra.
118940	123440	Segundo, queria agradecer muito por todas as aventuras que você fez e agradecer todos os jogadores também.
123640	129020	Como você diz, eles são metade da aventura, então eles devem ser uma parte grande do podcast também.
129180	130840	Isso é verdade, os jogadores são 50% do episódio.
131040	136000	Eu estou alguns episódios atrasado, sempre ouvia fazendo caminhadas ou indo para o serviço.
136340	139620	Mas como esses dois anos foram bem difíceis, deu uma enrolada boa.
140040	143800	Falando nisso, feliz aniversário. Acabei de ouvir que era seu aniversário.
143900	145860	Foi em abril, gente, 26 de abril.
145860	151020	Foi uma fase difícil, mas tanto você quanto esse grupo incrível me ajudam muito nos dias difíceis.
151080	153660	Muito obrigado, muito obrigado, querido. Fico muito feliz em ter ajudado você.
153800	158660	Já teve uma vez que eu estava andando de bicicleta indo para o serviço e quase bati num caminhão.
158800	161200	Estava estacionado, porque não parava de rir.
161400	165380	Eu rio um pouquinho de você quase batendo no caminhão estacionado, porque isso não gera perigo, né, gente?
165500	169560	Ao contrário de você estacionado com a bicicleta e o caminhão vindo em você.
169560	174180	Número 3, queria mandar só uma curta mensagem para o meu eu do futuro.
174180	178680	E para confiar no plano que vai dar tudo certo e vai valer a pena no final.
178780	181680	Vai dar tudo certo e vai valer a pena no final. Você deve estar ouvindo isso em julho.
182040	184260	Então, feliz festa junina, talvez.
184640	187280	Ele só comentou, ele não viu nenhum episódio. Nossa, que legal.
187500	191780	Letra D, ele começou, ele tirou o meu texto de algum lugar e agora tirou a letra D.
191980	194540	Acho que vou me dar caneca de Natal. Era só isso mesmo.
194700	198120	Feliz Natal, Guaxa. Feliz Natal a todo mundo. Em realidade, para lá de Guaxinim.
198300	202180	Feliz Natal para você, pessoal do chat. E feliz ano novo, né, agora que a gente está em 2022.
202180	206700	É, letra 5, eu não ouvi esse episódio ainda. Ele tem a ver com o corvo.
207220	210640	Ele põe um adendo ainda, depois desse absurdo, ele ainda põe um adendo.
210940	213920	Esqueci de falar mais uma coisa. Já disse isso antes e digo de novo.
214200	216920	Você é minha voz preferida de toda a podosfera.
217240	221000	Obrigado, eu fico muito feliz. Eu não sei nem como responder. E obrigado pelo seu comentário.
221160	224820	Próximo comentário é do Ricardo Bordenowski. Fala, Guaxa. Tudo bom? Tudo bom, querido.
225060	227800	Olá, galera do chat. Vocês são a galera do chat.
227800	231480	E possível convidade. Convidei Shelly, mas ela está de férias.
232180	233420	O Danilo, mas ele está trabalhando.
233740	237680	Obrigado por esse ano de histórias incríveis que alegram esses anos.
237940	242320	Não foi fácil. Suas aventuras são aquela centelha de esperança em meio à escuridão
242320	243900	que dão forças para continuar.
244120	248340	Que 2022 venha cheio de alegrias e boas notícias em sua vida, meu caro Guaxinim.
248460	253300	Que bom. Também eu fico feliz. Eu espero que 2022 seja um ano tão bom quanto...
253300	256200	O ano passado, tirando tudo de ruim, ele foi bom.
256200	261200	Tipo, aquele patrocínio da Fanta no final do ano me deu uma moral que, pô...
261200	263820	Eu espero que se repita alguma coisa do tipo esse ano.
264060	267380	Sobre spoilers. A criança já pode se confirmar que trata-se da Nick, certo?
268020	268420	Certo.
269020	273380	Talvez a aparição dela na floresta tenha acontecido após a fuga do último especial de Natal.
273620	277320	Aquele lupino foi criação dela. Sim, dos medos dela, né?
277500	281900	Não vou me alongar mais na pergunta e apenas desejar que a força esteja com você.
282000	282620	Obrigado, querido.
282720	286000	Tem gente que fez comentários embaixo ali, se vocês quiserem dar uma lida, mas eu vou pro próximo.
286000	287480	Que é do Luan Gaetano.
287760	291000	Bom momento do dia, Guaxinim e companhia. Vou tentar ser breve.
291200	296100	Normalmente eu gravo à noite, sempre. À noite. Eu acho que sempre, mas... Obrigado.
296200	298660	Vou tentar ser breve, pois exagerei nos comentários. Que bom.
298840	302680	Peço perdão. Ajude pelo textão. Ah, tá. Faz o que ler, eu não tenho problema. Pode mandar mais.
302800	303980	Desde que não seja eu a ler.
304140	306940	Cheio de teorias da conspiração e loucuras à parte. Pois bem, Guaxinim.
307060	311980	Cara, tem um VR mais? Como é que tu disse que vai tentar ser... ser... ser... ser falhou em ser breve?
312220	314760	Pois bem, Guaxinim. Cara, que ano terrível foi esse? É verdade.
315240	318820	Eu sei que ainda tem uns dias para ele acabar, mas isso é só um detalhe.
318820	320440	É, no caso, pra mim, ele já acabou.
320440	324440	Se ainda tiver no ano passado, 2022, não recomendo, não. Por enquanto.
324600	329340	Eu conheci o RPG Guaxinim ano passado. Ano passado, retrasado, no caso, porque a gente já tá no ano futuro.
329600	333600	Se não me engano. De começo, eu achei que os episódios eram uma linha reta.
333820	334740	E são uma linha reta.
334860	340700	Até eu ouvir o primeiro episódio e contemplar a one-shot que possivelmente mudou o meu ano pra melhor.
340940	343080	Que bom, cara. Eu fico muito feliz de ter acertado o primeiro episódio.
343240	348240	Eu tenho... Eu lembro que nessa época eu estava fazendo um serviço para a empresa do meu pai.
348240	350280	E eu ficava horas fazendo a mesma coisa.
350440	352980	Foi aí que eu resolvi começar a explorar esse mundo dos podcasts.
353120	356900	E procurar coisas que me interessavam. RPG e coisas sobre filmes e jogos no geral.
357120	359140	Primeiro que eu escutei foi um Call of Cthulhu.
359220	361280	Call do tio Túlio pros íntimos. Porra.
361480	364700	De um canal nerd famoso aí. Ah, tá. Sei, sei qual é.
364920	366080	Aquele do podcast Bienal.
366560	370260	Ah, e... Aí e depois eu fui atrás do tal RPG.
370620	374140	Já que insatisfeito com quase nove horas de conteúdo, eu precisava de mais.
374140	375160	Foi tiro e queda.
375560	376960	RPG Guaxinim surgiu do nada.
377360	378780	Nunca tinha ouvido falar sobre.
379180	380140	E a princípio eu achei que...
380440	385320	Não fosse só, mas um dos milhares de podcasts que existe e que não ia dar em nada.
385520	386740	Fui lá e vi o feed.
386820	389480	Acho que na época estava pelo episódio 60 ou 70.
389580	392720	E eu de primeira achei que fosse uma mesa de 70 episódios de uma hora.
392780	394920	Tava feito por pelo menos um bom tempo.
395020	398460	Aí fui lá e vi o primeiro episódio que não se me falha a memória.
398560	399360	É o das gatas.
399400	401420	E Jesus, foi amor à primeira vista.
401620	402760	Sim, foi o das gatas.
402820	405000	Eu simplesmente me apaixonei no modelo do podcast.
405300	406060	Nas jogadoras...
406100	408800	Jogadoras são... Eu aceitei muito não só no episódio, no tema.
408940	410440	Mas nas jogadoras que foram...
410480	411780	Bem mais que 50% do episódio.
411880	413440	Eu simplesmente me apaixonei no modelo do podcast.
413480	414880	Nas jogadoras, no lore do episódio.
414920	416440	E no mestre, na figura do mestre.
416480	416980	Muito obrigado.
417020	417940	Então, meu caro guaxinim.
417980	419540	Eu comecei uma maratona de RPG Guaxinim.
419580	420880	Momento piada.
421220	422220	Tá, vamos lá.
422360	423260	Eu estava obcecado.
423280	425260	Passava 80% do tempo pensando em RPG Guaxinim.
425360	428660	E os 20% que sobrava, eu procurava pistas sobre um tal Guaxinim Aversa.
428960	429560	Isso não é piada.
429600	430100	Isso é...
430120	430420	Isso é...
430460	431520	Pô, fico feliz.
431700	434800	Embora 20% do teu tempo tu tava jogando fora porque o Guaxinim Aversa não existe.
434800	439840	Pois bem, no final do ano, que eu me lembro, foi junto ao lançamento do jogo Genshin Impact.
440040	440840	Meu celular quebrou.
441100	443120	Eu fiquei sem ter como ouvir o RPG Guaxinim.
443280	444900	E no fim, acabei deixando isso de lado.
445240	448240	Foi meio ossada, porém, cá estou eu.
448440	451200	Quase um ano após todo o rolê que me afastou do RPG Guaxinim.
451680	455820	Escrevendo uma puta cartinha de Natal para todos os participantes padrinhos.
456040	457560	E pessoas que ajudam o RPG Guaxinim.
457560	458640	A ti também, Guaxinim.
458760	461780	Por ter criado essa maravilhosa comunidade.
461940	463280	Cara, tu é muito brabo.
463380	463960	Você é louco.
464180	464720	Cara, muito.
464720	465200	Muito obrigado.
465420	467680	Eu nunca sei como reagir a elogio, então eu fico feliz.
467940	469520	Bem, é só isso por hoje.
469820	471440	Não ouvi ainda o episódio de Natal.
471840	473100	Já, já eu escuto.
473280	474440	Ele só precisa de um tempo.
474680	476220	É um ambiente que não me tira o foco.
476620	479120	Espero que em 2022 o RPG Guaxinim continue a crescer como cresceu.
479320	480380	No tempo em que eu acompanho.
480760	482220	Espero apoiar esse projeto em breve.
482700	483440	Prefiro rever...
483440	485220	Preciso rever minha assinatura no padrão.
485460	486260	RS, RS.
486260	487700	Estamos te esperando de volta.
488100	491420	Espero atender suas expectativas em 2022.
492020	493660	E obrigado, obrigado por todo carinho.
493660	496180	Eles que levam aqui no final o Guaxinim vai ser real.
496280	497100	Eu já provei isso.
497500	497800	Não é.
497960	498700	Estou desistindo.
498780	499320	Não desista.
499460	500100	Ele comenta.
500340	502000	Tudo termina bem quando acaba bem.
502320	503020	Não desistam.
503140	504640	Ano que vem tudo pode melhorar.
504820	506080	No caso, é esse ano.
506160	506560	É verdade.
506660	507140	Vai melhorar.
507360	510160	O Alisson da Silva Araújo também tem um ver mais.
510520	511280	Tem até gif.
511600	512660	Ele fez no TCC.
512880	513180	Vamos lá.
513340	514520	Alisson da Silva Araújo colocou.
514680	515780	Moonwalker Danilo.
516220	517120	Vocês são muito bons.
517260	517840	É verdade.
518000	518480	Meu Deus.
518580	519020	Hashtag.
519120	519420	Tudo junto.
519420	522420	Quero mais Dona Neve jogando frango dinossauro.
522420	525140	Ha, ha, ha, ha, ha, ha, ha, ha, ha.
525140	526400	H, J, A, A.
526780	527340	Bom dia.
527520	528020	Boa tarde.
528160	528440	Boa noite.
528500	528800	Guaxa.
528860	529500	E convidado.
529600	529980	Chat.
530380	531880	Convidado não pôde vir, infelizmente.
532220	535020	Em homenagem ao episódio, meu comentário sai a qualquer momento.
535160	535860	Ha, ha, ha, ha, ha.
536100	537640	Essa do em a qualquer momento.
538020	539380	A qualquer momento, Dona Neves.
539480	540320	A qualquer momento.
540700	541240	Foi puta.
541340	542160	É maravilhoso.
542380	543140	Em qualquer momento.
543400	544260	Desculpe, eu não resisti.
544400	545220	Em qualquer momento.
545500	545820	Chega.
546000	546600	Excelente episódio.
546600	550020	Estou sem palavras de como estou feliz de ouvir esses especiais.
550280	551860	Não vou terizar por hora.
552420	554880	Ainda estou rindo da cena do galossauro voando.
555140	558380	Então deixei meu simples Feliz Natal para você, jogadores e chat.
558460	559780	Desejo felicidade, saúde, paz.
559980	562320	E só voltarei ano que vem devido ao trabalho.
562460	565020	Porém, feliz por voltar ao patronato.
565100	565680	Bem-vindo de volta.
565900	567920	Jabá de oportunidade a qualquer momento.
568200	569680	Ele falou que vai voltar só ano que vem.
569780	570540	Já estamos ano que vem.
570620	571520	Espero que você tenha voltado.
571880	574040	Mas ele continua aqui com o jabá de oportunidade.
574120	574380	Vamos ver.
574380	575320	Vale muito assinar.
575580	577080	Não na esperança de jogar contigo.
577380	579220	Mas pelo fato de contribuir de outras formas.
579460	581140	Como jogar mesa com outros jogadores.
581460	582380	Ou até mesmo ser um especialista.
582420	584220	Tentador, como tenho sido bastante.
584520	588080	E também é muito divertido ter pessoas que compartilham o mesmo gosto que o seu.
588220	591020	É um bom lugar para achar amigos e até mesmo ter ideias.
591240	593220	Vai que você quer mestrar e está sem ideias.
593480	596600	Lá no grupo você tem pessoas que ajudam a criar aventuras.
596660	597020	Isso é verdade.
597140	598060	Tem gente muito boa lá.
598280	598920	Segue o jabá.
599080	602160	Somente tenho a agradecer demais a você, Guaxa, e todo o seu projeto.
602160	604440	Nos proporciona cada episódio até mais.
604540	605220	Até mais, querido.
605420	606440	É assim, é verdade.
606840	611720	O grupo de padrinhos da RPG Guaxa, a pessoa menos interessante lá dentro sou eu.
611900	612360	Todos os outros.
612420	614320	São pessoas maravilhosas.
614440	615220	Estão sempre mestrando.
615320	616140	Como eu comentei antes.
616300	617400	Ontem tinha uma mesa.
617640	618100	A tarde.
618160	618840	Final da tarde.
619100	619860	Eu entrei lá.
620500	624880	Eu estava com o nome de Juchete.
625160	626720	São os fãs da Juliana.
626920	627500	São vários.
627780	629860	Então eu estava disfarçado de Juchete.
630520	631540	E entrei para ouvir.
631680	634180	Porque às vezes acontece que a pessoa está mestrando.
634600	635560	E entra o Guaxa.
635980	638400	E daí o mestre começa a rir de nervoso.
638760	640680	Os jogadores começam, sei lá, a se empolgar.
641000	642120	Porque, não sei.
642120	643500	Mas eu entrei de Juchete.
643580	643920	Eles acharam.
644000	646480	Ah, é só mais um dos milhares de fãs da Juliana.
646620	648040	Quando acabou a aventura, né?
648260	649640	Ele jogava, a comissária discutia.
650300	652060	No final o grupo tentou matar o outro.
652180	652700	Foi bem legal.
652940	653820	E aí, Juchete?
654080	654960	O que você achou?
655240	657100	E daí eu abri o microfone e eles...
657100	658300	Caralho, é o Guaxa.
662060	663540	Foi divertido, assim.
663980	666340	Para participar de momentos assim, tem que ser padrinho.
666680	668280	Mesa do João Pedro, segundo a Ju.
668480	669360	Tem uma peça na memória.
669580	670540	Tinha uma Beatriz?
670620	671360	Uma Ana Beatriz?
671360	671900	Era isso?
672120	673980	Um Henrique e um...
673980	674620	Não vou lembrar.
674880	676340	Tinha mais um menino também, gente boa.
676760	678940	Tá rolando um bully forte com a Ju lá.
679060	680760	Então eu vou ficar quieto e vou voltar a ler.
681220	682780	Próximo comentário é do Rodrigo Coelho.
682860	685300	Boa tarde ou boa noite, Guaxa Guaxate.
685600	687320	Guaxa Vidado ou Vidada.
687500	689640	Co-host do Guaxa Verso.
689740	690860	Como falei, estou só.
691100	691980	Me sinto só.
692280	692960	Me sinto só.
693520	694240	Soltão seu.
694480	695560	Estou bem sumido.
696000	698360	Mas quero dizer que esse episódio foi maravilhoso.
698600	700500	Apesar da Shelly ter gravado vários episódios,
700500	702000	ela já tinha um tempinho de...
702120	704140	Olha, que absurdo, gente.
704560	705580	Que absurdo.
705920	707080	Ela volta...
707080	709880	Ela está em um dos episódios em janeiro.
710160	712840	Primeiro episódio que eu pretendo gravar quando voltar das minhas férias,
713240	714040	ela está lá também.
