start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu não acredito no Guaxaverso!
33780	36560	Mas supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido.
47320	51560	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, narrador de paradas do Guaxinim e...
51560	58200	Não, gente, eu não ganhei naquela loteria de seis números e estou morando na praia.
58200	58920	Infelizmente.
59180	61340	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
61720	64140	Aqui vamos ler os comentários que eu tirei das teorias do último episódio.
64580	67960	Que, no caso, foi o mês que o mar levou Magnólia.
68380	70300	RPG Guaxa 157.
70820	75740	E eu acho que hoje, com uma pessoa muito citada no Guaxaverso passado,
76240	77220	com a nossa querida Sara.
77380	77960	Tudo bem, Sara?
78360	79060	Ah, tudo bem.
79380	80060	Oi, pessoal.
80480	81400	Boa noite, gente.
81740	83980	Antes de mais nada, como é que as pessoas te acham na internet?
84840	87080	Ah, com certeza aqui na taberna do Guaxinim.
87080	87760	Como?
88200	89820	Oi, amigo e Sara.
90380	92860	Tive que botar o Sara pra poder ajudar o Boa a me achar,
93000	94060	que ele não conseguia me marcar.
94420	95480	Toda vez eu mudo o meu nick.
95680	97480	É verdade, tem que ter Sara em algum lugar.
97940	98280	Só isso?
98460	98780	Fácil?
98900	99740	Não tem o Instagram também?
100200	100740	Tem, tem.
100880	102980	Se o pessoal quiser amigar comigo lá no Instagram,
103320	107100	é arroba sarapereirab, B de bola.
107600	109840	Tem uma sarapereira A, que tá na primeira divisão.
109840	110200	Pode ser.
110840	113080	E você é a B, é a segunda.
113540	115380	Pelo menos ainda não tô jogando Vasco.
115740	116360	É verdade.
116360	119260	Eu, pô, manjo zero de futebol.
119680	121360	Eu também, mas eu sei que é um meme, então...
121920	123020	Eu sei que o meu...
123020	124460	Vou saturar ele o máximo possível.
125060	126360	E, porra, o meu...
127000	127540	Sei lá.
128040	130120	O Vodabeta, o falecido Vodabeta,
130500	131660	quando você perguntava a ele,
131700	133200	como é que é mais coisa, seu fulano?
133240	135580	Ele respondia, Vascaíno, Vascaíno.
135720	136080	Não sei.
136600	139040	Eu não sei o contexto disso, mas...
139040	141960	Então o Vasco vai mal das pernas há muitos e muito tempo.
142960	145480	É, ele respondia, Vascaíno, Vascaíno.
145480	146240	Mas, gente,
146240	147380	não tá aqui pra falar sobre o Vasco,
147440	148580	isso não é um programa sobre futebol,
149060	151440	até porque eu entendo zero de futebol.
151880	153660	Quer dizer, eu conheço as regras,
153740	154880	eu sei o nome de alguns times,
155440	156500	e só.
156860	158960	E sei porque o Figueirense entrou na Série A
158960	160700	e depois desapareceu.
161960	162360	Mas...
162360	165820	não é sobre lavagem de dinheiro que a gente quer falar aqui hoje.
166260	167180	A gente tá aqui pra falar
167180	168700	sobre o último episódio, né?
169120	171700	É o mês que o mar levou Magnolia.
172360	173600	Eu não gosto desse título,
173600	176140	assim, eu não consegui encontrar,
176240	178040	é um título que eu gostasse, na verdade.
178500	180400	Eu, quando escrevi a aventura,
180940	183200	eu tinha chamado de...
183200	184840	acho que o Diário de Magnolia.
185360	185760	Uhum.
186240	188280	E as meninas bateram o pé,
188320	189200	que era um péssimo nome.
189660	191780	Assim, não discordo, não é um bom nome,
192240	195080	mas o mês que o mar levou Magnolia, assim...
195080	196760	Eu queria avisar pro Bardo
196760	198260	que não foi minha...
198260	200200	não foi minha...
200200	201140	meu voto.
201480	203460	Meu voto foi outro, que acabou sendo esse.
203760	205420	Mas é poético, poxa.
205700	206200	É poético.
206240	207220	É poético, é poético.
207560	207920	Ah, sim.
208080	209580	Deixa eu até abrir aqui pra confirmar.
210440	212920	Um episódio, pra mim, incrível.
213480	215260	Muita gente concorda, eu sei,
215440	216500	mas não todos.
217220	218900	Mas, assim, em número de downloads,
219460	220300	mesma coisa de sempre.
220700	224480	Em desejos ocultos realizados,
224700	225520	zero também.
225960	227720	Então, é sempre aquele papo triste de
227720	230540	o melhor episódio e o pior episódio do ano,
231080	233200	eles têm mais ou menos o mesmo número de downloads.
233500	234940	Isso é uma coisa que...
234940	236220	Então, recomendo que,
236220	236900	para os seus amigos,
237380	239620	gostou muito do mês que o mar levou Magnolia,
240100	241760	recomenda, gostou dos incríveis
241760	242760	Pet Lady Amanda,
243240	245460	recomenda, gostou da ordem
245460	246980	do primeiro filho,
247500	249440	que, assim, tá na frente
249440	252000	do A Loucura e o Tesouro de Florian Seib,
252480	254260	mas, assim, os dois estão com números
254260	255380	incríveis.
256040	257940	Poxa, é engraçado, assim,
258060	260840	os dois episódios de janeiro,
261040	262480	eles têm mais downloads,
262700	264540	assim, que a maioria
264540	265500	dos, sei lá,
265500	265540	dos episódios de janeiro,
265540	265580	dos episódios de janeiro,
265580	265620	dos episódios de janeiro,
265620	265680	dos episódios de janeiro,
265680	265700	dos episódios de janeiro,
265700	265760	dos episódios de janeiro,
265760	265820	dos episódios de janeiro,
265820	265860	dos episódios de janeiro,
266220	267180	do último trimestre,
267640	269380	não, que todos do último trimestre
269380	271440	do ano passado, por exemplo,
271540	272460	são os episódios que,
272860	274520	não sei se é porque eu divulguei mais,
274640	275940	não sei se as pessoas que participaram
275940	277160	divulgaram mais também,
277700	278380	e então...
278380	279100	Deve ser isso, e também
279100	280880	a galera do The Vintage Awards,
280980	282440	que tava assistindo a live,
282520	283180	deve ter falado assim,
283460	285700	hum, vou ouvir um pouco
285700	286320	desse podcast,
286880	289220	e aí já começa janeiro
289220	291740	com os pés na porta, assim,
291960	293160	só com aventura boa,
293720	294440	fevereiro também,
294540	295240	mesmo pique.
295240	296620	Vou ouvir pra falar mal,
296700	297740	e não encontrou nada pra falar mal,
297840	298180	desistiu.
299560	301300	Droga, vou ter que falar bem.
302800	304980	Mas ok, ok, não é só sobre
304980	307660	as minhas tristezas e decepções
307660	309000	que a gente tá aqui,
309360	311060	a gente tá aqui pra ler os comentários.
311880	313440	Antes de mais nada, quero convidar vocês
313440	315240	pra fazer parte da taberna do Guaxinim,
316040	317520	ou seja, ser um apoiador
317520	318320	desse projeto.
319000	321120	Lembro vocês, PicPay morreu, gente, não existe mais,
321200	323560	se assinava pelo PicPay, você não assina mais,
323560	324760	você tá inadimplente,
325240	327820	o carneiro do baldo do Guaxinim.
328480	329600	Atualmente, você pode pelo
329600	331960	apoia-se barra rpguaixa,
332460	334040	pela orelo.cc
334040	335840	barra rpguaixa, se não me engano,
335920	336880	eu procuro rpguaixa lá,
337400	339560	e pelo padrim, que já existia antes.
340020	341800	Os três dão uma mordida muito
341800	343760	parecida, e o número de porcentagem
343760	345160	PicPay era muito vantajoso.
345520	347880	Ao invés de, sei lá, aumentarem a taxa e tentar lucrar um pouco,
347960	349460	eles só largaram a gente, que é bem triste.
350300	351320	Mas... banco, né?
351320	353600	Então tem essas três opções,
354020	354720	a Orelo,
355240	356600	o apoia-se, e o padrim.
356980	358200	Qual eu pego? O que foi melhor pra ti?
358280	360260	Tu já tiver assinatura, sei lá,
360340	361780	eu acho que pessoa que mora fora do país,
362240	364300	padrim parece ter questão de boleto,
364380	366880	isso é mais simples, eu não sei, mas dá uma olhada lá.
367220	369140	Então, assim, agradeço demais
369140	370700	quem mantém esse apoio.
370980	372800	Assim como a Sara, agradeço muito a Sara,
372920	374760	que é madrinha, né? A quanto tempo
374760	375440	tu é madrinha, Sara?
375860	378760	Olha, eu acredito que deve ter uns dois ou três anos
378760	380160	que eu tô como madrinha.
380540	382060	Como é que tu conheceu o RPG Guaxinim, tu lembra?
382560	383660	Lembro, com certeza.
383660	386160	Eu ia até comentar sobre isso
386160	387960	hoje, eu acho que é um episódio muito bom
387960	389180	pra poder falar sobre.
389680	391700	Eu conheci o RPG Guaxinim, foi um dos piores
391700	392660	momentos da minha vida.
393240	395140	E eu fui recomendada pelo meu melhor amigo,
395300	397520	ele falou assim, cara, eu sei que tá complicado
397520	399720	pra você, sei que você tá
399720	401620	sem paciência, mas
401620	403580	houve esse podcast aqui de RPG,
403740	405440	eu falei assim, pô, cara, RPG,
405680	406920	não sei nem o que que é isso.
407220	408920	Aí ele falou, começa por esse episódio,
409100	410380	que é o primeiro episódio das gatas.
410560	411980	Quando eu ouvi, eu falei assim,
412140	413380	meu Deus, que maravilha!
413660	414280	Que maravilha é essa?
414860	416520	A voz desse moço é muito boa!
417060	418100	E era você, o moço, tá?
418880	421300	Aí eu, nossa, essas meninas aqui jogam muito bem,
421520	423240	eu não conheço nada desse universo,
423360	424460	vou ouvir os próximos.
424560	427160	E aí eu maratonei, chegou,
427380	429480	não tinha nem, acho que tava
429480	431960	num episódio 60, alguma coisa desse tipo.
432300	433560	Aí eu falei, cara, eu já
433560	434980	tô nos atuais,
435360	436680	eu preciso ouvir,
437280	438660	eu preciso estar lá, eu preciso ouvir.
439000	441040	Aí foi quando eu me decidi ser madrinha,
441040	443160	e assim, só foi sucesso
443160	444140	depois disso, né? Porque
444140	446780	só história boa, só gente maravilhosa.
447340	448620	Assim, tem nem o que
448620	450980	falar, só agradecer, eu acho, de verdade.
451100	453000	Você não sabe, mas sim, você foi importante
453000	455180	na minha vida por um bom tempo
455180	457280	sem você saber. Obrigada por isso.
457500	458780	Eu fico sem palavras,
458960	460460	quero que saiba que você também,
460980	463220	num episódio como esse, que é o meu,
463740	465240	é minha obra-prima do ano,
465320	467120	embora pessoas discordem, é o meu episódio
467120	468640	favorito, até agora.
469680	470860	Eu te chamei, porque
470860	472980	eu queria, o melhor,
473160	474060	pra este episódio.
474460	476720	Então, assim, agradeço demais
476720	479180	por ter prestado seu brilho
479180	480240	pra este episódio aqui.
480700	482800	Eu que agradeço, por ter confiado
482800	484800	e ter me chamado. Eu que agradeço, de verdade.
485200	486620	Assim, na pior das hipóteses, tinha a Agatha
486620	488640	pra levar nas costas.
489060	491260	Tinha a Agatha e a Ju, né? Então, o que podia dar errado?
491260	493120	Ah, as duas são maravilhosas, poxa.
493120	494860	As três são maravilhosas.
495240	496280	Ah, nossa,
496860	498620	eu fiquei coradinha agora. Vou ter que fazer
498620	500940	que nem o Tio P. Para, seu bobo.
501220	503120	Ok. Antes que mais gente fique roubando
503160	504960	risada, lembrar vocês também de seguir
504960	507000	a gente nas redes sociais. O Marcelo Gostinho e o Roberto P.
507060	508660	Baixa, tanto no Twitter quanto no Instagram.
509240	511020	E a gente tá aqui pra ler os comentários.
511200	512780	O primeiro comentário é do Jorge Marcos
512780	514640	Santos Silva, marcando bingo.
515140	517140	Isso ainda tá no bingo, essa opção?
517200	518600	Eu não lembro agora, mas ok.
518720	521000	Tá, eu acho que o Jean até botou ali em cima.
521240	522820	Acho que o Jean nunca atualizou o bingo, né?
522900	523240	Eu sei.
524800	526060	Mas tá valendo o ponto.
526640	527960	O Jorge Marcos Santos Silva escreve.
528280	530860	O quanto eu fiquei confuso ficou bem perto do quanto
530860	532060	eu adorei esse episódio.
532060	533060	Bom dia, senhor.
533160	534920	Guaxinim, convidado e guaxual.
535380	537700	Incluindo o guaxo. Somos guaxual, olha só.
538160	539920	Como vocês estão? Eu estou bem.
540380	542240	É segunda-feira? É segunda-feira.
542700	544040	Mas estou bem. Como é que você tá, Sarah?
544440	546120	Ah, eu tô ótima. Tô bem também.
546680	547560	Bom, fico feliz.
548100	549560	E ele continua. Spoilers.
549840	552180	Esse poder era do diário apenas, da mãe
552180	554500	ou de outra pessoa ou coisa?
