start	end	text
0	10120	Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18960	Olha só, faz tudo!
18960	19620	Não, o Guaxaverso sabe!
19620	20960	Espera! O que é o Guaxaverso?
20980	22980	Era só uma questão de tempo!
23080	24220	Todo mundo conheceu!
24220	24540	O Guaxaverso sempre existiu!
24540	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso!
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas, supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido!
45080	48380	Queremos Agatha, mas Shelly, mas Ká, não é o que eu gosto.
48600	49060	Tá bom.
49160	49700	Tá aí, anotado.
49700	53620	Assim, desculpa pra chamar a Shelly, nunca é demais.
53620	57560	É bom que ela já dispara na frente, que é importante.
58140	58540	Episódio...
58540	60840	Ela tem que julgar mais, gente.
60880	62160	Ela tem que garantir o primeiro lugar.
62600	64960	Assim, o próximo RPG Guaxa tem a Ju.
65280	68200	Então, na Austrália, a Ju já tá perto do capítulo.
69060	70640	É um perigo, um perigo.
71020	74040	Ah, o motivo de chamar a Agatha, Shelly e Ká é por causa das vozes.
74360	77060	Eu vi que a Ká mandou áudios, eu não escuto áudios.
78020	80120	Não julgo, inclusive faço mesmo.
80840	83720	É, acredito em vocês.
84440	88520	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast de realidade para a vida do Guaxinim.
88540	90720	E, feliz dia das crianças.
91040	93840	Pra quem não sabe, o Guaxa Verde é o nosso antigo escudo-mestre.
93960	96460	Aqui, vamos ler os comentários e discutir as teorias do último episódio.
96920	100360	Que, no caso, foi o pré 2 e o segredo da cuca.
100560	102000	O RPG Guaxa 120.
102640	109900	E aqui hoje, está comigo ele, que é o top 1 masculino do RPG Guaxa de número de gravações.
110300	114180	E o top 2 geral de número de gravações, por enquanto, que a Ju vai passar ele.
114560	115700	Felipe Xavier. Olá, Felipe.
115700	116920	Olá, pessoas.
117420	117700	Essa animação...
118540	121460	Ela pode ser só resultado de um...
121460	122820	Talvez uma crise de estresse?
123060	123460	Não sei.
123760	124520	Saberemos.
125360	126180	Como é que vocês estão?
126560	127240	Espero que estejam bem.
127600	128680	Então, assim...
128680	129400	Eu tô no...
129400	131060	Eu tô no meio do copo meio cheio.
131420	131700	Ok.
132100	133080	Porque eu...
133080	135420	Em outubro eu estou de licença.
135940	137940	Então, em teoria, eu estou no meio da minha licença.
138240	140040	E, por um lado, eu olho pra trás e penso...
140040	142060	Meu Deus, já passou metade da minha licença?
142540	144200	Por outro lado, eu olho pra frente e digo...
144200	145920	Nossa, ainda tenho metade da minha licença.
145920	147180	Olha aí, olha aí.
147220	148080	Isso é bom, isso é bom.
148540	149300	É, ok.
149680	150560	Aproveita, meu querido.
150980	152640	Tô tentando, tô tentando.
152820	153340	Muito bem.
153720	156680	Mas, a gente tá aqui, então, pra falar do episódio 120.
157280	162560	E eu quero lembrar vocês que vocês podem ajudar esse projeto sendo padrinhos do RPG Watch.
162880	164160	A partir de um real, você tá ajudando.
164500	166560	A partir de dez reais, você faz parte do grupo do Telegram.
166980	169860	Foi onde eu conheci o Felipe.
170380	172720	Na época que era o grupo do WhatsApp.
173060	173860	Porque eu pensei...
173860	174180	Exato.
174180	176140	Porra, o WhatsApp é mais legal.
176420	177800	Eu nunca vou baixar o Telegram.
177900	178180	Esse povo chato.
178540	181780	Sempre que dava pau no WhatsApp, eu começava...
181780	183920	Ah, use o Telegram, use o Telegram.
184040	185380	Eu não quero o Telegram.
185480	186280	Eu tenho o WhatsApp.
186740	188580	E daí, primeiro, eu criei no WhatsApp.
188880	192500	Mas aí, com o WhatsApp, só aguenta 255 pessoas.
193020	195120	O WhatsApp só aguenta 255 pessoas.
195720	201040	E, embora eu conheça projetos que nunca chegaram a esse número...
201040	205480	E eu imaginava que o RPG Watch nunca ia passar dos dez amigos que eu já tinha.
206660	208520	Estranhamente, ele passou do número mínimo de pessoas.
208540	209620	Do WhatsApp.
210180	211360	E a gente foi para o Telegram.
211880	213360	E se provou um acerto.
213440	214640	Porque o Telegram tem boot.
215220	219320	Tem o robôzinho que tu pode dar comandos para ele.
219380	221040	Graças ao nosso querido Felipe que está aqui.
221200	225080	Porque não é só ajudar esse projeto a continuar existindo de forma gratuita no seu feed.
225440	227740	É também fazer parte de uma comunidade maravilhosa.
227840	228560	Jogar RPG.
229260	231580	Ter grupos específicos para fazer discussões.
232000	233460	Tem um grupo de games.
233600	234920	Tem um grupo de anime.
235380	236820	Tem um grupo de spoilers.
237660	238520	Tem algum grupo de...
238540	239440	Queria destacar, Felipe?
239900	240520	Meu Deus.
240800	242040	Um grupo que eu queria destacar.
244340	245800	Acho que o próprio grupo da Taberna.
245940	247920	Que é o que tem de tudo.
248680	249740	Conversas aleatórias.
249940	250320	Memes.
250380	251880	A gente posta nossas artes.
251980	252920	Nossos projetos.
254160	255660	É muito grupo, Guaxa.
256160	257080	Eu realmente...
257080	258600	Nós temos o de fanfic.
258600	260980	Que começou com algumas histórias paralelas.
261860	264600	Inclusive criaram um spin-off lá de...
265280	266100	Eu beijei uma garota.
266400	267860	Uma coisa interessante.
267860	272260	A história de um dos soldados que cuidavam ali do local.
272680	273140	Olha só.
273380	274300	Você até ficou curioso.
274400	275300	Eu estou curioso agora.
276300	278080	Vocês podem ir lá fazer parte.
278220	279380	Dar uma lida nisso.
279480	280480	Fazer parte do grupo dos spoilers.
280920	282040	Receber o episódio antes.
282160	283200	Gravar as regras.
283620	286960	No caso, as regras do episódio passado não foram lidas por uma madrinha.
287440	289500	Mas pela filha de um padrinho.
290220	293340	A Lilia leu as regras.
293420	295720	E também até fez uma voz para o episódio.
295720	297720	Então se você quer fazer voz para o episódio.
297860	298860	Quer gravar a regra.
299300	299660	Sabe.
300020	301380	Ter um milhão de interação.
301860	303560	Saber que episódios estão vindo por aí.
303820	304680	Dar sua sugestão.
305240	306320	Seja padrinho.
306420	307600	Eu vou ficar muito feliz.
308040	310180	Ah, mas não quero fazer parte.
310240	311080	Eu sou antissocial.
311200	312340	Eu não quero fazer parte do grupo.
312820	314080	Mas eu quero ajudar esse projeto.
314200	316460	Pode assinar e não clicar no link para entrar no Telegram.
316540	317400	Ninguém vai brigar contigo.
317840	318840	Você pode fazer isso.
319060	320120	Não tem problema algum.
320560	321900	Ou você pode fazer um pix.
322040	323580	rpguaixa.gmail.com
323580	325160	Fica aí o aviso.
325460	326400	Outra forma de ajudar a gente.
326480	327160	Seguindo as redes sociais.
327160	327660	Arroba o Marcelo.
327660	328800	Posta em arroba.rpguaixa.
328880	329920	Tanto no Twitter quanto no Instagram.
330360	331460	Tua rede social qual é, Felipe?
331920	335820	A minha rede social é fxclsmg.
336260	336800	É isso mesmo.
337640	338680	Essa é a minha rede social.
338780	340200	Em todas as redes sociais.
340320	341000	Twitter e Instagram.
341240	341940	Twitter e Instagram.
342460	342800	Todas.
343080	343940	E agora também.
344460	345200	Eu acho que no GitHub.
345420	346880	Vocês podem me procurar lá.
347380	349280	Estou virando um garoto programador.
349720	350020	Ok.
350560	352460	Tem fone no negócio lá de programação.
353000	354780	Segue também o Felipe Xavier.
354780	356000	E segue a gente na Twitch.
356300	357560	Twitch.tv barra.
357660	359660	rpguaixa.gmail.com
359660	360980	Estamos agora ao vivo aqui.
361440	363660	Lendo os comentários do último episódio.
363800	365860	E depois isso sai editado no feed de vocês.
366260	368100	Onde eu vou cortar um monte de bobagem que a gente fala.
368520	371060	Então se você quer saber as bobagens que foram cortadas.
371080	371840	É só vendo ao vivo.
372220	374600	E se você quiser um episódio perfeitinho.
374660	375480	Sem bobagens.
375960	376420	Não tem.
