start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu não acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45600	53240	Guaxa, você tinha que ter visto o sucesso que ele fez de Shanks na época que o Gwang Mary estava aqui no Rio, esforçado.
53240	58540	Ah tá, a piada é que o Tiago não é uma boa pessoa, ele é esforçado, é isso que eu estou entendendo?
58560	62560	Aí eu não vou falar nada não, vou deixar para as pessoas comentarem.
62980	64600	Ele foi de Shanks, tudo ok.
65160	66280	Aí tu escondia um braço?
66780	67540	Escondi um braço.
68020	71320	Aí veio bastante gente querendo tirar foto justamente porque eu estava escondendo o braço.
72180	74440	Aí muita gente bateu foto e te deu meio abraço.
74740	75440	Deu meio abraço.
75560	79060	Na verdade eu dei meio abraço nas pessoas e as pessoas me deram um abraço completo.
79360	79720	É verdade.
80120	83720	Mas pô, foi muito maneiro porque teve muita criança querendo tirar foto.
83720	88540	Teve uma criancinha vestida de Luffy que veio me perguntar se eu acreditava nela que ela seria o rei do espelho.
88560	92160	E as piratas falando que amam o Shanks, falando que ele me amava.
92560	95220	Pô, aí tu fez a cena de segurar o chapéu de palha.
95700	97840	Óbvio, eu tirei foto e tudo fazendo essa cena.
97960	99900	Essa é a cena, essa é a cena.
100260	103800	Eu deixei de casa, se o Shanks vir botar o chapéu de palha eu vou para o mar.
104180	112280	Ok, quando tiver um evento de anime aí perto que tu vai participar, eu já vou de Shanks só para botar o chapéu de palha em tu para te fazer sair de casa.
112660	113060	Beleza.
113420	115040	Acabou a peguacha e eu viro marinheiro.
117540	118540	Olá, eu sou Marcelo Machado.
118540	121860	Eu sou o Guaxinim, narrador, produtor, idealizador, podcast de realidades e paralelas do Guaxinim.
122420	124740	E vai ter episódio extra no mês que vem.
125040	127700	Já me arrependi, porque eu vou ter que pagar por ele.
128040	130820	Mas vai ter porque eu prometi e promessa é dívida, seja padrão.
131400	133200	Pra quem não sabe, eu gostei bastante do Escudo Mestre.
133500	135660	Aqui vamos ler os comentários que eu tirei das teorias do último episódio.
136140	137540	Que no caso foi...
138260	139420	A Menina dos Sonhos.
140760	144280	Um comentário novo agora que eu comecei é sacanagem, deve ser hoje em dia.
144860	147920	A Menina dos Sonhos, RPG Guaxa 174.
148540	150260	Contrário do Junkie, é 171.
151700	161000	E pra comentar os comentários do episódio passado, recebemos aqui nosso querido estreante, Thiago.
161160	161800	Tudo bem, querido?
162020	166080	E aí, Guaxa? Tudo tranquilo? Está tudo na paz aqui? Tudo certinho?
166700	169560	Querido, tu conheceu o RPG Guaxa como?
169780	173660	Cara, tem cinco anos que eu escuto o RPG Guaxa.
173800	177380	Então eu conheci ele lá pela RPG Next, pela indicação da Shed.
177380	177500	Sim.
178540	185820	Se eu não me engano, foi o episódio 20 ou 21, que foi o primeiro episódio dos Cavaleiros do Bicho.
186280	192340	Foi o primeiro episódio que eu escutei, que já me agarrou na RPG Guaxa.
192800	195220	E de lá pra cá eu venho ouvindo e divulgando vocês.
196040	196460	Só que...
196460	197560	Só que...
197560	203360	Acho que tem um ano e meio que eu comecei a realmente contribuir, a participar da taberna e tal.
203800	206400	Mas já é o bolso de muito tempo atrás.
207020	207500	Perfeito.
207500	207580	O...
207580	207620	O...
207620	207660	O...
207660	207700	O...
207700	207740	O...
207740	207800	O...
207800	207900	O...
207900	207960	O...
207960	208020	O...
208020	208080	O...
208080	208120	O...
208120	208140	O...
208140	208520	O...
208540	212340	Eu tinha convidado pra jogar a Zuzu e a Rafa.
212440	213880	Deixa eu ver se eu acho até a mensagem aqui.
214080	216820	Pedi sugestão de um menino pra fechar a aventura, né?
216820	218160	Pra ser duas meninas e um menino.
218860	219260	E...
219260	221000	A Zuzu falou, tem o Tiago ou o Jean.
221440	222060	Ela falou os dois.
222740	224980	Aí a Rafa falou, tem sendo o Tiago também.
226020	226300	Ah...
226300	228200	Aí eu falei, eu respondi, quem é Tiago?
228300	229580	Foi isso que eu respondi.
230520	231620	É natural.
232160	233200	Eu sou bem quietinha também.
234280	234640	Ok.
234800	235520	Temos um Tiago.
235620	236680	Foi isso que eu descobri aquele dia.
237260	237740	E daí, beleza.
237740	242340	Se as duas recomendaram, a regra é clara, a gente dá a chance.
242980	245800	E a regra é que quem nunca gravou o Guaxa Verso tem a prioridade.
245920	247600	Então a prioridade do Jean é tua.
248040	249300	Então, maravilha, maravilha.
249720	252320	Pelo que eu ouvi, só elogios a participação dos três, né?
252720	254800	Então, talvez, talvez apareça de novo.
255120	257920	Se um dia eu chamar a Zuzu de novo e ela recomendar de novo, talvez.
258540	260240	Porra, dois comentários novos, vocês param.
260700	262420	E era o Jean mesmo, filho da mãe.
262440	262920	Era o Jean.
263340	264680	Eu atualizei aqui na hora que tu falou.
264780	265340	Acho que é o Jean.
265700	266680	Realmente virou o Jean.
266680	267680	É o Jean.
267740	269180	Que filho da mãe.
269420	270040	Mas tá bom.
270340	271260	Deixa eu atualizar isso aqui.
271500	276760	Pessoal, como eu falei, o nosso mês de outubro vai ter um episódio extra, que já estava prometido.
277320	282500	Normalmente saem dois episódios extras entre o meu aniversário e o aniversário da RPG Guaxa.
282980	284180	Esse ano teve um só.
284620	286720	E eu prometi que esse episódio estava faltando.
287160	289480	Ele ia sair extra no dia 31 de outubro.
289840	292200	Ele já está até gravado.
293320	295060	Então, promessa é dívida.
295420	296760	Peço pra vocês, né?
296760	302080	Porque esse episódio, como é um episódio extra e o Zorzal não ganha por mês, ele não é um assalariado.
302140	306480	Ele presta um serviço e ele ganha um valor X por episódio.
306940	308700	Então, esse episódio vai sair extra.
309040	314380	E desde que o PicPay e o Padrim morreram, a renda da RPG Guaxa caiu bastante.
314860	315360	Então, vamos lá.
315640	318820	Em apoia.se barra RPG Guaxa.
319180	320680	Qualquer valor você está ajudando.
321100	323320	A partir de 10 reais você faz parte da taberna.
323320	326560	Eu acho muito legal quando a pessoa manda R$11.
326760	331560	Quando a pessoa manda números que não é exatamente o 10 lá.
331980	334200	Achei divertido a parte de vocês.
334660	336680	Então, muito obrigado a todo mundo.
337040	342940	Mas a partir de 10 reais você vai ter acesso ao post que garante a entrada no Telegram.
343320	345620	Pela Orelo também é possível assinar.
345980	348940	Mas a Orelo não tem um post, não tem uma resposta automática.
349520	352300	Pela Orelo você tem que esperar eu lembrar de olhar o e-mail e te responder.
352680	353980	Hoje foi um dia que eu fiz isso.
354420	355560	Depois de, sei lá, um mês.
355560	356560	Então...
356760	361840	Se assinar pela Orelo, se for mais fácil para ti, para mim não tem problema.
362280	364300	Mas demora um pouquinho mais eu dar uma olhada.
364780	367040	Você escolhe aí o que achar melhor.
367460	368220	Outra forma de ajudar.
368740	369940	Se você quiser...
369940	371240	Ah, não quero assinar.
371420	372500	Não quero um compromisso.
372940	375400	Sou uma pessoa não monogâmica.
375600	378300	Quero um relacionamento mais curto.
378360	378980	Não tem problema.
379440	383660	Você pode mandar um pix para rpguaxa.gmail.com
383800	385960	Lá você vai descobrir o meu sobrenome de verdade.
386120	386740	Que não é Guaxinim.
386760	389060	E você vai estar ajudando o rpguaxa também.
389380	393400	Então é só mandar um pix para rpguaxa.gmail.com
393400	394720	Isso se você não é apoiador.
394780	396600	Se você já é apoiador, você não precisa fazer isso.
396740	397900	A menos que você queira muito.
398060	399460	Se você quer, sei lá, no bicho.
399560	401420	Você postou no cachorro.
401920	404220	E vai dar 50% para mim e 50% para o Jean.
404600	404900	É isso.
404960	406320	Você pode fazer isso também.
406760	407620	Segue a gente nas redes sociais.
407740	408420	É o Marcelo Guaxinim.
408580	410040	É arroba rpguaxa.
410200	411120	Tanto no Instagram.
411660	414800	E lá o mais ativo é o rpguaxa.
414800	416000	Porque quem cuida é a Fábio.
416100	416500	É a Ju.
416500	417120	É a Dani.
417580	418580	Não sou eu.
419040	420560	Então tem material muito bacana.
420680	422000	Embora, obviamente, eu faça parte.
422560	423760	Ajude com as ideias.
424040	425400	E no Blue Sky.
425780	427060	O rpguaxa conta.
427240	427640	Existe.
427700	428820	Às vezes, tuita alguma coisa.
428900	430720	Dá uns RT lá do pessoal que comenta.
431140	431980	Sobre o rpguaxa.
432440	434480	Mas o especial onde está concentrando mesmo.
434920	436280	É no Marcelo Guaxinim.
436620	437780	Então segue a gente lá.
437940	441260	Hoje, no dia da gravação, batemos 900 seguidores.
441340	442060	E já passamos.
442480	444760	Graças à família muito grande da Tarinê.
444760	446100	Então agradeço muito.
446100	449260	A Tarinê, namorado, irmão, cachorro.
449340	450140	Todo mundo que seguiu lá.
450600	452900	Então, porra, muito obrigado a todos vocês.
453340	454660	E já falamos demais.
455040	457800	Eu e o Tiago estamos aqui para ler os comentários.
457980	459880	O primeiro comentário é do Jorge Marcos Santos Silva.
459980	460480	Aqui coloca.
461000	465940	O guaxa está se tornando um especialista em fazer episódios cinematográficos.
466180	469280	Bom dia, senhor guaxa, convidado e guaxual.
469540	470220	Tudo bem, queridos?
470260	470780	Comigo tudo bem.
470840	471520	Tudo bem contigo, Tiago?
471840	472560	Tudo tranquilo.
472560	474280	Eu acho interessante.
474480	475680	Porque eu, realmente,
475680	478520	considerava o episódio anterior muito, muito incrível.
478980	481000	Embora esse episódio seja um bom episódio,
481300	482060	a gente está comentando,
482500	484480	ele é um episódio mais padrão, né?
484840	487520	Jovens fazendo merda e coisas estranhas acontecendo.
487960	493060	E achei que talvez o peso do episódio passado pudesse esmagá-lo.
493160	493940	Mas não foi o caso.
494200	495440	Só elogios, como eu falei antes.
495820	497880	Então está aqui mais um elogio a mim
497880	500000	e, como eu sempre falo, aos jogadores também.
500440	502260	Porque 50% da história é deles.
502940	503460	Spoilers.
503800	505640	Sabemos que esse é o mesmo universo,
505740	506340	que não existe.
506800	508140	Da ciência fantástica dos maldonados.
508960	509380	Verdade.
509900	511920	Mas essa habilidade de andar nos sonhos da Amílie
511920	514100	seria magia ou ciência?
515620	516140	É...
516140	516900	Não é ciência.
517340	519440	O que poderia acontecer de ruim com eles
519440	521260	se algo desse errado ou muito errado
521260	522560	em alguma das partes?
522860	524560	Eles poderiam morrer no mundo real?
525040	526420	Talvez não acordar mais.
526960	528560	Morrer meio pesado, né?
528580	529140	Não crianças.
530600	531080	Mas...
531080	532100	Dormir pra sempre?
532540	533580	Sempre é uma possibilidade.
533880	535600	E agora eles aprenderam a andar pelos sonhos,
535600	537100	como a Amílie?
537580	541120	Ou foi algo mais episódio mesmo?
541580	542220	Foi algo do...
542220	544420	Eles podiam andar pelos sonhos
544420	546920	graças a Amílie usar as habilidades dela.
547360	548760	Mas a próxima vez que eles dormirem,
548960	550280	eles não vão conseguir fazer isso
550280	552400	da mesma forma que a Amílie fazia.
552820	554460	O quanto andar pelos sonhos ajuda a ir
554460	557240	para outros universos inexistentes.
557600	558620	Ajuda bastante.
558960	560960	Nem que seja nos sonhos de outros universos.
561060	562280	Não necessariamente fisicamente.
562760	563820	Acho que hoje fico por aqui.
563820	565220	Todos os jogadores foram fofistas.
565600	566080	E simos.
566160	567320	Olha só, elogios até pro Tiago.
567720	570260	Imaginei muito tudo como uma animação
570260	572560	onde os personagens são aquele traço mais arredondado
572560	574620	de tanta fofura desses três.
574940	577160	Biscoitos oníricos para todos.
577600	580200	E esse episódio me trouxe uma nostalgia muito pessoal
580200	582340	de RPGs antigos que narrei.
582760	584760	Pois sempre adorei explorar o reino dos sonhos.
