0;10120;"01";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;11420;"01, 00";É isso! É isso!
11920;13220;"01";Eu sabia! Eu sabia!
13840;15000;"01";O Guaixaverso existe!
15120;15960;"00";Como assim?
16180;18140;"00";Você entendeu a referência do último episódio?
18260;20040;"01, 00";Olha só, quase tudo o Guaixa sabe e faz.
20060;20960;"01, 00";Espera, o que é o Guaixaverso?
20980;22980;"01, 00";Era só uma questão de tempo.
23100;24020;"01";Todo mundo conhece o Guaixaverso!
24020;24520;"01";O Guaixaverso sempre existiu!
24520;27140;"01, 00, 03";Eu quero entender o Guaixaverso!
27220;28540;"01, 00";Alguém me explica o que é o Guaixaverso?
28540;32020;"00, 03";É, pessoal, não existe o Guaixaverso.
32080;33720;"00, 03";Eu acredito no Guaixaverso!
33760;36540;"03";Mas supondo que ele exista...
37900;41540;"01";Guaixaverso, onde o que não existe é debatido.
44940;47540;"01";Foi introduzido no episódio, meu coração...
48420;49480;"01, 03";A Ju caiu.
49660;53860;"01";Apareceu uma tela do Discord aqui muito louca pra mim, eu não sei o que aconteceu.
54420;55400;"01";Eu estou aqui, Guaxa.
55400;58400;"01, 03";É engraçado que o Discord tem as opções banir Ju.
58540;59060;"03";Juleiva.
59520;60640;"03";Expulsar a Juleiva.
61020;61540;"03";Caraca!
61880;63060;"03";Castigar a Juleiva.
63540;66100;"01";O que foi que aconteceu?
67060;67640;"03";Não sei.
68760;69240;"01";Caraca!
69960;72380;"01";Foi culpa da iluminação do Buda isso, desculpa.
72820;73540;"01";Muito estranho.
73960;74980;"01";Bom, eu vou voltar.
75400;79540;"03";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o Guaxinim e...
80320;81280;"03";Saudades férias.
81600;83760;"03";Pra quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
83760;86800;"03";E aqui vamos ler os comentários e discutir as teorias do último episódio.
87340;87760;"03";Que, no caso, foi...
88540;97880;"03";E estamos aqui com ela, a Juliana mais famosa da poda...
97880;98340;"03";Mentira.
98840;100040;"03";É a segunda mais famosa.
100420;103240;"03";A Jujuba não pôde, as duas meninas...
103240;106980;"03";A Agatha está trabalhando, a Amanda tem uma festa ou vai estudar.
107200;107680;"03";Eu não lembro.
108020;109360;"03";Mas ela está ocupada também.
109360;116760;"03";E pela regra que a gente tem, em caso de jogadores não poderem, a gente invoca a Ju.
117200;117900;"03";A Juleiva.
118240;118520;"03";Boa noite.
