start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45600	51940	Impressionante como um episódio do RPG Guaxa, nós não duvidamos, de novo, impressionamos...
51940	54420	Eu tô nervoso, tô com a Shelly aqui.
54420	55960	1, 2, 3, 1, 2, 3...
55960	58200	Todo mundo que joga com a Shelly fala...
58200	60980	Ah, eu tava muito nervoso porque tava a Shelly.
61080	62260	Eu entendo você, gente, vamos lá.
62280	64960	É, realmente, eu chego com um pedaço de pau na mão e falo...
64960	66040	Todo mundo se comporta!
66440	66800	Isso!
67400	67760	Rapaz!
68600	69880	Impressionante como um episódio...
69880	71420	Ah lá, comei em um episódio!
73000	75200	Eu queria ter sido alfabetizado, seria bem melhor.
75480	77020	Eu posso começar, se você quiser, Guax.
77040	78620	Não, não, não, eu vou engranar.
78640	79120	Você...
79120	85720	Eu tô um velho, eu cheguei do trabalho, aí tomei café, conversei com as meninas, tá, pá, pá, pá...
85720	87560	Ah, tem meia horinha, eu vou jogar videogame.
87560	90520	Eu liguei o videogame, sentei, eu dormi sentado, Shelly.
90640	92920	Olhando pro controle na mão.
93460	95700	Porra, eu tô muito velho, muito velho.
96760	98720	Isso é cansaço, não é velhice, Guax?
99040	100280	É, não, porra...
100280	102280	Tô ok, não vou me defender.
102720	104700	Mas ontem gravei dois podcasts, fui dormir tarde.
104940	105220	Tá lá.
110720	113360	Olá, eu sou o Marcelo Agostinim, narrador, produtor, idealizador, podcast,
114360	114960	e...
114960	117360	A próxima vez que a Shelly aparecer no feed...
117560	121100	É um episódio que foi medalha de ouro por equipes.
121300	123140	Pra quem não sabe, o Guax é o nosso antigo escudo-mestre.
123520	126600	Aqui vamos ler os comentários e discutir as teorias do último episódio,
126720	131180	que no caso foi aqui e agora, RPG Guaxa 170.
131960	134880	Como a gente tava comentando aqui antes de começar a gravar,
135160	138160	estamos aqui com os padrinhos no Discord, exclusivamente pra eles,
138600	139660	nesta gravação ao vivo.
140120	145600	Quem ouviu aqui agora, em pessoa, em um programa policial do início da década de 90,
146180	147540	é porque tá velho igual a gente.
147560	151660	Mas quem não tá velha é a Shelly, que só tem 19 aninhos,
152020	153160	tá aqui com a gente.
153500	154080	Tudo bem, Shelly?
154480	155180	Tudo bem, e você?
155680	157460	Tudo certinho. Como é que as pessoas te acham na internet?
157960	163660	As pessoas me encontram, basicamente, no Blue Sky e no Instagram, com o arroba ShellyPoison.
164140	166560	E aqui no RPG Guaxa, na Taverna do Guaxinim,
166640	169740	na verdade, no grupo de spoilers apenas, porque eu sou exclusiva.
170220	171960	Perfeito, no grupo de spoilers exclusiva...
171960	176020	É, ok, ok, acho uma escolha muito interessante.
176020	177380	O RPG Next?
177560	179300	Que foi de onde eu conheci a Shelly.
179820	182340	É uma das inspirações aqui pro RPG Guaxa.
182440	183840	Então agradeço muito.
184400	186800	E a gente tá aqui, então, pra ler comentários.
186940	191960	Antes disso, quero lembrar vocês que a gente tá participando do prêmio MPB.
192200	192780	É isso mesmo.
193260	195220	Eu sou o próprio Caetano Veloso.
195800	198400	Estou aqui para pedir o voto de vocês.
198920	201780	MPB é Melhores Podcasts do Brasil.
202460	204020	Eu tô até entrando pra votar em mim mesmo.
204020	204760	Eu acho que eu já votei.
204820	206080	Ah, não, eu já votei hoje, não posso nem me ver.
206580	207020	Mas, assim...
207560	211160	Tem que criar uma continha, que talvez é um pouco chatinho, mas, poxa, vamos lá.
211700	215500	Em ficção e fantasia, vota no RPG Guaxa.
215600	217520	Você pode votar uma vez por dia.
217980	220220	Se já estiver por lá, em cultura pop,
220620	226480	a nossa querida deusa Ágata Sofia e seu fiel escudeiro Jojo
226480	230360	estão concorrendo na categoria cultura pop.
230660	231460	Então vote neles.
231660	234440	Assim, tô pedindo pra votar em mim, que é a minha função.
234440	237440	E tô dizendo que, se eu fosse você, já que eu tô por aí,
237440	239040	vota neles também.
239240	239620	É isso.
240020	242720	Tem várias outras categorias, mas ninguém fechou um acordo aqui.
243360	246180	Então, se eu sou o único que...
246180	250920	Tem mais, sei lá, 30, 40 categorias pra escolher outros podcasts.
251220	257440	Tem lá podcast do mundo animal, podcast de moto, podcast de...
258360	259060	Assuntos diversos.
259120	260320	Eu podia ter me inscrito em assuntos diversos.
260580	262560	Podia ter me inscrito Guaxaversa em assuntos diversos, né?
262560	263600	E tentar ganhar dois prêmios.
263960	265780	Tem gastronomia, tem um monte de coisa.
266080	266560	Humor.
266560	267400	Então, vamos lá.
267840	268900	Conheçam novos podcasts.
269520	271700	Votem no RPGuax todo dia, de preferência.
272220	276420	E, se possível, em cultura pop, tem O Buraco Atrás do Posto.
276500	279900	Que é um podcast de games que eu também recomendo você a conhecer.
280380	282220	Da Agatha e do João Victor.
282680	284900	O Agatha vocês conhecem porque ela tá sempre gravando aqui.
285340	287960	O João Victor vocês conhecem porque ele já gravou muito tempo lá atrás.
288380	290360	E depois ele trocou tudo por anime.
290640	291480	Queria registrar.
291820	292760	Segue a gente nas redes sociais.
292760	297400	No Twitter, no Instagram e no Blue Sky.
297880	300700	Por sinal, o único lugar que tu consegue achar a Shelly hoje é o...
300700	302000	Quer dizer, tem o Instagram também, né?
302340	304880	Mas tu abandonou o X completamente, né?
305420	306180	Abandonei completamente.
306760	307320	Bem que tu faz.
307780	311000	Eu só não abandonei porque, porra, tem mais, sei lá, 10 mil seguidores.
311540	314000	Aí a gente pensa, porra, tem que divulgar o podcast e tal.
314020	315380	Sim, vale pela divulgação.
315480	320040	Como eu não tenho nada pra divulgar, eu tô de boinha na minha pequena bolinha do Blue Sky.
320220	321460	E eu entro muito ocasionalmente.
321560	322660	Foi um detox maravilhoso.
322660	327160	Eu tenho só, sei lá, visto algumas coisas no X lá, tipo...
327440	332360	A empresa que faz os jogos do Yakuza, eu sigo.
332800	334440	Tem alguns podcasts que só postam por lá.
334940	337040	Mas eu tava, inclusive, hoje deixando de seguir um monte de gente.
337340	337840	Então é isso.
338280	339180	Ó, o Moisés comentou.
339240	341340	Eu conheci o RPG Guaxa porque eu tava assistindo o SKT,
341800	345800	que é a campanha que a Shelly jogou lá no RPG Next, né?
346280	348440	É um Storm King Thunder, é isso?
348800	349220	Isso.
349840	354000	A Shelly tava jogando de paladina e sempre falava do Guaxa antes de começar a partida.
354440	357140	Porra, foi um excelente investimento.
357440	359820	Aí eu escutei o episódio das gatas e me apaixonei.
359900	360340	Olha só.
361440	363040	SKT Skate pro Trota.
363240	363840	É, Skate.
364420	368060	O RPG Next foi que me lançou no mundo do podcast, né?
368220	372860	Eu mal sabia o que era um podcast e entrei lá meio que de gaiato.
372980	375940	Aí foram me conhecendo e eu fui entrando no podcast.
375940	376860	Como é que tu conheceu o RPG Next?
376860	377840	Tu tava digitando no Google.
378320	380500	Podcast e RPG, como é que...
380500	382360	É, então, foi bem isso mesmo.
382360	387020	Eu ouvia, assistia, na verdade, só o gringo, né?
387040	387360	Que é o...
387440	391100	Que eu queria conteúdo de RPG.
391660	396040	Aí fui procurar nos brasileiros, encontrei o RPG Next de cara.
396560	399440	E aí eu tinha um amigo que eu via também, Pejo Anderson.
399920	400780	E ele que me mandou.
400880	407260	Ele falou, olha, Shelly, tão fazendo uma seleção pra uma mulher jogar lá no RPG Next.
407360	409300	Porque só tem cueca lá e tá feio o negócio.
409760	411020	Aí eu me inscrevi e me chamaram.
411440	412840	Nisso o RPG Guaxa começou melhor.
412980	414620	Desde o primeiro episódio a gente já tá...
414620	415000	Né?
415480	416880	A gente aprendeu a correr dos outros.
416880	417240	Sim.
417240	419020	E se cheguei aqui é porque estou no Homem-Gigante.
419540	423180	Mas, dito tudo isso, a gente tá aqui pra ler os comentários do último episódio.
424160	424520	É...
424520	425220	Shelly...
425220	426280	Ah, não, eu vou deixar por isso pro final.
426980	427300	Vamos...
427300	428860	Eu tenho as perguntas, mas eu deixo por final.
429300	429560	Ok.
430160	433080	Marquei no bingo, porque o primeiro comentário é do Jorge Marcos Santos Silva.
433880	438400	Impressionante como em um episódio do RPG Guaxa, nós não duvidamos de nada.
438880	440740	Um bom dia, Sr. Guaxinim, que sou eu.
441320	442460	Convidade, que é a Shelly.
442960	443220	Oi.
443700	445240	E Guaxual, que é todo o...
445240	445480	Guaxual.
445480	446680	Guaxual.
447240	448900	É o Guaxa sensual do Guaxa ou é o Guaxa sensual?
449300	450640	Eu acho que é um Guaxa sensual.
450860	452080	Eu acho que o horário já permite.
452560	453000	É...
453000	453640	Ok, ok.
454600	455600	Tudo bem, queridos?
455720	456100	Tudo bem.
456420	456800	Bom...
456800	457520	Spoilers!
458060	459200	Preciso começar com essa.
459320	460720	A menina era realmente do futuro?
461000	461440	Certo.
462000	462700	Isso é bem bacana.
462780	468080	Assim, a aventura, quando eu a escrevi, quando ela tava no papel, a minha ideia era deixar
468080	469360	mais em aberto.
470180	470620	Era...
470620	473080	Inicialmente, inclusive, não ia...
473080	475220	Aquele homem que as meninas...
475220	477220	A que a Shelly acaba identificando, porque tirou um crítico.
477240	481420	Ele estaria por fora dos panos.
481920	483540	Ele não necessariamente iria aparecer.
484180	490880	E como a menina estudou a bomba pra poder desarmar, pra saber que era o amarelo, o final
490880	493760	da aventura ia encontrar na casa dela...
493760	497620	Ia encontrar, sei lá, no celular dela, no computador dela, que ela pesquisou sobre a
497620	497940	bomba.
498400	505200	Então a minha ideia era talvez deixar o final em que, poxa, ela veio realmente do futuro
505200	507220	ou ela é a culpada pela bomba.
507240	513980	Mas as escolhas das jogadoras, os dados que estavam muito favoráveis pra ela, eu não...
513980	519660	Assim, embora talvez fosse o final mais surpreendente e tal, ele seria o meu final.
520200	522320	E o RPG Guasta não é sobre as minhas histórias.
522720	527140	O RPG Guasta é sobre as minhas histórias e dos jogadores, né?
527540	533600	Então, à medida que elas iam tirando muitos acertos críticos, eu me sentia obrigado
533600	536600	a revelar o que tava guardado ali pra...
537240	541320	Pra elas como um bônus, porque senão não tem por que rolar dado também, né?
541720	549020	Então, assim, no episódio como ficou, embora eu deixei lá o chute a gol em aberto, né?
549020	554880	Eles chutam e não fala se foi gol ou não, pra dizer se a previsão dela foi certa ou
554880	557980	não, eu acho que talvez ela tenha vindo no futuro.
558340	559080	O que tu acha, Shelly?
559580	561240	Olha, eu acho...
561240	563940	Eu tenho a mesma ideia da minha personagem.
564500	565320	Eu quero acreditar.
565800	566440	É verdade.
566440	574120	Como ela voltou no tempo, não ficou claro no episódio e eu até coloquei que se alguém
574120	580160	do grupo tivesse perguntado o sobrenome dela, ela daria o sobrenome do Jean e não o sobrenome
580160	583940	dela, porque no futuro ela tá casada, então ela perdeu o sobrenome dela.
584400	588440	E como ela não tinha Instagram, ninguém ia descobrir o sobrenome dela e isso ia ficar...
589040	590080	A minha ideia era fechar.
590540	595200	Talvez, se vocês soubessem o sobrenome dela, vocês saberiam como ela voltou no tempo.
595200	596400	Será que teve ajuda de um certo...
596440	597280	Um certo cientista mirim?
598820	600460	Talvez, talvez ele seja até parente, né?
600880	602860	Coloquei de forma vaga porque não lembro o nome.
603320	603640	Ah, não.
603720	605120	Nome, porra, nem eu lembro.
606320	607260	Eu lembro o sobrenome.
607720	611340	Porque daquela bomba, quem era aquele cara e quais as informações dele?
611800	614440	Era um ex-funcionário insatisfeito.
615000	617220	A bomba, obviamente, não explodiu o ginásio, né?
