start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18140	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	O Guaixa sabe o que faz!
20020	20960	Espera! O que é o Guaixaverso?
21000	22980	Era só uma questão de tempo!
23080	24520	O Guaixaverso sempre existiu!
24520	27180	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso!
32100	33720	Eu acredito no Guaixaverso!
33760	36560	Mas supondo que ele exista...
37900	41520	Guaixaverso, onde o que não existe é debatido!
46780	51620	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Paralelo do Guaxinim
51620	53700	e um fã do rock nacional.
53700	57400	Para quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre!
57900	58220	Aqui!
58560	64100	Vamos ler os comentários e discutir as teorias do último episódio, que no caso foi Bichos Escrotos!
64300	66680	Antes de mais nada, não deixe de nos seguir nas redes sociais
66680	72380	É importantíssimo que você siga a gente!
72820	77660	Eu ontem tentei de novo pedir o verificado no Twitter e ele me respondeu
77660	79540	Você não tem seguidores suficientes!
79800	81520	Então me ajude a ter seguidores suficientes, gente!
81560	82900	Vamos lá! Dá uma forcinha!
82900	86820	Você recebe esse podcast e outros de graça!
87220	88180	Falando nisso!
88640	93360	Se você quiser ajudar esse projeto a pagar o editor, você pode ser nosso padrinho!
93800	97880	Tanto pelo PicPay, quanto pelo Padrim, você pode ajudar a partir de um real!
98100	100320	E a partir das reais você faz parte do nosso grupo do Telegram!
100740	103620	É um grupo onde você vai conhecer muita gente bacana!
103960	109000	Onde o pessoal está sempre jogando RPG, discutindo um monte de coisa, conversando...
109000	111340	É bem bacana, é cheio de gente maravilhosa!
111340	115320	É cheio de pessoas que jogam aqui no RPG Guaixa!
115780	118040	Os jogadores da aventura passada, por exemplo, estão lá!
118040	123700	Então se você quiser falar com o Ramon, com o André Trapani, com o Ananaka, seja nosso padrinho!
124160	124900	Outro aviso rápido!
125100	128800	A leitura que vai começar agora foi feita ao vivo lá na Twitch!
129100	133380	Por enquanto, eu estou com o nome para o episódio de twitch.tv
133380	137460	Marcelo Guaxinim e um M a mais no final!
138000	143420	Eu vou mudar para RPG Guaixa, mas eu tenho que respeitar um período de 60 dias!
143420	147820	Então, assim que chegar nessa data, eu vou mudar para a barra RPG Guaixa!
148040	152500	Então, tenta os dois! Espero você, sem ser a próxima terça, na outra!
153000	156620	Além disso, se você está ouvindo esse episódio no lançamento ou na sexta-feira,
157140	161580	saiba que sexta-feira, dia 16, às 10 horas da noite,
162140	168300	teremos uma aventura de RPG, um RPG Guaixa gravado ao vivo, na Twitch também!
168840	173360	Mas agora vamos lá, vamos para o texto em áudio da leitura de comentários que foi feita na Twitch!
174120	176660	Vamos lá, o primeiro comentário é do Rodrigo Azevedo!
176740	177840	Olá Guaixa, tudo bem?
178040	178800	Tudo bem, Rodrigo!
179200	183100	Parabéns pelo episódio, o clima de investigação sempre torna os episódios mais legais para mim!
183860	186940	Aguardo demais uma sequência para Amada Filha!
187200	187860	Vamos aos spoilers!
188300	190960	Pior que uma sequência para Amada Filha, eu gravei...
190960	195200	Quer dizer, eu não gravei, eu comecei a escrever, mas ela acabou não saindo do papel!
196640	198880	Ok, fica a cobrança aí, por um futuro!
199360	201060	Vamos lá, o que ele colocou aqui, escondidinho!
201060	206660	1. O que os jogadores encontrariam se estivessem conseguindo entrar nas outras casas?
206660	213460	2. Muito provavelmente, na casa das Potter, Paula Potter ou mais louca que a irmã que estava lá de fora,
213920	215840	ou simplesmente não mais viva.
216340	222480	O casal que desapareceu, se conseguisse entrar, eles estariam mortos dentro de casa.
222760	223480	O casal morreu.
223920	224300	É isso.
224500	228080	2. Os ratos estavam sofrendo mutações e adquirindo características dos seres que eles comiam?
228540	228980	Sim!
229480	234740	Como eu falei no escudo do mestre do episódio, eu basei ela numa aventura do Cthulhu,
234740	236500	que eu acho que é baseado num conto também.
236660	240540	As criaturas vão se adaptando conforme elas vão comendo outras criaturas.
241020	244040	Então, elas vão pegando algumas características.
244600	248700	O que está gerando os ratos, porque eles são gerados e não estão cruzando entre si,
249200	255160	usa de matéria viva, ou já foi viva, matéria orgânica não vegetal,
255560	257940	está usando seres vivos para criar mais ratos.
258380	264940	3. Se sim, havia uma grande chance da criatura lá no esgoto ser o Mesh Splinter do mal?
264940	266400	Não o Mesh Splinter!
266660	270660	Ah, mas algo grande estava naquele esgoto. Algo bem grande.
271020	276380	4. As pessoas perdiam a consciência por algum tipo de substância respirada, ingerida,
276380	279200	ou os ratos estavam desenvolvendo controle mental?
279200	284900	As pessoas e os animais, como a própria ovelha lá, elas estavam sendo...
284900	290440	Ela tinha uma doença que esse rato passava, que fazia elas ficarem meio aéreas às vezes,
