start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu não acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45200	47360	Gente, que bebê é esse? Já tô com ciúme.
47580	48680	Tu dá até o meu irmão.
50420	53740	O maior mistério é o que a gente tá fazendo nesse negócio agora.
55020	55740	Também, né?
57000	58480	Olá, eu sou Marcelo Guaxadinho, narrador.
58560	60760	Produtor, idealizador, podcast, realidade, parada do Guaxadinho.
60960	65060	E estamos ao vivo hoje no Discord do RPG Guaxa, só pros padrinhos.
65500	67400	Por motivos que eu expliquei no episódio passado.
67780	69700	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
70040	72200	Aqui vamos ler os comentários e discutir as teorias do último episódio.
72660	76140	Que, no caso, foi Escola de Monstros 2.0, o fim.
76700	78840	RPG Guaxa 151.
79200	81060	Eu tô aqui com ele, que jogou a sua aventura.
81580	82720	Zipão, tudo bem, querido?
82860	84720	Tudo bem, Guaxa. E com você, por aí?
85100	86800	Tudo certinho. Como é que as pessoas te acham na internet?
86800	89700	As pessoas podem me achar lá na taberna também.
90220	93800	E também podem me achar lá no Instagram, como Zipão na Mochila.
94280	94760	Perfeito.
95260	97340	E já vou aproveitar logo no começo, Guaxa.
97540	99960	E já falar pra quem ainda não votou no The Vintage Awards.
100220	106300	Vota lá que ainda dá tempo, porque a taberna é o melhor lugar do planeta pra se estar nesse momento.
106560	107260	Que é tão legal.
107900	109460	Muito legal tu falar isso.
109560	110540	É bom lembrar, gente.
110620	112520	Eu não sei se dá tempo ainda.
112980	115480	Até o dia 1º do 12, você pode votar no The Vintage Awards.
115480	116780	O RPG Guaxa tá concorrendo.
116800	118440	Ele tá concorrendo em 9 categorias.
118780	120160	E ele tá concorrendo...
120160	121160	O site realmente ficou uma bosta.
121260	122420	Tô tentando abrir aqui e ele não abre.
122620	122940	Deixa eu ver.
123340	124640	Ele tá concorrendo na campanha do ano.
125180	125960	Melhor one-shot.
126480	128120	O personagem jogador, do Adriano Trota.
128560	132280	O personagem do livro cômico, do Danilo Bastini, o capitão.
132780	135980	O do Trota, inclusive o Grun, que tá nesse episódio, né?
137420	137780	É...
137780	139320	Melhor ameaça, tem a véia.
139820	140560	Melhor narrador.
140640	141940	Eu queria muito ganhar melhor narrador.
142640	143460	Você vota em mim.
143960	145460	Campanha de RPG mais inovadora.
146220	146680	Vota em mim.
147160	148480	Melhor história, também.
148840	150300	E melhor cenário original.
150480	151240	Acho que eu tô nesse também.
151700	152820	Nos outros, você vota quem quiser.
152920	156920	Sistema Independente tem o CDR da Naomi, que já participou por aqui.
157500	159880	E tem o episódio da...
159880	162000	E tem o da Luluzinha, que também já gravou aqui.
162240	163900	Que é o Metro de Vânia.
164320	165460	Dois, assim, muito bacanas.
165580	166520	Recomendo muito os dois.
167280	169560	Engraçado que as duas jogaram o episódio de Dia das Crianças.
170100	172520	A Naomi jogou aquele da Corrida dos Guaxinins, lembram?
173020	176420	E a Luluzinha jogou esse último, que foi das Crianças.
176800	178400	Do Roubo do Coração.
178800	179560	Voltar pro roteiro.
179860	181800	Além de votar, você pode seguir a gente nas redes sociais.
181900	183180	É o Marcelo Guaxinim e o Roberto Guax.
183220	184580	Tá no Twitter quanto no Instagram.
185220	187500	E, principalmente, se tornar padrinho.
187620	189880	A partir de 10 reais, você faz parte do nosso grupo do Telegram.
190180	191700	Que é uma comunidade maravilhosa.
191700	195400	Essa semana, algumas pessoas vieram elogiar, no privado,
195900	197820	algumas comunidades específicas lá.
198380	201540	De pessoas que estavam com algum problema e foram ajudadas e tal.
202080	203380	Muita gente jogando RPG.
203920	206340	Então, venha fazer parte dessa comunidade maravilhosa.
206800	208580	E, porra, é isso.
208980	210680	A Twitch, como eu falei, vai ficar um tempo fora.
211100	212100	Mas ela ainda existe.
212660	213220	É isso, Zipão.
213760	214820	É isso mesmo, gente.
215000	218080	Tanto que, lá na própria...
218080	221280	No Telegram do RPG, eu acho que tem umas comunidades sensacionais que eu faço parte.
221280	224580	Como a querida comunidade do Além do Arco-Íris.
225060	228240	Tem a comunidade dos Spoilers, que são sensacionais.
228360	230620	O pessoal interage bastante.
230780	236040	Além da comunidade de animes e afins.
236620	236780	Tem a comunidade...
236780	238560	Tem a comunidade do pessoal fitness também.
239120	240280	E aí, é sensacional, gente.
240380	243060	Lá, o pessoal tem assunto pra conversar sempre.
243160	245520	Tem hora que não dá nem pra acompanhar de tanta conversa.
245960	250120	Mas, sempre quando você chega, dá pra conversar tranquilamente com o pessoal.
250800	251160	Perfeito.
251500	253760	E a gente tá aqui pra ler os comentários do último episódio, né?
254220	256620	Como a gente falou, foi o Escola de Monstros, o fim.
256820	258420	Teve gente que mandou mensagem pra mim, disse...
258420	260200	Ah, eu não consegui ouvir ainda.
260720	264000	Porque eu não quero que acabe esse mundo que eu gosto tanto.
264300	265520	Então, gente, é uma pegadinha.
265520	266520	Eu lembro que o Trota...
266780	267820	Que comentou...
267820	269760	Que o nome do grupo era O Fim, né?
270200	271800	E daí, o Trota falou, tipo...
271800	274840	Ah, o Guacho já botou O Fim, que é pra gente não pedir continuação.
275320	277340	Mas, assim, nada impede que tenha continuação.
277460	278200	Não sei se...
278200	279580	Provavelmente, não com esses jogadores.
280260	281720	Porque a ideia são unshots, né?
281760	283160	Talvez eles comam NPCs.
283340	284900	Ou talvez um deles, na faculdade.
285080	285440	Não sei.
285780	286640	Um dia a gente descobre.
287120	289760	Eu ainda não pretendo voltar nesse mundo.
290160	292640	Eu já tô em fevereiro do ano que vem, nas aventuras.
292780	296440	Mas ainda não pensei em voltar nos monstros.
296440	300880	Então, por enquanto, vou ler o comentário do Jorge Marcos Santos Silva, que coloca...
300880	302080	Realmente, foi o fim.
302460	303460	O fim da má sorte.
303840	304960	KKKKKJ.
305660	306800	Um bom dia, senhor Guaxinim.
306940	307340	Confidade.
307920	309260	Chate e ouvinte Nins.
309300	309900	Tudo bem, querido?
309940	310460	Tudo bem comigo?
310780	311500	Tudo bem contigo, Zipão?
311560	312220	Tudo ótimo.
312740	314260	Aqui tá tudo ótimo comigo, Guaxa.
314360	315460	Pode ficar tranquilo.
316080	316520	Spoilers.
316540	319460	Realmente, pra mim, é uma história que se basta sozinho.
319920	320880	Que episódio incrível.
321040	322940	Aliás, mas preciso perguntar.
322940	325940	Em que universo que não existe do Guaxa Versa acontecem...
326440	327440	Esse apocalipse?
327960	330240	É o mesmo dos Cavaleiros do Bicho.
330740	334440	Já à frente do...
334440	335960	Da atual geração, provavelmente?
336440	338560	O sonho no início que os alertou de tudo.
339040	340580	Quem desse aviso aos jogadores?
341200	342820	Foi um sonho premonitório, né?
343300	346620	O próprio Gabriel fala que sonhar com um anjo é um...
346620	348720	É um bom presságio, né?
349160	351340	Não foi específico, talvez uma força maior.
351800	352320	Vai dar fé.
352500	355240	Como o Pobre Morte estava lidando com isso?
355680	356420	Ele tava bem triste.
356760	357840	Tava preso e tal.
357940	362160	E dessa vez, só dessa vez, a culpa nem era dele.
362640	364180	Quer dizer, diretamente, sim.
364380	366320	Já que ele ajudou a esconder o bebê.
366720	369760	Em vez de deixar o apocalipse rolar quando era pra ter rolado.
369760	371000	Foi maravilhoso mesmo.
371120	373360	Todos os jogadores, personagens novos, narrativa, edição.
373440	374600	Foi tudo primoroso.
375140	379240	Parabéns a todos que foram cada 1024% do episódio.
379760	380300	Por hoje é isso.
380380	382580	Biscoitos com desenho de céu rachando a todos.
383120	386360	Mas uns a menos pro Guaxa, pelo susto do Guaxa Versa.
386860	388200	Acabar na semana passada.
388640	389340	Que isso, mano.
389400	390080	Não precisava não.
391100	392300	É o clickbait.
392640	393280	É isso, gente.
393540	394640	Um forte abraço a todos.
394760	395900	Força e luz para todos nós.
396040	396620	E até mais.
397080	397380	PS.
397520	399540	Super votadíssimo no The Vintage Award.
399620	400360	Muito obrigado, querido.
400720	402500	Eu podia estar tretando no Twitter.
403020	405460	Tem um monte de treta acontecendo na comunidade de RPG.
406100	408300	De, sei lá, The Vintage Award não serve pra nada.
408780	410720	Disseram pessoas que se inscreveram e não classificaram.
411900	413880	Porra, o melhor narrador é fulano.
414400	416020	Eu podia estar lá, tretando.
416440	417480	Farmando um like.
417840	419660	Mas tô aqui, lendo comentários.
419820	420480	Obrigado, gente.
421200	422520	Pode ler o próximo, Zipão.
422880	427240	Queria, antes de mais nada, reclamar do jogador que só comenta no episódio que joga.
427360	428160	Pronto, agora pode ir.
428220	432080	E justamente o próximo comentário aqui é da Fabi.
432520	434320	Boa noite, Alumonstros.
434440	437060	Professor Convidade e diretor Guaxinim.
437440	438500	Tudo bem com vocês?
439220	440760	Bom, comigo tudo ótimo.
441260	441700	Guaxa?
441800	442080	Tudo bem.
442080	446420	Um episódio divertido, redondinho e cheio de plot twist.
446440	447680	Maravilhosos.
448120	453200	Confesso que estava perdida, pois não sei nada sobre os Cavaleiros do Apocalipse.
453660	459840	Então, espero que outras pessoas tenham compartilhado dessa ignorância comigo ao longo da aventura.
460340	462280	Carinha de riso, carinha de riso.
462700	465360	Espero outras histórias neste mundo, por favor.
465900	470980	Mesmo que seja com outros personagens, pois ele é muito bom para não ser usado.
471280	475520	Obrigado a Guaxa, Zorzal e meus amigos estudantes Ali e Grum.
475520	475720	Obrigado.
476440	477240	Foram incríveis.
477860	482700	Por fim, mas não menos importante, vida longa ao R.P. Guaxa.
482940	484060	Mãozinhas para cima.
484460	486240	Isso me pegou de surpresa.
486780	490340	O fato da Fabi não saber nada dos Cavaleiros do Apocalipse.
490340	495380	Eu sou um católico não praticante hoje.
495580	496340	Sempre tive aquele...
496920	499520	Cresci dentro da igreja, por incrível que pareça.
499960	502540	Para mim era um negócio bem enraizado.
503260	505740	Mas sinto muito quem não conhece.
505740	507540	A história, né?
507820	511300	Espero que assim como a Fabi, você tenha aproveitado do mesmo jeito.
511620	516580	Obrigado, obrigado por emprestar esse personagem maravilhoso para essa história.
517020	519300	Próximo comentário é do Bispo do Caos.
519400	519740	Ele coloca...
520320	522280	Primeiramente, bom dia ou boa noite, senhor Guaxinim.
522360	523500	Convidado, chat e ouvintinista.
523560	524200	Tudo bem, queridos?
524560	525200	Tudo bem com a gente?
525660	527040	Rapaz, que episódio excelente.
527200	530120	Difícil de criticar de alguma forma.
530600	531500	O áudio estava excelente.
531580	533780	Participação dos jogadores e sua atuação digna de Oscar.
533780	534780	O trota é realmente...
535740	536540	Um ótimo ator.
537000	541020	Gostaria de saber quais foram os trabalhos em que ele atuou.
541440	541840	Não sei.
542180	544480	Espero que o trota depois vá lá no post e escreva isso.
544820	549580	A imersão foi tão grande que nem percebi quando chegou o meu ponto para descer do ônibus.
550080	551500	Me imaginei junto com os personagens.
551600	552680	Netflix, cadê você?
552760	553200	É verdade.
553520	554720	Você está perdendo dinheiro, viu?
554900	555160	Porra.
555580	557300	Quem mais está perdendo sou eu nessa brincadeira.
557680	561240	Dá até para fazer um jogo com a história ou até um NFT.
561480	562680	NFT eu não gosto não.
562680	563800	Mas um jogo seria legal.
564300	565620	No mais, é só.
565620	567940	Obrigado por colocar a voz da Árgata na história.
568340	569840	Sim, ela criou a personagem, inclusive.
570480	571940	Pelo menos a aparência, né?
572400	574300	Foi de arrepiar e combinou com o personagem.
574680	575640	Parabéns a todos.
575720	576440	Ao Marcelo Guasta.
576880	577560	Pelo ótimo trabalho.
