start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37920	41560	Guaxaverso, onde o que não existe é debatido.
45340	45940	Gravando.
46620	49560	Gravando? Isso é editado pelo Zorzal?
50140	53020	Por mim, não. Esse aqui eu mesmo edito.
53460	55740	Olá, senhor Guaxa do futuro editor.
57740	58180	Olá.
58560	59060	Isso eu vou cortar.
61100	64840	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast e realidade para o Guaxinim.
65040	67820	E eu espero que ninguém perca o seu áudio dessa vez.
68200	70280	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
70420	72840	Aqui vamos ler os comentários e discutir as teorias do último episódio.
73300	78620	Que, no caso, foi o episódio 146, As Filhas da Floresta.
79100	84840	E eu estou aqui com ela, a maior profissional de podcast que já pisou neste programa,
85440	86100	Domênica Menes.
86220	86760	Olá, querida.
87020	87860	Oi, Guaxa.
87860	87920	Oi, Guaxa.
87920	88180	Oi, Guaxa.
88180	92920	Eu achei que você ia falar, eu estou aqui com ela, a pessoa que perdeu o áudio da gravação.
92920	94380	Ah, sim, eu fiquei chocado.
94700	95020	Nossa.
95800	97800	Mas é pra isso que a gente trabalha com backup, né?
98100	102120	É pra isso que a gente trabalha com backup e é pra isso que a gente só grava com amigos, né?
102160	105800	Porque aí você passa a vergonha e fala, desculpa, e aceita as nossas ampoias da vida.
105960	108260	E tá tudo bem, porque, enfim, mereci.
108640	113960	Mas é isso, Guaxa, porque a primeira lição pra gravar podcast é você saber que
113960	117360	a profissional de podcast, ela vai gravar pra você.
117560	117720	Sim.
117720	121220	E ela vai esquecer que ela tá gravando, porque ela é paga pra gravar.
121300	122300	Ah, porque paga pra gravar.
122340	123880	É, porque aqui eu sou amador, né?
123900	124820	Eu não vivo disso.
125040	125920	Nossa, gente.
126060	128540	Ai, que vergonha, assim, a vergonha do século que eu passei.
128660	131160	Eu até pensei, assim, em mudar de carreira, entendeu?
131860	135300	Me alistar na legião estrangeira, mudar meu nome, mas faz muito trabalho.
135540	136080	Não vai dar, não.
137100	138340	Não, não, assim, acontece.
139800	141280	Acontece com todo mundo, é isso que eu aprendi.
141540	142660	É, é isso.
143440	143760	Acontece.
144120	145380	Com os melhores e com os piores.
146880	147340	É verdade.
147720	150760	Se você está aqui e quiser ajudar este projeto, seja nosso padrinho.
151180	152440	A partir de um real, você ajuda a gente.
152780	153740	A partir de dez reais.
154440	155620	Pensando em subir isso aí também, gente.
156080	158800	É, mas a partir de dez reais, você faz parte do nosso grupo do Telegram.
159340	163260	Lá você tem o grupo principal e tem vários subgrupos pra discutir, sei lá, né?
163740	166580	Anime, videogame, os spoilers dos episódios.
167000	171820	É lá que eu peço pras pessoas fazerem os NPCs.
171820	173820	Eu digo, ó, eu preciso de uma princesa.
174700	176680	E daí a Domênica diz, eu posso ser uma princesa.
176740	177700	Daí eu mando as falas pra ela.
177720	178360	Ela faz.
178800	182440	E por baixo eu poder dizer, eu vou ser um príncipe no mesmo episódio.
182900	184860	E os dois personagens não interagem em momento algum.
185120	187660	Achei maravilhoso isso.
187980	188600	Mas tudo bem.
189000	190960	Então lá você pode fazer vozes.
191240	197100	É uma série de vantagens, mas o principal, o principal de tudo, é ajudar o podcast a existir.
197480	200440	Você não está dando dez reais pra fazer parte de um grupo do Telegram.
200560	203480	Você está dando dez reais pra ajudar o RPG Vasco a continuar existindo.
203880	206840	E de brinde você vai pro grupo do Telegram, pelo amor de Deus.
207240	207560	Essa é...
207560	208560	Essa é a ideia, né?
208940	211620	Outra maneira de estar ajudando a gente é seguindo as redes sociais.
211700	214680	Eu vou no assalagostinho, arroba RPG Guaxa, tanto no Twitter quanto no Instagram.
215240	216660	E a gente está aqui ao vivo na Twitch.
217100	219740	Normalmente é segunda-feira, mas essa semana está muito doida.
220220	222300	Então hoje é uma quarta-feira, a gente está aqui.
222800	224460	E eu estou com a Domênica, como eu falei antes.
224840	227300	Domênica, conta pra gente como é que as pessoas te acham na internet.
227440	228480	Quais são os teus projetos.
228840	231540	Onde elas vão poder ouvir mais Guaxa na semana que vem.
232020	232660	Conta pra gente.
232900	233940	Ó, gente.
234240	237400	Então, gosto que, aparentemente, esse episódio saia essa semana.
237560	238720	Já no feed, é isso mesmo?
239280	241940	Então, originalmente ele era pra sair amanhã.
242140	242300	Então.
242320	243520	Nem a pau, ele vai sair domingo.
243700	244400	Ah, bom.
244540	244840	Então tá.
245200	248780	Então assim, amanhã, se você estiver ouvindo isso no domingo.
249240	249400	É.
250320	250720	Você...
250720	252360	Amanhã você ouve o Guaxa?
252460	252960	Não, não.
253460	255420	Na quarta-feira você ouve o Guaxa.
255480	257320	Porque eu mudei o dia do Produtos na Instante também.
257420	261060	Você ouve o Guaxa lá comigo e com o Sr. Basso.
261060	263560	Conhecido como o princeso que não conversa com a princesa.
263660	264800	Tá com a vida real, tô brincando.
266680	267080	É...
267080	267240	Não.
268520	269440	Ele vai me matar.
269560	270540	Eu não queria ouvir falar tudo isso.
271240	271600	É...
271600	273640	Você ouve o Guaxa falando sobre One Piece.
273780	274800	A série live action.
275360	278280	O Produtos é um podcast sobre adaptações literárias.
278440	280160	E livros que viraram filmes e séries.
280220	281120	É muito legal.
281300	283200	Recomendo que vocês ouçam com muito carinho.
283280	285080	Lembrando que lá a gente fala...
285080	287140	A gente analisa o que já foi ao ar.
287140	291060	Então, leia ou assista antes de poder acompanhar o episódio.
291400	293460	Embora, assim, lá nos primórdios, né?
293460	295340	A gente ainda fazia uma versão sem spoiler.
295440	296540	Depois com spoiler e tal.
296540	301820	Além disso, pra quem curte produção de podcast, quer melhorar, quer aprender, enfim.
302060	303260	Eu apresento o Estúdio 31.
303860	308140	Ele não tem uma periodicidade muito adequada no sentido de...
308140	309200	Notei, notei.
309220	310020	Desculpa, Guaxa.
310080	310860	Eu sei que você ouve.
310860	311160	Tá lá.
311480	312540	Mas, assim...
313180	314720	O Perdidos...
314720	315720	O Perdidos.
315820	319880	O Estúdio 31, o trabalho dele que é poder ajudar, né?
320260	323920	Podcasters ou pessoas que querem se tornar podcasters a melhorar seus projetos.
324220	326480	Eu entrei agora muito numa vibe de querer trazer...
326480	329820	Novidades, realmente, do que tá acontecendo no mercado e as ferramentas que estão disponíveis.
330000	334060	E aí, eu dependo dessas ferramentas estarem existindo e sendo lançadas pra poder fazer os episódios.
334160	336740	Senão, não tem como analisar e eu ensinar uma coisa que, assim...
336740	336920	Né?
337200	337880	Já tá lá.
338360	339680	Ah, mas eu quero aprender a gravar.
339740	341300	Já tem episódios de como gravar.
341400	342620	Ah, como é que funciona a edição?
342760	343700	Já tem episódio.
343820	345560	Então, o básico já foi feito.
345560	351560	E agora eu tô tentando, realmente, dar uma coisa com um pouco mais de aprofundamento.
352240	354280	Mas, ao mesmo tempo, com conteúdo mais acessível, né?
354280	355600	Pra quem não pode, enfim, pagar um curso.
355680	356460	Não tem muito tempo de ficar.
356540	357580	Investindo, pagar um profissional.
358100	359140	Poder entender o que tá acontecendo.
359300	360560	Mas ele vai voltar, Sr. Guaxa.
360640	360780	Tá?
360840	361640	Em homenagem ao senhor.
361800	362840	Porque eu sei que o senhor gosta.
362920	363580	O senhor acompanha.
363660	364760	Fico muito honrada com isso.
364900	365520	Fico muito feliz.
366280	368080	E eles são episódios, agora, bem curtinhos, também.
368220	369380	De até 10 minutinhos, né?
369380	370720	Com dicas bem práticas mesmo.
370820	371520	Então, é um diferencial.
371520	374520	E nas redes sociais, vocês me encontram em...
375160	378540	Muito pouco, agora, gente.
378600	379220	Não vou mentir.
379360	380300	No Twitter e no Instagram.
380620	384500	Porque eu tenho uma desanimada braba, assim, de rede social, sabe?
384600	385120	Tipo, vai.
385320	386020	Ai, cansei.
386160	386420	Cansei.
386480	387000	Que bonito.
387660	389940	E também tô lá no Blue Sky, mas eu falo menos ainda.
390180	393160	Então, o lugar mais fácil de me achar é no Grupo do Guaxa.
393960	398480	Que é um prazer estar lá com pessoas tão queridas.
398480	401020	E, acima de tudo, é o que você disse mesmo.
401580	405340	Ser madrinha do RP Guaxa, assim, pra mim é uma honra, sabe?
405360	408480	Eu demorei pra assumir essa responsa, assim, com orgulho.
409280	410060	Mas um dia eu falei, não.
410160	411420	Hoje eu acerto essa parada, né?
411820	414740	Mas por falta mesmo de tempo de sentar o bumbum e assinar.
414880	415480	Do que por...
416160	416460	Enfim.
416480	417980	Por qualidade de projeto.
418140	420160	Porque eu acho o seu projeto, o Guaxa, eu te falei.
420360	421560	Eu falo pras pessoas.
422200	424880	Eu acho muito, muito, muito, muito bom.
425140	426220	Muito espetacular, assim.
426300	426480	Muito inspirador.
427360	427480	É um...
428100	428480	É assim...
429240	432620	Pra mim, é a prova de que podcast pode ser feito de todas as formas, sabe?
432880	433280	Enfim.
433620	435220	Aí eu vou começar a falar de...
435220	436220	Ah, e do seu grupo maravilhoso?
436280	437120	Seu projeto maravilhoso?
437340	437760	Mas, enfim.
437840	440760	A gente tá aqui pra comentar sobre o projeto, né?
440900	441480	O projeto episódio.
442760	444100	As Filhas da Floresta.
444640	445980	No qual foi a minha estreia aqui.
445980	446480	Jogando RPG.
446620	447800	A gente nunca tinha jogado RPG.
448440	448880	No...
448880	449500	Mentira.
450020	455280	No Guaxa Encontro, eu joguei a minha primeira mesa com a Fabi.
456080	456520	Mestrando.
457160	459980	Que ela usou o Guaxinense Gambiarras.
460440	462680	Essa foi a segunda vez que eu joguei.
462820	463600	E, assim...
463600	465220	Eu com RPG eu fico muito...
465220	466300	Ah, eu não sei jogar.
466800	467180	E mentira.
467240	467860	Todo mundo sabe.
467900	469300	Eu sei, mas ao mesmo tempo...
469300	469680	Né, né?
469720	470440	Eu não sei jogar.
470940	471200	Sabe?
472140	474060	Mas foi super bem acolhida.
474060	475060	E foi muito divertido.
475980	477640	Gravar essa aventura.
477740	478720	E jogar com as meninas.
479060	479860	É o que você pergunta, assim.
479880	482500	Ah, qual o melhor sistema de RPG?
482700	483520	O melhor eu não sei.
484020	487420	Agora, pra gravar podcast ou introduzir novos jogadores,
487700	489380	eu não conheço melhor do que esse aqui.
489820	492180	Porque ele é simples ao ponto de...
492180	495040	No caso, a Domenica já teve uma experiência antes,
495100	495880	mas com o mesmo sistema.
496420	498760	Mas a gente já teve pessoas aqui como a própria Flavinha.
498880	500940	Teve gente que passou aqui que nunca tinha...
500940	502180	Fazia ideia do que era RPG.
502180	504940	E a gente faz ele simples o suficiente, né?
505420	505660	Pra...
505660	505940	Pra...
505980	507700	Pra que todo mundo consiga jogar.
508100	508880	E é óbvio.
509020	510380	Aí eu quero, sei lá...
510380	512600	Jogar uma campanha, uma...
512600	514420	Sei lá, uma aventura um pouco mais complexa.
514760	518480	Existem vários sistemas que trazem essa complexidade maior.
518880	519760	Que vocês podem ir atrás.
520120	525340	Mas pra podcast, eu acho que eu cheguei muito perto do...
525340	525880	Sabe?
525920	527760	Do ideal pra gente estar fazendo aqui.
527860	529180	Acho que melhor que isso.
529300	531400	Só se em vez de um número fosse uma palavra.
531400	534380	Mas quando eu tive essa ideia, eu já tinha 100 episódios lançados.
534440	535120	Eu não quis voltar.
535300	535900	Ah, mas...
535900	537100	Ah, um spin-off, pô.
537160	538200	Dá pra fazer um spin-off.
538660	539020	É.
539500	542880	O Gostiniz e Gambias não foi meu primeiro contato com RPG, né?
