0;9460;"03";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"03";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"02";Como assim?
16180;18000;"02";Você entendeu a referência do último episódio?
18240;18980;"02, 01";Olha só, faz tudo!
18980;20020;"04, 02, 01";Não, o Guaxaverso sabe o que faz!
20020;20960;"02, 01";Espera, o que é o Guaxaverso?
21000;22980;"02, 01";Era só uma questão de tempo.
23080;24520;"02";O Guaxaverso sempre existiu!
24520;27180;"02, 05, 01, 00";Eu quero entender o Guaxaverso!
27220;28560;"01, 05";Alguém me explica o que é o Guaxaverso?
28560;32040;"04, 05";É, pessoal, não existe o Guaxaverso.
32100;33720;"04, 05";Eu acredito no Guaxaverso!
33760;36560;"05";Mas supondo que ele exista...
37920;41560;"04, 03";Guaxaverso, onde o que não existe é debatido.
45340;45940;"05";Gravando.
46620;49560;"02, 03";Gravando? Isso é editado pelo Zorzal?
50140;53020;"02, 05";Por mim, não. Esse aqui eu mesmo edito.
53460;55740;"02";Olá, senhor Guaxa do futuro editor.
57740;58180;"05";Olá.
58560;59060;"05";Isso eu vou cortar.
61100;64840;"05";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast e realidade para o Guaxinim.
65040;67820;"05";E eu espero que ninguém perca o seu áudio dessa vez.
68200;70280;"05";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
70420;72840;"05";Aqui vamos ler os comentários e discutir as teorias do último episódio.
73300;78620;"05";Que, no caso, foi o episódio 146, As Filhas da Floresta.
79100;84840;"05";E eu estou aqui com ela, a maior profissional de podcast que já pisou neste programa,
85440;86100;"05";Domênica Menes.
86220;86760;"05";Olá, querida.
87020;87860;"02";Oi, Guaxa.
87860;87920;"02";Oi, Guaxa.
87920;88180;"02";Oi, Guaxa.
88180;92920;"02, 05";Eu achei que você ia falar, eu estou aqui com ela, a pessoa que perdeu o áudio da gravação.
92920;94380;"02, 05";Ah, sim, eu fiquei chocado.
94700;95020;"01, 05";Nossa.
95800;97800;"05";Mas é pra isso que a gente trabalha com backup, né?
98100;102120;"02";É pra isso que a gente trabalha com backup e é pra isso que a gente só grava com amigos, né?
102160;105800;"02";Porque aí você passa a vergonha e fala, desculpa, e aceita as nossas ampoias da vida.
105960;108260;"02";E tá tudo bem, porque, enfim, mereci.
108640;113960;"02";Mas é isso, Guaxa, porque a primeira lição pra gravar podcast é você saber que
113960;117360;"02";a profissional de podcast, ela vai gravar pra você.
117560;117720;"02, 05";Sim.
117720;121220;"02, 05";E ela vai esquecer que ela tá gravando, porque ela é paga pra gravar.
121300;122300;"05";Ah, porque paga pra gravar.
122340;123880;"05";É, porque aqui eu sou amador, né?
123900;124820;"05";Eu não vivo disso.
125040;125920;"05";Nossa, gente.
126060;128540;"02, 05";Ai, que vergonha, assim, a vergonha do século que eu passei.
128660;131160;"02";Eu até pensei, assim, em mudar de carreira, entendeu?
131860;135300;"02, 05";Me alistar na legião estrangeira, mudar meu nome, mas faz muito trabalho.
135540;136080;"02";Não vai dar, não.
137100;138340;"05";Não, não, assim, acontece.
139800;141280;"05";Acontece com todo mundo, é isso que eu aprendi.
141540;142660;"01";É, é isso.
143440;143760;"01";Acontece.
144120;145380;"02";Com os melhores e com os piores.
146880;147340;"05";É verdade.
147720;150760;"05";Se você está aqui e quiser ajudar este projeto, seja nosso padrinho.
151180;152440;"05";A partir de um real, você ajuda a gente.
152780;153740;"05";A partir de dez reais.
154440;155620;"05";Pensando em subir isso aí também, gente.
156080;158800;"05";É, mas a partir de dez reais, você faz parte do nosso grupo do Telegram.
159340;163260;"05";Lá você tem o grupo principal e tem vários subgrupos pra discutir, sei lá, né?
163740;166580;"05";Anime, videogame, os spoilers dos episódios.
167000;171820;"05";É lá que eu peço pras pessoas fazerem os NPCs.
171820;173820;"05";Eu digo, ó, eu preciso de uma princesa.
174700;176680;"05";E daí a Domênica diz, eu posso ser uma princesa.
176740;177700;"05";Daí eu mando as falas pra ela.
177720;178360;"05";Ela faz.
178800;182440;"05";E por baixo eu poder dizer, eu vou ser um príncipe no mesmo episódio.
182900;184860;"05";E os dois personagens não interagem em momento algum.
185120;187660;"05";Achei maravilhoso isso.
187980;188600;"05";Mas tudo bem.
189000;190960;"05";Então lá você pode fazer vozes.
191240;197100;"05";É uma série de vantagens, mas o principal, o principal de tudo, é ajudar o podcast a existir.
197480;200440;"05";Você não está dando dez reais pra fazer parte de um grupo do Telegram.
200560;203480;"05";Você está dando dez reais pra ajudar o RPG Vasco a continuar existindo.
203880;206840;"05";E de brinde você vai pro grupo do Telegram, pelo amor de Deus.
207240;207560;"05";Essa é...
207560;208560;"05";Essa é a ideia, né?
208940;211620;"05";Outra maneira de estar ajudando a gente é seguindo as redes sociais.
