start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu não acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
44860	49240	É normal, né? Ele faz, gente. Faz sempre abandona. Já tô acostumada.
49260	51940	Faz sempre abandona! Que horror!
51960	54420	Fica a lição do RPG Guaxo de hoje.
54720	55760	Que horrível!
56760	58540	Olá, eu sou Marcelo Guaxinim.
58560	61240	Narrador, produtor e idealizador do podcast de Realidades do Paralelo do Guaxinim.
61280	63560	E vai mudar a abertura semana que vem.
63940	66420	Quer dizer, até o momento deu problema.
66700	69480	Talvez demore uma semana a mais.
69800	71500	Mas ontem tava tudo certo.
71800	75340	Hoje já tivemos um pequeno probleminha, então não sei.
75680	77440	Mas talvez pro próximo episódio tudo dê certo.
77760	79260	Mudou a abertura, só aceitem.
79480	81300	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
81560	83780	Aqui vamos ler os comentários e discutir as teorias do último episódio.
84180	85940	Que, no caso, foi Mãe?
86240	87020	Ponto de interrogação.
87440	87940	RPG Guaxa.
87940	89300	145.
89820	91620	E eu estou aqui hoje com o Jean.
92060	92640	Boa noite.
92980	93840	Boa noite a todos.
94000	97240	Boa noite, Guaxa, Guaxate e Guaxoventes.
97240	100640	Se você quiser ser padrinho desse projeto, assim como...
100640	101960	Assim como não.
102040	102920	Como é que eu vou falar isso?
103600	105120	Se você quiser ser padrinho...
105120	106680	Entendi, você não quer ser o José Sérgio.
106980	109600	Assim como figuras ilustres.
110020	111000	Da outra vez editaram.
111160	112340	Não sei nem que palavra que eu vou usar.
112760	114000	Porque as pessoas são más.
114940	117240	Mas se você quiser ser padrinho da mesma forma...
117940	122840	Que o Jean, que a Belo, que a Rebelbia.
123400	126380	Então você pode ir lá no PicPay ou no Padrim.
126820	131560	A partir de 10 reais, você faz parte do nosso grupo do Telegram.
131660	132920	Onde tu pode gravar NPC.
133700	135260	Onde tu pode discutir teoria.
135800	136800	Onde tu faz...
136800	137520	Poxa, a gente...
137520	142240	O grupo de anime, falamos muito sobre o One Piece, o live action.
142700	143540	Que é maravilhoso.
143560	143860	Lindo.
143860	147620	Minha filha chorou na cena da Nami.
147620	148660	No final do sétimo episódio.
148820	150900	Pra quem assistiu, né?
151220	153240	Ou pra quem conhece o One Piece ou o mangá.
153920	157100	Aquela cena que faz as pessoas...
157100	160040	Se tu chegou até ali, tu não abandona mais o One Piece, em teoria?
160560	161900	Eu disse isso pra Bia, inclusive.
162120	163620	Eu falei, Bia, você vai assistir...
164220	164960	Você vai...
164960	165640	A gente vai...
165640	167980	A gota d'água vai ser na cena da Nami.
168320	170400	Eu quero ver o que você vai dizer dali.
170880	171460	Ela falou, ok.
171660	172760	A gente tá vendo de pouquinho.
173520	175240	A cena da Nami fez a minha filha chorar.
175300	176160	A minha esposa não chorou.
176160	177460	Mas ela gostou.
177460	178120	Ela gostou muito da série.
178200	179960	Tá procurando todos os filmes do Zoro.
180480	183080	E daí ela descobriu agora que ele é o Seiya, né?
183120	183780	No Kamen Rider Zodíaco.
183800	184400	Ele é muitas coisas, né?
184400	185640	Agora ela quer ver Kamen Rider Zodíaco.
185680	187920	Ele é chamado pra tudo, aquele cara.
188440	191240	Ele faz o Scar no Full Metal, né?
191720	196280	Botaram no grupo dos otakus ali todos os papéis de filmes live action.
196280	197360	O primeiro eu não sei quem é.
197440	198880	Que é um de óculosinho redondo.
198960	199820	Eu não sei quem é aquele cara.
199840	200480	Eu já me perdi.
200580	202520	Eu já não sei mais ali o que é montagem e o que não é.
202580	204060	Eu acho que tem uns ali que nem existe.
204200	205480	Tem um ali que era de Jojo.
205480	206900	Não, peraí, calma.
207460	207800	Não, tá.
207960	211980	Tem uma compilação menor que são quatro personagens.
212180	214900	Primeiro eu não sei de onde é, mas parece verídico.
215240	218260	O segundo é o Scar, que eu sei que tem no Full Metal, né?
219800	222460	E pra mim não combina, porque eu acho ele muito...
222460	225100	Eu sempre imaginei o Scar como um cara mais velho, embora...
225100	225340	É.
225340	227100	Não sei, um cara maior, talvez.
228780	230480	Mas ok, ok, tá lá.
230900	231720	Mas não é sobre isso.
232000	236660	Eu vou gravar um podcast sobre a série live action.
237040	237280	Uhum.
237360	237440	Uhum.
237440	238660	Quando sair eu aviso vocês.
238900	239180	Massa.
239180	240040	Me convidaram já.
240180	241220	Massa, massa, massa.
241960	244980	Quem me convidou é uma pessoa que já gravou um só RPG.
245260	248320	Fica aí pra vocês adivinharem quem seja.
248320	250420	Eu acho que já sei quem é, mas eu não vou dar spoiler.
250780	251760	Mas é um palpite.
252240	252720	Eu não sei.
253060	253260	Ok.
253260	253560	De verdade.
253840	254500	E assim, ó.
254700	257720	Se você quiser ajudar também, além de patronato, você pode seguir nas redes sociais.
257840	259340	Eu vou mostrar o meu Instagram, arroba RPG Guaxa.
259520	263100	Tanto no Twitter quanto no Instagram e outras redes sociais aleatórias.
263460	265900	E estamos numa rede social aleatória, que é a Twitch.
266400	267420	Eu não mexo no RPG.
267440	269260	Eu não mexo no RPG na Twitch, porque é trabalhoso pra caramba.
269780	271140	E dá pouquíssimo retorno.
271520	273600	Eu não sei nem porque que eu gravo a leitura aqui.
274340	275300	Mas estamos aí.
275420	276080	Estamos fazendo.
276680	281460	Se você quiser assistir a leitura de comentários ao vivo, te convido sempre na segunda-feira
281460	286060	após o episódio, normalmente às oito horas da noite, a gente tá aqui na Twitch.
286180	292200	Hoje, excepcionalmente, numa terça, porque ontem faltou luz do meio da tarde até quase
292200	293420	nove horas da noite.
294160	297420	Quando já tinha cancelado a live, eu deitei.
297440	300520	Fiquei no sofá, porque eu tava ainda sujo da rua, né?
300800	304500	Eu não ia pro quarto, nem ia arriscar tomar um banho gelado ainda.
305080	307380	A hora que eu me acomodei, a luz voltou.
307500	308480	Aí eu disse, ok, vou tomar um banho.
309620	310340	Já foi, né?
310340	311280	Esse barco já partiu.
311380	311880	Deixa pra amanhã.
312420	312620	É.
313720	316840	Mas estamos aqui pra ler os comentários, então, do último episódio, que no caso
316840	319440	foi Mãe, episódio 145.
320080	321620	E o primeiro comentário...
321620	323240	Lembrando que eu tenho cartas, hein, Jean?
323340	324620	Eu acho isso um absurdo.
324620	326040	Já queria deixar isso aqui claro.
326140	326960	Essa tirania.
326960	329120	Esse uno da maldade.
329500	330320	Mas tudo bem, né?
330380	330700	Vamos lá.
330780	331580	Eu só trabalho aqui.
332020	332580	Tudo certo.
332700	333640	Inclusive, eu tava...
333640	334900	Eu assim, porra, quem que eu chamo?
334960	335700	A regra é clara.
336200	337200	Os três já gravaram.
337280	338140	Vamos chamar a menina.
338620	340480	Mas a Zuzu tá no passado.
340980	342320	No Guaxa Veste passado.
343100	345840	Aí, a Bela usou o seguinte argumento.
345980	346840	A Fábio e Bela.
347220	349340	O que tá há mais tempo sem gravar é o Jean.
349840	351760	E você tem cartas contra ele.
352100	353360	Aí eu disse, ah, bem lembrado.
354060	355560	E daí foi o argumento.
355560	357120	É, obrigado, Fábio.
357240	358400	Eu acho, né?
358540	359000	Tudo bem.
359680	360680	É um amorzinho.
361260	361940	Eu disse pra ela, obrigado.
362100	364020	Eu sou péssimo em tomar decisões.
364300	366920	Já que ela tomou essa por mim, eu fiquei muito feliz.
366920	367180	É?
367540	367980	Ok.
369720	371380	Primeiro comentário, podem marcar no bingo.
371480	372600	É do Jorge Marcos Santos Silva.
372700	373300	Ele escreve...
373300	373920	Dios!
374520	375900	Mas que viagem foi essa?
376020	377580	Turbilhando sentimentos e confusões.
377760	378720	E caraca!
379220	382260	Um bom dia, Guaxa, convidados, chat e ouvintininhos.
382580	383360	Como vocês estão?
383360	384360	Depois desse episódio...
385560	389480	Ele não sabe se ele tá muito bem.
389520	390420	Eu tô bem, você tá bem, Jean?
390440	391120	Eu tô bem, tô bem.
391180	392120	Na medida do possível.
392640	393220	Foi tranquilo?
393280	397440	Tu gravou esse episódio sem ter ouvido os outros que fazem referência a ele?
398000	402000	E à medida que os episódios iam sair, não te dava vontade de comentar mais do que tu deveria?
402440	402800	Claro.
403380	404260	Com certeza, né?
404280	405580	Mas a gente tem que se aguentar.
405940	408080	Tanto pra não dar spoiler quanto...
408080	413020	Porque, assim, enquanto eu tava gravando o episódio, já vinha teorias na cabeça, né?
413460	415540	Ainda que eu não tivesse ouvido os outros...
415560	417440	Os outros dois que se conectavam.
417960	418900	Mas, pô...
418900	420080	Você segura, né?
420480	421600	E fica matutando.
422640	423900	Até porque não grava mais, né?
423940	425000	Sem dar spoiler, fica o aviso todo dia.
425000	425460	Exatamente.
426680	427640	Fica a ameaça.
430100	431220	Mas vamos lá, spoilers.
432020	433180	Acho que não tem muitas perguntas.
433280	437140	Bom, o que os jogadores poderiam fazer a respeito do que estava rolando?
437740	438100	Nada.
438560	440460	O final era inevitável.
440540	441300	Isso é muito triste.
443860	445460	Eu critico muito a aventura.
445560	447620	Sábado 14, que tem uma ideia parecida.
448120	450220	Por ela parecer que não tem muito caminho.
450720	453100	Mas é porque lá é um cenário muito mais fechado.
453180	455020	Aqui a aventura, a gente pode fazer um milhão de coisas.
455340	455680	Sim.
455840	458820	Mas o fim, ele é um só.
459000	459860	Não tem o que fazer.
461080	465300	Aceitar o apagamento iminente, né?
465380	466040	Nem a morte.
466120	468900	A gente tinha a cidade ali pra andar também, né?
468980	470920	Sábado 14, que nem você falou, é mais fechado.
471420	472640	E aí é um pouco mais...
472640	474060	Dá uma agonia maior, né?
474160	475380	Porque, assim, é a mesma cidade.
475380	475480	É.
475480	475500	É.
475500	475520	É.
475520	475540	É.
475560	475580	É.
475580	476160	É uma cena, cara.
476320	477360	O tempo todo.
478120	479060	Mas é bom também.
479140	480060	Sábado 14 é ótimo.
480940	481160	Ok.
481340	482520	Eu tenho minhas críticas continuando.
482640	483380	Existiu alguma saída?
483500	483820	Não, né?
484260	488780	Tem uma linha alternativa digital, mas na visão macro dos seres fora das linhas, como
488780	490800	nós, todos não são digitais?
491120	497740	Então, se tu parar pra pensar que isso é um podcast na internet, todas as histórias
497740	500060	de todos os episódios são digitais.
500120	500280	Exatamente.
500660	503100	Inclusive, são ponto MP3 cada um deles.
504560	505000	Mas...
505000	505340	Não.
505340	505940	Não, assim, né?
506620	509400	Os episódios que são digitais são aqueles que eu falei.
509920	511000	Os antigos, né?
511000	513260	Sábado 14, tem alguns que mexem com isso.
513700	516160	E esses da linha que eu acabei explorando esse ano.
516500	517220	Confesso que adorei.
517320	522440	Foi uma mistura de mais o que tá rolando aqui com Será Que É e Meu Deus do Céu.
522640	523620	Uma ótima combinação.
524260	528940	Foi surpreendente mesmo e acho que ficaria mais perdido que os jogadores kkkkj.
529440	530820	Por isso, por hoje é isso.
530920	531840	Um forte abraço a todos.
531960	532960	Força e luz para todos nós.
533080	533400	E até mais.
533400	534300	Até mais, querido.
534700	535100	Larga a tinta.
535100	538780	A Domestika Barbuda escreveu um comentário gigante, mas a gente não leu os comentários
538780	540580	agregados, então só agradeço a Larga a Tinta.
540800	542260	Poxa, que pena a Larga a Tinta.
543380	544960	Mas eu acho que ela comenta depois.
545020	546200	Ela deve ter comentado depois, né?
546920	547240	Mas...
547240	547740	Eu espero que sim.
548160	549080	Continuando então com...
549080	550140	Fala, fala, Rocha.
550480	551900	Ela tá usando o chapéu de palha.
552360	553220	Olha só.
