0;10120;"06";Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;15000;"06";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"00";Como assim?
16180;18000;"00";Você entendeu a referência do último episódio?
18240;18960;"06, 04, 00";Olha só, quase tudo!
18960;19620;"04, 00";Não, o Guaxaverso sabe!
19620;20960;"04, 00";Espera! O que é o Guaxaverso?
20980;22980;"04, 00";Era só uma questão de tempo!
23080;24220;"04";Todo mundo conheceu!
24220;24540;"04";O Guaxaverso sempre existiu!
24540;27180;"09, 04, 01";Eu quero entender o Guaxaverso!
27220;28560;"04, 01";Alguém me explica o que é o Guaxaverso?
28560;32020;"09, 01";É, pessoal, não existe o Guaxaverso!
32100;33720;"08, 06, 09";Eu acredito no Guaxaverso!
33760;36560;"06, 09";Mas supondo que ele exista...
37880;41520;"06";Guaxaverso, onde o que não existe é debatido!
58560;81480;"08, 09";Guaxaverso, onde o que não existe é debatido!
81480;88480;"09";Eu não lembro agora se nas redes sociais é divulgado quem é a pessoa, mas eu sei que na taberna a gente divulgou que ia ser a Bia.
88560;88880;"09";Eu não lembro agora se nas redes sociais é divulgado quem é a pessoa, mas eu sei que na taberna a gente divulgou que ia ser a Bia.
88880;96360;"09";A Bia não pôde gravar hoje, mas mandou um substituto, que é o nosso querido Jean Macedo.
96440;96980;"09";Tudo bem, querido?
97600;98400;"01";Tudo bem, Guax.
98540;101800;"01";Está um pouco quente aqui, porque é o Rio de Janeiro.
101900;102460;"09, 01";Porra, está muito quente!
102480;111780;"09, 01";E aí está chovendo, está caindo toneladas de água, mas por ser o Rio de Janeiro, está aquele clima maravilhoso, de que você sai do banho, se seca e está suado de novo.
111880;115020;"09, 01";Você não entende por que isso acontece, mas está suado de novo.
115560;116820;"09";Eu cheguei da rua agora.
116820;118320;"01, 09";Meu Deus!
118560;118960;"01, 09";Incrível!
119540;124800;"09";Mas não é sobre o clima em Gaspar ou no Rio de Janeiro, que a gente está aqui hoje.
125300;126720;"09";Já tem algum projeto na internet?
127100;129020;"09";Quer deixar alguma rede social antes de a gente começar?
129340;130380;"01";Não, não tenho não, Guax.
130420;136540;"01";Minhas redes sociais, para quem quiser me seguir, são todas MacedoJG7, em qualquer lugar.
136760;146540;"08, 00, 01";Twitter, Instagram, mas eu faço alguns desenhos de vez em quando e posto assim, geralmente até do RPGuax, mas não tenho nenhum projeto não.
146540;148540;"01";Sem ser o RPGuax que eu gosto de...
148560;150480;"01";De brincar também, e jogar na taberna.
150780;151980;"01";São os meus projetos agora.
152260;153140;"09, 01";Será a RoseFest.
153680;157920;"01, 09";É, a Bia disse que vai te obrigar a desenhar sobre o próximo episódio dela.
158580;159440;"09";Ah, faço com prazer.
159900;164760;"09";Para quem quiser me seguir, eu também faço do jeito certo, porque tem gente, e a crítica é aqui, gente.
165160;167860;"09";Tem gente que tem uma arroba para cada rede social.
168360;168680;"09";Eu não.
168860;172340;"09";Você me encontra como Marcelo Guaxinim no Twitter e no Instagram.
172820;175040;"09";Você me encontra como RPGuax no Twitter e no Instagram.
175240;178480;"09";Se quiser a pessoa, Marcelo Guaxinim, ou o projeto.
178560;179860;"09";O ideal é os dois, né?
180340;182480;"09";A Marselle Rei hoje está encarregada do bingo.
182580;184160;"01, 09";Vamos lá, Marselle, vamos ver o que acontece.
184600;189120;"01, 09";Porque normalmente é o Jean que está lá encarregado fazendo a contagem, né?
190200;191140;"01";Era o Felipe, né?
191140;191760;"01";Você sabe, né?
191800;193040;"01";Quem começou isso foi o Felipe Xavier.
193260;194700;"01";É ele que controlava o bingo.
194740;195800;"09, 01";Aí ele ficou muito ocupado.
195800;197040;"09, 01";E depois ele passou para ti.
197160;198640;"01, 09";Aí ele falou, cuida para mim, cara?
198660;199800;"09, 01";Eu falei, não, beleza, cuido.
199900;200720;"01";A gente cuida, né?
200720;201500;"01";A gente cuida.
201960;203800;"01";Aí hoje está na mão do Guaxate.
204220;205360;"01";Boa sorte, Guaxate.
205940;206300;"09";Perfeito.
206300;208540;"09";E o primeiro comentário, já para marcar no bingo.
208560;210220;"09";É do Jorge Marcos Santos Silva.
210720;211340;"09";E ele comenta.
211780;213740;"09";Eu fui uma criança dos anos 90.
214200;216360;"09";Embora não seja da época do primeiro Chuck.
216740;218040;"09";Eu os assisti quando pequeno.
218400;219960;"09";E achava muito engraçado.
220320;221700;"09";Talvez tivesse humor estranho.
222080;222800;"09";KKKKK.
223340;226960;"09";Mas se esse episódio fosse o Chuck daquela época, eu não riria.
227420;228500;"09";Um bom dia, Guaxa.
228960;229860;"09";Convidades, que é o Jean.
229860;230200;"09";Bom dia.
230740;232040;"09";Ouvi chinins e chat.
232340;233040;"09";Tudo bem com vocês?
233120;233520;"09";Tudo bem comigo?
233600;234260;"01, 09";Tudo bem com o tio e o Jean?
234260;234560;"01, 09";Tudo bem.
234820;236680;"01, 09";Tirando o fato de eu estar quase derretendo, está bom.
237040;237940;"09";Eu estou derretendo também.
238300;238540;"09";Espero que vocês tenham gostado.
238560;240640;"09";Não tem muitas perguntas.
240720;243640;"09";Só elogiar nosso amigo pelo belo sotaque russo.
