start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido.
44980	51900	Eu queria te perguntar, porque quando indagado, onde vocês conversavam lá nesse podcast,
52280	56660	você respondeu naquele grupo Nutélica que a gente participa.
56660	58480	Isso é vergonha?
58560	60440	Não, não. Jamais. Vergonha nunca.
61180	66800	Foi porque quando a gente estava gravando, que foi no mesmo dia, o interlúdio, e a gente gravou o episódio em seguida.
67860	70440	Durante a gravação, eu comecei a falar e tal.
70740	73540	E aí eu fiquei, será que pode falar? Pode fazer jabá, gente?
73800	76280	Aí depois eles falaram, não, pode sim, fica à vontade.
76460	81300	Tanto que no episódio completo que a gente gravou no mesmo dia, eu já falei do RP Guaxa, grupo do RP Guaxa e tal.
81680	83140	Vergonha jamais, nunca.
83460	87560	Eu estou virando a cabeça de um lado para o outro, gente, porque a Twitch está aqui e eu tenho que olhar a cara do Guaxa.
87680	88080	Aham.
88080	88960	Aí eu estou fazendo assim.
89640	92860	Mas, é, vergonha jamais, nunca, não tinha.
93220	97180	Primeiro lugar que eu vou falar assim, onde vocês me acham e tal, não sei o quê, RP Guaxa.
97560	99140	Pronto, vou jogar assim na cara de todo mundo.
99540	104720	Eu achei engraçado, assim, muitos podcasts surgiram dentro do grupo do RP Guaxa, fico muito feliz com isso.
105080	109260	Mas acho engraçado, como muitos, esquecem o rosto de seu pai.
109840	111000	Isso é triste.
111280	116060	Jamais acontecerá aqui, promessa, podem cobrar, tá aqui salvo, nunca acontecerá.
117380	117780	Olá!
118080	122100	Eu sou o Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade paralela do Guaxinim.
122280	128100	E esse episódio foi gravado com pessoas que eu conheci naquele grupo no Telegram que a gente participa.
128520	131840	Para quem não sabe, o Guaxa Versa é o nosso antigo escudo do mestre.
131840	135680	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso foi
135680	139840	Terror no Flávia Regina, RP Guaxa 149.
140580	147860	Primeiro, um beijo que eu ia mandar para a Flávia Regina, que não escuta o podcast, então ela nem sabe que foi homenageada aqui.
148080	152640	Existe um motivo para ter esse nome, que eu explico se eu lembrar ao final do episódio.
153160	156820	Mas, eu estou aqui com o Luco.
157180	157840	Tudo bem, querido?
158200	160600	Tranquilo, tranquilíssimo, suavemente tranquilo.
161020	164820	Como é que as pessoas te acham na internet e o que tu faz de bom?
165220	167920	Fazer, fazer, na internet eu não faço muita coisa não.
168360	171300	Eu apareci no RP Guaxa, realizei meu sonho.
171660	174360	Apareci no buraco atrás do pôster do João e da Agatha.
174360	177360	E vocês me acham na internet com o arroba alucinante.
178080	181800	O podcast citado pelo Luco é o Buraco Atrás do Pôster.
182240	185120	É um podcast de games não atuais.
185400	190980	Foi criado pelo João Victor, o Jojo, e pela nossa deusa Agatha Sofia.
191500	193880	Os dois criaram um podcast que tem uma estrutura muito bacana.
194420	200740	Eles têm episódio toda semana, mas os episódios da semana são curtinhos, são interlúdios, como eles chamam.
200740	206320	São episódios para comentar o que eles estão jogando, para comentar e se preparando para o episódio
206320	208060	que vai ser sobre um jogo.
208160	212060	E específico, eles têm dois episódios já publicados.
212260	215580	Eles têm vários episódios contando os interlúdios, né?
215760	220280	O Luco participou do episódio do Sekiro, que tem quase três horas de duração.
220400	221660	Eles falam bastante coisa do jogo.
221700	227940	Quer dizer, eles falam bastante coisa do jogo, mas eu tenho opiniões diferentes de algumas coisas.
227940	229560	Como, por exemplo, para mim não é um Souls.
229680	232420	É só um jogo da mesma empresa que faz o Dark Souls.
232920	234780	Mas eu não estou aqui para discutir videogame.
235260	237640	Então eu convido vocês a escutarem.
237880	237940	Buraco.
238080	238940	Buraco atrás do pôster.
239100	241160	É um podcast que está no meu agregador.
241420	243960	Ele sai, ele já entra para a fila, né?
244400	246900	Então, recomendo muito a todos vocês.
247320	250140	Não só o episódio com o Luco, mas os episódios lá.
250280	252680	Eles agora estão se preparando para o próximo.
252820	254160	Vai ser uma Visual Novel?
254520	255520	Não é muito a minha praia?
255560	257140	Não, vai ser um FPS.
257240	257940	The Darkness 2.
258460	262160	Ah, o Visual Novel está nas opções para votar, né?
262200	262500	Isso.
262600	264040	The Teenage X-Columns, eu acho.
264040	264340	Ah, tá.
264440	266220	Então, eu estou só aí porque eu estou...
266220	266440	Ok.
266960	268040	Mas The Darkness 2 eu joguei.
268080	268840	Mas não lembro nada.
268980	269940	Eu joguei na época que saiu.
270360	270980	Então, é isso.
271160	272240	Está aí a propaganda.
272380	273800	Porque eu não tenho vergonha de meus filhos.
274320	275360	Queria registrar.
275900	279060	E se você quiser ajudar nesse projeto, quero dizer para vocês, gente.
279180	282640	Depois, quando eu vou ler o nome dos padrinhos, faz um bom tempo que eu não leio.
283260	285080	Eu notei que muita gente reassinou.
285940	288500	Porque tanto o PicPay quanto o padrinho volta e meia.
288940	290080	Cancela porque dá problema no cartão.
290860	292340	Ou algum problema interno dele lá.
292420	294420	Então, confira se a assinatura está certa.
294420	298060	A gente deu uma crescidinha ali em alguns meses.
298080	300140	Mas já está no...
300140	302920	A gente voltou ao nível que a gente estava em janeiro.
303440	304940	E está caindo.
305060	307280	O meu medo é que mês que vem esteja mais baixo que isso.
307660	308080	Então, vão lá.
308280	309160	Apoiem esse projeto.
309400	311700	Para a gente poder ter episódio extra ano que vem.
312280	315300	E convido vocês a ajudar esse projeto.
315400	316800	Se você ainda não é padrinho, seja padrinho.
317220	319300	Você vai fazer parte de um grupo no Telegram.
319700	321200	Que se divide em vários subgrupos.
321260	322400	A gente discute muitos temas.
322500	323040	A gente brinca.
323120	324280	A gente fala sobre episódios.
324800	326920	Essa tarde eu estava lá brincando.
326920	328020	Quem gravou mais episódios?
328020	331160	Se foi a Jumozinha ou se foi a Shelly.
331240	335380	A gente descobriu que, obviamente, no valor total, a Shelly está na frente.
335880	339640	Mas se contar a média anual, a Jumozinha está na frente.
339760	340620	Então, é uma loucura.
341200	342460	E a gente discutiu muita coisa.
342820	345340	Escolhi grupos já que vai jogar a próxima aventura.
346180	347440	Discutindo em um dos grupos.
347560	348480	Brincando com o pessoal.
349060	349840	Então, vem fazer parte.
349920	351240	Vem ajudar as aventuras a existirem.
351340	352400	Vem gravar voz de NPC.
353060	354020	E vem ganhar muitos amigos.
354680	355300	Como eu ganhei.
355300	357920	E um amigo desses amigos é o nosso querido Luco.
358380	359460	Luco, como é a taberna?
359520	361660	Como é que tu descreves ser padrinho do RPG Watch?
361780	363500	Cara, é uma coisa que a gente não imagina.
363600	364460	A gente ouve muito falar.
364680	365240	Ah, é bom.
365300	365560	É incrível.
365640	366120	É maravilhoso.
366200	368700	Como é a internet, a gente fica meio...
368700	369140	Será?
369660	369880	Será?
370060	371420	Até que você entra e...
371420	372140	Pô, realmente.
372380	374800	É uma coisa que você não encontra em outro lugar, sabe?
375240	377280	Foi um choque muito, muito positivo.
378180	381680	Eu atualmente tenho ficado muito ativo na taberna.
382040	384720	Toda hora que eu estou comentando, conversando com alguém, alguma coisa.
384720	385460	Eu estou lá na taberna.
385560	386620	Estou compartilhando coisas.
387140	387720	Virou um...
388020	390620	Um cantinho, assim, que está ali o coração, sabe?
390900	394080	Então, a gente fala que é maravilhoso, que é muito bom.
394580	396340	A gente fica na dúvida quando ouve.
396420	397460	Mas pode confiar, gente.
397840	398100	Achou?
398200	398900	Está tu duvidando?
399400	400360	Pá, manda 10 reais.
400440	400900	Só 10 reais.
401060	401460	Chega aqui.
401540	402120	Fica aqui um mês.
402580	403420	Conversa com a gente.
403900	404380	Tira a prova.
404900	406300	Se depois de um mês tu achar...
406300	407700	Achei chato, eu vou sair do grupo.
408240	409380	Eu te devolvo os 10 reais.
409540	410280	Para ficar tranquilo.
410420	411160	Você vai para...
411160	413100	Você me chama no privado e diz...
413100	414140	Ó, achei todo mundo chato.
414460	415180	Odeio o Luco.
415180	416720	Daí eu faço ele devolver os 10 reais.
416840	417000	Que?
417300	417460	E daí...
418020	419600	Ah, eu devolvo os 10 reais para ti.
419780	420400	Não tem problema.
420680	421740	Mas vem conhecer a tabela.
422160	423000	E, assim, é óbvio.
423060	425320	A gente brinca de conhecer a tabela, de conhecer o pessoal.
426100	426500	Ajudar.
427020	429940	Tu está ajudando esse projeto que imagino que você goste de ouvir.
430300	432040	E o resto tudo é bônus.
432320	434140	Outra forma de ajudar a gente é seguir nas redes sociais.
434240	435660	Opa, Marcelo Guaxinim, arroba rpguaxa.
436100	438920	No Twitter, no, sei lá, Blue Sky, no Instagram.
439140	439900	Instagram, principalmente.
440420	443980	Tem uma equipe maravilhosa que cuida lá do Instagram do rpguaxa.
444180	447040	Quero convidar todo mundo a votar no The20Awards.
447120	447980	Eu vou botar o link no post.
448020	452180	Se eu lembrar, o The20Awards recomeçou o desse ano.
452400	453040	Está lá a votação.
453140	454900	A gente está concorrendo em várias categorias.
455400	459480	E eu queria ganhar não só muitos prêmios, como ano passado,
460080	463260	mas prêmios que eu não levei, como de melhor on-shot.
463780	467940	Então, tem as aventuras lá da Nadine, do Anjos de Metal.
468540	469700	Então, vou deixar o link no post.
469780	470160	E vota lá.
470260	471940	Você pode votar uma vez por dia, se eu não me engano.
472620	475100	Mas uma vez só que tu for, estou feliz.
475300	478000	Se tu for duas, três, porra, eu vou ficar mais feliz.
478000	478280	Ainda.
478640	482560	Para a gente poder divulgar esse projeto para mais pessoas, né?
483020	486560	E, mas a gente está aqui para ler os comentários do último episódio.
487020	488740	Como eu falei antes, terror no Flávio e Regina.
489180	491400	Rpguaxa 149.
491980	494340	Eu dei uma passada por cima só para ver se era muito comentário.
494360	495140	E é muito comentário.
495300	497080	Mas eu leio na ordem.
497180	499660	Eu tenho uma carta para passar os comentários para frente.
499760	502260	Que eu ganhei há duas vezes atrás.
502760	503680	Só vou avisar aqui.
503740	504740	Não tem problema em usar.
505160	505500	Não, não.
505760	506620	Tranquilo, tranquilo.
506620	507980	Eu também vim pronto para ler.
508000	509440	Estou com a garrafinha de água aqui do lado.
509700	510240	Que vier, veio.
510700	513940	Eu também estou com a garrafinha porque a Juleva disse que eu tinha que separar a garrafinha.
514040	514660	Está certa ela.
515040	517480	Primeiro comentário é do Jorge Marcos Santos Silva, que coloca.
517780	521220	Olha, Dios, que primazia do episódio.
521320	522660	Ainda estou meio sem fôlego.
523000	524160	Um bom dia, Sr. Guaxa.
524340	525600	Convidade, que é o Luco.
525900	527220	Chat e ouvintes e ninhos.
527280	527860	Tudo bem com vocês?
528120	528700	Tudo bem comigo?
528780	529680	É véspera de feriado.
530240	531440	Não gravei na segunda.
531880	536040	Porque na segunda eu gravei o primeiro episódio que sai em dezembro.
536040	537800	Porque em dezembro tem dois episódios.
537800	540940	Um vai ser uma novela mexicana, já aviso.
541360	542800	E o segundo vai ser o episódio de Natal.
543660	546040	E falta só gravar o episódio de Natal e eu fechei o ano.
546420	549880	Então na segunda foi um dia que eu bati a agenda em que os jogadores podiam.
550420	554020	Ontem eu gravei o especial de 10 anos do SciCast.
554060	555700	SciCast faz 10 anos no dia de hoje.
556120	557100	Primeiro de novembro.
557240	558040	Parabéns, SciCast.
558400	561720	E a gente gravou um episódio lá comentando os episódios favoritos.
561920	564040	Com o Fencas, com a Jujuba, com o Tarek.
564320	566220	Então eu gravei o podcast na segunda e na terça.
566220	567380	Hoje é quarta.
