start=4507ms stop=9567ms speaker_SPEAKER_06
start=10144ms stop=13573ms speaker_SPEAKER_05
start=13964ms stop=20178ms speaker_SPEAKER_05
start=19533ms stop=19550ms speaker_SPEAKER_00
start=19550ms stop=19957ms speaker_SPEAKER_03
start=20348ms stop=27139ms speaker_SPEAKER_05
start=20670ms stop=21027ms speaker_SPEAKER_03
start=25424ms stop=28650ms speaker_SPEAKER_02
start=27173ms stop=27224ms speaker_SPEAKER_05
start=28769ms stop=29855ms speaker_SPEAKER_02
start=30653ms stop=32011ms speaker_SPEAKER_02
start=32011ms stop=33438ms speaker_SPEAKER_00
start=33743ms stop=33760ms speaker_SPEAKER_01
start=33760ms stop=37054ms speaker_SPEAKER_02
start=37937ms stop=41570ms speaker_SPEAKER_05
start=45424ms stop=49125ms speaker_SPEAKER_03
start=50093ms stop=50840ms speaker_SPEAKER_01
start=50840ms stop=50857ms speaker_SPEAKER_02
start=55933ms stop=63590ms speaker_SPEAKER_02
start=63709ms stop=78480ms speaker_SPEAKER_02
start=79006ms stop=79719ms speaker_SPEAKER_02
start=80891ms stop=113641ms speaker_SPEAKER_02
start=113981ms stop=187631ms speaker_SPEAKER_02
start=188022ms stop=210891ms speaker_SPEAKER_02
start=211213ms stop=211587ms speaker_SPEAKER_05
start=211859ms stop=213387ms speaker_SPEAKER_02
start=213675ms stop=214235ms speaker_SPEAKER_05
start=215356ms stop=215967ms speaker_SPEAKER_05
start=215967ms stop=321977ms speaker_SPEAKER_02
start=322164ms stop=325373ms speaker_SPEAKER_02
start=325509ms stop=329617ms speaker_SPEAKER_02
start=330042ms stop=331264ms speaker_SPEAKER_02
start=332096ms stop=337190ms speaker_SPEAKER_02
start=337444ms stop=343607ms speaker_SPEAKER_05
start=343828ms stop=343862ms speaker_SPEAKER_07
start=343862ms stop=343981ms speaker_SPEAKER_02
start=343981ms stop=343998ms speaker_SPEAKER_07
start=343998ms stop=344320ms speaker_SPEAKER_02
start=344388ms stop=347037ms speaker_SPEAKER_05
start=347156ms stop=351078ms speaker_SPEAKER_05
start=351078ms stop=362249ms speaker_SPEAKER_02
start=362249ms stop=362877ms speaker_SPEAKER_07
start=363064ms stop=368972ms speaker_SPEAKER_02
start=367869ms stop=371417ms speaker_SPEAKER_05
start=370738ms stop=376358ms speaker_SPEAKER_02
start=376511ms stop=465033ms speaker_SPEAKER_02
start=383471ms stop=383488ms speaker_SPEAKER_00
start=383488ms stop=383794ms speaker_SPEAKER_07
start=398378ms stop=398803ms speaker_SPEAKER_00
start=465152ms stop=473845ms speaker_SPEAKER_05
start=472860ms stop=523777ms speaker_SPEAKER_02
start=524066ms stop=544320ms speaker_SPEAKER_02
start=544609ms stop=548904ms speaker_SPEAKER_02
start=549108ms stop=561926ms speaker_SPEAKER_02
start=562334ms stop=568361ms speaker_SPEAKER_05
start=569516ms stop=578157ms speaker_SPEAKER_02
start=572555ms stop=573828ms speaker_SPEAKER_05
start=578548ms stop=581129ms speaker_SPEAKER_05
start=581417ms stop=588582ms speaker_SPEAKER_05
start=588599ms stop=588769ms speaker_SPEAKER_05
start=588769ms stop=589499ms speaker_SPEAKER_02
start=588887ms stop=589261ms speaker_SPEAKER_05
start=589838ms stop=591162ms speaker_SPEAKER_05
start=591570ms stop=592028ms speaker_SPEAKER_02
start=592368ms stop=597512ms speaker_SPEAKER_05
start=597852ms stop=599295ms speaker_SPEAKER_05
start=599668ms stop=601655ms speaker_SPEAKER_02
start=601740ms stop=601774ms speaker_SPEAKER_02
start=601774ms stop=601994ms speaker_SPEAKER_05
start=601910ms stop=614219ms speaker_SPEAKER_02
start=601994ms stop=602147ms speaker_SPEAKER_07
start=602147ms stop=602164ms speaker_SPEAKER_05
start=606205ms stop=606612ms speaker_SPEAKER_07
start=611910ms stop=612317ms speaker_SPEAKER_05
start=614745ms stop=614779ms speaker_SPEAKER_05
start=614779ms stop=615000ms speaker_SPEAKER_02
start=615000ms stop=615543ms speaker_SPEAKER_05
start=615543ms stop=615594ms speaker_SPEAKER_02
start=616409ms stop=627716ms speaker_SPEAKER_05
start=627716ms stop=628989ms speaker_SPEAKER_02
start=628429ms stop=631349ms speaker_SPEAKER_05
start=631366ms stop=631383ms speaker_SPEAKER_05
start=631400ms stop=631417ms speaker_SPEAKER_05
start=631417ms stop=632758ms speaker_SPEAKER_02
start=631451ms stop=631893ms speaker_SPEAKER_05
start=633047ms stop=636290ms speaker_SPEAKER_02
start=633505ms stop=633675ms speaker_SPEAKER_05
start=637716ms stop=639567ms speaker_SPEAKER_05
start=639787ms stop=640993ms speaker_SPEAKER_05
start=640161ms stop=641078ms speaker_SPEAKER_02
start=641502ms stop=644320ms speaker_SPEAKER_02
start=643624ms stop=644100ms speaker_SPEAKER_05
start=644320ms stop=644813ms speaker_SPEAKER_05
start=645050ms stop=646494ms speaker_SPEAKER_05
start=646680ms stop=648616ms speaker_SPEAKER_05
start=648786ms stop=658837ms speaker_SPEAKER_05
start=659312ms stop=660398ms speaker_SPEAKER_02
start=660398ms stop=663573ms speaker_SPEAKER_05
start=664473ms stop=670772ms speaker_SPEAKER_05
start=671061ms stop=675101ms speaker_SPEAKER_05
start=675390ms stop=676137ms speaker_SPEAKER_05
start=676307ms stop=679855ms speaker_SPEAKER_05
start=680144ms stop=680382ms speaker_SPEAKER_05
start=680382ms stop=686578ms speaker_SPEAKER_02
start=686511ms stop=687512ms speaker_SPEAKER_05
start=687020ms stop=692402ms speaker_SPEAKER_02
start=692674ms stop=693658ms speaker_SPEAKER_05
start=692962ms stop=694915ms speaker_SPEAKER_02
start=695186ms stop=702555ms speaker_SPEAKER_05
start=702572ms stop=706935ms speaker_SPEAKER_05
start=707122ms stop=713828ms speaker_SPEAKER_05
start=713896ms stop=715458ms speaker_SPEAKER_05
start=715730ms stop=718276ms speaker_SPEAKER_05
start=718616ms stop=724847ms speaker_SPEAKER_05
start=724915ms stop=736205ms speaker_SPEAKER_05
start=736680ms stop=737342ms speaker_SPEAKER_05
start=737665ms stop=738361ms speaker_SPEAKER_05
start=738633ms stop=739278ms speaker_SPEAKER_05
start=738972ms stop=739617ms speaker_SPEAKER_02
start=739668ms stop=763370ms speaker_SPEAKER_05
start=759634ms stop=760415ms speaker_SPEAKER_02
start=763641ms stop=771723ms speaker_SPEAKER_02
start=772011ms stop=776714ms speaker_SPEAKER_02
start=776867ms stop=786544ms speaker_SPEAKER_05
start=786544ms stop=790959ms speaker_SPEAKER_02
start=791536ms stop=794796ms speaker_SPEAKER_02
