start	end	text
0	10100	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20040	O Guaxa sabe o que faz!
20040	20960	Espera! O que é o Guaxaverso?
21000	22980	Era só uma questão de tempo!
23100	24220	Todos nos conhecemos!
24220	24520	O Guaxaverso sempre existiu!
24520	25440	É o nosso final!
25440	27140	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	32020	É, pessoal, não existe o Guaxaverso!
32080	33720	Eu acredito no Guaxaverso!
33760	36540	Mas, supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido!
45140	46540	Ação, Gleice!
47660	48260	Eu sim!
51540	55520	Olá, eu sou Marcelo Guaxinim, narrador, produtor, liderizador, podcast de realidade para as Guaxinim,
55520	58520	e, novamente, mês de aniversário, vamos...
58540	60400	Se esse episódio tiver mais de uma hora...
60400	62620	Da vez passada, apostei meia hora, deu quase uma.
63100	65100	Então, eu vou apostar que se der mais de uma hora, eu falhei.
65300	66540	Então, vamos botar essa meta.
67120	69220	E, para quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
69320	71620	Aqui vamos ler os comentários e discutir as teorias do último episódio,
71720	76260	que, no caso, foi o jogo da Nadine, RPG Guaxa 135.
77180	80900	A gente está aqui recebendo ele, que estreou no episódio passado,
81440	82320	nosso querido Victor.
82500	83000	Tudo bem, querido?
83020	84400	Boa noite, pessoal! Boa noite, chat!
84480	85580	Boa noite, quem está ouvindo!
85580	88420	Muito honrado por ter sido convidado a participar,
88540	89120	essa gravação.
89560	92040	Mas, antes de começar, quero pedir um direito de resposta,
92160	92840	Sr. Guaxinim.
92980	95600	Eu fui citado no último Guaxaverso, eu vi,
96140	97620	e eu fui...
97620	99660	Sobre a rouba minha no TikTok,
99860	101640	eu quero só fazer uma pequena defesa,
101960	103000	que você falou sobre.
103720	105260	Eu tenho o nome mais simples de todos.
105740	107280	O meu nome é Victor Hugo Alexandre.
107740	109460	É muito difícil conseguir uma rouba.
109800	112840	Inclusive, mais um Victor com dois R's no final.
112840	115340	Tem dois R's no final, porque com um R só,
115780	116880	já estava ocupado.
117200	118520	Só isso que eu quero deixar claro.
118540	122160	Ele não é ruim de propósito, é por falta de opção.
122520	126040	Porque toda variação de arroba que eu possa ter
126040	129040	já foi escolhida, até para redes sociais que nem existe ainda.
129320	131880	Então, fica aqui a minha defesa no último episódio.
132140	136360	O meu nome original tem jogador de futebol, tem político,
137100	139760	tem pelo menos dois foragidos da justiça,
140300	143080	tem um cara que dá aula na região de Criciúma, no estado,
143600	147700	que há uns 15 anos atrás recebeu um salário no meu lugar.
147700	148140	Uff!
