0;10100;"02";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100;11420;"02";É isso! É isso!
11920;13220;"02";Eu sabia! Eu sabia!
13840;15000;"02";O Guaxaverso existe!
15120;15960;"06";Como assim?
16180;18120;"06";Você entendeu a referência do último episódio?
18260;18980;"06, 02";Olha só, faz tudo!
18980;20040;"06, 02";O Guaxa sabe o que faz!
20040;20960;"06, 02";Espera! O que é o Guaxaverso?
21000;22980;"06, 02";Era só uma questão de tempo!
23100;24220;"02";Todos nos conhecemos!
24220;24520;"02";O Guaxaverso sempre existiu!
24520;25440;"02";É o nosso final!
25440;27140;"01, 03, 02";Eu quero entender o Guaxaverso!
27220;28540;"01, 03";Alguém me explica o que é o Guaxaverso?
28540;32020;"01, 03";É, pessoal, não existe o Guaxaverso!
32080;33720;"01";Eu acredito no Guaxaverso!
33760;36540;"01, 02";Mas, supondo que ele exista...
37900;41540;"02";Guaxaverso, onde o que não existe é debatido!
45140;46540;"00";Ação, Gleice!
47660;48260;"01, 02";Eu sim!
51540;55520;"01";Olá, eu sou Marcelo Guaxinim, narrador, produtor, liderizador, podcast de realidade para as Guaxinim,
55520;58520;"01";e, novamente, mês de aniversário, vamos...
58540;60400;"01";Se esse episódio tiver mais de uma hora...
60400;62620;"01";Da vez passada, apostei meia hora, deu quase uma.
63100;65100;"01";Então, eu vou apostar que se der mais de uma hora, eu falhei.
65300;66540;"01";Então, vamos botar essa meta.
67120;69220;"01";E, para quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
69320;71620;"01";Aqui vamos ler os comentários e discutir as teorias do último episódio,
71720;76260;"01";que, no caso, foi o jogo da Nadine, RPG Guaxa 135.
77180;80900;"01";A gente está aqui recebendo ele, que estreou no episódio passado,
81440;82320;"01";nosso querido Victor.
82500;83000;"01, 07";Tudo bem, querido?
83020;84400;"01, 07";Boa noite, pessoal! Boa noite, chat!
84480;85580;"07";Boa noite, quem está ouvindo!
85580;88420;"07";Muito honrado por ter sido convidado a participar,
88540;89120;"07";essa gravação.
89560;92040;"07";Mas, antes de começar, quero pedir um direito de resposta,
92160;92840;"07";Sr. Guaxinim.
92980;95600;"07";Eu fui citado no último Guaxaverso, eu vi,
96140;97620;"04, 07";e eu fui...
97620;99660;"07";Sobre a rouba minha no TikTok,
99860;101640;"07";eu quero só fazer uma pequena defesa,
101960;103000;"07";que você falou sobre.
103720;105260;"07";Eu tenho o nome mais simples de todos.
105740;107280;"07";O meu nome é Victor Hugo Alexandre.
107740;109460;"07";É muito difícil conseguir uma rouba.
109800;112840;"07";Inclusive, mais um Victor com dois R's no final.
112840;115340;"07";Tem dois R's no final, porque com um R só,
115780;116880;"07";já estava ocupado.
