start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas, supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
50880	52880	Isso não vai dar certo.
53200	54600	É claro que vai!
55220	56840	Já viu coelho buscar vareta?
56840	58220	Um tigre?
58560	64560	Bom, talvez o tigre busque, mas deve ser complicado de ensinar.
64560	67560	Será que muita gente morreu tentando?
67560	68560	Tia!
68560	69560	Tá, desculpa.
69560	74560	Veja bem, o animal que aprende truques mais rápido é o cachorro.
74560	76560	E essa é a sua vantagem.
76560	78560	Pensa nisso como um treinamento.
78560	82560	Você tem vinte e quatro horas para dominar a técnica que está nesse livro.
82560	85560	Mas, esse livro é um dicionário.
85560	86560	Não é só isso.
86560	87920	Do lado das palavras, tem a pronúncia do livro.
87920	88920	Tem a pronúncia delas.
88920	91920	E, no final, tem dicas de gramática.
91920	95920	Você decora tudo durante o voo e não vai ter problemas durante essa missão.
95920	96920	Tá bom.
96920	98920	Não vale a pena discutir.
98920	101920	Chegando lá, eu vou nesse endereço e nessa escola.
101920	102920	Isso.
102920	105920	Vai até a escola e acaba com os ratos.
105920	109920	Vai, tia.
109920	112920	Pessoa Beer.
112920	114920	Show.
114920	120920	Gente, eu tenho terem lokas ao ar.
120920	124920	A nossa base do trabalho tá coisas diferentes.
124920	126920	Por isso que não tenho tempo pra pensar.
126920	127920	Desculpa.
127920	130920	Podem cortar.
130920	132920	E aí?
132920	139880	Quas116, Os Cavaleiros do Bicho, A Nova Geração, 2 pontos, O Coelho e a Tiazinha.
140360	143140	Eu estou aqui hoje com o Dr. Patrick.
143520	147240	Não, Dr. não. Patrick. Só Patrick.
147240	150760	Com a nossa querida Nibitique, que jogou o último episódio.
150860	152500	É a primeira vez que ele está aqui no Guaxaverso, né?
152860	154780	Antes de mais nada, como é que as pessoas te acham na internet?
155160	157100	Então, vocês me acham no rpguaxa.
157140	157420	Isso.
158060	159180	No Sycash.
159380	159720	Isso.
159720	166460	E as quintas-feiras, vocês me acham na twitch.tv barra playonheart, jogando RPG.
166680	169620	É, aqui a gente só lê comentário lá e ele realmente joga RPG.
170320	171900	Como é que tu conheceu o rpguaxa?
172120	175180	Tu está desde o primeiro, tu veio no meio, como é que tu veio até aqui?
175200	179720	Não, eu vim no meio, quem me apresentou o rpguaxa foi um grande amigo chamado Guilherme Sansone.
180620	180860	Tá.
181120	184100	Que é padrinho também. É um padrinho quietinho, mas é padrinho.
184640	188100	Ele me apresentou o rpguaxa e o RPG Next.
188100	189400	E aí eu comecei.
189400	191100	Do primeiro e tô aqui, né?
191480	194860	Tu começou primeiro do RPG Next ou do rpguaxa?
195040	195440	Dos dois.
195860	197420	Ao mesmo tempo, tu deu play nos dois.
197840	198900	Sim, eu fico alternando.
199300	200360	Mas um foi primeiro.
200840	203080	Eu sou padrinho do RPG Next, inclusive.
203660	207840	Antes de mais nada, a menos que algo dê errado, já deixo confirmado aqui.
208360	211240	Dia 27 de abril, eu faço aniversário dia 26.
211680	214360	Então dia 27 é o primeiro episódio do nosso mês de aniversário.
214880	217040	Cavaleiros do Bicho, episódio 2.
217040	218380	Da nova geração.
218760	219380	Gostei muito.
219400	222220	Ele vai abrir o mês de aniversário do RPG Guaxa.
222340	227160	E se tudo deu certo, esse Guaxa Verso tem uma cena pós-créditos.
227460	229540	Não aqui na Twitch, porque a gente tá aqui ao vivo, né?
230220	231740	Mas no episódio editado.
232080	236140	Tem a cena pós-créditos que se passa depois do episódio 2.
236540	239620	Então, o episódio 2 só em 27 de abril do ano que vem.
240160	241520	E já confirmo que algum...
241520	243000	Não, não tô dizendo que é o episódio 3.
243100	247120	Vai ter que ouvir o nosso Guaxa Verso pra saber o que é.
247120	249140	Mas algo com os cavaleiros.
249140	252500	Ainda teremos depois do episódio do dia 27.
252820	254020	Já tá avisado.
256060	258980	Eu gostei de saber, porque eu adorei jogar esse episódio.
259520	259880	Justo.
260620	262600	Continuação do episódio da Kelly ou do Cavaleiros do Bicho?
262920	263160	Sim.
263620	263800	Não.
265580	267880	Pessoal, como eu falei, a gente tá gravando ao vivo.
267960	269060	Não vai ter cena pós-crédito aqui.
269140	271280	O pessoal tá gravando ainda, botando uma pastinha pra mim.
271760	274300	A gente tá gravando na twitch.tv.rpguxa.
274640	277000	Segue pra ser notificado quando tiver a leitura de comentários.
277000	279000	Na semana seguinte...
279140	279880	Deu certo também.
280360	282740	Na semana seguinte, normalmente segunda ou terça,
283140	284860	a gente faz a leitura de comentários.
285080	287380	Então, numa quinta tem episódio normal.
287860	289840	Na semana que vem, na segunda ou na terça,
290300	291660	normalmente às oito e meia,
292000	294180	a gente tem a leitura de comentários.
294580	298060	Então, deixa o comentário lá no post, no deviant.com.br, né?
298420	300260	Procura o episódio da vez.
300700	303520	Deixa o comentário lá, que ele vai ser lido aqui.
304540	307340	Além disso, além de seguir a gente na twitch,
307340	308840	outra coisa que seria bacana,
308840	309840	você pensar em fazer,
309840	310840	ser nosso padrinho.
310840	312840	A partir de um real, você tá ajudando.
312840	314840	Hoje eu recebi dois de um real.
314840	316840	Agradeço muito as duas pessoas.
316840	318840	São duas pessoas, né?
318840	320840	Já são dois reais.
320840	322840	Mas, assim, a partir de dez reais,
322840	325840	você vai receber um link por e-mail.
325840	327840	Às vezes demora uma semana pra te receber, gente.
327840	328840	Pelo amor de Deus, me deixa.
328840	330840	Eu não tenho ninguém pra fazer isso.
330840	331840	Eu faço do e-mail, sou eu que faço.
331840	333840	Vai receber o link, vai lá pro grupo do Telegram.
333840	335840	Tem um grupo gigante, né?
335840	337840	Que é o nosso grupo principal.
337840	339840	E tem grupos menores pra discutir outros temas.
339840	342840	Pra não ter que discutir o One Piece da semana.
342840	346840	Lá no grupo principal, a gente tem o grupo do Gostinho Otaku.
346840	348840	Tem o grupo do pessoal do Gamer.
348840	351840	Tem o pessoal que é dos Spoilers.
351840	353840	Que grupos tu participa, Patrick?
353840	354840	Vamos lá.
354840	355840	Taberna, né?
355840	356840	Grupo de Spoilers.
356840	357840	Grupo do Otaku.
357840	359840	Grupo do Gamer.
359840	361840	O de marcar mesa, eu tô ali...
361840	363840	Eu falo muito pouco do pessoal.
363840	365840	É insano marcando mesa.
365840	366840	Sim.
366840	367840	Mas hoje em dia tem.
367840	369840	Em horários bizarros, inclusive.
369840	371840	Um abraço, Ju.
371840	373840	O de fofoca.
373840	375840	O de coisas de casa.
375840	378840	Panelas de perrengues, goteiras e gambiarras.
378840	379840	São poucos, né?
379840	380840	É, não.
380840	381840	Tem milhares, gente.
381840	382840	Tem de idioma.
382840	383840	Tem um monte de coisa ali que...
383840	385840	Que você pode participar só de ser padrinho.
385840	386840	Da época, eu acho.
386840	388840	Olha, tem mesa pro...
388840	392840	Tem um grupo de mesa pra os guachimirins.
392840	394840	Criado pelo nosso amigo Anderson Katamari.
394840	395840	Sim, verdade.
395840	396840	Kamatari.
396840	399840	O Guacha falou errado uma vez e me quebrou.
399840	400840	Kamatari.
400840	401840	Haha!
401840	402840	Tu tá terceirizando teu erro.
402840	403840	Não faz isso, não.
403840	404840	Esse é o problema.
404840	405840	É...
405840	406840	Tá organizando lá.
406840	408840	Tá tendo mesa direto com as crianças.
408840	412840	Então, assim, se vocês têm crianças que têm interesse ou vocês querem mostrar RPG
412840	418840	pra eles, tragam eles pro grupo do Anderson pra gente fazer essa comunidade de RPG cada
418840	420840	vez maior e cada vez melhor.
420840	421840	Se você quiser jogar...
421840	423840	Nunca jogou e quer jogar, você vai encontrar mesa.
423840	424840	Se você já jogou e quer jogar mais, vai encontrar mesa.
424840	431840	Você é menina, teve uma experiência ruim no passado, vai lá e pede um grupo só de
431840	432840	menina.
432840	433840	A mestra menina...
433840	434840	A Ju vai mestrar pra ti.
434840	435840	Uma...
435840	436840	Ou tem outra...
436840	437840	A Lu também.
437840	438840	Mas cuidado com a Lu.
438840	439840	É...
439840	440840	Uma das meninas vai mestrar pra ti.
440840	441840	Vai ter só menina jogando contigo.
441840	442840	Pra te sentir confortável.
442840	443840	O que tu quiser.
443840	444840	Sabe?
444840	447840	A ideia lá sempre é ser um espaço seguro pra todo mundo.
447840	448840	Então seja nosso padrinho.
448840	452840	Você recebe o episódio antes, você faz voz de NPC.
452840	453840	Eu só conheço o padre aqui.
453840	454840	Por conta do grupo de padrinhos, né?
454840	455840	Senão como é que eu ia conhecer alguém do Rio...
455840	456840	Quer dizer, a minha esposa é do Rio de Janeiro.
456840	457840	Talvez um dia eu iria estar no Rio de Janeiro, a gente ia se encontrar, ia se olhar e...
457840	458840	Porra, não ia falar nada, gente.
458840	459840	Ah, é ruim.
459840	460840	Eu sou uma pessoa estranha.
460840	461840	Eu falo com pessoas na rua.
461840	462840	Eu sou...
462840	463840	Eu sou a alegria dos velhinhos no mercado, cara.
463840	464840	Não, eu não falo nem com pessoas conhecidas, quanto mais estranho.
464840	465840	Não, eu sou a alegria dos velhinhos.
465840	466840	Querem falar com alguém, eles olham pro lado, olham pro outro, olham pra mim e já falam
466840	467840	aquele ali.
467840	468840	Aí já era.
468840	469840	Eu começo a conversar com eles.
469840	470840	Mas se tu quiser amizades, quiser...
470840	490840	Conhecer pessoas, qual é a relação do nosso querido Eric e da Mc Juliette?
490840	495880	Você só vai descobrir se entrar no grupo de padrinhos.
495880	497640	Outra forma de ajudar a gente...
497640	498640	Redes sociais.
498640	499640	Tega a gente no Twitter.
499640	500640	Arrouba marcelagostin.
500640	500680	Arrouba marcelagostin.or.br.
500840	502600	Segue a gente no Instagram
502600	506820	É isso?
507240	507800	É isso
507800	510840	Vamos ler então os comentários do povo
510840	512600	Vamos que vamos
512600	516120	Você quer que eu comece?
516200	518820	Já vi que tem dois ímpares que estão com o ver mais
518820	521140	Você quer que eu comece?
521140	521800	Então eu começo
521800	523760	Eu vou ser bonzinho com você
523760	525880	Devo me arrepender em algum momento?
526040	527460	Eu já não sei dizer
527460	529840	Começando por ele
529840	532200	Jorge Marcos Santos Silva
532200	535160	Deus meu, que episódio
535160	536800	Que continuação
536800	538080	Que não é uma continuação
538080	540820	Porque o Guaxa insiste em dizer que o Guaxaverso não existe
540820	543260	Além dos jogadores que foram incríveis
543260	544940	E da narrativa que foi magnífica
544940	547060	Meus mais profundos parabéns ao editor
547060	548680	Que, meu Deus
548680	550600	Como mandou bem nesse episódio incrível
550600	552500	Vou parar de rasgar cedo aqui
552500	554520	Mas é que foi incrível mesmo
554520	555880	Spoilers
555880	558920	Bem, as principais perguntas o próprio Sr. Guaxinim
558920	559680	Já fez no escudo do médico
559840	560960	Mas e aí?
561400	563720	Nenhuma possibilidade de resposta para nenhuma delas?
564200	564780	E aí, Guaxa?
565600	567860	Não sei, tenta
567860	569720	Como o Pedro se tornou presidente?
570720	572420	Eu espero com uma eleição direta
572420	575100	Por que eles se separaram?
576040	577920	Assim, no episódio dá pra entender
577920	579920	E eu não vou me aprofundar muito nisso
579920	580960	É que
580960	584200	O Pedro, ele acha que as armaduras
584200	585180	Têm que ficar separadas
585180	586500	Que é muito poder pra estar junto
586500	589800	E aparentemente a Anísia
589800	591200	Não concorda
591200	593420	A gente vai explorar isso mais em episódios futuros
593420	594640	O que houve nesse universo
594640	596620	Que abalou tudo tão fortemente
596620	599080	Por favor, Guaxa, nos ilumine
599080	602020	O quanto falasse sem entregar
602020	603800	A próxima vez toda está escrita toda já
