start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45180	47240	Só jogou dois episódios até agora, né?
47700	48020	Sim.
48400	49060	Que absurdo.
49320	52760	Eu também acho, mas não queria falar não.
53240	55720	Na minha cabeça tinha gravado mais. Tudo bem.
55720	57700	É porque, sabe o que eu acho que é?
57820	58520	É porque...
58520	61140	A gente jogou aquela mesa que o Tiki narrou.
61560	62180	Ah, pode ser.
62660	64320	Aí eu contei já como mais uma.
64560	64960	Sim.
65840	67040	Pode ser, pode ser.
71800	72980	Olá, eu sou o Marcelo Guaxinim,
73020	74600	nadador, produtor, idealizador,
74720	76460	podcast de rádio para as do Guaxinim.
77000	77480	E...
77480	79060	Tá chegando as férias da metade do ano.
79340	80440	É isso que eu mais quero.
80800	83180	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
83680	86340	Aqui vamos ler os comentários e discutir as teorias do último episódio.
86840	87800	Que, no caso, foi...
88520	89580	Monster Chef.
89860	91860	RPG Guaxa 168.
92140	93960	Mais de uma pessoa me avisou,
94460	95760	o Jean, a Fabi,
96060	98660	que o episódio não dá pra ouvir direto do site.
99200	100920	Tentei fuçar pra descobrir o que era,
101420	102020	não descobri.
102480	103660	Prometo tentar descobrir depois.
104340	106860	Mas eu acho que ninguém, ninguém escuta pelo site, né?
107620	108020	É...
108020	109860	Ou qualquer forma, se a pessoa quiser escutar,
110480	111360	é...
111360	113960	Sei lá, pela internet, abre no navegador,
113960	115560	no Spotify, alguma coisa, não sei.
116020	117580	Mas por algum motivo no site não tá dando,
117680	118440	vou tentar arrumar.
118900	119900	Foi só pra esse episódio,
120040	122260	parece que é pra esse e pra um outro mais antigo.
122720	125700	Mas o motivo, realmente, eu não faço ideia.
126320	130060	Mas estou aqui com o nosso querido Alan,
130320	132140	que jogou o episódio, né?
132600	133220	Tudo bem, querido?
133660	134440	Tudo bem, e você?
135000	135640	Tudo certinho.
135760	136340	Melhor agora.
136800	138280	Estamos aqui pra ler os comentários.
138980	140600	Tu é padrinha há quanto tempo?
141200	142700	Nossa, eu...
142700	145460	Eu entrei como padrinha no final de setembro,
145600	148060	início de outubro de 2019.
148520	149900	Bem, foi no...
149900	151520	2019 é o primeiro ou o segundo ano?
152320	152760	É...
152760	155360	Foi depois do aniversário do RPG Guacho.
156020	156440	Do primeiro.
156800	157600	Foi logo...
157600	159860	Foi um ano e meio, mais ou menos.
160040	160560	Pô, que legal.
160780	161260	É...
161260	164600	Foi depois do episódio Sal do Himalaia.
165100	167140	E sabe o que foi que me fez virar padrinho?
167660	167860	Hã?
168300	170100	Porque tava acabando as vagas no WhatsApp.
170860	171920	Ah, é verdade.
172180	173880	É verdade, porque a gente tinha um grupo no WhatsApp.
174380	178080	E o WhatsApp, na época, podia no máximo 200 e tanto, né?
178080	178480	É.
178520	181260	Eu fui um dos últimos que entrou no grupo do WhatsApp.
181560	181960	Do WhatsApp.
182060	183300	Do falecido grupo do WhatsApp.
183460	184260	Ok, ok.
184840	185560	Acho justo.
185900	187680	Pessoal, se você quiser ajudar nesse projeto,
187780	188440	assim como o Alan,
188560	189440	seja nosso padrinho.
189540	191160	Vai lá no apoia.se
191160	192980	barra rpguacha.
193500	194660	A partir de um real, você tá ajudando.
194740	195500	A partir de dez reais,
196020	197800	você faz parte do nosso grupo do Telegram.
198300	200920	Pagou dez reais, tem um post lá que tá cadeado,
201460	203980	que tu confirmando lá que tu fez o pagamento.
204440	205680	Tu vai poder ler esse post.
206040	208500	Nesse post tem um link direto pro Telegram,
208520	211040	não precisa ficar esperando eu mandar e-mail pra ti,
211120	212220	porque demora um monte mesmo.
212720	214520	E se você, por algum motivo,
214960	216080	não gostar do apoia.se,
216560	219640	ou já tem uma conta lá na orelo.cc,
220000	222500	que apoia algum outro projeto, etc e tal,
223000	224240	lá também tem o rpguacha.
224740	226240	Lá ainda você depende
226240	228640	de eu, uma vez por mês, olhar os e-mails
228640	229580	e te mandar um e-mail.
230060	232820	Mas se tu tiver muito, muito, muito, muita pressa,
233180	235340	me dá um toque lá pelo Twitter, alguma coisa,
235340	238460	que eu faleceu do X,
238520	241460	que eu dou uma acelerada nisso e vejo pra ti.
241780	243500	Falando em falecido X,
243980	245300	chega a gente nas redes sociais,
245360	247260	eu vou amassar o guaxinim, arroba rpguacha,
247760	249380	tanto no falecido Twitter,
249700	250580	quanto no Instagram,
251120	253240	são as contas que a gente tem mais seguidores,
253660	256480	mas convido você que está usando o Blue Sky
256480	258460	a seguir o arroba amassar o guaxinim,
258840	260720	a seguir o arroba rpguacha lá também.
261180	263100	Eu tô tentando migrar um pouco pra lá,
263540	264840	mas pra gente que produz conteúdo,
264840	268240	é muito complicado começar uma rede social do zero.
268520	269740	Dito tudo isso,
270140	272800	vamos ler os comentários desse nosso último episódio.
273300	275680	E o primeiro comentário é do Jorge Marcos Santos Silva,
276220	276880	que coloca
276880	280640	Melhor do que a maioria dos realities que já assisti,
281040	282780	com certeza é mais divertido.
283180	284540	Um bom dia, Sr. Guaxa,
285020	286440	convidade e guaxol.
286860	288120	Tudo bem com vocês, meus queridos?
288200	289460	Tudo bem comigo? Tudo bem contigo, Alan?
289820	290560	Ah, tudo bem.
291020	292080	Olha, Elisa, ele continua.
292080	295040	Acho que não há muitas perguntas em episódios como esse,
295080	295580	também acho.
295900	298060	Mas no que exatamente toda essa estrutura
298060	299520	do mundo dos pesadelos
299520	302960	influencia na relação dele com o mundo humano?
303520	304040	Não muito.
304340	306520	Mas tudo isso que aconteceu
306520	308200	influencia mais o mundo deles mesmo.
308580	310100	Esse se passa quanto tempo depois
310100	312360	dos episódios anteriores dos monstros?
312720	313980	Esse se passa alguns anos.
314620	317080	Já temos o Fofuz Fofurinha como...
318180	320580	Já terminou o ensino médio, né?
320580	323680	Ele agora tá trabalhando como zelador na escola.
324220	325880	Eu chutaria uns 10 anos, talvez?
326460	328000	Esse mundo parece estar ganhando cada vez mais,
328000	328040	mas...
328040	330540	Essa estrutura, isso pode influenciar nos outros mundos?
330940	332160	Para bem ou para mal?
332720	334080	É, talvez. Não sei.
334540	335580	Acho que por hoje é isso.
336080	338540	Além, claro, de parabenizar os jogadores,
338700	340860	o narrador e o editor pelo episódio maravilhoso,
341260	342680	divertido e cativante.
343160	344440	Todos esses episódios de monstros
344440	346620	fico pensando como ficaria incrível
346620	348720	com uma animação. Eu também queria muita animação.
349220	350560	Fico por aqui. Forte abraço a todos.
350640	351620	Força e luz para todos nós.
352020	353460	E até mais. Até mais, querido.
354200	355640	Já vai direto pro próximo?
355880	356480	Aham.
356920	357160	Então,
357160	359140	o próximo comentário é o da
359140	361620	Jujulili, que diz
361620	363280	Que episódio incrível!
364140	364920	Com vários S.
365180	366560	E tudo em caixa alta.
367060	369520	Olá, guaxa, juvidade, que no caso sou eu,
369760	371340	e guaxa, comunidade.
371860	373200	Primeira vez comentando aqui
373200	376240	e finalmente chegando aos episódios atuais.
377080	377840	Vim aqui contar
377840	379160	que o podcast vem me ajudando
380780	382300	muito com minha ansiedade.
382520	383660	Escuto pelo Spotify
383660	385160	desde metade de 2022.
385160	387140	Em um momento,
387160	388400	delicado da minha vida.
388860	391480	E eu guaxa sempre conseguindo manter minha atenção
391480	393580	além de me surpreender em cada episódio.
394020	395120	Consegui até mestrar
395120	396880	algumas das aventuras que eu ouvia
396880	399180	aqui para o meu grupinho de amigos
399180	401300	que nunca tinham ouvido falar de RPG.
401900	403400	Com guaxinins e gambiarras
403400	405180	ficou muito mais fácil explicar
405180	407160	e fazê-los entenderem
408460	409520	como funciona
409520	411340	a narrativa e tudo mais.
411900	412860	Eu sou o Gaúcha
412860	415140	e peço que não se esqueçam de dar
415140	417140	uma atenção especial aos produtos
417140	418140	do Sul.
418140	420140	Meu estado está bem abalado ainda,
420140	422140	fora o fato que não paro de chover,
422140	424140	mas ainda assim pretendo ser
424140	425140	madrinha em breve.
425140	427140	Para não me demorar mais ainda,
427140	429140	só quero agradecer a você, guaxa,
429140	431140	por me mostrar esse mundo incrível
431140	433140	e me inspirar a continuar vivendo
433140	435140	um dia de cada vez.
435140	437140	Do episódio.
437140	438140	Narrativa cativante,
438140	439140	jogadores incríveis
439140	441140	e super centrados na história.
441140	443140	Sou suspeita é pra falar,
443140	445140	pois amo demais
445140	446840	todas as aventuras que se passam no mundo.
446840	448840	Estão no meu top 5,
448840	450840	mas ainda não consegui superar
450840	452840	o jogo de Nadine,
452840	454840	meu favorito, sem dúvidas.
454840	456840	Edição maravilhosa, como sempre,
456840	458840	deixando a experiência super imersiva.
458840	460840	Parabéns, Orzal, e a todos os envolvidos.
460840	462840	Vocês, sem dúvidas,
462840	464840	são 1000% do episódio.
464840	466840	KKKKKJ.
466840	468840	Beijocas e biscoitinhos gourmets a todos.
468840	470840	Obrigado pelo comentário,
470840	472840	Jujulili.
472840	474840	Poxa, assim, incrível. Fico muito feliz
474840	475840	de estar ajudando você
475840	477840	nesses momentos difíceis, né?
477840	479840	Quer dizer, o RPG Gosta
479840	481840	é uma coisa que eu faço
481840	483840	porque eu gosto bastante,
483840	485840	e esse carinho que vocês demonstram
485840	487840	me faz gostar mais ainda
487840	489840	do que eu estou fazendo.
489840	491840	E é engraçado que enquanto eu curo
491840	493840	a tua ansiedade, eu estou aqui,
493840	495840	tentando pensar o próximo episódio
495840	497840	e tendo a minha própria.
497840	499840	Mas a gente vai fazendo essa troca, né?
499840	501840	O teu comentário me deixa mais tranquilo,
501840	503840	o episódio te deixa mais tranquila,
503840	505840	e assim a gente vai indo.
505840	507840	Obrigado mesmo pelo comentário.
507840	509840	E ela falou ali a questão
509840	511840	de dar atenção aos produtos do Sul, né?
511840	513840	Importante lembrar que
515840	517840	as pessoas ainda vão sentir o impacto
517840	519840	por muito tempo, então
519840	521840	não é só fazer uma doação uma vez
521840	523840	e acabou. Se quem tiver
523840	525840	a oportunidade, a gente continua procurando
525840	527840	principalmente ONGs
527840	529840	e instituições
529840	531840	mais reconhecidas
531840	533840	pra se puder fazer a doação
533840	535840	que continua sendo necessário.
535840	537840	Eu estou em Santa Catarina, então
537840	539840	acaba querendo ou não
539840	541840	sendo mais fácil, porque a gente tem
541840	543840	bastante produto que vem do Rio Grande do Sul.
543840	545840	Tem umas rosquinhas
545840	547840	dessas de coco, se eu não me engano.
547840	549840	Essas rosquinhas de tomar com café, né?
549840	551840	Tem uma marca que é
551840	553840	do Rio Grande do Sul, que a gente sempre compra aqui.
553840	555840	No mercado, tem
555840	557840	uma seção que eles marcam
557840	559840	produtos
559840	561840	gaúchos, produtos do
561840	563840	Rio Grande do Sul. Então, eu acho que
563840	565840	tá todo mundo
565840	567840	se ajudando, né? E faço
567840	569840	as palavras do Alan as minhas.
569840	571840	Quem puder ainda ajudar mais
571840	573840	ainda, continue ajudando, porque
573840	575840	lá ainda vai
575840	577840	uma cauda longa ser vencida.
577840	579840	Próximo comentário
579840	581840	do Gabriel Ballardino, que coloca
581840	583840	Olá Guaxa,
583840	585840	juvindade e ouvinte em inglês.
585840	587840	Tudo bem? Tudo bem.
587840	589840	Os últimos tempos tem me mostrado que ter planos
589840	591840	é uma ótima forma de ser surpreendido.
591840	593840	Uma coisa que se mantém, entretanto. A qualidade
593840	595840	e a criatividade presentes no
