start=4524ms stop=9601ms speaker_SPEAKER_04
start=10127ms stop=13556ms speaker_SPEAKER_05
start=13981ms stop=15067ms speaker_SPEAKER_05
start=15067ms stop=18650ms speaker_SPEAKER_03
start=18616ms stop=18633ms speaker_SPEAKER_05
start=18650ms stop=20195ms speaker_SPEAKER_05
start=19533ms stop=19940ms speaker_SPEAKER_03
start=20365ms stop=21010ms speaker_SPEAKER_03
start=20704ms stop=27308ms speaker_SPEAKER_05
start=25458ms stop=28633ms speaker_SPEAKER_01
start=28786ms stop=29838ms speaker_SPEAKER_01
start=30653ms stop=31977ms speaker_SPEAKER_01
start=31994ms stop=32045ms speaker_SPEAKER_01
start=32062ms stop=32215ms speaker_SPEAKER_01
start=32215ms stop=32996ms speaker_SPEAKER_03
start=32996ms stop=33387ms speaker_SPEAKER_01
start=33743ms stop=37054ms speaker_SPEAKER_01
start=37937ms stop=37971ms speaker_SPEAKER_05
start=37971ms stop=38837ms speaker_SPEAKER_01
start=38837ms stop=39006ms speaker_SPEAKER_05
start=39006ms stop=39040ms speaker_SPEAKER_01
start=39040ms stop=41587ms speaker_SPEAKER_05
start=45254ms stop=46884ms speaker_SPEAKER_01
start=46884ms stop=49634ms speaker_SPEAKER_00
start=48208ms stop=49023ms speaker_SPEAKER_01
start=49906ms stop=51604ms speaker_SPEAKER_00
start=51943ms stop=56001ms speaker_SPEAKER_00
start=56001ms stop=63522ms speaker_SPEAKER_01
start=63675ms stop=69940ms speaker_SPEAKER_01
start=72707ms stop=101468ms speaker_SPEAKER_01
start=101553ms stop=117767ms speaker_SPEAKER_00
start=111332ms stop=111638ms speaker_SPEAKER_06
start=117767ms stop=140755ms speaker_SPEAKER_01
start=140755ms stop=141129ms speaker_SPEAKER_00
start=140772ms stop=143998ms speaker_SPEAKER_01
start=143998ms stop=144388ms speaker_SPEAKER_00
start=144388ms stop=144456ms speaker_SPEAKER_01
start=144456ms stop=149499ms speaker_SPEAKER_00
start=144473ms stop=145220ms speaker_SPEAKER_01
start=147207ms stop=147903ms speaker_SPEAKER_01
start=148921ms stop=149431ms speaker_SPEAKER_01
start=149499ms stop=149957ms speaker_SPEAKER_01
start=149957ms stop=149991ms speaker_SPEAKER_00
start=149991ms stop=150585ms speaker_SPEAKER_01
start=150585ms stop=150619ms speaker_SPEAKER_00
start=150619ms stop=150704ms speaker_SPEAKER_01
start=150704ms stop=150738ms speaker_SPEAKER_00
start=150721ms stop=152589ms speaker_SPEAKER_01
start=152079ms stop=155899ms speaker_SPEAKER_00
start=154337ms stop=155814ms speaker_SPEAKER_01
start=155899ms stop=155933ms speaker_SPEAKER_01
start=155933ms stop=156460ms speaker_SPEAKER_00
start=156460ms stop=157003ms speaker_SPEAKER_01
