start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
44920	47920	Um grande olá a todos os guaxinins aqui presentes.
48180	49220	Você é um guaxinim, Bela?
49440	50980	Sou sim, com certeza.
51100	51520	Obrigado.
51820	53360	Cada qual... A Ju não é.
58560	64080	Olá, eu sou o Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade e palavras do Guaxinim.
64280	68880	E sabia que entre o meu aniversário, que é no final de abril, e o aniversário da RP Guaxa,
69300	73380	teremos um mês com a RP Guaxa toda semana?
74340	75160	É isso mesmo que você ouviu.
75860	78820	Toda quinta-feira teremos RP Guaxa.
79560	81960	Eu não sei como é que vai ficar os Guaxaverso, porque...
81960	82760	Pô, cansa, né, gente?
83160	84720	Mas a gente vai dar um jeito, tá?
84720	87720	Então, saiba que a partir do final de abril...
88560	94600	Até... Durante todo o mês de maio, teremos um episódio toda quinta-feira.
95020	97180	Isso só existe graças aos padrinhos.
97320	100880	É aquele excedente do ano que a gente consegue fazer uns episódios extras.
101220	102700	Então, você quer mais episódios?
103280	104840	Seja nosso padrinho.
105180	107700	Quer ajudar o RP Guaxa a chegar mais rápido ao episódio mil?
108100	110160	Seja nosso padrinho.
110500	112320	Você recebe uma série de benefícios.
112640	113760	Gravar voz de NPC.
114380	115780	Gravar as regras.
115780	118320	Fazer parte dos grupos da taberna, lá do...
118320	118820	Telegram.
119040	120240	Fazer parte do grupo do Discord.
120500	123680	O pessoal que tá jogando RPG praticamente todo dia.
123800	124900	O pessoal tá on fire.
125120	126120	Entre outros jogos.
126260	127100	Discutir anime.
127440	128020	Discutir...
128020	129240	Nossa, um milhão de coisas.
129580	131740	Então, venha ganhar novos amigos.
132360	137480	E, principalmente, ajudar este projeto a crescer cada vez mais.
138120	140320	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
140580	143760	Aqui, vamos ler os comentários e discutir as teorias do último episódio.
143760	145640	Que, no caso, foi Cucu.
145880	148260	Esse episódio tem a participação da Belo.
148800	150260	Então, dá uma ouvida.
150680	152520	Vê como é que foi a nossa leitura incrível.
152880	154540	Que aconteceu lá na Twitch.
154840	155560	Segue a gente na Twitch.
155880	156840	Segue a gente nas redes sociais.
156980	157620	Arroba Marcelo Guaxinim.
157660	158500	Arroba RP Guaxa.
158660	159840	Tanto no Twitter quanto no Instagram.
160140	162520	A Twitch é barra RP Guaxa.
162740	164060	Isso ajuda a gente um monte.
164240	167260	E você fica sabendo dos horários de live.
167420	168480	Dos episódios.
169020	170400	E, já adianto pra vocês.
170920	173640	Tudo indica que, ou mês que vem, ou no outro.
173640	175760	Teremos lives bem especiais.
175980	177380	Com aventuras ao vivo.
177560	178300	Fica de olho pra mais.
178320	178880	Mais informações.
179480	179820	Então, vamos lá.
180080	183280	Vamos ver o que eu e a Belo aprontamos na live.
183780	184160	Então, pessoal.
184220	187040	A gente tá aqui pra ler os comentários do episódio Cucu.
187520	188320	Que é o...
189580	190320	RP Guaxa 104.
191680	192220	Eu tô vendo aqui.
192280	193540	Ele tá com 21 comentários.
194520	194960	E...
194960	196620	Eu espero que não tenha muitas perguntas.
196880	198940	Ah, eu quero dizer uma coisa importante pra vocês.
199740	200180	Existe.
200740	201540	Tá gravado.
201960	203420	Quando ele sai, eu não sei.
203820	205220	Mas existe uma aventura.
205720	206320	Que se passa...
207040	208300	Horas depois do fim.
208300	209440	No final desse episódio.
209820	212640	O que faz com que algumas poucas perguntas.
213020	214480	Eu não possa responder.
215080	217280	Então, se eu precisar ignorar a pergunta.
217380	217840	Ou pular.
218380	219920	É em nome de não dar spoiler.
220220	222060	Pro vocês dos próximos episódios.
222520	223680	E não por preguiça.
224020	225260	E ser 10 horas da noite.
225580	225740	Né?
225860	226220	Uhum.
226700	227200	Sim, senhor.
227680	229360	Primeiro comentário é do O Corvo.
229440	229980	Meu Deus.
231660	232140	Por que?
232820	234280	Quem fez isso?
234400	235120	Não foi o Felipe.
235220	236000	A gente já investigou.
236560	237300	Mas tá.
237300	237400	Né?
237840	238920	Olá, Guaxinim.
239160	240280	Olá, convidada.
240640	241040	Suponho.
241220	241880	Acertou, né?
241960	242260	Fábio?
242780	243480	Tudo bem?
243720	244420	Comigo tudo bem.
244500	245000	E contigo, Fábio?
245020	245560	Tudo beleza.
245680	246380	Graças a Deus.
247200	249220	Aqui de ave pra mamífero.
249640	251020	Esse episódio é coisa minha.
251280	251480	Né?
251580	252240	Não, não é.
252660	255680	Tô achando que eu aproveitei pra escalar as asas no último episódio.
256100	257300	E já emendei mais um.
257460	257740	Hein?
257920	258580	Não, não é.
259020	262000	Esse cuco aí é, no mínimo, meu comparsa.
262480	263020	Pode falar.
263560	263800	Não.
263900	265160	Tem zero ligação.
265380	267160	No mais excelente episódio de arrepentimento.
267300	268160	Piara esse final.
268560	272760	Um abraço penoso para todas as jogadoras.
273160	275280	Cada uma foi, no mínimo, 100%.
275280	279360	Pra você, que o RPG Guaxa chegue ao episódio mil.
279900	280620	Um dia a gente chega...
280620	281200	Um dia...
281200	283360	Fábio, você acredita que um dia a gente chega no mil?
283940	284460	Olha só.
284600	289440	Assim que a gente conseguir completar o nosso plano secreto...
289440	295000	E o Guaxa só precisar fazer RPG Guaxa, vai ser rapidinho.
295140	295540	Mas achei.
295880	296380	É verdade.
296660	297280	Vai acontecer.
297300	298200	Acho difícil.
298780	302220	Mas, por enquanto, foram 4 anos pra chegar no 100?
302640	302860	É.
303320	306100	Então, pra chegar no mil, são 40 anos.
306260	306580	É isso?
306880	307240	Sim.
307740	309320	Se for duas vezes no mês, né?
309460	310620	Então, por isso que eu tô dizendo.
311240	315000	Se você se dedicar a isso, só aí vai ser mais rápido.
315320	315700	Ah, não.
315800	316160	É, gente.
316220	319720	Se um dia eu puder, sei lá...
319720	321100	Ganhar uma mega cena.
321800	325280	A Globo decidiu transformar um dos episódios num filme.
325280	326860	E eu ganho um Oscar.
326980	327260	Sei lá.
327300	329800	Se acontecer uma dessas coisas que são fáceis de acontecer,
329940	330860	que acontece o tempo todo,
331380	333720	aí eu prometo que vai ter RPG Guaxa sempre.
334080	339680	Ou, obviamente, se por algum motivo ele aumentar muito de ouvintes
339680	343800	e o patronato crescer bastante, muita gente apoiar,
344280	347780	aí, obviamente, eu vou investir o dinheiro no episódio
347780	350100	e a gente pode tentar fazer semanal.
350500	352780	Só que daí eu não sei como é que eu vou fazer com o Guaxa Verso.
353840	354320	Porque...
354320	357120	Porra, episódio semanal mais Guaxa Verso semanal,
357300	358240	seria complicado.
358820	360640	Se bem que se aumentar o número de patronos,
360700	363660	eu posso pagar alguém pra editar o Guaxa Verso,
363720	364340	que é a parte mais chata.
364360	364640	Isso mesmo.
365860	366260	Então...
366260	367200	Porque conversar é legal.
367240	368400	É legal receber a Fábio aqui.
368880	370380	É ruim depois eu sentar,
370820	372760	aí tira as partes que eu respiro,
373220	374740	aí tira o barulho,
375100	377240	aí eu falei errado e eu tenho que repetir.
377820	379360	É, pô, essa é a parte chata.
379460	380520	Mas tá bom, tá bom.
380880	383500	Mas, olha só, eu queria ser rápido e já me perdi.
383840	384500	Pensamentos positivos.
385940	386260	Isso.
387300	388100	Posso ler o próximo?
388560	389300	Pode ler o próximo.
390160	390640	É...
390640	393120	O comentário é do Jorge Marques Santos Silva,
393460	395140	nosso colega recorrente aqui.
395460	395920	Vamos lá.
395940	396860	Verdade, tá sempre aí.
397560	399120	Antigamente ele era o primeiro a comentar.
399680	400560	Agora ele é o segundo.
401160	403760	Não que seja uma corrida ou uma concorrência.
404260	406480	Tô só marcando um fato aqui.
406980	407340	Isso.
408020	408800	Vamos lá.
409260	411360	Acho que já falei antes, mas vou repetir.
411720	413740	Preciso ouvir os episódios mais tarde,
413900	416480	com menos sono e do lado do meu quadro com fios.
416820	417280	Eu acho que...
417300	419680	O pessoal tem muito espaço em casa pra ter um quadro com fios.
419760	420640	Isso não cabe aqui na minha casa.
420640	421360	Porra, eu queria.
422140	423100	Eu queria muito.
423480	425060	Eu não sei onde botar os brinquedos da Malu.
425260	426400	Tô tão em caixa de plástico.
427060	428800	Então, isso acontece aqui também.
429600	430040	Mas, olha lá.
430160	431380	Bom dia, Sr. Guaxa.
431980	434100	Convidada, chat e ouvintiniz.
434300	434740	Tudo bem?
435160	435580	Tudo bem.
435980	436440	Tudo bem.
436940	439580	Eu tô feliz do episódio ter saído um dia antes.
440800	441900	Eu errei, gente.
441900	443960	Ah, esse episódio sai no final do mês.
444100	444500	Beleza.
444940	447180	Vou agendar ele pro dia 30, que é o último dia do mês.
447300	447420	Né?
447760	448600	Tinha o 31.
450840	453040	Trocou de lugar com o Missangas.
453320	453780	Aí, catinho.
453800	454200	Boa, foi.
454360	454540	Foi.
456420	457040	Vamos lá.
457500	457980	Spoilers.
458260	463600	Tô há duas horas tentando lembrar de quais são os episódios relacionados a essa cidade,
463920	466460	que não vou me atrever a tentar escrever o nome.
466920	469060	Mas a mente dá preguiçosa agora.
469060	472540	A mente tá preguiçosa agora, eu acho.
472780	473140	Isso.
473660	474920	Me ajuda, Sr. Guaxinim.
475340	477180	Quais são as ligações dessa cidade?
477300	480380	Com os demais episódios do Inexistente e Guaxavesso.
480840	483300	A ligação mais direta que tu vê no final do episódio...
483840	485000	Olha o spoiler do final do episódio, gente.
485040	485620	Pelo amor de Deus.
486000	487960	Se você não ouviu o episódio, o que você tá fazendo aqui?
488400	488760	Sai daqui.
489960	490360	O...
490360	492560	O Sharefield, né?
492960	496880	É o cenário principal do episódio Bichos Escrotos.
497340	498160	Era Bichos Escrotos o nome?
498240	499100	Era baseado na música.
499320	499340	Sim, é.
499340	500040	Bichos Escrotos.
500160	500660	É esse mesmo.
500800	503620	Depois a gente fala mais sobre ele, mas esse é o principal.
503620	506960	Tem a caçada dos injustos, se eu não me engano.
507300	510800	Também, assim, passa meio na...
510800	515040	Ele é um pouco um pano de fundo pro Bichos Escrotos,
515420	518720	mas o principal é, se você não tá lembrado,
518900	520380	escute novamente Bichos Escrotos.
520420	520640	Isso.
521480	523620	E eu já ia falar que não teve cidade, né?
523620	526440	A gente tava no internato lá, né?
526500	527320	O Sante Xavier.
527800	529540	Então, chegou aí na cidade.
530520	531340	É, como fica...
531340	532540	Você não, né?
532560	532800	Não, eu não.
532800	533040	Eu não.
533040	533700	Só o personagem.
534500	535000	Eu não.
535740	536280	Vamos lá.
536280	539460	Como ficaram as meninas depois de todo o ocorrido na escola?
539940	543360	A gente vai saber de quase tudo no futuro.
544100	545440	Então, nem eu sei, viu?
545900	547420	Jorge Marcos, nem eu sei.
548080	548600	Vamos lá.
549020	552100	O ser que nasceu é humano ou quase?
552320	553940	Vamos saber disso futuramente.
555640	558740	Aquele ser no fundo do corredor seria um antigo?
559240	559940	E a menina?
560040	563300	Um canal para mais um se aproximar?
563640	564340	Acho que é mais.
566280	566640	Alô?
567060	567540	Maia?
567720	568260	Não sei quem é Maia.
568260	568820	Não, acho que é mais.
569020	572800	E a menina, um canal para mais um antigo se aproximar?
573700	575940	Então, no episódio dos ratos,
576380	578880	os ratos, eles ficavam observando os jogadores.
579020	579540	Lembram disso?
579540	585680	E depois de um tempo, eles acabavam mordendo e matando seres vivos próximos
585680	591600	e levando para algo poderoso dentro do esgoto.
592140	594480	Da mesma forma que a criatura,
595060	596100	ela é alienígena,
596280	597520	alienígena para a gente,
598060	599800	a gente é alienígena para ela.
600200	602320	Ela é parte, né?
602420	604420	Porque ela perdeu muito poder quando chegou aqui.
605120	607500	E ela quer aprender sobre este mundo.
607920	609060	Lá nas profundezas,
609220	610900	ela, o primeiro contato foi com ratos.
611320	613920	Ela criou as próprias versões dos ratos.
614420	617860	E os ratos estão aprendendo e voltando para aquele bicho
617860	619380	para trazer informação.
620180	623780	Tem uma fala da Layla no final do episódio
623780	625600	que explica isso um pouco melhor.
625600	626060	Sim.
626060	628620	Se ninguém trouxer aqui, problema de vocês que eu não vou explicar.
629080	630180	Eu, eu posso falar.
631180	632700	Não, não, não pode, não pode.
632700	633280	Não posso.
633540	634080	É, tá bom.
635460	636000	Aí ele fala,
636000	639520	vou ser obrigada a reouvir todos os episódios pela terceira vez.
640260	642060	É claro, biscoitos a todos.
642340	645620	Episódio maravilhoso e de altíssima qualidade como sempre.
645900	648540	Um abraço forte a todos, todas e todes.
648780	650860	Força e luz para todos nós e até mais.
651200	651900	Até mais, querido.
651980	653400	Espero que você escute do jeito certo,
653940	656000	que é baixando novamente todos os episódios,
656000	658860	e não usando um arquivo que você já tenha baixado,
658960	661000	que daí não conta o download, né?
661540	663620	É, eu queria que, assim, quem lembrar,
663900	665340	o comentário do próximo episódio,
666100	667260	se lembrar, tá?
667660	669420	Deixa se você escuta por onde?
669940	671700	Se é pelo site, se é pelo Spotify,
672140	674000	se é pelo Deezer, se é pelo...
675020	676680	Eu uso um aplicativo.
676740	677560	Qual é o aplicativo que eu uso?
677900	679200	Pode, Cast Addict.
679520	681360	Eu uso esse aí, que falaram para eu usar.
681400	683520	Eu usava o BeyondPod antigamente, mas ele ficou meio ruim.
683520	684120	Eu uso esse também.
684120	685080	Depois de umas atualizações.
685480	685640	É.
686000	687000	Então, comenta.
687100	688880	Comenta aqui, que eu quero saber.
689320	691440	Obrigado pelo seu comentário, e eu vou ler o próximo, certo?
691740	692180	Certo.
692700	695060	O João Baleiro Queiroz.
695580	696360	Olá, guaxitos.
697000	697860	Mas guaxate.
698400	699760	Mas guaxonvidade.
699920	700600	Que que é, Belo?
701080	702220	E ouvintinins.
702740	703260	Sério.
703720	706820	Eu vou começar a tomar calmante sempre que a premissa do episódio for.
707520	709880	Três meninas que têm uma quarta amiga.
710600	712660	Pô, é um tema tão legal, eu gosto disso.
715080	715480	Ele não tá...
715480	718160	Ele não tá dizendo que ele não gosta, ele só disse que vai tomar um calmante.
719020	720560	É verdade, é verdade.
720660	724520	Ó, mas três amigas, tá, as orquídeas não tinham uma quarta amiga.
724920	725420	Não.
725420	728220	Porra, é sempre que tem três meninas e uma quarta dá problema?
728220	729060	Não, não é sempre, não.
729420	730420	Ah, tá, peraí.
730600	734600	Se sempre dá problema, o da Margarina deu problema.
735300	738260	É, assim, se não der problema, não tem episódio, né?
738660	739160	É.
739480	741080	A vida só tem graça quando tem problema.
741080	742180	É, não, tô brincando.
742180	743080	Os episódios.
743420	744920	A vida no RPG é.
744920	745320	É.
745320	747520	Lembrando que o RPG gosta, gente, é ficção, tá?
749160	755380	Hoje usaram contra mim o episódio Nina, que falaram que no episódio Nina é explicado
755380	760200	sobre como funciona a vidência, e videntes não existem, gente, pelo amor de Deus.
760720	762340	E é isso, deixa eu continuar.
762760	763120	Ficção, gente.
763120	764180	A gente começa o meu rate.
764260	764560	Ficção.
765040	765680	É, ficção.
766120	766760	É tudo ficção.
766860	770900	O corvo não existe, a boba não existe e ela não pode te fazer mal.
770920	772560	O guachaverso não existe, gente.
772560	774820	O guachaverso não existe.
774820	775640	Perfeito, Bela.
775980	779360	Vou demitir a Ju e tu vai ficar aí sempre agora.
780340	781140	Deixa eu continuar.
781580	788180	Ele coloca lá, três amigas que tem uma quarta amiga, porque sempre dá merda nesses episódios.
788540	790700	Vídeo, eu beijei uma garota, cheque.
790920	792880	A foto da Michelle, cheque.
