start	end	text
0	7500	Ice, Ice, olha ali, ele... ele tá morto?
9020	10900	Esse bicho não morre tão fácil.
13020	14000	Acredite em mim.
15060	16180	Guaxa, você tá bem?
16640	17880	Ah, Guaxa?
18380	20620	Ah, é mais fácil que falar Guaxinim Galáctico.
21740	25760	Guaxinim Galáctico, eu... eu sempre odiei esse nome.
26260	28140	É, meu avô chamava ele de G.
28140	32560	Ele gostava de letras. N, X, Y.
33540	34260	Ok.
35880	36800	Guaxa, então.
38280	39000	Perdemos?
39460	41700	Eu ainda estou de pé.
42560	46180	Mas e o multiverso? E as realidades paralelas que protegem?
46520	47500	O Guaxaverso.
48300	49020	Que?
49720	56160	É, faz sentido. Se são as realidades paralelas do Guaxinim, é o Guaxaverso.
56160	56600	Ah.
56600	60260	Acho que vai ter mais fortes na cabeça de vocês que na minha.
61460	61820	Ufa.
63100	63540	E agora?
65140	66140	Agora o...
66140	66600	Guaxaverso.
67880	68600	O Guaxaverso.
70700	71660	Chegou o fator.
86600	93600	O que? Quem são vocês?
93600	96100	Nós somos a Guaxa-Humanidade.
96100	100100	Um grupo de observadores que frequentava a mesma taberna.
100100	103100	Longa história isso tudo.
103100	104100	Depois a gente canta.
104100	104600	Que?
104600	106100	Hã?
106100	107600	Que?
107600	110600	O importante é que estamos aqui para salvar o Guaxaverso.
110600	111600	O Guaxaverso.
111600	113600	O Guaxaverso.
113600	114600	O Guaxaverso.
114600	115600	O Guaxaverso.
115600	116100	O Guaxaverso.
116100	117600	Obrigado por esse ano incrível.
117600	120600	Quero agradecer a todos que divulgaram em suas redes sociais.
120600	122600	Que recomendaram a seus amigos.
122600	126100	E principalmente àqueles que fizeram o Guaxaverso existir.
126100	131100	Meu muito obrigado a todos vocês que apoiaram financeiramente esse projeto.
131100	133100	Pelo PicPay e pelo Padrim.
133100	135100	E até pelo Orelo.
135100	141100	E quero convidar você que ainda não faz parte dessa Guaxa-Humanidade a se unir a esta família.
141100	145100	Pois em 2023 teremos desafios maiores.
146100	148600	Feliz ano novo a todos vocês.
148600	150100	E não esqueça.
150100	151100	Fala em 6.
151100	152100	Fala em 20.
152100	153600	Mas se tudo é errado.
153600	154600	Fala no chão.
154600	156600	Que apaga o fogo e diverte.
176100	180600	MUSICA
181100	186600	Se inscreva!
188100	189900	Filipino
189900	191100	kuwe
193100	194100	Obrigado, Danilo.
194100	195940	Essa voz tem um efeito de uma voz.
195940	197100	Eu tenho que descobrir qual é o efeito.
197100	198600	Mas eu te falo.
198600	199600	Eu acho.
199600	200800	Ou me lembro.
201100	201600	Vamos lá!
202100	203100	Beijo Ju 아이.
203100	204520	Eu acho que deu certo.
205100	205720	Saudades.
205720	206080	Quanto tempo passou?
206100	208480	gravarmos, né? Vida louca. Beijo.
209080	210360	Agora com a minha voz normal.
210900	212300	Obrigado, gente. Obrigado por esse ano
212300	213980	incrível. Quero agradecer a todos que
213980	215460	divulgarem suas redes sociais,
216060	218200	que recomendarem seus amigos...
218200	220460	Desculpa de novo.
221540	222300	Que ainda não faz
222300	223260	parte dessa
223260	225100	guachomunidade
225100	227100	a se unir com a gente.
228320	229980	A se unir com a gente é feio, né?
230900	232180	E quero
232180	233380	convidar você que ainda...
233380	235480	E quero convidar você que ainda não faz...
235480	238200	E quero convidar você que ainda não faz
238200	239800	parte dessa guachomunidade
239800	242240	a vir fazer parte deste grupo.
243060	244500	A se unir a esta família.
245280	246200	A fazer parte.
248060	249520	Escolhe um que ficou menos ridículo.
