start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaixaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	20040	Olha só, quase tudo o Guaixa sabe e faz.
20060	20960	Espera, o que é o Guaixaverso?
20980	22980	Era só uma questão de tempo.
23100	24020	Todo mundo conhece o Guaixaverso!
24020	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32080	33740	Eu acredito no Guaixaverso!
33860	36560	Mas supondo que ele exista...
37900	41520	Guaixaverso, onde o que não existe é debatido.
44980	46380	É uma possibilidade.
47500	49360	Ganhei água aqui da maluta só.
49760	55460	Ah tá, achei que tinha aparecido que meus cachorros estão aqui chorando, porque eu trago eles junto comigo pra eles não ficarem latindo,
55460	58360	e aí eu tô jogando biscoitos pra ver se eles...
58360	59360	Se eles ficam quietos.
59360	61860	É, eu tô coelhando biscoito aqui também, deixa eu comentar.
61860	62860	Vamos continuar.
63460	67860	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast do Realidade e Paralelo do Guaxinim,
67860	72660	e esse é o último episódio antes de começar o mês de aniversário.
72660	74660	Eu tô certo disso? É isso, né?
74660	79860	É, não sei como é que vai ser o Guaixaverso depois disso, mas vamos que vamos.
79860	81860	Pra quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
81860	87700	Aqui vamos ler os comentários de discutir as teorias do último episódio, que no caso foi o episódio 133,
87700	90700	O Bom, o Mal e o Ceifador.
90700	98700	E recebemos ele, que não é bom nem mal, mas esteve em dois episódios com o mesmo nome, o nosso querido Sr. Basso.
98700	99700	Tudo bem, querido?
99700	105700	Tudo bem. Eu devo ser ou o bom ou o mal, porque eu participei de um episódio chamado O Bom, o Mal e o Feio,
105700	110200	e depois foi O Bom, o Mal e o Ceifador. O único dominador comum aí é O Bom e o Mal.
110200	112200	Eu tenho que ser um desses dois.
112200	114200	O Ceifador e o Feio não tem como ser você.
114200	115700	É, são episódios diferentes, mas estamos aí muito bem.
115700	116200	É, são episódios diferentes, mas estamos aí muito bem.
