start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32100	33720	Eu acredito no Guaixaverso!
33760	36560	Mas supondo que ele exista...
37880	41560	Guaixaverso, onde o que não existe é debatido.
45200	48440	E não, foi pelo Sir James Pell-Egg-Doll.
48580	50880	É Sir James Pell-Egg-Doll.
52900	55640	Foi algo bem antes disso que brigaram comigo.
58560	70160	O Guaixaverso é o nome dos padrinhos para o futuro.
70420	72020	E agora eu tenho que ler.
72020	74460	Para quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
74580	78020	E aqui vamos ler os seus comentários e discutir as teorias do último episódio.
78780	81020	Que, no caso, foi o sumiço do idoso sedutor.
82180	83160	Foi um episódio bem bacana.
83380	85980	A gente gravou um papo bem bacana, eu e a Ana.
86280	87740	Fez um dos personagens, né?
87960	88400	É...
88400	90200	A gente gravou lá na Twitch, na terça-feira.
90260	95580	E como eu comentei na própria Twitch, não consegui lançar na quinta-feira esse Guaixaverso.
95620	97180	Ele vai atrasar novamente.
97360	100980	Pois, como muita gente sabe, o RPGuaixa é um hobby.
100980	103380	E eu tenho um trabalho no mundo real.
103760	107720	Que está especialmente consumindo muito do meu tempo nesse início do ano.
108340	112800	E fora que outras coisas inesperadas têm surgido.
113120	116000	Então eu tenho andado muito cansado, muito corrido a vida.
116520	117980	Eu gravei quarta-feira agora um episódio assim...
118400	119380	Incrível.
119840	122760	Que traz um ponto importante que foi discutido em um outro episódio.
123000	124520	Que amarra algumas pontas.
124620	125820	Que cria coisas novas.
126260	127960	Eu terminei satisfeito.
128440	133240	Mas depois, assim, no dia seguinte, ouvindo para anotar as minhas falas como NPC.
133240	136560	Porque, não sei se você sabe, eu anoto minhas falas como NPC.
136780	138300	E daí eu passo para os padrinhos, né?
138300	140160	Os padrinhos gravam as vozes e a gente edita.
140660	145060	Eu senti que, porra, se eu tivesse mais tempo, eu conseguia melhorar algumas coisas?
145340	146160	Algumas falas?
146260	147200	Algumas motivações?
147700	148020	Não sei.
148020	151480	Então o cast é bem bacana, com pistas, com mistério, com informações.
151740	152660	Vocês vão ouvir ele um dia.
152880	153920	Porque ele foi gravado agora.
154180	156240	Mas não é o próximo que vocês vão ouvir.
156840	158280	O próximo é...
158280	159300	Semana que vem.
159440	159980	Semana que vem.
160300	161040	Vocês vão descobrir.
161140	161860	Mas está bem bacana.
162280	166460	Já aviso que tem Jujuba, Juliana e Shelly Poison.
166960	167980	Não deixem de seguir nas redes sociais.
168060	168700	Arroba o Marcelo Guaxinim.
168760	169920	Arroba a RP Guaxa.
169960	171220	Tanto no Twitter quanto no Instagram.
171780	172800	E, poxa, gente.
173580	175920	Fevereiro, perdi um monte de padrinho.
176260	177460	Está difícil para todo mundo.
177460	177540	Tá difícil para todo mundo.
178020	181100	Houveram problemas, tanto no PicPay quanto no Padrim.
181320	183780	O PicPay, principalmente, cancelou algumas pessoas.
183880	184920	Não aceitou o cartão.
185220	186480	Ou deu alguns problemas.
186840	188700	Eu sei que alguns padrinhos vieram falar comigo e vieram corrigir.
189060	190720	Mas teve gente que simplesmente parou.
190840	192720	Então dá uma conferida lá se o teu está em dia.
193000	193780	Se está tudo certinho.
193860	195060	Se caiu no mês passado.
196280	197400	Renova caso tenha caído.
197480	198580	Se você queira, né?
198860	202340	Se você quer esse projeto que continue a crescer cada vez mais.
202400	204180	A ter mais episódios.
204540	205440	Seja nosso padrinho.
206000	206500	Mas vamos lá.
206500	207680	Não quero me alongar muito.
208020	210860	Escutem o bate-papo e a leitura dos comentários bacanas
210860	213300	que eu e a Ana tivemos lá na Twitch.
214100	216580	O primeiro comentário é do Mikio Uieda.
216700	217200	Ele coloca...
217200	224540	No caso, é a Ana.
224940	225600	Muito obrigada.
226360	228320	Pela análise inicial, está viva.
229640	231360	O gato, a gente não tem certeza.
231760	234220	Passando aqui para dizer que gostei muito do episódio,
234360	235500	mas tenho algumas perguntas.
235500	236180	Primeiro.
238020	240280	Revolve, explode um tanque.
240520	242740	Senti uma vibe Star Wars nesse trecho.
243120	247200	Então, o tiro entrou pelo cano do...
247200	247500	Que atira...
248280	249020	Como é o nome daquilo?
249420	250440	Pelo canhão, né?
250440	251040	O canhão, é.
251160	251760	Do tanque.
252220	258260	E daí o tiro acertou de frente com o explosivo que o tanque ia lançar.
258780	261080	Explodindo o explosivo dentro do tanque.
261400	262680	Que é um lugar fechado.
