start	end	text
0	10100	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20040	O Guaxa sabe o que faz!
20040	20960	Espera! O que é o Guaxaverso?
21000	22980	Era só uma questão de tempo!
23100	24220	Todos nos conhecemos!
24220	24520	O Guaxaverso sempre existiu!
24520	25440	É o nosso final!
25440	27140	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	32020	É, pessoal, não existe o Guaxaverso!
32100	33720	Eu acredito no Guaxaverso!
33760	36540	Mas, supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido!
45100	45820	Gravando...
45820	46960	Gravando...
46960	47460	Lá!
47860	48620	Prontinho!
49160	51860	Tá, mano, tá falando absurdo, nós fomos...
51860	54020	Foi censurada!
54020	54100	Foi!
55440	58020	Não precisa banir, moderadores, só eu fiquei rubarizado.
58540	59000	Vamos lá!
60660	64600	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o Guaxinim
64600	68660	e eu fico muito triste que uma galera que não entendeu o filme se apossou do conceito da
68660	69300	pirula vermelha.
69740	72620	E pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
73040	75540	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso
75540	77180	foi Anjos de Metal.
77320	77780	Dois pontos.
78360	78760	Exurdo!
79200	84260	RPG Guaxa 140 e eu estou hoje aqui com a nossa madrinha, nossa deusa, aquela que foi eleita
84260	87940	a melhor jogadora de RPG do Brasil de 2022, a Gata Sofia.
87940	90920	Oi, gente, agora eu tô sem grava...
90920	92600	Eu tinha esquecido desse fato.
92960	93400	Oi!
93980	94400	Boa noite!
94980	99280	Participando em, agora que a gente viu, faz quase três anos de Guaxaverso, participando
99280	99980	pela primeira vez.
100400	101400	Pela primeira vez, é.
101860	103260	Mas já gravaste quantas aventuras?
103740	104120	Vixe!
105140	109940	Olha, a última vez que eu estava em contagem era 12 ou 13, mas...
110520	110540	Caramba!
110740	111500	Vai pra geladeira.
111820	112300	Não tem como.
112320	112480	Ah, não!
113160	113620	Eu não devia...
113620	114600	Eu gravei duas!
114780	115420	Eu gravei duas!
115780	116700	Hoje é a última...
116700	117540	Esses dias eu tava assim...
117540	117860	Ah, Rafa!
117940	118920	Eu acho que gravou uma ou duas.
119380	120760	Eu acho que gravou quatro, cinco já.
121520	122200	Mas ok.
122780	127760	Pessoal, antes de mais nada, eu queria convidar vocês, já que estavam sendo comentados antes
127760	135480	de começar a live aqui, de 29 a 30 de julho, lá no Teatro Carlos Gomes, aqui em Blumenau,
135580	135680	né?
136740	138640	Aqui em Blumenau, do outro lado, né?
