start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24000	Todos vão conhecer o Guaxaverso!
24000	24520	O Guaxaverso sempre existiu!
24520	25460	Até o nosso final!
25460	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45020	47880	Eu vou tentar não chamar de mestre, mas eu não garanto.
48260	54480	Chama de guaxa, assim, na pior das hipóteses, narrador, narrador é bom.
55000	56500	Mestre é estranho.
56560	57120	Por quê?
57120	58120	Não sei.
58560	61120	Eu acho mestre estranho.
61400	63120	Vou chamar de meu senhor, não estou brincando.
65000	68380	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidades para o
68380	69880	lado do Guaxinim e...
69880	71180	Está acabando, gente, está acabando.
71360	76120	Quer dizer, na hora que a gente está gravando isso, é dia 26, faltam, sei lá, 4, 5 dias.
76580	82420	Eu espero lançar esse episódio ainda em 2023, mas é final do ano, tudo pode acontecer,
82600	82700	né?
83120	85000	Para quem não sabe, o Guaxaverso é o nosso antigo escudo do mestre.
85000	88360	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no
88560	93760	caso foi A Espera, RPG Guaxa 153.
94380	100800	E hoje eu estou aqui com ela, com a estreante do episódio e do Guaxaverso, que vai ser
100800	105640	que cada da sala se errar o meu nome de novo, Tarine, tudo bem, querida?
106140	107040	Tudo ótimo.
107460	112480	Gente, eu estou proibida de chamar o Guaxa de mestre, mas provavelmente eu falharei
112480	114380	miseravelmente, mas eu tentarei.
114680	115500	Vamos descobrir.
115960	117280	Querida, como é que as pessoas te acham na internet?
117400	118200	Então.
118560	120300	Eu tenho dois Instagrams.
120580	126520	Eu tenho o meu pessoal, que é o tari.cpc, e eu tenho um sobre vida acadêmica, que eu
126520	133060	uso mais, que é o Acadêmica Underline Sincera, que no dia de gravar eu confundi o ponto com
133060	135420	a underline, passei errado e ficou por isso.
135540	137380	Mas algumas pessoas me acharam, o que importa.
138120	138880	Tá, é.
139320	141920	Quem quer dar um jeito, as coisas acontecem.
141920	145860	É que Tarine não é um nome, assim, difícil de achar também, né?
145900	148260	Não tem 30 Tarine no mundo, deve ter duas.
148560	149320	Eu e...
149320	149720	É verdade.
150120	153180	Não é Marcelo, que tem 4 bilhões.
153480	156540	Eu falei que tem duas, porque meu nome é inspirado no amor do meu pai.
156620	159400	Minha mãe que não escute esse episódio, mas é o primeiro amor do meu pai.
159460	160340	Olha que errado.
160880	164340	Então eu sei que pelo menos outra Tarine existe, além de mim mesma.
164820	165100	Ok.
165200	167480	Vamos torcer pro seu pai não ouvir esse episódio.
168860	169900	Não, a minha mãe, né?
169920	171960	Porque ele que me contou isso, falou, não conta pra sua mãe.
172080	172780	Ah, é verdade.
172900	174700	Vamos torcer pra sua mãe não ouvir esse episódio.
175140	175460	Como?
175460	175540	Como?
176100	178400	Eu saí um corte recente lá no Instagram.
178560	179520	Eu falando do RP Guaxa.
179940	184420	Eu falando do porquê eu batizei Flávia Regina, o prédio do episódio do Flávia Regina.
185000	186620	E quem trabalhava lá era o Eduardo.
187040	190940	Eu falei, porque o Eduardo era um cara que trabalhava comigo e trocou de setor e daí eu matei ele.
191740	192480	Brincando, né?
193300	195980	Atualmente, neste momento, este homem é meu chefe.
196060	197320	Queria mandar um beijo pra ele.
198180	202460	Ele entrou hoje na minha sala e falou, tu me decapitou.
204860	205700	Acontece, né, gente?
206760	207160	É...
207160	207700	Mas, antes de mais nada, quero...
208560	216960	Pedir pra todos vocês que assinam pelo PicPay pra ir ou pro Apoia-se, ou pro Padrim, ou pra Aurelo.
217460	220740	Assim, tô testando o Apoia-se, por enquanto, tô curtindo.
220740	222740	O pessoal que usou tá elogiando.
223880	231940	Não faz diferença, porque a porcentagem que essas plataformas comem é a mesma, é 12 a 13%.
231940	234940	Então, eu tô perdendo dinheiro do mesmo jeito com todas elas.
235360	237580	Então, escolha o que for melhor pra você.
238560	240640	A Aurelo é meio complicadinha de sacar o dinheiro.
240760	241180	Eu tenho que...
241180	242900	Todo mês ela pergunta, você quer sacar o dinheiro?
242980	244080	Eu disse, não, eu quero deixar pra ti.
244380	245140	É óbvio que eu quero.
245520	246780	As outras são automáticas.
246940	248660	Eu não sei como é que eu dou Apoia-se, né?
249440	249840	Mas...
249840	251760	Vamos ver, já temos algumas poucas pessoas lá.
252180	254400	Tem muita gente ainda no PicPay que precisa migrar.
254920	259900	Segundo o e-mail que eu recebi, a partir do dia 15 não existe mais PicPay assinaturas.
260400	263040	No Twitter, algumas pessoas falaram que parece que vai até março.
263520	264220	Então, não sei.
264460	266460	Algumas pessoas perguntaram sobre o Pix.
267240	267680	É...
267680	268220	Aquele recorrente...
268800	269700	Que tá pra ser aprovado.
270060	271900	Parece que ele vai começar em abril.
272340	274360	Eu ainda não sei como vai funcionar.
275160	275520	É...
275520	277300	Provavelmente vai precisar de CNPJ.
277740	280540	O que não é um problema, porque o Portal do Aviante tem o CNPJ.
280660	281700	Ele só não tá no...
281700	282880	Ele só não é meu, né?
283260	285620	Eu tenho que ver como é que funcionaria pra usar.
286240	288340	Mas, eu vou dar uma olhada ainda.
288840	293000	Então, por enquanto, as opções são Apoia-se, Padrim ou Aurelo.
293500	294080	Qualquer uma.
294080	297220	O que for melhor pra você, é bom pra mim também.
297560	298440	Se você tá agachando as redes sociais,
298560	299720	já citei aqui o Instagram.
299860	302500	O Instagram tá sempre coisas maravilhosas saindo lá.
303060	303540	É...
303540	307020	Você pode seguir tanto o Instagram quanto o Twitter,
307240	309160	do arroba rpguaxa.
309380	312420	E também o meu pessoal, que é Marcelo Guaxinim.
312760	317620	Dito tudo isso, eu e a Tarenê estamos aqui pra ler os comentários.
317780	321680	É verdade, assim, também tem a questão de que controlar o Pix é bem complicado.
322340	322780	É...
322780	323220	Um padrinho...
323960	327920	Quem quiser mandar um Pix aleatório, a gente pode mandar pra rpguaxa.gmail.com
327920	328140	É...
328140	328540	É...
328560	332000	Só que eu não sei ler as mensagens pelo banco que eu uso.
332100	332920	Aparece só o dinheiro.
333340	335260	Eu sei que algum padrinho mandou um centavo.
335620	337780	E deve ter escrito alguma coisa muito incrível.
338280	340360	Eu não faço ideia de onde eu vou pra ler isso.
340740	342620	Mas obrigado por isso, pelo seu um centavo.
342860	344140	Espero que não te faça falta.
344420	344820	É isso.
345580	345980	E...
345980	349220	Obrigado a todos os outros que fizeram outras doações pontuais.
349620	355200	Se for o caso, precisar, além de mandar o Pix pro rpguaxa.gmail.com,
355440	358400	manda um e-mail pra rpguaxa.gmail.com.
358560	363700	Incluindo quando você assina pelo PicPay, pelo Orelo e pelo Padrim,
363800	367560	eu recebo um e-mail lá em rpguaxa.gmail.com.
367620	368960	Então, manda tudo pra lá, gente, tá?
369380	369900	É isso.
370380	374780	Mas, eu e a Tarinê estamos aqui para ler os comentários do último episódio.
375220	375820	A espera.
376260	377540	Nosso episódio de Natal.
377960	381460	Eu espero ter enganado vocês e vocês terem achado que não era um episódio de Natal.
381880	382840	Que era um episódio militar.
383500	383980	É...
383980	386460	Embora, assim, tava meio que na cara.
386460	388460	O primeiro comentário é do Jorge Marcos Santos Silva.
388560	389280	Silva que coloca...
389280	390980	Acho que surpreendente.
391480	394000	Poderia ser um nome melhor pra essa equipe, viu?
394500	397220	Um bom dia, senhor guaxa, convidado e guaxual.
397680	398340	Tudo bem, queridos?
398400	398880	Tudo bem comigo?
398980	399900	Tudo bem contigo, Tarinê?
400300	401080	Tudo ótimo.
401500	402500	Você já tá de férias?
403320	405800	É que o doutorado é complicado, férias.
405880	406720	Mas eu tô sem aula.
407200	407920	É alguma coisa.
408340	408500	Tá.
408800	410480	Tu tá estudando em casa, é isso?
410780	411040	É.
411420	417060	Na verdade, eu vim pra minha cidade em Natal e eu tive que tirar uma amiga da cadeia.
417060	418540	Ser advogada não é fácil.
418560	422500	Então, meu primeiro dia sem nada pra fazer foi oficialmente ontem.
422820	425060	Então, hoje é o segundo dia de férias oficiais.
425340	426540	Ok, eu tô trabalhando.
426660	430340	Eu era uma das únicas três pessoas lá no campus no momento.
430740	432960	Eu tava de chinelo e almocei um McDonald's.
433200	435100	Então, assim, eu acho que tô melhor que você.
435220	436140	Não tirei ninguém da cadeia.
436540	437880	Nem coloquei ninguém na cadeia.
438660	439420	Não, eu só tiro.
439540	441500	Eu só coloquei num...
441500	442420	Não tenho esse poder todo.
442920	445340	Gravei o episódio em que morria meu atual chefe?
445620	446240	É um problema.
446700	447580	É um problema?
447580	447740	É um problema.
448080	448540	É um problema.
448540	449620	Mas é aquele chefe assim, sabe?
449940	451340	Todo mundo tirou férias.
451720	452600	Caiu no colo dele.
453120	454740	Tipo, então...
454740	456260	Em teoria, eu tô tranquilo.
456360	456660	Acho.
456920	459900	Mas continuando o comentário do Jorge Marcos Santos Silva.
460240	460920	Spoilers.
461120	463280	Ah, que saudade desses gnomos.
463640	465820	Me julguem, mas meu favorito é o Paper.
466400	468920	Tudo nesse universo tá sujeito ao toque da Nike.
469380	469660	Ah, não.
469740	470020	Nike.
470220	471780	Ele quis fazer da Nike, né?
471780	472380	Mas escreveu Nike.
472740	476300	Ou as coisas são só de zoeira por natureza mesmo.
476300	477860	É, nem tudo tem...
477860	478020	Assim.
478020	481680	Lá atrás, num dos últimos episódios de Natal,
482020	485980	termina com a Nike mandando os gnomos pra um outro lugar.
486360	488140	Ela vai pra um outro lugar ou ela manda eles.
488220	488620	Eu não lembro.
489060	491180	Eu sei que ela tá em um lugar, em uma linha,
491620	493020	e os gnomos estão na linha mais absurda,
493880	495640	que é a mesma dos cavaleiros e tal.
496020	498540	Então, alguma coisa aconteceu e eles só se mudaram.
498840	502380	Então, o mundo já é loucura sem precisar dos poderes da Nike.
502680	504060	Mas acho que era a minha única pergunta.
504220	506660	Um Feliz Natal e Ano Novo a todos!
506900	508000	Pra você também, querido.
508020	512040	Que seja uma conclusão e recomeço de ciclo maravilhoso a todos.
512540	516020	E que dessa vez, mais que nunca, fosse luz para todos nós.
516080	516900	Fosse luz, querido.
517220	518780	Agora, eu leio...
518780	519340	Desculpa, gente.
519420	519780	Pera aí.
520100	521960	Eu leio o nome da pessoa antes de ler o comentário
521960	523160	ou só vou ler no comentário?
523700	525420	Leia o nome da pessoa, senão a gente não sabe quem é.
526100	526640	Tá bom.
527300	528580	Eu acho que pronuncia assim.
528720	530280	É Thalia Slade?
530900	531300	Ou...
531300	531820	É o menino.
532300	533260	É o menino, desculpa.
533700	534600	Thalia Slade.
534700	536240	Se eu estiver falando seu nome errado, desculpa.
536240	537320	É padrão.
538020	538460	É.
539000	540180	Boa noite, Guaxa.
540520	541520	Juvidade do dia.
541980	542920	E Guaxa versus.
543520	545320	Como é ser uma juvidade?
545900	546340	É...
546340	547920	Eu tô bem nervosa.
549820	551700	O meu coração tá acelerado, sem brincadeira.
551800	552780	Eu já tô muito emocionada.
553620	555320	Se eu for preso, eu sei pra quem eu vou ligar.
555400	555840	Pode continuar.
556320	556640	Por favor.
556760	558180	Eu queria fazer uma propaganda aqui
558180	560840	que eu soltei a minha cliente em menos de 24 horas.
560980	562860	Então, modéstia à parte, tô brincando.
563020	563980	Eu nem posso fazer propaganda.
564080	565680	A ou B, não me tira a B, por favor.
565800	566220	Foi sem querer.
566580	567620	Enfim, voltando ao comentário.
568020	570440	Adorei o episódio em clima natalino.
570780	573900	Acho que só assim pra eu gostar de algo de Natal.
574160	576100	Porque, de resto, meu espírito natalino
576100	579240	já foi exorcizado há muitos anos.
579520	581920	Enfim, feliz que tivemos a participação
581920	585240	do trio de gnomos mais queridos do Guaxa Verso.
585540	587040	Estava com saudades deles
587040	590040	e queria ver eles mais vezes.
590200	591980	Inclusive, fora do Natal.
592380	593700	E como não poderia faltar,
593880	596700	quero dar parabéns para todos os 50%
596700	597980	envolvidos no episódio.
597980	600460	Biscoitos natalinos para todos
600460	601740	em forma de gnomos.
601860	604380	Feliz Natal para todos e boas festas.
604740	606200	Obrigado, boas festas, querido.
606540	607540	Obrigado pelo seu comentário.
608080	608940	É muito difícil, assim.
609080	610640	O Fencas tá no Canadá.
611100	614040	Então já coloca que ele tá num fuso horário diferente.
614420	615880	E dos três ele é o mais fácil.
616260	618360	O Danilo era pra estar no episódio
618360	619460	de Dia das Crianças.
620040	622160	Mas ele tá com uma agenda meio maluca.
622940	624260	E daí no Dia das Crianças eu falei
624260	626400	Cara, quando tiver livre me avisa.
626400	627300	Ele nunca mais me avisou.
627980	629780	Ou ele me esqueceu ou ele tá sem agenda.
629900	630220	Não sei.
630680	633120	E a Jujuba, quem acompanha o Missangas sabe
633120	634920	que volta e meia o Missangas atrasa na semana.
635360	637720	Porque a Jujuba também é psicóloga agora.
637940	639500	Ela atende o tempo todo.
639600	640600	De manhã, tarde e à noite.
641060	643460	Então acaba que o tempo dela tá bem reduzido.
643920	646900	Então eu não consigo juntar esses três.
647300	649060	Mas consigo fazer essas participações
649060	650480	que eu dei de grava quando podem.
650880	652480	Então assim, que bom, que bom
652480	654040	que você curtiu.
654460	656480	Próximo comentário é do Matheus Tavares.
656480	657480	Ele coloca...
657980	661100	O que inclui você, GuaxaS2.
661300	662900	Obrigado por avisar, Matheus.
663060	663700	Obrigado mesmo.
664060	664540	Tudo bom?
664720	665140	Tudo bom.
665560	667460	Feliz Natal a todos os ouvintes.
667560	671400	Ao convidado, ao editor e ao nosso amado Guaxa e sua família.
671880	673300	Que episódio maravilhoso de Natal.
673420	673960	Eu amei.
674340	676180	Fui surpreendido a cada momento.
676560	681420	Nunca iria imaginar a loucura de um Natal intergaláctico.
681860	682620	Spoilers.
683080	685220	O grito que eu dei quando o Paper apareceu.
685220	687220	Sempre que os gnomos e elfos doentes aparecem.
687980	690220	Ouço com um sorriso permanente no rosto.
690880	694220	Fiquei na esperança do Z-75 aparecer para cantar a musiquinha.
694660	696260	Acho que vai ficar para o próximo Natal.
696640	698340	Z-75.
698600	699100	Pode ser.
699540	699900	Pergunta.
700120	702140	Os gnomos de Natal tem relação com a Nick, certo?
702260	702500	Certo.
702600	703460	A criação, sim.
703940	707340	Seria tudo criação e imaginação dela nessa aventura?
707720	708040	Não.
708200	709540	Eles já são seres independentes.
709860	711260	Obrigado pela aventura maravilhosa.
711680	714000	Fiquem com um cookies verdes em formato de árvore de Natal
714000	716120	e um copo de leite azul.
716120	716960	Um forte abraço.
717140	717740	Eu não vou tomar o leite.
717980	719240	Por favor, não bebam leite.
719480	720560	Porque eu estou sem catavento.
720900	721260	É verdade.
721900	724780	O próximo é do Pandeiro, o Gato Malandro.
725140	725840	Oi, amigos.
726060	727080	Eu amei o episódio.
727220	728540	Muito legal e agradável.
728900	730500	Mesmo sendo diferente do comum,
730980	732260	já que envolveu mais ação.
732680	734400	Eu nunca vi esse filme do Papai Noel.
734860	736020	Acho que eu li sem pontuação.
736120	736460	Vamos de novo.
736760	738320	Eu nunca vi esse filme do Papai Noel.
738520	739160	É incrível.
739720	739940	Ah, tá.
740280	741340	Quero muito ver agora.
741640	743460	Ofereço biscoitos de genzibre
743460	746100	e um copo de chocolate quentinho para todos
746100	747300	por esse episódio incrível.
747300	748380	Aí é um coração.
748860	750460	Um grande abraço e um Feliz Natal.
750940	751800	Vírgula, Deiro.
752240	754660	Feliz Natal, Deiro, o Gato Malandro.
756260	756660	É...
756660	759520	Ok, não sei o que dizer para um gato Feliz Natal,
759600	760160	mas é isso.
