start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaixaverso existe!
15120	15960	Como assim?
16180	18140	Você entendeu a referência do último episódio?
18260	20020	Olha só, quase tudo o Guaixa sabe e faz.
20020	20960	Espera, o que é o Guaixaverso?
20980	22980	Era só uma questão de tempo.
23100	24020	Todo mundo conhece o Guaixaverso!
24020	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28540	Alguém me explica o que é o Guaixaverso?
28540	32020	É, pessoal, não existe o Guaixaverso.
32080	33740	Eu acredito no Guaixaverso!
33820	36540	Mas supondo que ele exista...
37900	41540	Guaixaverso, onde o que não existe é debatido.
44840	49300	O Alê Tavares colocou ganho em 5kg na pandemia e pelo menos agora consigo dar sangue.
49540	51020	Alê Tavares, eu te odeio.
51260	54280	Eu queria deixar... Mentira, eu te amo, mas só...
54280	56000	É, eu tenho esse problema do Alê também.
57000	58260	Odeio você também, Rafa.
58540	61820	Não, mentira, gente. Eu não odeio ninguém.
62160	63620	Não odeio ninguém. Tira da Rafa e o Alê.
67220	72920	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidades Paralelas do Guaxinim.
73180	74640	E, então, é Natal.
75060	75920	O que você fez?
76120	77840	Espero que tenha apoiado a RPG Guaixa, né?
77840	78860	Porque eu fiz um monte de episódios.
79180	81140	Pra quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
81580	84040	Aqui vamos ler os comentários e discutir as teorias do último episódio.
84040	87960	Que, no caso, foi Jujubas de Ferro RPG Guaixa.
88540	89300	124.
90100	91760	E eu tô aqui hoje com a Rafa.
92160	94820	Rafa, bem-vinda ao Guaixaverso que não existe.
95340	96260	Obrigada, Guaixa.
96600	97260	Olá, pessoas.
98340	99300	Como vocês estão?
99760	102100	A Rafa tem uma voz doce, né?
102520	104560	Eu quero jogar ela num episódio de terror.
105000	106060	Que maldade.
106740	108060	Você gosta de episódios de terror?
108580	109540	Ou dos outros episódios?
109560	109780	Não, eu gosto.
110960	112620	Eu tinha problema com terror.
112620	114020	Quando eu era mais nova.
114580	116780	Mas hoje...
116780	117640	Assim, é.
117820	118340	Não, eu gosto.
