start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido.
44860	51380	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o lado do Guaxinim e agora com 40 anos.
51640	52120	Uhul!
53400	56560	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
56920	58540	Aqui vamos ler os comentários, discutir os comentários.
58560	65280	Aqui vamos ler as teorias do último episódio, que no caso foi o cheirinho do armário, RPGuaxa162.
65920	69880	Eu estou aqui com a estreante do Guaxaverso.
69920	73220	Ela foi estreante do RPGuaxa no episódio, né?
73220	75000	Agora está estreando no Guaxaverso.
75280	77340	Um dia vai estrear no Missangas, né?
77840	82880	Depois o top da linha é o Sycaste, mas isso um passo a cada vez.
83240	83760	Olá, Rafa!
84200	87440	Hello! Olá, pessoas!
87440	88460	Tudo certinho?
88560	89580	Tudo certinho.
90080	90560	Na...
91160	92460	Essa semana...
92460	94220	Quer dizer, já deve ter saído quando esse episódio saiu.
94680	97780	Tem o Missangas com a Rafa, a gente falando sobre Paraguai e outras loucuras.
97940	98320	Yes!
98720	100100	Moamba no Paraguai, né?
100260	100920	Em 2024.
100920	108220	Vocês vão escutar em primeira mão todas as dicas do que eu consegui morando aqui perto da fronteira.
108660	109040	Isso.
109580	110580	É a minha da fronteira.
111120	111860	Uma delas.
112360	113100	Alô, alô!
113560	114320	Aqui é o Luco!
114540	116820	E eu sou o primeiro NPC de Guaxaverso.
116820	117820	E eu vim aqui avisar que o Missangas...
118560	122820	O Missangas com a Rafa vai sair quarta-feira, dia 8 de maio de 2024.
123400	125180	Agora continue ouvindo o Guaxaverso.
125480	128720	Mas não é sobre a fronteira que a gente tá aqui pra falar.
129240	132340	Eu tô aqui pra convidar vocês pra assinarem o Apoia-se.
132780	134000	Já falei, repito.
134260	136660	Assinava pelo PicPay e o PicPay não existe mais, gente.
136980	140320	Assinava pelo Padrinho, o Padrinho a partir do mês que vem deixa de existir.
140720	143440	Então eu peço pra vocês que vão pro Apoia-se.
143920	147100	O mês de aniversário, inclusive, foi bem magrinho esse ano.
147100	148480	A gente não vai ter episódio.
148480	150680	Não vai ter episódio extra, por exemplo, essa semana, infelizmente.
151040	153580	Por conta de vários fatores.
153800	155480	E um deles foi financeiro.
157420	160560	E daí, em fevereiro eu tava meio desmotivado e tal.
160640	162400	Acabei atrasando de gravar alguns episódios.
162840	166740	Então, tipo, dessa semana, se fosse sair, ele ia ficar pronto muito em cima.
167540	171080	Pra, apresando a qualidade, teremos episódio semana que vem.
171240	174300	E se tudo der certo, na semana seguinte.
174480	175860	Vão ser dois RPG Guaxas.
175860	178280	E no aniversário mesmo.
178480	181140	A gente vai ter um episódio diferente e especial.
181140	183800	Mas a gente fala disso quando chegar a hora.
183800	188580	O que quero que vocês façam, assinem a RPG Guaxa pra fazer parte do grupo do Telegram.
188580	194440	Eu vejo muita gente no Instagram, no Twitter, anunciando.
194440	196440	Ah, eu sou mestre, sou narrador.
196440	198440	Pague pra jogar comigo.
198440	199800	Acho uma iniciativa maravilhosa.
199800	207920	Tem o Forja do Mestre e a Luluzinha, por exemplo, são narradores incríveis que eu recomendo se tu realmente quiser esse tipo de vibe.
207920	215360	Mas, sendo padrinho do RPG Guaxa, você vai conhecer pessoas que gostam de narrar, pessoas que gostam de jogar.
215360	218160	E tu vai poder participar de várias aventuras também.
218160	220160	Mais barato, até.
220160	223160	E vai poder gravar voz de NPC.
223160	226240	Antes de começar aqui, eu tava mandando voz de NPC pro pessoal lá.
226240	229520	Mandei no grupo do Telegram.
229520	234440	Em questão de 5 minutos, já tinha todos os NPCs escalados e tal.
234440	237240	Então, venha fazer parte dessa família incrível.
237240	241480	Dessa vez, eu nem vi os NPCs aparecerem.
241480	243480	Só piscaram na tela e o pessoal pegou.
243480	244480	Já foi.
244480	245480	Mas é uma delícia.
245480	250480	Você chega lá, do nada, o Guaxa aparece, manda mensagem.
250480	251480	E aí?
251480	252480	Estão prontos?
252480	254480	Vamos lá ver quem vai querer?
254480	255480	E aí, já manda.
255480	257480	Quem quiser, já pega.
257480	258480	É muito rápido.
258480	259480	É uma feira de NPC.
259480	260480	Quase.
260480	262480	Você pode seguir a gente também nas redes sociais.
262480	264480	É o Amassado Guaxinim, arroba rpguaxa.
264480	266480	Em especial, rpguaxa lá no Instagram.
266480	268720	As meninas fazem um trabalho incrível.
268720	272720	Mas, a gente tá aqui pra ler os comentários do último episódio com a Rafa.
272720	275480	Rafa, como é que as pessoas te acham na internet?
275480	280480	Eu vou repetir incansavelmente que as pessoas me acham na internet, na Taberna do Guaxinim,
280480	281480	sendo...
281480	287160	Eu sou madrinha e eu recomendo todo mundo de ser padrinho e madrinha, porque é o melhor
287160	288160	lugar da internet.
288160	294720	E, além disso, na maioria das redes sociais, vocês me encontram no arroba rafita chan.
294720	298720	E o primeiro comentário lá no post é do Jorge Marcos Santos Silva, que coloca...
298720	299720	Bingo!
299720	300720	Eu fiquei pensando...
300720	301720	Desculpa.
301720	307040	Eu fiquei pensando muito que essa galera tava congestionando o tráfego de quem queria
307040	308720	sair do armário.
308720	309720	Bom dia, Sr.
309720	310720	Guaxa.
310720	311720	Convidada de Guaxual.
311720	312720	Tudo bem, queridos?
312720	313720	Tudo bem.
313720	314720	Aqui na...
314720	315720	Por sinal, ela tá aberta num lugar em que...
315720	318720	Quer dizer, se a pessoa quiser ficar no armário, ela fica, é opção dela.
318720	319720	Ela fica.
319720	320720	É escolha dela.
320720	321720	Ninguém é forçado a sair, não.
321720	322720	É.
322720	324720	Quem quiser sair é muito bem-vindo.
324720	325720	Ele continua.
325720	326720	Spoilers.
326720	330960	Quanto tempo depois dos nossos queridos episódios da Escola dos Monstros se passa essa história?
330960	331960	Alguns anos pra frente.
331960	332960	Eu não vou fazer as contas.
332960	333960	Sou de humanas.
333960	337720	Essa maior abertura do mundo dos pesadelos traz uma aproximação maior dos dois mundos?
337720	338720	Sim.
338720	341720	Digo no sentido de poder haver alguma consequência nisso?
341720	342720	Com certeza.
342720	346400	No momento, só existem monstros adolescentes e jovens adultos no mundo humano?
346400	348320	Ou temos outros também?
348320	350720	Eu chutaria que temos outros também.
350720	351720	Parabéns, Guaxas.
351720	354220	Ao largo de muitos anos de vida, para ti e pro RP Guaxa...
354220	357880	É estranho saber que tem uma idade bem próxima à sua.
357880	358880	ca ca ca ca...
358880	360720	Será que isso é bom ou ruim?
360720	361900	A média.
361900	363540	20% feminino.
363540	364980	75% masculino.
364980	367540	1.6% não especificado.
367540	369300	3.4% não binário.
369300	372360	42% dos ouvintes têm de 28 a 34 anos.
372360	375100	35% a 44 são só 18% dos ouvintes.
375100	379060	Não é a maior porcentagem, então.
379060	380960	De 0 a 17 é 0.5.
380960	382980	E acima de 60 anos
382980	383640	Ninguém escuta
383640	384880	Só os novinhos
384880	387580	Ah não, tem o desconhecido
387580	389920	Tem 0.1% não especificado
389920	390440	Entendi
390440	393440	Maioria do Brasil, segundo lugar Japão
393440	394780	Terceiro Nova Zelândia
394780	398200	Quarto Portugal, quinto Canadá
398200	400620	Sexto Alemanha, sétimo Estados Unidos
400620	401900	Oito França
401900	404040	Nove Netherlands
404040	404840	Netherlands é o que?
406840	408280	Puta, esqueci
408280	409300	Terra do Nunca
409300	411980	E Anou
411980	413480	Desconhecido em décimo lugar
413480	415980	Netherlands é Países Baixos
415980	417220	Países Baixos
417220	419340	Holanda? Acho que é Holanda, não era
419340	420820	É, é Holanda
420820	423720	11 Espanha, 12 Irlanda
423720	425980	E 13 Angola, beijo pessoal de Angola
425980	426660	Uhul
426660	429100	São as estatísticas aqui diretamente
429100	431740	Isso só contando quem escuta pelo Spotify
431740	432340	Né gente
432340	433580	O outro
433580	437560	Só tem quantas pessoas ouviu, muita gente ouviu
437560	438400	Mas não fala
438400	440740	Os apps que vocês escutam
440740	443500	65% pelo Spotify
443500	445060	3 pelo Google Podcast
445060	445860	Que morreu né
445860	446960	Morreu mesmo
446960	448860	Magadora maioria Android
448860	450480	Muita informação
450480	453880	A cidade de São Paulo é a cidade que mais escuta o RPG Guaxa
453880	455040	A segunda é do Rio de Janeiro
455040	456760	Terceiro Belo Horizonte
456760	458740	Olha só, olha só
458740	461440	Curitiba é quarto
461440	463040	Porto Alegre, quinto
463040	465660	Brasília, sexto
465660	467120	Fortaleza, sétimo
467120	468720	Campinas
468720	471120	Perdi as contas, é o próximo
471120	472240	Depois Santo André
472240	474300	Depois Maringá
474300	475580	Porra, é incrível isso aqui
475580	476780	Maringá é aqui perto
476780	478820	Maringá, eu sei que tem muito japonês né
478820	479600	Sei lá
479600	483180	Eu só tive lá de passagem vindo pra cá
483180	486900	É, com alguns amigos de descendência japonesa
486900	487540	Que vieram daí
487540	490760	Porra, bastante cidade de São Paulo obviamente
490760	491200	Sim
491200	494520	Florianópolis tá aqui na segunda página
494520	496580	Jaivile, Plumenau
496580	497860	Porra, beijo pessoal de Plumenau
497860	499200	Que já me encontrou na rua
499200	499600	Desculpa
499600	502460	Pô, bem legal isso aqui de ver
502460	504460	Essas estatísticas são sempre interessantes
504460	506300	De você olhar essas coisas
506300	507860	Eu fui no final da lista
507860	509740	Tem um ouvinte de Vacaria
509740	512020	Um beijo pra você que escuta a gente
512020	512700	Vacaria
512700	514500	Onde fica Vacaria, Jesus?
515180	516380	Rio Grande do Sul, Rio Grande do Sul
516380	517000	É mesmo
517000	520400	Vacaria tem um, Urugaiana tem um
520400	522700	Ubaitaba
522700	524460	Na Bahia tem um
524460	526500	Tubarão em Santa Catarina tem um
526500	527020	Também
527020	528680	Isso é aproximado né gente
528680	530200	Santa Rosa tem um
530200	532100	Essas pessoas que estão
532100	534700	Dessas cidades que estão sendo mencionadas
534700	536720	Deixa um comentário aí
536720	537520	Deixa
537520	539260	Pra gente saber quem é você
539260	542020	Olha só, a gente conseguiu em 10 minutos de programa
542020	543560	Já perder o foco
543560	546680	Nem lembro o porquê
546680	548760	Aqui ó, parabéns Guaxa, muitos anos de vida
548760	550600	Pra ti, pra FG Guaxa
550600	552180	É estranho saber que tem a mesma idade
552180	554840	Isso, da idade bem próxima da sua
554840	556400	Você foi olhar as estatísticas
556500	558340	Espero que tenha tido um ótimo aniversário
558340	559780	E que esse novo ciclo seja maravilhoso
559780	561160	Meu aniversário foi ótimo
561160	564240	Foi uma festa de infantil
564240	565580	Praticamente era um bolo
565580	566940	De amendoim
566940	569940	E é salgadinho e docinho
569940	572000	Porque pra mãe a gente sempre é um bebê
572000	573120	Adoro
573120	576380	Tem coisa melhor do que salgadinho e docinho?
576500	576680	É
576680	578940	Foi incrível, foi incrível
578940	579940	Apenas que salgadinho acabou
579940	583020	Parabéns
583020	586280	Me perdi
586500	587760	É aí mesmo, Guaxa
587760	590560	Parabéns as jogadoras também pela sessão incrível
590560	592740	Foi uma sessão clássica dessa saga
592740	595300	Por hoje é isso
595300	596380	Um forte abraço a todos
596380	597740	Bolo de aniversário do formato Guaxa
597740	600460	Ele decide se dividir ou não
600460	601280	Eu divido
601280	604960	Bolo é sempre bom
604960	606700	Próximo comentário, posso ler?
607160	607400	Sim
607400	609780	Luiz Edivaldo Correia
609780	612640	Boa noite a todos
612640	614580	Guaxas, participantes e ouvintes
614580	615640	Que episódio legal
615640	618100	Feliz em revisitar o universo da escola
