start	end	text
0	8120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um
8120	9460	zumbi e ali não tinha, e agora?
10120	10700	É isso!
10880	11420	É isso!
11920	12520	Eu sabia!
12660	13220	Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
20980	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sim que existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
45500	48080	Repercutem seus atos para todos o reino.
48600	49040	Para to...
49040	50460	Aliás, finge que eu não errei.
52000	54280	Repercutem seus atos para todo o reino.
54640	56820	Agora um novo futuro vem sorrateiro.
57120	58520	Fala de novo, repercutem.
58560	60120	Ali que eu corto e explico tudo certinho.
60140	62300	Vou fingir que eu sei, que eu tenho dicção.
62880	63660	É, repe...
63660	64400	Re...
64400	65140	Putz...
65140	65420	Ok.
66340	67260	Temos um problema.
67860	68300	Repercutem...
68300	71260	Eu posso usar como êxtríncio também, e daí a gente...
71260	76460	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade,
76560	77760	parada do Guaxinim e...
77760	78300	Alegria!
78960	81180	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
81180	84820	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso
84820	87720	foi a Princesa Orquíza e a Guerra.
88560	91140	RTGuaixa 143.
91620	93600	E eu estou aqui hoje com a nossa querida madrinha.
94000	98320	Eu não lembro se ela já gravou o Guaxaverso, mas vocês já ouviram pelo menos mais de
98320	101420	uma vez no RTGuaixa, Juleiva, a nossa Jumozinha.
101500	102060	Boa noite, querida.
102520	106040	Eu senti a ironia, mas tá tudo bem.
106260	107240	Boa noite, Guaxa.
107320	109140	Boa noite, olá, tudo certinho.
109140	111740	É sempre um prazer gravar com você.
112220	114400	Eu só gravo com pessoas que eu gosto.
115040	115640	Eu não...
115640	117040	Assim, por número...
117040	117560	Tu deve ter o quê?
117680	118520	Dez seguidores?
118560	119040	Dez seguidores no Twitter?
119480	121200	Você nem usa aquilo direito.
121720	122960	Não é pra me apro...
122960	127180	O Jumozinha é uma piada interna, não é pra me aproveitar da sua fama.
127600	128280	E eu te chamo aqui.
128640	133220	Eu te chamo porque você é uma das pessoas mais espetaculares que eu tenho pra mestrar,
133280	138500	uma grande amiga, e agradeço muito a você topar a estar em furadas como essa, que é
138500	139100	o Guaxaverso.
139380	142740	Mas eu é que sou a sortuda, né?
143220	146220	E assim, eu não tenho mais Twitter, triste.
146220	148380	Mas eu tinha isso, tipo, sei lá.
148560	149280	Três seguidores.
149680	150040	Ah, tá.
150140	150520	Não, não, tá.
150620	151040	Ah, tá.
151180	154900	Tenho agora, mas é um fakezinho só pra dar um RT, não é isso?
155400	156140	Ou não tem mais também?
156720	157740	Tenho, mas...
157740	158820	É, é isso aí.
160820	161320	Ah, tá.
161420	162800	Deve ter fake pra fazer outras coisas.
163080	163840	Mas assim, ó.
163860	166500	Não é sobre a Jumozinha, entregar a Jumozinha que a gente tá aqui.
166600	168720	Ah, na verdade, a gente pode tá aqui pra entregar a Jumozinha.
169280	173820	Porque tive a honra de encontrá-la pessoalmente na BCX, né?
173820	175680	A Blumenau Comics Experience.
175680	177880	Que teve aqui em Blumenau, né?
177960	178540	Por isso o nome.
178560	181780	E, pô, assim, foi muito doido.
182280	184940	Porque eu não fui conhecer a Jumozinha.
185400	187560	Eu fui conversar com uma amiga que eu converso todo dia, já.
188000	189060	Tipo, não foi assim.
189160	190620	Nossa, que legal a Jumozinha.
191000	192860	Tipo, pô, que legal tá com a Jumozinha, né?
192900	194800	Mas era, tipo, não foi aquela, sabe?
195120	196860	A primeira vez que a gente se vê ali.
197080	199860	Foi a primeira vez que eu vi o senhor Jumozinho, né?
200040	202840	Daí a Ju conheceu a Beta, conheceu a Malu também.
203420	205680	Mas entre eu e a Ju, assim, foi, pô...
205680	207680	Assim, a minha sensação foi...
207680	209440	É, como conversar pelo tênere, né?
209460	210700	Como é que foi a sensação, Ju?
211140	212640	Foi, assim...
212640	215220	Também já senti familiaridade.
215400	216720	Foi, foi...
216720	218420	O evento tava legal em si.
218940	219540	Muito bacana isso.
219540	222460	E a família Guaxinim, gente, é assim, ó...
222460	223140	É...
223140	226280	Eu não sei dizer, explicar quão acolhedores vocês são.
226440	227440	Nossa, eu me sinto...
227440	227800	Enfim.
228440	229340	Incríveis, incríveis.
229460	230360	Isso é incrível, o Guaxinim.
230960	232600	Explodimos gatos, né?
232940	233360	É verdade.
234080	235000	Muito bacana aquele jogo.
235000	237360	No domingo eu fui pra comprar.
237360	238420	Mas não tinha mais, inclusive.
239060	240000	Olha só.
240600	241000	Esgotado.
242180	243420	A Beta me convenceu a comprar.
243720	244840	É Exploding Kitten.
245240	245840	Uma coisa assim.
245960	246520	Recomendo, gente.
246840	249500	E, antes da gente continuar aqui...
249500	252840	Eu agradeci, já no Guaxinim, o ano passado, todo mundo que a gente encontrou lá, né?
252880	253500	Eu e a Kika.
254020	255140	O senhor e eu e a Kika.
256320	257380	A Pizeta.
257480	258280	O senhor Pizeta.
258700	259100	O Bruno.
259260	260060	A senhora Bruno.
260680	261360	O que mais?
261780	262560	Tinha aqui um monte de gente.
262640	263300	Eu esqueci um monte de gente.
263380	263940	Mas tem um monte de gente.
263940	267180	O próprio rapaz lá da Casa Router.
267620	269980	Que foi o lugar onde a gente jogou os gatinhos podes.
