start	end	text
0	10100	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20040	O Guaxa sabe o que faz!
20040	20960	Espera! O que é o Guaxaverso?
21000	22980	Era só uma questão de tempo!
23100	24220	Todos nos conhecemos!
24220	24520	O Guaxaverso sempre existiu!
24520	25460	É o nosso final!
25460	27140	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	32020	É, pessoal, não existe o Guaxaverso!
32080	33740	Eu acredito no Guaxaverso!
33820	36540	Mas supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido!
45100	46040	Que loucura!
46160	48660	Você deu um tapa no microfone aí, Guaxa?
48940	51200	Eu não sei o que houve no microfone agora, gente. Melhorou?
51460	51900	Eu...
51900	54800	Do nada! Ainda bem que eu não toquei no microfone.
54840	56560	Tá ótimo! Foi a cabra que abriu a ala!
56560	58520	Eu sei, sei, sei dos dados!
58540	59540	Nossa, é isso!
61180	62380	Me avisa de novo, gente!
62380	64780	Até o retorno... O retorno que nunca funciona, funciona!
64780	69980	Eu comecei a ouvir voz na minha cabeça e elas diziam exatamente o que eu falava e não o contrário, como é normal.
69980	70980	Então, vamos lá!
70980	72980	Vou fazer um babelinho aqui agora, gente. Desculpa!
74980	75480	É água!
77220	80700	Olá! Eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o Eduardo Guaxinim.
80700	84180	E, no final do mês que vem, eu vou sair da minha toca.
84180	87900	Vai ter um evento Blumenau Comic Experience.
87900	92340	Aqui na região, na cidade vizinha, né? Do ladinho.
92860	95180	E fui convidado, então farei parte lá.
95320	98620	Prometo falar mais disso no próximo episódio do RPG Guaxinim.
98680	99460	Então, fiquem de olho!
99920	101860	Pra quem não sabe, o Guaxinim vai ser o nosso antigo escudo-mestre.
102180	104380	Aqui vamos ler os comentários e discutir as teorias do último episódio.
104860	108240	Que, no caso, foi o casamento, a festa junina e o chifruto.
108600	111140	RPG Guaxinim 139.
111620	113460	Por isso, eu estou aqui com ela.
113940	115180	Com a nossa querida Ana B.
115680	116160	Aoba!
116720	117780	Que é madrinha da RPG Guaxinim.
117780	118660	Da RPG Guaxinim, né?
118680	119360	Da RPG Guaxinim.
119440	120360	Tudo bem, Ana?
120800	121940	Tudo bem, Sr. Guaxinim.
122120	122860	Boa noite, chat.
122880	124100	Como é que as pessoas te acham na internet?
124600	130060	Vocês me encontram no Instagram, lá como Ana Beatriz, A Beatriz, com dois E, underline Ribeiro.
130400	131460	E me acham em Minas Gerais também.
133280	134840	Você vai perguntando, né?
135440	138080	Onde é que é a fazenda Ana aí? O pessoal vai indicando ali.
