start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33820	36560	Mas, supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido.
45540	50560	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast Realidade Preta do Guaxinim e...
51080	51840	Boa Páscoa!
52060	54020	Eu tô com saudade da Páscoa, mas tem chocolate aqui ainda.
54020	56480	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo do mestre.
56780	58540	Aqui vamos ler os comentários dos futuros teorias do...
58560	65880	do último episódio, que no caso foi o retorno dos filhotes RB Guaxa 161.
66300	72980	Eu estou aqui com ele, aquele que não tem medo das cartas, nosso querido Jean.
73140	73740	Tudo bem, querido?
74060	75360	Tudo bem, Guaxa, tudo bem.
75440	82180	Estou preparado, tal qual o Gambit de Cropit que veio arrasando corações e a mente dos
82180	83580	Red Pills pela internet.
83940	84880	Estou preparado.
85380	85640	Ok.
85640	88540	Um abraço para o Gambit de Cropit.
88560	90860	Foi maravilhoso.
91300	92320	Assista o novo X-Men.
92600	93140	O novo X-Men?
93180	94340	Eu não vi o novo X-Men ainda.
94720	95800	Eu só vi um pouquinho só.
96240	96760	Só o suficiente.
97120	101560	Porque, assim, eu nem sou fã de X-Men, mas quando eu vi que tinha muita gente babaca
102280	106540	na internet, irritado com o Gambit de Cropit, eu falei, ok, isso deve ser bom.
107040	107960	Aí eu fui ver e era bom mesmo.
108440	109020	Mas tem que terminar.
109300	112860	Assim, eu quero muito ficar famoso, ficar muito rico.
113020	117420	Seria maravilhoso parar de poder produzir, sei lá, um episódio por semana e viver disso.
117700	118420	Mas, da mente...
118560	123600	Eu tenho medo, assim, sei lá, de um episódio estourar e vir esse gente babaca criticar coisa, sabe?
124500	125580	Xingar, xingar, sei lá.
125900	129360	Ah, porque a menina quando joga é ruim, por isso estragou.
129480	130440	Só nos...
130440	130780	Nossa.
130780	138020	Pior que lá nos primeiros episódios, teve gente que criticou ou que fez umas piadinhas assim.
138520	144360	Graças a Deus, tomaram corte e, até onde eu sei, não escutam, pelo menos não comentam, né?
144880	145880	Mas, poxa.
146320	146960	E comentavam onde?
146980	147640	No feed mesmo?
147780	148200	Nos comentários?
148560	149400	Nos comentários.
149600	150700	Então, a gente teve que apagar alguma coisa.
150740	151740	Uma coisa tá lá ainda.
153120	153520	E...
153520	155260	Assim, mensagem, sabe?
155740	156780	Ah, muito bacana.
157000	159160	Tu dá uma oportunidade pras meninas e tal.
159620	164440	Mas seria legal se na aventura fosse os meninos, porque...
164440	166680	Nossa senhora.
167920	171260	Isso foi bom, assim, não estar mais no meu convívio.
171440	171900	Então, tô feliz.
172180	173720	Exato, exato, exato.
174180	175960	Esse é o momento que a bolha faz bem, né?
177420	177620	Ok.
177720	178020	Ok.
178020	178100	Ok.
178560	179080	Tá ficando uma bolha.
179520	183780	Quero chamar vocês pra melhor bolha da internet, a Guaxa Humanidade.
184780	185820	Ajudar o RPG Guaxa.
186240	189880	Obviamente, você ajuda a apagar o editor, o podcast continuar existindo.
190460	193380	E, assim, eu não vou mentir pra vocês, dizer...
193380	195540	Nossa, ele vai acabar se você não apoiar.
196220	199940	Talvez diminua o número de episódios, talvez eu mude alguma coisa.
200660	204020	Mas eu gosto do RPG Guaxa o suficiente pra não acabar com ele.
205260	205700	Mas...
205700	206620	Tá bem complicado.
207620	208020	Assim...
208020	209160	Tava conversando com o pessoal aqui.
209320	211620	Assim que o Padrim morrer de vez...
211620	213860	Eu acho que ele ainda faz uma transferência no mês que vem.
214880	219520	Eu perco metade dos apoios pro RPG Guaxa.
220240	220680	Metade.
221200	223560	Eu já perdi alguma coisa com o PicPay.
224640	228620	E algumas pessoas do PicPay migratam pro Padrim quando o PicPay foi morrer.
229120	230740	E agora o PicPay tá morrendo também.
231220	233900	Se você tava há muito tempo sem ouvir o episódio do RPG Guaxa...
233900	234600	Deixa eu avisar pra vocês.
234680	235820	O PicPay morreu em janeiro.
235820	237820	O Padrim agora é em março.
238020	239280	Aí eu deixo de existir.
239400	241320	Eu acho que já não dá nem mais pra assinar o RPG Guaxa.
241660	243400	Ou a partir de maio já não vai dar mais.
243740	244220	Então...
244220	245580	Esqueçam esses dois.
246120	248440	Peço que vocês vão pro Apoia-se.
248960	252400	Apoia.se barra RPG Guaxa.
252640	254140	Você vai lá e assina.
254580	256360	Outra opção tem a Aurelo.
256800	260780	Mas só usa a Aurelo se tu já tem cadastro lá.
261200	262580	Já apoia outros podcasts.
263140	264820	De preferência, tô juntando...
264820	265860	Não é uma boa ideia, eu sei.
265860	268000	Mas tô juntando todo mundo no Apoia.
268020	269600	Porque eu tô achando...
269600	273000	Tanto o tratamento que eles tão dando pro podcast muito bom.
273500	274020	É algo assim...
274780	277420	Eu recebo e-mails automáticos, óbvio.
277960	282080	Mas tem pessoas reais respondendo as minhas dúvidas.
282480	284720	Ou mandando, às vezes, uma mensagem mais personalizada.
285220	287240	Então eu vejo que eles tão de olho.
287580	289480	Até porque o RPG Guaxa era nada.
290140	291860	E deu uma crescida.
291940	295080	Tá com 126 apoios em pouquíssimo tempo.
295400	298000	Então eu volto e mesmo mando uma mensagem perguntando se eu preciso de alguma coisa.
298020	300180	Então, apoia-se.
300620	301900	O RPG Guaxa vai continuar existindo.
302460	304900	E você vai receber parte a partir de 10 reais.
305440	307660	Você faz parte do nosso grupo do Telegram.
308100	310900	E a vantagem do Apoia-se é que lá tem um post no mural.
311420	313540	Que só quem apoia 10 reais ou mais pode ver.
314100	317200	Nesse post tem o link pro Telegram.
317620	319600	Então não precisa esperar eu mandar um e-mail pra vocês.
320080	321880	Assinou, vai nesse post do mural.
322440	322800	Clica.
323060	325380	Provavelmente é o mesmo texto que eu mando por e-mail pras pessoas.
325820	327420	Porque é bem a minha cara fazer isso.
327420	327820	E...
328020	331880	E daí tu faz parte do nosso grupo do Telegram.
332380	333460	Grava voz de NPC.
334100	335660	Conhece pessoas maravilhosas.
336120	339460	Ontem eu tava gravando um podcast que vai sair no feed do RPG Guaxa.
339880	341200	Mas não é um RPG Guaxa.
341480	342460	Nem um Guaxaverso.
342960	344400	E tava o Felipe junto.
344400	352260	E outras pessoas contando de sistemas maravilhosos que conheceu graças ao Felipe narrando.
352740	354380	Conheceu pessoas maravilhosas narrando.
354460	355500	Antes de começar a gravar aqui.
355960	357980	Hoje eu tava falando do Baço.
358020	359240	Do Sr. Baço.
359300	360120	Desculpa, Baço.
360200	360340	Esqueci.
360340	361040	Sr. Baço.
361140	361980	Ele é o mais formal.
362720	363760	Sr. Baço.
364200	367240	Ele tá sempre de terno com um martírio na mão.
369140	369540	É...
369540	371980	Ele narra lá pro Jean e pra outras pessoas.
372440	374560	É uma das poucas pessoas que já narrou pra mim.
375060	377060	Porque eu não sou muito de jogar.
377300	379760	Eu gosto muito de narrar mesmo.
379880	381380	Acho que vocês já notaram isso.
381780	382240	Então vamos lá.
382300	383180	A gente apoia.
383400	384220	Não pode apoiar.
384300	385120	Não tem dinheiro.
385200	385880	Não tem verba.
385940	386820	Tá difícil pra todo mundo.
386820	387820	Pelo menos segue a gente nas redes sociais.
387820	388360	Redes sociais.
388740	389800	Arroba Marcelo Guaxinho.
389880	390680	Arroba RP Guaxa.
390880	391680	Todas as redes.
391900	393080	Em especial no Instagram.
393360	395280	Eu acho que é legal ter um número bacana lá.
395700	397620	Já que o X vai morrer.
398620	399540	Inclusive, Guaxa.
399980	404380	Uma das vantagens de ser padrinho é participar da gravação do Guaxa Verso aqui no Discord, né?
404560	409180	E o Kurokoitama perguntou ali quais as novas opções pra apoiar o RP Guaxa.
409320	411020	Se tem alguma opção de Pix.
411580	415220	Então, o Portal TV está estudando ainda uma versão.
415220	417600	Porque assim, eu não tenho CNPJ.
417820	418960	E eu não quero...
418960	421340	E assim, eu já sou enrolado pra responder e-mail.
421840	425280	Imagina eu ter que procurar onde ler a tua mensagem lá no Pix.
425780	428300	Assim, quem já é padrinho velho, já tá lá no grupo.
428820	432300	Pode mandar pra rpguaxa.gmail.com
432300	433540	Pix de qualquer valor.
433660	435620	Meu aniversário é dia 26 de abril.
436020	438580	O aniversário do RP Guaxa é no mês seguinte.
438720	440280	Se quiser mandar até um valor aleatório.
440760	441940	Esse é o Pix.
442560	444640	Se você já é padrinho e quer continuar.
444640	447580	Ah, eu quero mandar, sei lá, direto pra ti.
447580	448980	Que 10 reais todo mês pode.
449360	451100	Se tu já tá no grupo da taberna.
451560	453700	Se eu já te conheço, manda.
454180	456700	Se mesmo assim tu tem problema com a pós, com o Corelo.
456800	457860	E quer isso por Pix.
458300	459200	E não faz parte de nada.
459340	461780	Manda um e-mail pra esse mesmo e-mail comprovante, né?
462520	464400	rpguaxa.gmail.com
464400	466180	Demora um pouquinho pra eu olhar aquele e-mail.
466660	469700	Mas é uma oportunidade também que vocês podem estar fazendo.
470060	470540	É isso.
470760	472220	Mas, Guilherme, como é que as pessoas te acham na internet?
472220	474460	As pessoas me acham nas redes sociais.
474880	475220	Pela arroba...
475760	476220	Arroba...
476920	477220	Macedo...
477660	478280	MacedoJG7.
478340	479940	Nossa, por um momento eu esqueci minha arroba.
480360	481080	E só tem uma.
481900	482340	Inacreditável.
482800	487600	É MacedoJG7 em todas as redes sociais ou na taberna do rpguaxa.
487820	489520	Antes de começar o episódio, mais um recadinho.
490040	494040	Lá, o podcast pré-existarte, no episódio 100, foi um episódio especial.
495540	495900	O...
495900	497160	Foi uma aventura de rp...
497160	499020	Foi o rpguaxa, com a minha autorização.
499200	501360	Foi um plágio autorizado.
502820	506480	Quem narrou foi o Zorzal, que edita esse podcast, né?
506920	507260	E...
507580	513280	Jogou a Rebelbia, o próprio Will, né?
513340	515800	Que é o dono do podcast lá, o Zorzal é o editor.
516080	517180	Não sei como é que é o esquema.
517680	518080	Aham.
518860	519220	O...
519220	521520	A Juleiva, eu...
521520	522060	E o Felipe.
522460	522800	O Felipe.
523120	523980	Pô, gente pra caramba.
524200	524580	É isso.
524820	525120	Tá bem bacana, né?
525120	527980	E várias outras vozes da taberna fizeram parte desse episódio.
527980	528740	Isso, eles fizeram...
528740	529580	Fizeram uma...
530100	533520	Pegaram bastante dinheiro da taberna aqui pra aproveitar, já que o Will é padrinho também.
534080	534320	É...
534320	536140	Muitos podcasts surgiram já na taberna.
536140	537460	Esse é um podcast que já existia.
537580	541780	Mas que se mesclou muito bem ao pessoal escolhido.
542260	548000	Então convido vocês, quem quiser me ver como jogador, eu faço um escafandro, um mergulhador.
548100	549140	Um mergulhador de escafandro.
549600	550760	É tudo que eu direi sobre isso.
553440	554100	É isso.
554120	555020	Acho que tá aí de recado.
555320	555760	É isso.
556240	556500	Sensacional.
556500	562420	Assine o Apoia-se, escuta lá o RPG especial e segura na cadeira que a gente vai ler comentários.
562960	565660	Primeiro comentário é do Jorge Marcos Santos Silva, que ele coloca...
565660	567380	Acho que esse foi o episódio que mais aprendi.
567380	571620	Ele não escutou o sidecast, eu espero, porque...
571620	572380	É...
572380	575920	Mas ele deve se referir ao RPG Watch, então ok.
576400	578660	Bom dia, senhor Guaxinim, olha só.
579200	581580	Rido, baço e acabei de me tornar um senhor também.
581660	582080	Tá vendo?
582220	585300	Já me trouxeram aqui o Martini e o Blazer.
586240	588420	Convidade e Guaxual, tudo bem?
588900	590560	Tudo bem comigo? Tudo bem contigo, já?
