0;9460;"01";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"01";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"01";Como assim?
16180;18000;"01";Você entendeu a referência do último episódio?
18240;18980;"01, 00";Olha só, faz tudo!
18980;20020;"00, 01";Não, o Guaxaverso sabe o que faz!
20020;20960;"00, 01";Espera, o que é o Guaxaverso?
21000;22980;"01, 00";Era só uma questão de tempo.
23080;24520;"00, 01";O Guaxaverso sempre existiu!
24520;27180;"01, 00";Eu quero entender o Guaxaverso!
27220;28560;"01, 00";Alguém me explica o que é o Guaxaverso?
28560;32020;"01, 00";É, pessoal, não existe o Guaxaverso.
32080;33720;"00";Eu acredito no Guaxaverso!
33820;36560;"00";Mas, supondo que ele exista...
37880;41520;"00";Guaxaverso, onde o que não existe é debatido.
45540;50560;"00";Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast Realidade Preta do Guaxinim e...
51080;51840;"00";Boa Páscoa!
52060;54020;"00";Eu tô com saudade da Páscoa, mas tem chocolate aqui ainda.
54020;56480;"00";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo do mestre.
56780;58540;"00";Aqui vamos ler os comentários dos futuros teorias do...
58560;65880;"00";do último episódio, que no caso foi o retorno dos filhotes RB Guaxa 161.
66300;72980;"00, 01";Eu estou aqui com ele, aquele que não tem medo das cartas, nosso querido Jean.
73140;73740;"00";Tudo bem, querido?
74060;75360;"01";Tudo bem, Guaxa, tudo bem.
75440;82180;"01";Estou preparado, tal qual o Gambit de Cropit que veio arrasando corações e a mente dos
82180;83580;"01";Red Pills pela internet.
83940;84880;"01";Estou preparado.
85380;85640;"01, 00";Ok.
85640;88540;"00, 01";Um abraço para o Gambit de Cropit.
88560;90860;"01, 00";Foi maravilhoso.
91300;92320;"01";Assista o novo X-Men.
92600;93140;"00";O novo X-Men?
93180;94340;"00";Eu não vi o novo X-Men ainda.
94720;95800;"01";Eu só vi um pouquinho só.
96240;96760;"01";Só o suficiente.
97120;101560;"01";Porque, assim, eu nem sou fã de X-Men, mas quando eu vi que tinha muita gente babaca
102280;106540;"01";na internet, irritado com o Gambit de Cropit, eu falei, ok, isso deve ser bom.
107040;107960;"01";Aí eu fui ver e era bom mesmo.
108440;109020;"01";Mas tem que terminar.
109300;112860;"00";Assim, eu quero muito ficar famoso, ficar muito rico.
113020;117420;"00";Seria maravilhoso parar de poder produzir, sei lá, um episódio por semana e viver disso.
117700;118420;"00";Mas, da mente...
118560;123600;"00";Eu tenho medo, assim, sei lá, de um episódio estourar e vir esse gente babaca criticar coisa, sabe?
124500;125580;"00, 04, 01";Xingar, xingar, sei lá.
125900;129360;"00";Ah, porque a menina quando joga é ruim, por isso estragou.
129480;130440;"00";Só nos...
130440;130780;"00, 04";Nossa.
130780;138020;"00, 04";Pior que lá nos primeiros episódios, teve gente que criticou ou que fez umas piadinhas assim.
138520;144360;"00";Graças a Deus, tomaram corte e, até onde eu sei, não escutam, pelo menos não comentam, né?
144880;145880;"00, 03, 01";Mas, poxa.
146320;146960;"00";E comentavam onde?
146980;147640;"00";No feed mesmo?
147780;148200;"00";Nos comentários?
148560;149400;"00";Nos comentários.
149600;150700;"00";Então, a gente teve que apagar alguma coisa.
150740;151740;"00";Uma coisa tá lá ainda.
153120;153520;"00";E...
153520;155260;"00";Assim, mensagem, sabe?
155740;156780;"00";Ah, muito bacana.
157000;159160;"00";Tu dá uma oportunidade pras meninas e tal.
159620;164440;"00";Mas seria legal se na aventura fosse os meninos, porque...
164440;166680;"00, 04";Nossa senhora.
167920;171260;"00, 04, 01";Isso foi bom, assim, não estar mais no meu convívio.
171440;171900;"00";Então, tô feliz.
172180;173720;"01";Exato, exato, exato.
174180;175960;"01";Esse é o momento que a bolha faz bem, né?
177420;177620;"01, 00";Ok.
177720;178020;"00";Ok.
178020;178100;"00";Ok.
178560;179080;"00";Tá ficando uma bolha.
179520;183780;"00";Quero chamar vocês pra melhor bolha da internet, a Guaxa Humanidade.
184780;185820;"00";Ajudar o RPG Guaxa.
186240;189880;"00";Obviamente, você ajuda a apagar o editor, o podcast continuar existindo.
190460;193380;"00";E, assim, eu não vou mentir pra vocês, dizer...
193380;195540;"00";Nossa, ele vai acabar se você não apoiar.
196220;199940;"00";Talvez diminua o número de episódios, talvez eu mude alguma coisa.
200660;204020;"00";Mas eu gosto do RPG Guaxa o suficiente pra não acabar com ele.
205260;205700;"00";Mas...
205700;206620;"00";Tá bem complicado.
207620;208020;"00";Assim...
208020;209160;"00";Tava conversando com o pessoal aqui.
209320;211620;"00";Assim que o Padrim morrer de vez...
211620;213860;"00";Eu acho que ele ainda faz uma transferência no mês que vem.
214880;219520;"00";Eu perco metade dos apoios pro RPG Guaxa.
220240;220680;"00";Metade.
221200;223560;"00";Eu já perdi alguma coisa com o PicPay.
224640;228620;"00";E algumas pessoas do PicPay migratam pro Padrim quando o PicPay foi morrer.
229120;230740;"00";E agora o PicPay tá morrendo também.
231220;233900;"00";Se você tava há muito tempo sem ouvir o episódio do RPG Guaxa...
233900;234600;"00";Deixa eu avisar pra vocês.
234680;235820;"00";O PicPay morreu em janeiro.
235820;237820;"00";O Padrim agora é em março.
238020;239280;"00";Aí eu deixo de existir.
239400;241320;"00";Eu acho que já não dá nem mais pra assinar o RPG Guaxa.
241660;243400;"00";Ou a partir de maio já não vai dar mais.
243740;244220;"00";Então...
244220;245580;"00";Esqueçam esses dois.
246120;248440;"00";Peço que vocês vão pro Apoia-se.
248960;252400;"00";Apoia.se barra RPG Guaxa.
252640;254140;"00";Você vai lá e assina.
254580;256360;"00";Outra opção tem a Aurelo.
256800;260780;"00";Mas só usa a Aurelo se tu já tem cadastro lá.
261200;262580;"00";Já apoia outros podcasts.
263140;264820;"00";De preferência, tô juntando...
264820;265860;"00";Não é uma boa ideia, eu sei.
265860;268000;"00";Mas tô juntando todo mundo no Apoia.
268020;269600;"00";Porque eu tô achando...
269600;273000;"00";Tanto o tratamento que eles tão dando pro podcast muito bom.
273500;274020;"00";É algo assim...
274780;277420;"00";Eu recebo e-mails automáticos, óbvio.
277960;282080;"00";Mas tem pessoas reais respondendo as minhas dúvidas.
282480;284720;"00";Ou mandando, às vezes, uma mensagem mais personalizada.
285220;287240;"00";Então eu vejo que eles tão de olho.
287580;289480;"00";Até porque o RPG Guaxa era nada.
290140;291860;"00";E deu uma crescida.
291940;295080;"00";Tá com 126 apoios em pouquíssimo tempo.
295400;298000;"00";Então eu volto e mesmo mando uma mensagem perguntando se eu preciso de alguma coisa.
298020;300180;"00";Então, apoia-se.
300620;301900;"00";O RPG Guaxa vai continuar existindo.
302460;304900;"00";E você vai receber parte a partir de 10 reais.
305440;307660;"00";Você faz parte do nosso grupo do Telegram.
308100;310900;"00";E a vantagem do Apoia-se é que lá tem um post no mural.
311420;313540;"00";Que só quem apoia 10 reais ou mais pode ver.
314100;317200;"00";Nesse post tem o link pro Telegram.
317620;319600;"00, 01, 04";Então não precisa esperar eu mandar um e-mail pra vocês.
320080;321880;"00";Assinou, vai nesse post do mural.
322440;322800;"00";Clica.
323060;325380;"00";Provavelmente é o mesmo texto que eu mando por e-mail pras pessoas.
325820;327420;"00";Porque é bem a minha cara fazer isso.
327420;327820;"00";E...
328020;331880;"00, 04";E daí tu faz parte do nosso grupo do Telegram.
332380;333460;"00";Grava voz de NPC.
334100;335660;"00";Conhece pessoas maravilhosas.
336120;339460;"00";Ontem eu tava gravando um podcast que vai sair no feed do RPG Guaxa.
339880;341200;"00";Mas não é um RPG Guaxa.
341480;342460;"00";Nem um Guaxaverso.
342960;344400;"00";E tava o Felipe junto.
344400;352260;"00";E outras pessoas contando de sistemas maravilhosos que conheceu graças ao Felipe narrando.
352740;354380;"00";Conheceu pessoas maravilhosas narrando.
354460;355500;"00";Antes de começar a gravar aqui.
355960;357980;"00";Hoje eu tava falando do Baço.
358020;359240;"00";Do Sr. Baço.
359300;360120;"00";Desculpa, Baço.
360200;360340;"00";Esqueci.
360340;361040;"00, 01";Sr. Baço.
361140;361980;"00, 01";Ele é o mais formal.
362720;363760;"00";Sr. Baço.
364200;367240;"00";Ele tá sempre de terno com um martírio na mão.
369140;369540;"00";É...
369540;371980;"00";Ele narra lá pro Jean e pra outras pessoas.
372440;374560;"00";É uma das poucas pessoas que já narrou pra mim.
375060;377060;"00";Porque eu não sou muito de jogar.
377300;379760;"00";Eu gosto muito de narrar mesmo.
379880;381380;"00";Acho que vocês já notaram isso.
381780;382240;"00";Então vamos lá.
382300;383180;"00";A gente apoia.
383400;384220;"00";Não pode apoiar.
384300;385120;"00";Não tem dinheiro.
385200;385880;"00";Não tem verba.
385940;386820;"00";Tá difícil pra todo mundo.
386820;387820;"00";Pelo menos segue a gente nas redes sociais.
387820;388360;"00";Redes sociais.
388740;389800;"00";Arroba Marcelo Guaxinho.
389880;390680;"00";Arroba RP Guaxa.
390880;391680;"00";Todas as redes.
391900;393080;"00";Em especial no Instagram.
393360;395280;"00";Eu acho que é legal ter um número bacana lá.
395700;397620;"00";Já que o X vai morrer.
398620;399540;"00, 01";Inclusive, Guaxa.
399980;404380;"01";Uma das vantagens de ser padrinho é participar da gravação do Guaxa Verso aqui no Discord, né?
404560;409180;"01";E o Kurokoitama perguntou ali quais as novas opções pra apoiar o RP Guaxa.
409320;411020;"01";Se tem alguma opção de Pix.
411580;415220;"00";Então, o Portal TV está estudando ainda uma versão.
415220;417600;"00";Porque assim, eu não tenho CNPJ.
417820;418960;"00";E eu não quero...
418960;421340;"00";E assim, eu já sou enrolado pra responder e-mail.
421840;425280;"00";Imagina eu ter que procurar onde ler a tua mensagem lá no Pix.
425780;428300;"00";Assim, quem já é padrinho velho, já tá lá no grupo.
428820;432300;"00";Pode mandar pra rpguaxa.gmail.com
432300;433540;"00";Pix de qualquer valor.
433660;435620;"00";Meu aniversário é dia 26 de abril.
436020;438580;"00";O aniversário do RP Guaxa é no mês seguinte.
438720;440280;"00";Se quiser mandar até um valor aleatório.
440760;441940;"00";Esse é o Pix.
442560;444640;"00";Se você já é padrinho e quer continuar.
444640;447580;"00";Ah, eu quero mandar, sei lá, direto pra ti.
447580;448980;"00";Que 10 reais todo mês pode.
449360;451100;"00";Se tu já tá no grupo da taberna.
451560;453700;"00";Se eu já te conheço, manda.
454180;456700;"00";Se mesmo assim tu tem problema com a pós, com o Corelo.
456800;457860;"00";E quer isso por Pix.
458300;459200;"00";E não faz parte de nada.
459340;461780;"00";Manda um e-mail pra esse mesmo e-mail comprovante, né?
462520;464400;"00";rpguaxa.gmail.com
464400;466180;"00";Demora um pouquinho pra eu olhar aquele e-mail.
466660;469700;"00";Mas é uma oportunidade também que vocês podem estar fazendo.
470060;470540;"00";É isso.
470760;472220;"00";Mas, Guilherme, como é que as pessoas te acham na internet?
472220;474460;"00, 01";As pessoas me acham nas redes sociais.
474880;475220;"01";Pela arroba...
475760;476220;"01";Arroba...
476920;477220;"01";Macedo...
477660;478280;"01";MacedoJG7.
478340;479940;"01";Nossa, por um momento eu esqueci minha arroba.
480360;481080;"01";E só tem uma.
481900;482340;"01";Inacreditável.
482800;487600;"01";É MacedoJG7 em todas as redes sociais ou na taberna do rpguaxa.
487820;489520;"00";Antes de começar o episódio, mais um recadinho.
490040;494040;"00";Lá, o podcast pré-existarte, no episódio 100, foi um episódio especial.
495540;495900;"00";O...
495900;497160;"00";Foi uma aventura de rp...
