start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas, supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
45540	46140	Gravando.
46640	47180	Beijo, editor.
47700	48460	Foi eu, obrigado.
48880	51180	Desse em específico quem edita.
51780	55860	Olá, eu sou Marcelo Baxinim, narrador, produtor, idealizador, podcast, relógio para lágrimas do Baxinim,
55860	58540	e você, meu amigo nerd, classe,
58560	59640	psico, que usa óculos.
59960	61240	Tá pensando em mudar de óculos?
61720	63380	Segura, aguarda mais um pouco.
63700	64800	Em breve, novidades.
65300	67460	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
67860	70660	Aqui vamos ler os comentários que eu tive nas teorias do nosso último episódio,
71060	75800	que, no caso, foi a anjinha, o demônio e a morte em treinamento.
76040	84040	O RP Guaxa 166, que saiu no dia 6 do 6 de 24,
84620	86560	sendo 24, 2 mais 4, 6.
86740	87400	Olha só aqui.
87400	88400	Então foi completado.
88560	89300	Foi assim.
89880	93640	A Shelly disse, você tem que fazer isso acontecer, tem que fazer esse episódio 166.
94120	98460	Eu tava na dúvida se o episódio do Du, junto com o Psycast, ia ter numeração ou não.
98940	103760	E daí, com esse pedido, eu disse, ok, então, com o Psycast vai ter numeração, vai ser 165.
104220	105740	Daí o desse vai ficar 166.
106000	106520	E ficou assim.
106740	113140	Já que falei dela, estou aqui com a nossa querida, com aquela que mais gravou o RP Guaxa, depois de mim,
113620	115920	na história do RP Guaxa, Shelly.
116080	117660	Alô, alô, oi, gente.
117660	120720	Eu sou a Shelly e eu sou a morte em treinamento.
121320	122020	Veja bem.
122620	123020	É verdade.
123140	128800	E estamos aqui também com a gatinha Kelly, que fica querendo participar e vocês vão ouvir vários miados durante a gravação.
129540	131520	Ela, pô, ela é uma podcaster, essa gata.
131660	132060	Ela é.
132460	134340	Filha de podcaster, podcasterzinha é.
135420	135860	Perfeitamente.
136620	138080	Querida, como é que as pessoas te acham na internet?
138500	144880	Vocês me encontram atualmente no Blue Sky e no Instagram pela arroba Shelly Poison.
144880	147160	E é só aí que eu estou participando.
147160	150300	E aí vocês me encontram aqui no RP Guaxa quando vocês quiserem me ouvir.
150380	151280	Tem vários episódios.
151940	153020	E terão mais, eu espero.
153280	153920	Ah, sim, espero.
154040	156380	Quero continuar na liderança de gravações.
156400	156680	Na liderança.
157020	157740	É, poxa.
158240	161780	As pessoas, quando o comércio chegar muito perto, falam, não, tem que chamar a Shelly agora.
161800	162340	Chama eu.
162900	165720	A gente não pode ultrapassar, não pode mudar isso.
166500	175080	A Shelly, que provavelmente é a única que, sei lá, gravou nos últimos anos, e assim, de recorrente,
175080	177080	que não foi convidada a primeira vez.
177080	178300	A primeira vez por ser madrinha.
178680	181800	Hoje em dia, tipo, eu conheci a Juleiva como?
181880	183140	Ela era madrinha, eu chamei.
183540	185260	A Fábio, madrinha, chamei.
185320	187580	Felipe Xavier, padrinho, chamei.
188040	194460	A Shelly eu convidei porque ela faz parte do RPG Next, um dos podcasts que inspiraram a criação desse podcast.
194900	198640	E daí eu convidei ela, não porque ela era madrinha, né?
199120	200740	Mas porque, porra, é incrível o trabalho dela lá.
200740	203360	Sim, eu nem era madrinha na época, né?
203800	204580	Sim, sim, sim.
205220	206360	Hoje é madrinha, né?
206360	206920	Hoje eu sou.
207080	216180	Eu não sei o nome do episódio passado, mas, assim, agradeço demais por ter embarcado nesta loucura que é o RPG Next.
216240	219720	Imagina, eu que agradeço, porque eu amo essa loucura.
220200	221280	O lisonjeado.
221480	221740	Bom.
222580	230100	E se você quiser fazer parte dessa loucura também, gravando o NPC, recebendo episódio antes, discutindo teoria,
230100	234200	e uma série de outras vantagens, você pode ser nosso padrinho.
234920	236100	Vai lá em apoia.se.
237080	238420	Barra RPG Guaxa.
238840	239700	Parte de 10 reais.
240220	245380	Se assinando 10 reais, já vai estar disponível lá um post com o link para o grupo do Telegram.
245460	249400	Você vai direto, você não depende mais de mim, que levava semanas para responder e-mail.
249480	250940	Ainda levo, agora levo mais até.
251380	252520	Então você pode ir lá.
253020	255040	Abriu, pagou, abriu o post, clicou.
255500	256600	Já está entrando na taberna.
257080	258860	Então convido vocês a fazer parte.
259340	262640	Não pode ajudar com 10 reais, que é só, só pode dar 1 real.
262740	263920	Dá 1 real, dá 5 reais.
264240	266940	Pode ajudar mais, pode ajudar mais também, tem gente que ajuda mais.
267080	273140	O que couber no seu bolso será muito bem recebido para pagar o editor para continuar lançando os episódios.
273500	278640	Outra forma de ajudar a gente, vai lá onde você escuta podcast, se tiver algum espaço para deixar comentário,
279280	283300	para deixar 5 estrelas, ou 10, ou 20, não sei quantas estrelas cabem no seu negócio.
283640	285100	No Spotify são 5, por exemplo.
285520	287940	Veja lá suas estrelas, isso ajuda muito.
288240	289400	E segue a gente nas redes sociais.
289960	291640	AlbaMassalagosden e ArrobaRPGuaxa.
292000	294840	No Twitter, no Instagram, no Blue Sky, por aí vai.
295720	296760	Preferencialmente, Instagram.
297080	300660	ArrobaRPGuaxa, que as meninas cuidam e são maravilhosas.
300940	305200	Mas, estamos aqui para ler os comentários deste último episódio.
305420	308500	E o primeiro comentário é do Jorge Marcos Santos Silva, que coloca.
309040	313500	Gente, esse trio, esse episódio, que coisa maravilhosa.
314200	314720	É verdade.
315040	316400	Bom dia, Sr. Guaxinim.
317480	318800	Bonvidade e Guaxual.
318940	319580	Tudo bem com vocês?
319740	320200	Tudo bem comigo?
320300	320940	Tudo bem contigo, Shelly?
321200	324280	Tudo bem, um bom dia para todo mundo que está ouvindo.
324800	325160	Perfeito.
325260	327060	A partir de agora, todos perguntaram como a gente está.
327080	328580	A gente vai manter essa resposta.
329380	329780	Spoilers.
329900	332260	Eu fiquei encantado por esse episódio de um jeito.
332700	336500	A começar pela música do início de uma das minhas séries favoritas.
336660	337480	Belas Maldições.
337640	338800	Isso aí é a culpa do Zorzal.
339660	340060	Impecável.
340400	340800	Impecável.
341140	342660	Tem que ler direito, a Shelly está me julgando.
343840	345620	Eu julgo a escrita, não a leitura.
346040	346560	Ah, porra.
346640	347240	Não me ajuda.
348260	348660	Impecável.
349300	351920	Lembro que havia um inferno entre mundos.
352020	352700	É isso mesmo?
352820	353320	É isso mesmo.
353660	354380	O céu também?
354580	354940	Também.
354940	355940	Se sim, eles...
357080	359160	Atendem a todos os mundos?
359320	359520	Não.
360000	362560	É impossível pós-vidas de outras crenças?
363060	364620	Sim, tem pós-vidas de outras crenças.
364960	366180	No fim, é muito mais...
366180	370400	É muito mais sobre o que você acredita quando você morre,
370720	371960	do que vai acontecer com você,
372120	374120	do que realmente vai acontecer com você.
374400	377980	Tanto que as pessoas já chegavam lá com seu bilhete de cor verde...
377980	378540	Verde, não.
378620	379480	Azul ou vermelho.
379880	382440	Pera, mas existem vários céus e vários infernos?
382840	386700	Não, mas ele se adapta de acordo com o que a pessoa acha.
387080	388180	O que merece por pós-vida.
388240	388900	Ok, interessante.
389540	390620	Vamos dar espaço pra todo mundo.
391020	391480	Ele continua.
392000	395760	A aparência do novo filho da morte é aquela mesma ou é só a forma de bebê?
396160	397080	O tempo dirá.
397320	397820	Não é verdade?
398480	399300	Acho que é isso.
399300	402700	Se parabenizar todos, fiquei completamente...
402700	406040	Não, só parabenizar todos, fiquei completamente maravilhado com esse episódio.
406520	409820	Narrativa, personagens, edição, cada um foi 350% do episódio.
409920	410220	É verdade.
410600	413540	Forte abraço a todos, força e luxo para todos nós e até mais.
413900	415660	Até mais, querido Jorge Marcos Santos Silva.
416120	416880	Beijo, Jorge.
417080	423800	E o próximo comentário é do Todê Zestino, que felizmente ainda não desistiu.
423880	424880	Estamos muito felizes.
425060	425440	Continue.
425640	426040	Obrigado.
426600	427000	Todê.
427420	428820	Comentário é o seguinte.
429120	430160	Tadinha da Brielle.
430700	432820	Será que ela foi convidada pro andar de baixo?
433900	435240	Ela ficou no meio, né?
435400	436380	Que é melhor.
437240	437500	Será?
438000	438660	Ficar em cima do muro?
439120	440380	Hum, questões.
440920	442300	Ela ficou trabalhando com a Shelly.
444560	446700	Brielle fazendo a decoração da rodoviária.
447080	447480	Isso.
447880	453280	Por sinal, isso me lembrou um anime de um anjo que fica perverso e um demônio que é super bonzinho.
453700	454520	Será inspiração?
455040	455720	Anime não.
455820	458060	Eu vi o que foi usado até pra trilha sonora lá.
458540	460900	Eu vi a primeira temporada do Belas Maldições.
462040	464500	Comecei a ver a segunda, mas não sei, não engrenei.
465800	468780	E é isso que eu lembro de anjo e é isso.
469020	473200	Eu, assim, pra quem não sabe, eu fui muito católico.
473200	476200	Assim, fiz primeira comunhão, fiz crisma.
477080	481260	Eu fui vice-líder de um grupo jovem na igreja.
481760	482940	Meus pais eram muito...
482940	483740	A gente teve um...
483740	485000	A minha mãe teve um problema de saúde.
485540	488080	Depois disso, ela começou a participar muito da igreja.
488400	491320	Ela começou a participar muito da igreja como...
491320	491940	É...
491940	493500	Ajudando nas festas.
494380	494820	É...
494820	497940	Casal festeiro que doava coisa pra festa de São Pedro e tal.
498360	501020	Então a gente era muito, muito ligado à igreja.
501540	504480	E como todo mundo que conhece muito a igreja, a gente...
504480	505160	Todo mundo se afastou.
505540	506240	Fica a lição.
506240	506300	Fica a lição.
506700	506880	Fica a lição.
506880	507200	Pois é.
507280	509120	Assim, continuo católico.
509200	511800	Agora sou católico não praticante, que é uma religião maravilhosa.
513300	513780	Mas...
513780	516260	Então, assim, eu li a Bíblia, sabe?
516440	519760	Muita coisa acaba sendo inspiração também.
520220	521740	A minha história é bem parecida.
521920	527180	Eu participei de tudo que era grupo da igreja católica até os 14 anos.
528520	529040	Fazia...
529040	531940	Tinha uns retiros de fim de semana.
532900	534640	Fazia parte do coral da igreja.
534640	536000	Nossa, mas fiz tudo também.
536000	537420	Toda a primeira comunhão.
537920	540360	Crisma eu não fiz, porque foi até os 14 e a crisma era com 15.
541080	542880	E aí eu entrei no colégio de freiras.
543480	545080	E ali eu abandonei a religião.
545760	545940	É.
546060	546740	Hoje em dia eu digo...
546740	549140	Eu não casei no religioso, por exemplo.
549380	549400	Não?
549400	549500	Não.
549840	550400	Eu também.
550880	551900	Mas é aquela coisa, né?
551940	552600	A gente...
552600	554000	As orações a gente aprendeu.
554100	555440	Hoje eu digo que eu sou agnóstica.
555520	556940	Eu acredito em um poder maior.
557420	561640	Só não dou um nome pra ele e pego um pouquinho de cada religião que faz sentido pra mim.
562120	564120	É, assim, pô, católico não é um praticante tão bom.
564120	565960	Eu só preciso lembrar de me arrepender.
566000	568220	Eu preciso me arrepender nos 45 segundos do tempo.
568440	568700	Ok.
568840	570280	Aí o céu tá garantido.
570500	571120	É isso que eu aprendi.
571700	577600	Então, voltando ao comentário do Todê, que fez tudo aos avessos, porque aí depois
577600	579680	na metade do comentário ele fala...
579680	580300	Olá, Guaxual.
580600	581580	Dessa vez cheguei a tempo.
581960	582660	Falei cedo demais.
583100	584220	Olá, Guaxão Vidade do Dia.
584380	584540	Olá.
585000	585980	Olá, Guaxa Guaxa.
586400	588200	Teremos terror no período de São João?
588680	590060	A São João é agora, né?
590080	590620	Agora é São João.
591800	593000	A gente teve...
593000	595880	A 20 do 6 é São João.
596000	597740	É próximo de São João, né?
598120	598880	São João acho que é 23?
599320	599880	24?
600440	601000	É, mas então...
601000	603900	Dia 20, que é o nosso próximo episódio, é terror.
