start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
46220	48780	Mas Guaxa, um mês depois tua voz tá uma merda ainda?
49260	49700	Sim.
49920	50860	Guaxa, você não se cuida?
51020	51220	Não.
51660	51960	Vamos lá.
52660	57740	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade para Guaxinim e...
57740	58540	Eu estava de férias.
58560	59680	Até hoje.
59740	61160	Hoje é o último dia das minhas férias, inclusive.
61660	63580	No momento da gravação, né?
63980	66800	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
66900	69440	Aqui vamos ler os comentários e discutir as teorias do último episódio.
69880	71820	Que, no caso, foi o Segundo Sol.
72000	73780	Que nada tem a ver com a música da Cáceres.
74360	74880	É...
74880	76980	Episódio 169.
77540	80520	Podia ter usado outros temas pra 169?
81080	81560	Podia.
81840	83220	Mas eu sou pudico.
83380	84320	Essas coisas acontecem.
84320	88320	E falando em ser pudico, tem aqui ele, nosso querido...
88560	89580	Rafael Teller, mano.
89720	90280	Tudo bem, querido?
90420	91900	Eu queria saber o que...
91900	92540	É, boa noite.
92640	92980	Tudo bem.
93280	94780	Eu queria saber o que é essa palavra pudico.
94840	95680	Eu nunca soube, na verdade.
96720	97080	É...
97080	98220	Recatado, sabe?
98280	98900	Deixa eu pegar aqui, ó.
99020	99440	Ah, tá.
99500	101700	Que tem pudor recatado, casto.
102120	102240	É.
102240	103300	Que se mostra...
103300	104240	Essa parte eu não vou concordar.
104260	105060	Ou é tímido, é.
105520	107540	É tímido, acanhado e envergonhado.
107640	107880	É isso.
107880	108660	A gente é pudico.
108680	110760	Mas eu concordo que eu sou belo, recatado e dolar.
111240	111600	Isso.
112120	113160	A gente é casto.
113740	116160	Eu tô casado há tanto tempo que eu já não tô casto, não.
116260	117400	Já venceu, né?
117400	117840	Já...
117840	118740	Já venceu.
120160	122080	Tellerman, como é que as pessoas te acham na internet?
122840	127440	Provavelmente, se vocês colocarem Tellerman no Google, vai aparecer eu ou um primo meu
127440	131240	que, sei lá de qual grau, foi prefeito de Buenos Aires.
131740	133220	Então, quem não foi prefeito sou eu.
133920	134320	É...
134320	137980	Eu botei Tellerman, só aparece gente que não é você, inclusive.
138220	139380	Então, deve ser alguém da família.
139880	143040	Mas o R__Tellerman sou eu em todos os lugares.
143360	145220	Tirando o Instagram, que é Rafael__Tellerman.
145220	147060	E você tem alguma outra coisa na internet?
147400	148560	O Evercast morreu mesmo?
148700	149000	O que aconteceu?
149000	152480	Não, o Evercast tá em Iato...
152480	153320	Há quanto tempo?
153720	154540	Há dois anos.
155060	156220	Mas a gente tá querendo voltar.
156640	157080	Realmente.
157860	159040	Querendo voltar há quanto tempo?
159060	159580	Há dois anos?
160200	161880	Quem sabe daqui a pouco a gente consegue gravar.
162140	162460	Perfeito.
162860	163500	Vai dar bom.
163900	166240	Eu queria pedir pra todos vocês que...
166240	168980	Ah, na verdade, quem tá ao vivo aqui hoje, né?
169100	170560	Não sei se tem alguém da região.
171120	175920	Mas amanhã, sábado e domingo, vai ter a Blumenau Comic Experience.
175920	176760	Eu estarei lá.
177400	177960	É...
177960	180740	O Iaquica, provavelmente.
181080	182260	A Zicaju vai.
183040	185560	Assim, vão alguns padrinhos da região pra lá.
185700	186320	E vai ser bem legal.
186720	187020	E eu vou.
187080	187720	E eu ganho ingresso.
188000	188560	Isso é...
188560	189960	Meu pai ficou admirado, assim.
190300	191280	Por que eles te deram ingresso?
191720	192960	Pô, porque, pô...
192960	196620	Eu falei, ó, sou o Marcelo Guaxininha, são minhas redes sociais, eu tenho esse podcast.
197240	198140	Aí eles me deram ingresso.
198220	199500	Ingresso que eu não enfrento fila.
199980	202960	Eu só, sabe, carteirada e vou.
203720	206120	E deram pra mim, pra Beto e pra Malu.
206680	207080	Chupa.
207080	208660	A Comic Con, que não...
208660	210980	Que me considerou irrelevante nos últimos três anos.
211240	211680	É isso.
212140	216120	Mas se você não considera eu ou este podcast irrelevante,
216540	217620	e quer que ele continue,
218020	220360	tava aqui reclamando antes de começar a gravar,
220480	222600	desligar a gravação,
222960	227400	tava aqui conversando com os meus amigos, patronos desse podcast.
227720	229760	Você poderia estar aqui também pra ouvir isso.
230180	231600	Tava comentando um monte de coisa com eles.
232040	232980	Uma das coisas que eu comentei,
233520	235720	mês que vem tem três episódios,
235720	237000	porque o primeiro sai dia 1,
237080	242760	e daí o último vai sair no dia 29 do 8.
243020	244740	Então são três episódios no mês,
245260	248480	e o nosso querido editor ganha por episódio.
249220	252060	Então, pra ajudar a pagar esses episódios,
252220	253460	eu conto com vocês.
253940	257080	Vai lá em apoia.se barra rpguaxe.
257440	257920	Assina.
258340	259160	A partir de 10 reais,
259800	261720	você doa quanto quiser, quanto puder.
262200	264540	Um real que seja, sei lá, do lanche da escola,
264540	266540	um dia que você come uma...
267080	268580	O real não compra nada, né?
268580	270580	Mas, sei lá, um real.
270580	274580	Que você deixa de botar naquela máquina que dá uns chicletes, bolinha, sabe?
274580	278580	Tu põe, a moeda gira, e ela dá uma bolota, assim, no chiclete,
278580	280580	e o sabor sai em segundos.
280580	283580	Então, ao invés de botar naquela máquina, você pode estar ajudando a gente também.
283580	287080	Mas, a partir de 10 reais, você faz parte do nosso grupo no Telegram,
287080	288080	e não no Telema.
288080	290580	Embora lá tenha o Telema também.
290580	292080	E eles se dividem em vários subgrupos,
292080	294580	a gente conversa sobre anime, sobre videogames,
294580	296580	sobre os spoilers dos episódios,
296580	299080	sobre a vida, sobre o universo, tudo mais.
299080	301580	Tem um grupo pro pessoal Além do Arco-Íris,
301580	303580	tem um grupo só das meninas,
303580	306580	tem um grupo pro pessoal que gosta de marcar jogo, né?
306580	309580	Mesas de RPG, mesas virtuais, né?
309580	311580	Pelo Discord e tal.
311580	313580	De vez em quando rola uns guache-encontro,
313580	315580	o pessoal se encontra, o pessoal é muito bacana.
315580	317580	Muitas amizades surgiram aqui,
317580	319080	alguns amores também.
319080	320580	O Telema tá solteiro, né, Telema?
320580	321580	Eu tô...
321580	322080	Isso.
322080	323080	E tô disponível mesmo.
323080	324580	Tá disponível um parte do...
324580	326580	Porra, casamento...
326580	328580	A Agatha está me lembrando aqui.
328580	332580	Um casamento já surgiu do nosso grupo,
332580	334580	então eu vim fazer parte dele também.
334580	336580	Não prometo que você vai casar,
336580	339580	não prometo que você vai jogar RPG comigo,
339580	342080	mas prometo muitos amigos muito bacanas.
342080	343080	E o principal,
343080	347080	você vai ajudar esse projeto a continuar existindo.
347080	350580	Você vai poder ler ideias de aventuras que eu lanço
350580	352580	lá no grupo de spoiler de vez em quando,
352580	355080	me ajudar às vezes a escolher os jogadores,
355080	356580	as vozes pros episódios,
356580	358080	você pode fazer voz pros episódios.
358080	360080	Nossa, é tanta vantagem
360080	362580	que eu não sei nem por onde começar.
362580	364580	Então seja nosso padrinho.
364580	367580	Não quer usar o Apoia.se por qualquer motivo?
367580	369080	Tem na Aurelo também.
369080	370580	Gosto mais do Apoia.se,
370580	372080	mas tem na Aurelo também.
372080	374080	A Aurelo paga, bonitinho.
374080	376580	É que a Aurelo às vezes demora um pouquinho e tal,
376580	378580	e... não sei.
378580	380580	O esquema dela é mais diferente.
380580	382580	A Aurelo manda um e-mail perguntando,
382580	383580	você quer que eu te pague?
383580	384580	Aí eu tenho que dizer sim.
384580	386580	Enquanto o Apoia.se,
386580	388080	ela só deposita, né?
388080	389080	É porque, assim, é óbvio.
389080	390580	A Aurelo, se eu não fizer nada,
390580	392080	ela não embolsa o dinheiro.
392080	392580	Ela...
392580	395080	Porque tem gente que prefere acumular, né?
395080	395580	Tem gente que pode dizer,
395580	398080	não, paga no próximo e tal, etc.
398080	399580	Mas...
399580	401080	Sei lá, tem as duas opções.
401080	404080	Todas elas comem a mesma porcentagem.
404080	405580	Então vem fazer parte.
405580	407580	Tinham me cobrado já
407580	410580	pra atualizar o nome dos padrinhos lá no post
410580	411580	do último episódio.
411580	413080	Já tá atualizado.
413080	415080	Se teu nome não tá lá,
415080	416380	é porque não apoia.se,
416380	419880	tu pode botar a opção de deixar oculto, né?
419880	420880	Então, se tu deixou oculto,
420880	423880	eu não divulguei que você é nosso padrinho, né?
423880	424880	Mas obrigado, mesmo assim.
424880	426880	Se tu quiser que teu nome apareça,
426880	429380	me manda uma mensagem lá no Telegram.
429380	431880	E falta botar o pessoal que decidiu
431880	433380	apoiar por Pix, né?
433380	435380	O pessoal que já era padrinho velho,
435380	438380	eu autorizei o pessoal a mandar por Pix.
438380	439880	Teve gente até que fez
439880	441880	vários meses de uma vez.
441880	442880	Então, se quiser que ponha teu nome,
442880	444380	me lembra lá no Telegram.
444380	445880	E aos pouquinhos,
445880	447880	eu vou atualizando aquela lista ali
447880	449380	pra vocês também.
449380	450880	E também, assim,
450880	452880	pessoas que estavam, por algum motivo,
452880	455380	devendo, tava lá no apoia.se,
455380	458880	como, sei lá, o cartão não foi aceito,
458880	460380	o boleto não foi pago,
460380	462380	aí eu não botei também, né?
462380	463880	Não sei se você deixou de me amar
463880	466380	ou simplesmente apertou as contas.
466380	467880	Mas sem problema.
467880	469380	Qualquer coisa, me avisa também.
469380	470880	A gente vai adicionando aos pouquinhos.
470880	472380	Daqui a uns 4, 5 anos,
472380	474380	eu devo atualizar aquela lista de novo.
474380	474880	É isso.
474880	475880	Mas já falei demais.
475880	477380	Dois comentários só.
477380	479380	Pediram pra te lembrar de falar que é mais 18.
479380	480380	Ah, sim.
480380	481880	E o meu nome não tá nos apoiadores.
481880	482880	Tu apoia pelo apoia.se?
482880	483880	Pelo Pix.
483880	484880	Ah, tá, então.
484880	486880	Mas lá no final tá, então.
486880	487880	Se tu for até o final.
487880	488880	Falta o pessoal do Pix
488880	490880	e quem colocou o privado como apoia.se.
490880	491880	Beleza.
491880	492880	Isso.
492880	494880	Faltam o pessoal do Pix.
494880	495880	Isso tá errado.
495880	496880	Desculpa, Shelly.
496880	497880	É...
497880	498880	Faltam o pessoal do Pix
498880	500880	e quem colocou como privado no apoia.se.
500880	501880	Tá aqui.
501880	502880	Então, o faltam pessoal
502880	503880	tu é o pessoal do Pix.
503880	504880	Mas vamos arrumar.
504880	505880	Daqui a cinco anos,
505880	506880	como disse a Agatha,
506880	508880	teu nome tá ali, Telemann, tá?
508880	509880	Mas assim, ó.
509880	512880	O teu nome não tá entre os apoiadores,
512880	514880	mas teu nome tá ali em cima, ó.
514880	516880	Jogadores do Episódio.
516880	518880	Agatha, Juleiva,
518880	521880	duas entidades cósmicas do RPG Watcher
521880	523880	e Rafael Telemann.
523880	524880	É.
524880	525880	E tá ali a música,
525880	527880	Morning, do Kane McLeod.
527880	529880	Na verdade, é a Evelyn,
529880	530880	se eu não me engano.
530880	531880	Mas é do mesmo cara,
531880	532880	no mesmo site.
532880	533880	Então, eu tô errado,
533880	534880	mas eu tô errado.
534880	535880	Mas nem tanto.
535880	536880	Vamos lá.
536880	537880	Mas estamos aqui
537880	538880	pra ler os comentários
538880	539880	do último episódio
539880	540880	que, no caso,
540880	542880	foi o Segundo Sol.
542880	543880	Primeiro episódio...
543880	544880	Primeiro episódio...
544880	545880	Primeiro comentário
545880	546880	é do Jorge Marcos Santos Silva.
546880	547880	Nós sabemos que cada episódio
547880	548880	do RPG Watcher
