0;9460;"05";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120;15000;"05";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"05";Como assim?
16180;18000;"05";Você entendeu a referência do último episódio?
18240;18980;"00, 05";Olha só, faz tudo!
18980;20020;"00, 05";Não, o Guaxaverso sabe o que faz!
20020;20960;"00, 05";Espera, o que é o Guaxaverso?
21000;22980;"00, 05";Era só uma questão de tempo.
23080;24520;"05";O Guaxaverso sempre existiu!
24520;27180;"00, 05, 03";Eu quero entender o Guaxaverso!
27220;28560;"00, 05";Alguém me explica o que é o Guaxaverso?
28560;32040;"00, 05, 03";É, pessoal, não existe o Guaxaverso.
32080;33720;"05, 03";Eu acredito no Guaxaverso!
33820;36560;"03";Mas supondo que ele exista...
37880;41540;"05";Guaxaverso, onde o que não existe é debatido.
46220;48780;"03";Mas Guaxa, um mês depois tua voz tá uma merda ainda?
49260;49700;"03";Sim.
49920;50860;"03";Guaxa, você não se cuida?
51020;51220;"03";Não.
51660;51960;"03";Vamos lá.
52660;57740;"03";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade para Guaxinim e...
57740;58540;"03";Eu estava de férias.
58560;59680;"03";Até hoje.
59740;61160;"03";Hoje é o último dia das minhas férias, inclusive.
61660;63580;"04, 03";No momento da gravação, né?
63980;66800;"03";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
66900;69440;"03";Aqui vamos ler os comentários e discutir as teorias do último episódio.
69880;71820;"03";Que, no caso, foi o Segundo Sol.
72000;73780;"03";Que nada tem a ver com a música da Cáceres.
74360;74880;"03";É...
74880;76980;"03";Episódio 169.
77540;80520;"03";Podia ter usado outros temas pra 169?
81080;81560;"03";Podia.
81840;83220;"03";Mas eu sou pudico.
83380;84320;"03";Essas coisas acontecem.
84320;88320;"03";E falando em ser pudico, tem aqui ele, nosso querido...
88560;89580;"03";Rafael Teller, mano.
89720;90280;"02, 03";Tudo bem, querido?
90420;91900;"03, 02";Eu queria saber o que...
91900;92540;"02";É, boa noite.
92640;92980;"02";Tudo bem.
93280;94780;"02";Eu queria saber o que é essa palavra pudico.
94840;95680;"02";Eu nunca soube, na verdade.
96720;97080;"03";É...
97080;98220;"03";Recatado, sabe?
98280;98900;"03";Deixa eu pegar aqui, ó.
99020;99440;"03";Ah, tá.
99500;101700;"03";Que tem pudor recatado, casto.
102120;102240;"03";É.
102240;103300;"02, 03";Que se mostra...
103300;104240;"02, 03";Essa parte eu não vou concordar.
104260;105060;"02, 03";Ou é tímido, é.
105520;107540;"03";É tímido, acanhado e envergonhado.
107640;107880;"02, 03";É isso.
107880;108660;"02, 03";A gente é pudico.
108680;110760;"02, 03";Mas eu concordo que eu sou belo, recatado e dolar.
111240;111600;"02";Isso.
112120;113160;"02";A gente é casto.
113740;116160;"03";Eu tô casado há tanto tempo que eu já não tô casto, não.
116260;117400;"02, 03";Já venceu, né?
117400;117840;"02";Já...
117840;118740;"03, 02";Já venceu.
120160;122080;"02, 03";Tellerman, como é que as pessoas te acham na internet?
122840;127440;"02";Provavelmente, se vocês colocarem Tellerman no Google, vai aparecer eu ou um primo meu
127440;131240;"02";que, sei lá de qual grau, foi prefeito de Buenos Aires.
131740;133220;"02";Então, quem não foi prefeito sou eu.
133920;134320;"02";É...
134320;137980;"03, 02";Eu botei Tellerman, só aparece gente que não é você, inclusive.
138220;139380;"02";Então, deve ser alguém da família.
139880;143040;"02";Mas o R__Tellerman sou eu em todos os lugares.
143360;145220;"02";Tirando o Instagram, que é Rafael__Tellerman.
145220;147060;"03, 02";E você tem alguma outra coisa na internet?
147400;148560;"03";O Evercast morreu mesmo?
148700;149000;"02, 03";O que aconteceu?
149000;152480;"02";Não, o Evercast tá em Iato...
152480;153320;"02";Há quanto tempo?
153720;154540;"02";Há dois anos.
155060;156220;"03, 02";Mas a gente tá querendo voltar.
156640;157080;"02";Realmente.
157860;159040;"03";Querendo voltar há quanto tempo?
159060;159580;"02, 03";Há dois anos?
160200;161880;"02";Quem sabe daqui a pouco a gente consegue gravar.
162140;162460;"02";Perfeito.
162860;163500;"02";Vai dar bom.
163900;166240;"03";Eu queria pedir pra todos vocês que...
166240;168980;"03";Ah, na verdade, quem tá ao vivo aqui hoje, né?
169100;170560;"03";Não sei se tem alguém da região.
171120;175920;"03";Mas amanhã, sábado e domingo, vai ter a Blumenau Comic Experience.
175920;176760;"03";Eu estarei lá.
177400;177960;"03";É...
177960;180740;"03";O Iaquica, provavelmente.
181080;182260;"03";A Zicaju vai.
183040;185560;"03";Assim, vão alguns padrinhos da região pra lá.
185700;186320;"03";E vai ser bem legal.
186720;187020;"03";E eu vou.
187080;187720;"03";E eu ganho ingresso.
188000;188560;"03";Isso é...
188560;189960;"03";Meu pai ficou admirado, assim.
190300;191280;"03";Por que eles te deram ingresso?
191720;192960;"03";Pô, porque, pô...
192960;196620;"03";Eu falei, ó, sou o Marcelo Guaxininha, são minhas redes sociais, eu tenho esse podcast.
197240;198140;"03";Aí eles me deram ingresso.
198220;199500;"03";Ingresso que eu não enfrento fila.
199980;202960;"03";Eu só, sabe, carteirada e vou.
203720;206120;"03";E deram pra mim, pra Beto e pra Malu.
206680;207080;"03";Chupa.
207080;208660;"03";A Comic Con, que não...
208660;210980;"03";Que me considerou irrelevante nos últimos três anos.
211240;211680;"03";É isso.
212140;216120;"03";Mas se você não considera eu ou este podcast irrelevante,
216540;217620;"03";e quer que ele continue,
218020;220360;"03";tava aqui reclamando antes de começar a gravar,
220480;222600;"03";desligar a gravação,
222960;227400;"03";tava aqui conversando com os meus amigos, patronos desse podcast.
227720;229760;"03";Você poderia estar aqui também pra ouvir isso.
230180;231600;"03";Tava comentando um monte de coisa com eles.
232040;232980;"03";Uma das coisas que eu comentei,
233520;235720;"03";mês que vem tem três episódios,
235720;237000;"03";porque o primeiro sai dia 1,
237080;242760;"03";e daí o último vai sair no dia 29 do 8.
243020;244740;"03";Então são três episódios no mês,
245260;248480;"03";e o nosso querido editor ganha por episódio.
249220;252060;"03";Então, pra ajudar a pagar esses episódios,
252220;253460;"03";eu conto com vocês.
253940;257080;"03";Vai lá em apoia.se barra rpguaxe.
257440;257920;"03";Assina.
258340;259160;"03";A partir de 10 reais,
259800;261720;"03";você doa quanto quiser, quanto puder.
262200;264540;"03";Um real que seja, sei lá, do lanche da escola,
264540;266540;"03";um dia que você come uma...
267080;268580;"03";O real não compra nada, né?
268580;270580;"03";Mas, sei lá, um real.
270580;274580;"03";Que você deixa de botar naquela máquina que dá uns chicletes, bolinha, sabe?
274580;278580;"03";Tu põe, a moeda gira, e ela dá uma bolota, assim, no chiclete,
278580;280580;"03";e o sabor sai em segundos.
280580;283580;"03";Então, ao invés de botar naquela máquina, você pode estar ajudando a gente também.
283580;287080;"03";Mas, a partir de 10 reais, você faz parte do nosso grupo no Telegram,
287080;288080;"03";e não no Telema.
288080;290580;"03";Embora lá tenha o Telema também.
290580;292080;"03";E eles se dividem em vários subgrupos,
292080;294580;"03";a gente conversa sobre anime, sobre videogames,
294580;296580;"03";sobre os spoilers dos episódios,
296580;299080;"03";sobre a vida, sobre o universo, tudo mais.
299080;301580;"03";Tem um grupo pro pessoal Além do Arco-Íris,
301580;303580;"03";tem um grupo só das meninas,
303580;306580;"03";tem um grupo pro pessoal que gosta de marcar jogo, né?
306580;309580;"03";Mesas de RPG, mesas virtuais, né?
309580;311580;"03";Pelo Discord e tal.
311580;313580;"03";De vez em quando rola uns guache-encontro,
313580;315580;"03";o pessoal se encontra, o pessoal é muito bacana.
