start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33900	36560	Mas supondo que ele exista...
37880	41500	Guaxaverso, onde o que não existe é debatido.
44860	48960	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade para o lado do Guaxinim,
49240	53500	e eu tenho representante no Brasil, por isso continuo operando, é o AdvoGoblin.
53760	55760	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
55940	58360	Aqui vamos ler os comentários e discutir as teorias do último episódio,
58360	64960	que, no caso, foi Açúcar, Sangue e Madeira, RPG Guaxa 172.
65500	69460	E eu tenho aqui ele, que, pelas regras de desempate da FAB,
69960	75180	foi o que mais tempo não aparece aqui, nosso querido amigo Caio.
75260	75760	Olá, Caio!
76200	81500	Olá! Olá a todos amantes de guaxinins e gambiarras do planeta Terra.
81520	84280	Amantes de guaxinins, eu queria dizer que eu não tenho nada a ver com isso.
85620	87780	É, eu também não tenho nada a ver, mas...
87780	88340	Olá pra vocês!
88360	92980	E pra quem não ama também, mas um pouquinho menos infusivo.
93200	96920	Amar guaxinins é uma coisa, amantes de guaxinins eu fico meio preocupado.
97180	101560	É, não, verdade. Eu já comecei mal na escolha de palavras aqui hoje.
102000	104500	Mas, Caio, onde é que as pessoas te acham na internet?
105340	110980	Atualmente as pessoas vão me achar no Blue Sky, como caio.lourencio,
111480	114360	e, principalmente, vão me achar na taberna do guaxinim,
114360	118020	ali nos grupos, geralmente, de jogos.
118360	121200	Animes, ou então jogando alguma mesa.
121780	126400	Então, se você assinar agora, você pode me marcar quando chegar lá e falar
126400	128040	Caio, você tá me devendo uma mesa.
128380	135000	Olha só, Caio se arrependerá disso, mas eu tô vendo uma coisa aqui há 12 dias.
135340	139840	Então, além do Caio se arrepender de tanta gente que, por favor, vão lá pedir mesa pra ele,
139840	145760	só vale pra novos inscritos, né, os velhos, vocês já foram conquistados, né, então não tem o que fazer.
146340	146860	É...
146860	147840	O Blue Sky, eu...
148360	151040	Botei lá pra RPG Guaxinim, não tenho postado quase nada,
151520	156100	vou ver se as meninas do Instagram querem mais uma rede pra ficar de olho,
156560	158460	mas, pelo menos, o meu pessoal,
159020	164300	marceloguaxinim.biscate, não sei como é que é aquele negócio pra não ser,
164820	167640	mas, procura lá pro Marcelo Guaxinim, me segue,
168020	169120	a gente precisa de números!
170080	171360	Porque, porra, tá...
172160	176080	A gente foi de 12 mil e tanto pra 300.
176340	178340	Então, porra, preciso de vocês, vão lá,
178360	180680	segue a gente, criem a sua rede.
181120	184320	Ela é bem bacana, eu troquei o ícone que eu tinha do...
184320	190180	do X, eu tirei o ícone dali e coloquei o ícone do Blue Sky no lugar.
190600	191600	Tô usando...
191600	193320	Assim, eu entro no Blue Sky sem nem saber,
193720	196360	só pelo reflexo motor que a gente já desenvolveu.
197360	198320	E, porra, tá sendo bem bacana.
198400	200060	Tem a Shelly posta bastante lá,
200600	202980	tem bastante gente maravilhosa usando aquela rede.
203480	206300	Então, vão lá, conheçam essa nova rede e seguem a gente.
206300	207300	Do falecido...
208360	209360	Twitter, X?
210120	211240	Provavelmente, eu vou...
211240	214300	A minha conta pessoal, eu vou meter um cadeado e não vou postar nunca mais.
214780	217920	E a do RPG Guaxa, talvez eu mantenha pra postar episódio,
218400	220500	mas vai ser simplesmente uma...
220500	221960	burocrático, né?
222020	223280	Não vai ter...
223280	225300	nada de especial lá.
225740	228160	Se a gente for fazer alguma coisa, vai ser no Blue Sky.
228560	230820	Então, segue a gente lá, segue a RPG Guaxa também.
231340	233980	O RPG Guaxa tá participando do Melhores Podcast do Brasil,
234120	235200	prêmio MPB.
235200	237940	Qual o seu cantor do MPB favorito, Caio?
238360	239880	É o Marcelo Guaxinim.
240080	242300	Já votei nele e sigo votando.
242780	244820	A pergunta agora era séria, mas ok.
245040	246520	Sério como o Neuchan também.
247920	252240	Mas é muito bom o nome desse concurso,
252360	254120	porque toda vez eu fico pensando nisso também.
255000	257660	Falta aí, até sair o episódio, menos de uma semana.
258260	261280	Vota todo dia pra gente ficar em primeiro lá.
261960	263920	E, porra, isso é uma divulgação, né?
263920	268040	Já que o X foi morto por aquele terrível vilão,
268360	270460	agora a gente precisa de divulgação em algum lugar.
270580	274040	E talvez, vencendo um prêmio, você tá ajudando a gente.
274560	276980	O Caio falou no grupo de games lá,
277040	279360	e é um grupo meio emprestado também,
279440	281100	com outro podcast, um podcast irmão,
281480	283040	chamado Buraco Atrás do Pôster,
283480	285240	lá do Jojo e da Agatha.
285760	288220	O Jojo que gravou o RPG Guaxa há muito tempo atrás,
288660	291600	e podia ter gravado mais, mas ele escolheu ver anime.
292340	293940	Cada escolha é uma renúncia,
293940	296720	mas tem que voltar em breve, a gente só tá esperando a oportunidade.
297240	298200	E a nossa...
298200	299940	Querida Deusa, a Agatha Sofia, que tem mais...
300500	303160	Acho que é top 5 pessoas que mais gravaram ela.
303660	305900	Então, os dois têm esse podcast de videogames.
305980	307000	Convido vocês a ouvir.
307340	309740	E, já que você foi votar em mim,
310140	312140	lá na categoria Ficção e Fantasia,
312700	314680	você vai lá, vota RPG Guaxa, né?
315060	316480	Aí vai perguntar, você quer continuar votando?
316620	316880	Quero.
316960	321100	Você vai em Cultura Pop e volta no Buraco Atrás do Pôster.
321460	324560	Dito tudo isso, segue a gente no Instagram também,
324640	326440	RPG Guaxa, ou Marcelo Gostininha.
326480	328100	RPG Guaxa tem sempre coisa muito...
328200	328920	Muito bacana.
329480	334240	E, para apoiar, para fazer parte do nosso grupo lá do Telegram,
334340	336860	que tem vários grupos, como a gente citou aqui,
337320	339680	vai no apoia.se barra RPG Guaxa.
340040	342140	A partir de 10 reais, ele já libera lá o post com o link.
342580	344700	Você entra direto, sem depender de mim.
345120	346560	Você fica independente já.
347040	348820	E vai ser muito bem recebido.
349240	349700	Mas é isso.
349760	355060	Vamos ler os questionamentos que vocês deixaram lá no post.
355060	358040	E o primeiro deles, marquei no bingo,
358200	361060	é do Jorge Marcos Santos Silva, que coloca...
361060	364480	Nunca pensei que esse segundo episódio me geraria ainda mais perguntas.
364880	367240	Um bom dia, Sr. Guaxa, convidado e guaxual.
367640	368520	Não era a minha intenção.
368960	369400	Desculpe.
369820	370300	Spoilers.
370460	372940	Esse é um outro vilarejo diferente do anterior, certo?
373420	374880	Certo, mas é próximo, né?
375340	377400	Mais acima do rio, é o que eu imagino?
377880	380560	Eu não cartografei a região, não sei dizer.
381060	382460	Então ali era...
382460	383520	Talvez mais para baixo, né?
383520	385080	Eu acho que a parte da floresta era mais alta.
385080	386880	E por mais que tenha magia,
387440	388080	a...
388080	390260	A física ainda é um pouquinho respeitada.
390720	391880	Então talvez ela seja mais baixa.
391960	394100	Mas realmente eu não parei para pensar nisso.
394480	396060	Mesmo sendo formada em geografia, desculpa.
396400	398380	Então ali era a alma e a essência ou algo assim
398380	400300	que era colocada nos bonecos e os animais
400300	403060	eram usados para dar a aparência humana, viva?
403560	405160	Então ali era a alma...
405160	408740	Assim, não foi ali que os personagens da aventura anterior
408740	410900	se tornaram o que se tornaram.
411400	413780	Ali tinha uma pessoa que fazia o mesmo tipo de
414680	416140	magia, entre aspas, né?
416580	417980	De reanimar aquelas pessoas.
418080	418600	Pessoas.
419000	420960	O lugar que as pessoas foram levadas
420960	423480	é aquele que aparece no final desse episódio
423480	426940	e, em teoria, o lugar para onde os personagens
426940	428120	da aventura anterior foram.
428560	430660	Demora para a alma vir para esse novo corpo?
431000	431240	Sim.
431360	432980	Como a gente viu no episódio anterior,
433500	436760	demora para a pessoa se acostumar com aquele corpo novo, né?
437200	439180	Por isso as pessoas ficam no tempo catatônicas?
439460	439760	Isso.
440280	442600	Esses seres marionetes são realmente de madeira?
443260	445200	Eles são virtualmente imortais?
445200	447580	Eles crescem e se desenvolvem como uma pessoa comum?
447580	450000	E se sim, morrem de velhice?
450480	453200	Eu imagino que eles não morram de velhice.
453260	455240	Talvez a madeira apodreça, né?
455700	458220	Eles envelheceriam por dentro, não por fora.
459460	462640	Podem vir a crescer um pouco, afinal é madeira mágica, né?
462940	465640	Ela consiga expandir um pouco ali.
466240	469620	E a ideia mesmo é que são marionetes
469620	471980	no lugar daqueles corpos.
472900	476340	Possível será um dia vermos mais sobre essa vila das bruxas?
476340	476940	Sim.
477580	477960	É possível.
478520	479680	Lá só há marionetes?
479860	480080	Não.
480220	483200	Tipo, o personagem do Jean estava lá e ele é um humano.
483660	487660	Se o pai da família do episódio anterior, por ventura, foi levado lá,
488060	488740	ele é humano.
489260	493920	O amigo do personagem da Sarah talvez esteja lá também agora.
494280	494900	Ele é humano.
495180	495860	É um refúgio.
496360	498900	Essa mágica mexe com a natureza de alguma forma ruim.
499500	502580	Então, no episódio daquela...
502580	504480	Do norte lá, que tem uma menina,
504480	506860	que tem a menina, a deusa de madeira e tal.
506940	507560	Eu não lembro o nome do episódio.
507560	509640	Que tem a Fábio.
509700	510720	Fábio, como era o nome do episódio?
511060	511920	Ó, a Fábio tá aí.
512060	512400	Vamos ver.
512860	513380	Serena de Estrela.
513380	514120	Serena de Estrela.
514560	516560	No episódio Serena de Estrela, tu tem...
517620	519600	Eu agora esqueci porque eu queria o nome do Serena de Estrela.
519820	520460	Ah, tá. De novo.
520860	523980	No Serena de Estrela é dito que a capital que encomanda
523980	526560	é um autoproclamado deus chamado Caius.
527620	528920	Desculpa, Caio, inclusive.
529440	530640	Não tem nada a ver comigo.
530720	533180	Tem a ver com o Gilles, inclusive, que foi outro Caio, né?
533640	533920	É.
535920	537400	Esse autoproclamado deus,
537400	541340	ele criou uma religião onde a religião dele é a correta.
541880	543460	Então, se você acredita nesse cara
543460	547660	que tava matando pessoas e prendendo crianças em jaulas,
547760	549200	vai da sua crença,
549640	552420	se tu acredita que eles são o lado certo dessa história toda,
553000	555400	então, sim, a magia que transforma,
556320	558180	que revive as pessoas com madeira,
558700	560140	ela é, sim, ruim.
560640	564640	Agora, se tu achar que essa religião do Caius é errada,
565240	567340	então, não, ela não é ruim.
567400	571340	No fim, é tudo meio cinza, sabe?
571880	574900	Se tu for tentar ser neutro nessa história toda,
575420	578520	não existe, no caso dessa bruxaria em si,
578980	581520	já que todas foram feitas com uma boa intenção, né?
581800	583460	De trazer uma pessoa de volta.
584040	586240	Então, ela é boa, sim,
586700	590840	mesmo que por métodos não convencionais.
591020	591940	Acho que isso explica.
593040	594380	Não pergunto pelo estereótipo das bruxas,
594460	595620	mas por ser meio antinatural.
595620	595980	É isso.
596160	597220	Acho que já encaixou tudo.
597220	597740	Eu respondi.
598140	600200	Acho que é só isso por hoje, KKKJ.
600660	601660	Foi uma história maravilhosa.
601740	603080	Jogadores, guaxa, edição e vozes,
603440	604760	foi tudo magistral.
605180	607340	Biscoito com emblemas de guardas para todos.
607780	608280	Fico por aqui.
608440	609400	Forte abraço a todos.
609520	610620	Força e luz para todos nós.
611000	611600	E até mais.
611680	612500	Até mais, querido.
612600	613120	Um beijão.
613200	614120	Obrigado pelo seu comentário.
614700	616140	Grande Jorge Marcos.
616680	619360	É agora, depois dele, vem o Luan Araújo,
619840	622240	que acho que ele chegou lá na taverna esses dias, inclusive.
623140	624020	Ele comenta.
624020	625760	Bom dia para quem é de bom dia.
625900	627020	Boa tarde para quem é de boa tarde.
627220	629240	E boa noite para quem é de boa noite.
629880	632220	Finalmente terminei de maratonar os episódios e os guaxaversos.
633140	635360	Foram dois meses que pareceram anos.
635840	637220	Mas não porque pareceu demorado,
637320	640480	e sim porque vivenciei os movimentos de cada ano desse podcast
640480	642380	que se tornou meu top 1 para a vida.
642960	643100	Obrigado.
643100	643640	Olha só.
644000	644340	Ah, é?
644960	647220	E ele terminou a maratona e já entrou lá na taverna.
648060	648920	Não precisa terminar, né?
648920	649900	Ele podia ter entrado antes, né?
650060	652220	Queria registrar você aí que está...
652220	654200	Se bem que não adianta falar com quem ainda não chegou aqui, né?
654620	657020	Mas você está no meio de uma maratona, sei lá, em 2025,
657220	658460	entra agora.
659020	660900	Pelo menos já assina o carnê lá.
661480	662660	Espero que ainda seja o após,
662740	664460	porque eu não quero mais mudar de lugar.
665060	665620	Assina lá.
666140	667520	E daí, quando chegar no atual, você entra.
667620	668780	Não precisa entrar na hora que você pagou.
668840	669140	É isso.
669240	669920	Desculpa por ser...
669920	670880	É isso mesmo, gente.
671260	672540	Entra que vale a pena.
672880	673700	Se você não estiver em dia,
673800	675180	é só você não entrar no grupo de spoilers.
675600	678800	Mas tem outros grupos para você participar e aproveitar.
679500	680320	Ele continua.
680880	682180	Obrigado a toda guaxaiada
682180	684320	e principalmente ao excelentíssimo senhor,
684440	686380	doutor Marcelo Guaxin.
686380	686440	Sim.
686900	687040	É.
687220	687860	Guaxinim.
688060	689700	Ou guaxa para os mais íntimos.
690100	690620	É verdade.
690960	691600	Eu não sou doutor.
691660	694220	Eu tenho especialização em gestão escolar.
694840	697100	O senhor gestou Marcelo Guaxinim.
697620	698060	É isso.
698640	702940	Obrigado por proporcionarem algo que alegrou meus dias e noites.
703500	705680	Queria ressaltar que eu vi o mais rápido que pude,
705900	707140	sete episódios por dia,
707560	708820	para me tornar padrinho
708820	711820	e estou muito feliz em fazer parte da taverna do Guaxinim.
712280	713620	Para melhorarem sua dicção,
713800	715380	tentem dizer rápido e sem errar.
715380	716400	Casa suja.
716780	717180	Chão sujo.
717880	718340	Consegui.
718400	718920	Tenta, Caio.
719360	720340	Não, eu já falei.
720540	722100	Não, foi rápido bastante.
722480	723240	Casa suja.
723540	724220	Chão sujo.
724440	725600	Eu tenho que dar uma travadinha.
726060	726720	Casa suja.
726860	727960	Chão sujo.
729800	730320	Ok.
730880	732520	Fomos reprovados.
733140	734500	Sem mais longas,
734600	735620	eu só tenho uma pergunta.
736160	738020	Esse episódio tem a ver com o corvo?
738360	739400	Um beijo no coração,
739600	740840	um chute no pescoço
740840	742560	e um abraço na canela a todos.
743080	743300	Tá.
745300	746100	Tudo bem.
746100	746500	Eu me abstenho.
746500	748580	Próximo comentário é do Inexistente,
748740	749200	que fala
749200	752480	Saudações todos os seres guaxísticos.
752920	753900	Porra, pra alguém que não existe,
753980	754880	escreveu bastante, hein?
754940	755280	Mas vamos lá.
755680	757460	Demorei um pouco pra escutar o episódio anterior,
757700	759380	por isso não estava aqui nos comentários.
760320	762200	Se tu não existe, tu podia estar.
762360	763940	A gente só não...
763940	765260	É tipo o episódio do Chapolin.
765340	766740	O homem invisível está nessa sala,
766840	767520	como você sabe?
767800	768680	Eu não estou vendo ele.
769840	770240	É...
770240	771780	Demorei um pouco pra escutar...
771780	772040	Oi?
772360	773940	Ele estava entre nós o tempo todo.
774360	775120	Tava, tava.
775600	776440	Demorei um pouco pra escutar...
776440	778140	Demorei um pouco pra escutar o episódio anterior, tá?
778400	779120	Preciso instalar o comentário,
779200	780500	mas sigo sem existir.
780820	782360	Porém, agora de volta aqui nos comentários.
782740	784360	Primeiramente, gostaria de me desculpar aqui
784360	787460	com o problema estético com a voz do ancião Baldrick,
787800	790540	que achei que meu microfone ainda não estava apto
790540	792000	como eu imaginei que estaria.
792400	793600	Mas prometo melhorar no futuro.
793820	796380	Espero que não tenha estragado a experiência de ninguém.
796880	798400	Não estragou, eu acho.
798720	800180	Não, tava tudo bom.
800200	802340	É, assim, até o momento ninguém reclamou.
802780	803820	Mas se estragou também,
