start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15980	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24000	Todos vão conhecer o Guaxaverso!
24000	24520	O Guaxaverso sempre existiu!
24520	25460	Até o nosso final!
25460	27200	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu não acredito no Guaxaverso!
33760	36540	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45340	46500	Bom dia de fora!
46960	51780	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Prazo Guaxinim.
51940	57480	E se eu fosse um peixinho e soubesse nadar, eu tirava o cutulo do fundo do mar.
57480	58480	Pra quem não sabe...
58540	60540	O Guaxaverso é o nosso antigo escudo-mestre.
61040	61360	Aqui.
61780	64180	Vamos ler seus comentários e discutir as teorias do último episódio.
64460	65620	Que, no caso, foi...
65620	67940	Alices, episódio 91.
68400	71860	Antes de mais nada, gostaria de pedir pra vocês me seguirem nas redes sociais.
72180	73160	Arroba Marcelo Guaxinim.
73440	75540	Arroba RP Guaxa.
75660	78920	Falando em seguir, no ano passado, eu pedi pra vocês me seguirem.
78960	79960	E vocês seguiram.
80260	83620	E que saírem um episódio do Corvo, parte 2.
84000	86160	E um episódio da Gatas, parte 2.
86340	87800	Por questão de agenda.
88540	91140	De querer escrever uma história à altura.
91660	94440	Eu acabei não conseguindo cumprir essa meta esse ano.
94860	96800	Eu peço desculpa a todos vocês.
97300	99380	Embora tenha sido uma promessa de final de ano.
99800	101440	Não era a minha intenção não cumprir.
101860	103360	Mas eu prometo que...
103360	105960	Primeiro semestre do ano que vem a gente vai resolver isso.
106480	108740	E que eu vou recompensar vocês.
108920	109900	De alguma forma.
110260	112380	Com algum episódio extra, alguma coisa assim.
112680	115140	Então eu peço desculpas do fundo do meu coração.
115700	116660	Não foi minha intenção.
116660	118360	Foi um ano bem difícil.
118540	122140	Embora eu tenha tido muitas ideias variadas.
122260	125080	Como tu pode ver nas aventuras que tu escuta aqui no feed.
125760	128640	Mas pra essas duas específicas que eu trato como, sabe...
128640	130920	São meus filhos mais preciosos.
131340	132880	Eu queria algo realmente grande.
133540	135920	E pro episódio das Gatas ainda tá engatinhando.
136280	139300	Mas o episódio do Corvo eu consegui realmente pensar algo bem bacana.
139380	139760	Escrevi.
140040	142860	Mas a Isa vai estar viajando agora, semana que vem.
143160	146140	O Malta tá em processo de mudança, né?
147220	147660	Então...
147660	148860	Tá difícil fechar a agenda.
148960	150660	Eu queria muito lançar ele pra esse ano.
151040	152700	Mas a chance é muito baixa.
153180	153280	Tá?
153720	156880	Então eu peço novamente desculpas a todos vocês.
157080	158540	Do fundo do meu coração.
159000	162100	Quero lembrar vocês que este episódio está sendo...
162100	163220	Apoiado pelo Promobit.
163660	166180	Ano passado já tivemos apoio Promobit.
166520	167300	Pra Black Friday.
167460	168980	E esse ano tivemos novamente.
169460	171500	O Promobit pra quem não sabe vai lá em...
171500	174060	rpguaixa.promobit.com.br
174060	175880	Às vezes o link sai do ar.
175920	176660	Eu não sei porquê.
176660	177500	Mas aí...
177500	178340	Entra de novo depois.
178460	179860	Por favor, você vai ajudar a gente muito.
180060	183660	Se tu entrou pelo teu celular em rpguaixa.promobit.com.br
183660	186920	Você vai poder baixar o aplicativo e já criar a sua conta.
187460	189140	E se você usar isso no navegador.
189400	190800	Ou clicar no link que tá ali no post.
191300	193480	Tu vai direto pro site deles, né?
193860	195820	E também tu pode fazer teu cadastro lá.
196400	199040	Promobit é um site em que as pessoas cadastram ofertas.
199140	200640	Como eu já cansei de explicar pra vocês.
200640	202120	Tu cadastra ofertas lá.
202280	204340	Outras pessoas avaliam essas ofertas.
204760	205640	E elas ficam lá disponíveis.
206660	207360	Tu pode usar eles.
207360	208520	Simplesmente como...
208520	210320	Olha, vou passear no shopping.
210820	212820	Vou olhar aqui o que tem nas vitrines.
213120	215360	E ver aquela vitrine de ofertas que tá na área principal.
215680	218400	Mas o melhor jeito de tá economizando.
218740	219620	A maneira que eu uso.
219940	221520	Quando eu preciso de alguma coisa.
221800	222780	A longo prazo.
223040	223640	Eu deixo lá.
224140	226660	Esses dias eu comentei em grupos de padrinhos.
226820	228820	Acho que eu não comentei em podcast nenhum.
229420	231320	Mas eu fui sentar na minha cadeira.
231380	232340	E ela simplesmente quebrou.
232620	234680	Eu não caí numa posição muito vergonhosa.
235200	236040	Mas quebrou.
236200	236820	Eu consegui...
237360	239300	Ajeitá-la de alguma maneira.
239480	240800	Aqui, botei um parafuso ali.
241300	242760	Ela vai aguentar um pouco mais.
243220	244940	Mas em breve eu vou ter que trocá-la.
245280	246100	Mas não agora.
246580	247600	Então eu já coloquei lá.
247680	249000	Peguei algumas marcas de cadeiras.
249560	251180	Realmente resistentes, né?
251640	252280	Porque...
252280	255180	Eu sou um gamer de verdade, né gente?
255260	258680	Não são esses gamers Nutella aí que pesam 80 quilos.
259100	260880	Eu sou um gamer.
261260	263040	Então eu procurei algumas cadeiras.
263160	263760	Alguns modelos.
264080	265960	A cadeira que eu tenho atualmente não é a cadeira gamer.
265960	266900	Não é nem a cadeira...
266900	268400	Muito indicada, né?
268560	269960	Coloquei lá no Promobit.
270480	272400	As marcas principais.
272460	273640	As marcas mais fortes, né?
274040	275920	Criei também um lembrete genérico, né?
275960	277020	Para a cadeira gamer.
277560	278300	E estou de olho.
278600	280780	Então volta e meia já chega alguma coisa lá.
281100	282400	Eu recebo ali um pop-up.
282460	284760	Eu já vou olhar lá até quantos quilos ela aguenta.
285180	287860	Ou se apareceu das marcas específicas que eu pedi.
288320	289180	Por enquanto não.
289440	290960	Eu vi que três dias antes...
291760	293820	Teve uma promoção da cadeira que eu queria.
294340	295040	Por três dias.
295040	296620	Quase metade do preço.
296900	298700	Se eu já tivesse de olho nas cadeiras.
298700	301900	Se eu não tivesse empurrando já há muito tempo essa troca de cadeira.
301900	303600	Eu podia ter aproveitado antes.
303600	304600	Mas está ali.
304600	306300	Eu cadastrei.
306300	307400	E estou esperando.
307400	312400	Você também está procurando um celular novo agora na Black Friday?
312400	314400	Está procurando um videogame?
314400	316400	Um Nintendo Switch?
316400	319900	Ou está procurando algum jogo específico?
319900	321900	Algum eletrodoméstico?
321900	322900	Um tênis?
322900	323900	Uma roupa?
323900	325900	Cadastre na tua lista de desejos.
325900	326740	E tu só vai ver.
326740	331740	Tu só vai receber no teu celular ofertas de verdade para os produtos que tu quer.
331740	332740	Tu poupa teu tempo.
332740	334740	Tu poupa não só o teu dinheiro.
334740	336740	Como tu poupa o teu tempo.
336740	338740	Promobit tem essa ferramenta maravilhosa.
338740	340740	Está apoiando o RPG Guaxa.
340740	344740	Proporciona episódios incríveis como o episódio passado.
344740	346740	Como o próximo episódio agora.
346740	352740	Que vai trazer aí de volta um personagem que vocês pedem para que ele volte.
352740	353740	Olha só.
353740	354740	Então vamos lá.
354740	356740	Baixe o aplicativo Promobit.
356740	358740	Crie a conta de vocês.
358740	360740	E comece a economizar.
360740	366740	rpguaxa.promobit.com.br
366740	369740	Outra maneira de apoiar a gente é ser nosso padrinho.
369740	372740	Você pode assinar pelo PicPay ou pelo Padrim.
372740	373740	Qualquer valor ajuda.
373740	376740	Mas a partir de 10 reais você faz parte do grupo do Telegram.
376740	379740	Está tendo uma iniciativa maravilhosa lá da Dani.
379740	382740	De incentivar meninas a mestrar e narrar.
382740	384740	Mesas só para meninas.
384740	387740	Então você aí que nunca jogou.
387740	389740	Porque nunca se sentiu confortável.
389740	391740	Ou tem receio de começar a jogar.
391740	394740	Essa pode ser a tua chance de estar jogando.
394740	396740	Além disso tem mesa para todo mundo.
396740	398740	Para todos os gêneros.
398740	399740	Pessoas.
399740	401740	Dá uma olhada lá nos grupos de padrinhos.
401740	402740	Você chegou.
402740	403740	Fala com o pessoal.
403740	404740	Diz o que você quer jogar.
404740	405740	Que alguém te encaixe em alguma mesa.
405740	407740	Lá também você recebe o episódio antes.
407740	408740	Tem grupo de spoiler.
408740	410740	Tem uma série de vantagens.
410740	412740	Tem muitos amigos a conhecer ali.
412740	414740	Então seja nosso padrinho.
414740	417740	Agora em dezembro eu vou fazer algum tipo de brincadeira.
417740	419740	Para o Natal entre os padrinhos.
419740	421740	Valendo jogar uma aventura futuramente.
421740	423740	O episódio de Alice como eu falei.
423740	425740	Eram três madrinhas por exemplo.
425740	428740	Então em dezembro teremos uma oportunidade.
428740	431740	De alguém jogar uma aventura.
431740	432740	Significa que se tu assinar tu vai jogar?
432740	433740	Não.
433740	434740	Porque tem bastante gente lá.
434740	436740	Mas é uma chance maior.
436740	439740	Do que simplesmente não assinando.
439740	440740	Os padrinhos se organizaram.
440740	441740	E lá no grupo do...
441740	443740	Do Instagram.
443740	444740	Eles criaram uma promoção.
444740	446740	Seja padrinho por um mês.
446740	447740	Então assim.
447740	448740	Tem gente obviamente que não tem como.
448740	450740	Estar ajudando.
450740	451740	Ajuda de outras formas.
451740	452740	Eu entendo bastante.
452740	453740	E queria conhecer.
453740	455740	O nosso grupo de padrinhos.
455740	457740	Então lá no Instagram.
457740	459740	Tem uma postagem de ontem.
459740	460740	Tu marca lá.
460740	461740	Tem a explicação certinha.
461740	462740	Tu tem que marcar uma pessoa.
462740	464740	Não pode já ser padrinho.
464740	466740	Não pode marcar marcas.
466740	468740	Tem que ser pessoas.
468740	469740	Vai lá.
469740	470740	Tu ganha uma oportunidade de fazer parte.
470740	471740	Interamente.
471740	472740	Grátis.
472740	473740	Por um mês.
473740	474740	Jogar aventuras com os padrinhos.
474740	475740	Jogar outros jogos.
475740	476740	Bater papo.
476740	477740	Receber episódio antes.
477740	478740	Talvez gravar uma voz.
478740	479740	Para um dos episódios.
479740	480740	Que está para sair futuramente.
480740	481740	Então essa é a sua oportunidade.
481740	482740	De conhecer o nosso grupo de padrinhos.
482740	483740	Então é uma iniciativa deles.
483740	484740	Agradeço muito os padrinhos.
484740	485740	É uma comunidade.
485740	486740	Maravilhosa.
486740	487740	Fica aí.
487740	488740	A oportunidade.
488740	489740	Para vocês.
489740	490740	Tem uma marca.
490740	491740	Que eu estou negociando.
491740	492740	Que eu comento.
492740	493740	Na leitura.
493740	494740	Que vocês vão ouvir.
494740	495740	Daqui a pouco.
495740	496740	É uma marca.
496740	497740	Que eu estou negociando.
497740	498740	Que eu comento.
498740	499740	Na leitura.
499740	500740	Que vocês vão ouvir.
500740	501740	Daqui a pouco.
501740	502740	Só para vocês ficarem a par.
502740	503740	Né.
503740	504740	Porque já que vocês perderam a live.
504740	505740	Tem uma marca.
505740	506740	Que disse.
506740	507740	Olha Guaxa.
507740	508740	Eu tenho isso aqui.
508740	509740	O que o RP Guaxa faria.
509740	510740	Se tivesse.
510740	511740	Isso aqui na mão.
511740	512740	E eu pensei.
512740	513740	Poxa.
513740	514740	Com isso aí.
514740	515740	Eu faço.
515740	516740	Três episódios extras.
516740	517740	Três.
517740	518740	Então.
518740	519740	Se essa marca.
519740	520740	A gente conseguir.
520740	521740	Fechar.
521740	522740	Cruzem os dedos.
522740	523740	Em dezembro.
523740	524740	Ao invés de dois episódios.
524740	525740	Vamos ter cinco.
525740	526740	Toma essa.
526740	527740	Cinco episódios.
527740	528740	Um episódio.
528740	529740	Primeiramente.
529740	530740	Pensando.
530740	531740	Nesta marca.
531740	532740	E que ele vai vir para o feed.
532740	533740	Eventualmente.
533740	534740	Caso não dê certo.
534740	535740	De qualquer forma.
535740	536740	Mas aí.
536740	537740	Ele sai regular.
537740	538740	Em vez de sair extra.
538740	539740	E os episódios.
539740	540740	Que eu estava planejando.
540740	541740	Soltar em janeiro.
541740	542740	Eles saem.
542740	543740	Ali.
543740	544740	Início de dezembro.
544740	545740	Então.
545740	546740	Só para você.
546740	547740	Entender o contexto.
547740	548740	Porque eu acho.
548740	549740	Que eu cito isso.
549740	550740	Rapidamente.
550740	551740	Na leitura.
551740	552740	De comentários.
552740	553740	Então.
553740	554740	Vão lá.
554740	555740	Escutem agora.
555740	556740	O que a gente gravou.
556740	557740	Em live.
557740	558740	Primeiro comentário.
558740	559740	Muito bom.
559740	560740	Meio agonizante.
560740	561740	Talvez.
561740	562740	Mas muito bom.
562740	563740	Bom dia.
563740	564740	Guaxa.
564740	565740	Tudo legal?
565740	566740	Tudo legal.
566740	567740	Um bom dia para o chat.
567740	568740	Também.
568740	569740	Chat.
569740	570740	Tudo bem com vocês?
570740	571740	Trouxe uma caixa de biscoitos.
571740	572740	Para ti.
572740	573740	Guaxa.
573740	574740	Você merece.
574740	575740	A forma que foi construída.
575740	576740	E executada.
576740	577740	Foi genial.
577740	578740	Parabéns.
578740	579740	É engraçado.
579740	580740	Que o episódio.
580740	581740	Que vai sair.
581740	582740	O episódio.
582740	583740	Que eu gravei.
583740	584740	Exclusivo.
584740	585740	Para a marca.
585740	586740	E que talvez.
586740	587740	Saia um pouco diferente.
587740	588740	No feed.
588740	589740	Trouxe biscoitos.
589740	590740	Para as jogadoras.
590740	591740	Também.
591740	592740	A forma como elas foram.
592740	593740	Gradativamente.
593740	594740	Simplesmente aceitando.
594740	595740	A loucura.
595740	596740	Foi sensacional.
596740	597740	Vamos lá.
597740	598740	Onde estava o cineasta?
598740	599740	Assim.
599740	600740	Assim como.
600740	601740	Assim.
601740	602740	As jogadoras foram.
602740	603740	Incríveis.
603740	604740	Maravilhosas.
604740	605740	Não tenho nem.
605740	606740	Palavras.
606740	607740	Para descrevê-las.
607740	608740	O cineasta.
608740	609740	Ele estava.
609740	610740	Em alguma sala.
610740	611740	De.
611740	612740	Controle.
612740	613740	Talvez.
613740	614740	Na sala das câmeras.
614740	615740	Para poder ver tudo.
615740	616740	Que estava acontecendo.
616740	617740	Né.
617740	618740	Talvez.
618740	619740	Ele volte.
619740	620740	Com uma outra história.
620740	621740	Em algum outro.
621740	622740	Sanatório.
622740	623740	No ano que vem.
623740	624740	Então.
624740	625740	Fica.
625740	626740	Fica a dica aí.
626740	627740	Esse personagem.
627740	628740	Continua vivo.
628740	629740	Caso elas tivessem.
629740	630740	Seguido o roteiro.
630740	631740	Melhor.
631740	632740	Na parte final.
632740	633740	Com a rainha vermelha.
633740	634740	Como poderia.
634740	635740	Ter sido.
635740	636740	A rainha vermelha.
636740	637740	Queria.
637740	638740	Uma pessoa.
638740	639740	Com ela.
639740	640740	Uma lince.
640740	641740	Bastava.
641740	642740	Que as outras duas.
642740	643740	Morressem.
643740	644740	Então.
644740	645740	Havia um final.
645740	646740	Em que apenas uma jogadora.
646740	647740	Talvez.
647740	648740	Indo para o próximo.
648740	649740	Filme.
649740	650740	Do cineasta.
650740	651740	Não saberemos.
651740	652740	Porque as jogadoras.
652740	653740	Tomaram outra decisão.
653740	654740	Né.
654740	655740	Como o cineasta.
655740	656740	Conseguiu.
656740	657740	Tão facilmente.
657740	658740	Enlouquecer.
658740	659740	A diretora.
659740	660740	Funcionários.
660740	661740	E tão facilmente.
661740	662740	Colocar os pacientes.
662740	663740	No papel.
663740	664740	Que ele queria.
664740	665740	É só.
665740	666740	Muita persuasão.
666740	667740	Remédios.
667740	668740	Ou algo mais.
668740	669740	Na verdade.
669740	670740	Ele conseguia.
670740	671740	Muita persuasão.
671740	672740	Mas ele conseguiu.
672740	673740	Persuadir.
673740	674740	A médica.
674740	675740	Responsável.
675740	676740	O chefe.
676740	677740	Daquele lugar.
677740	678740	A médica.
678740	679740	Responsável.
679740	680740	Junto dele.
680740	681740	Aceitando.
681740	682740	A loucura.
682740	683740	Dele.
683740	684740	É aquela brincadeira.
