start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33740	Eu acredito no Guaxaverso!
33820	36560	Mas, supondo que ele exista...
37920	41560	Guaxaverso, onde o que não existe é debatido.
45620	46140	Desgravando.
46560	47080	Gravando.
47600	48100	Gravando.
48540	49540	Deu certo pra todo mundo?
49880	50120	Sim!
50840	52880	Ah, quer dizer, da Dani a gente vai descobrir um dia.
53320	55300	Não, não, parece que tá gravando aqui.
55300	58300	Olá, eu sou Marcelo Guaxinim, narrador, produtor e delizador.
58560	60360	Do podcast Realidade e Paralelas do Guaxinim.
60640	65360	E a próxima vez que eu fizer um episódio muito mais emocional do que guaxaversístico,
65700	67420	eu não vou ler todos os comentários.
67960	68740	Mentira, eu falei sim.
68840	70940	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo do mestre.
71120	74700	Aqui vamos ler os comentários e discutir as teorias do último episódio.
74920	77120	Que, no caso, foi Quando Você Morre.
77500	78840	O nosso especial.
79420	80980	O nosso episódio 100.
81400	85140	Essa leitura foi feita na segunda-feira, no dia 7.
85140	87920	Com a participação da incrível Dani.
88560	90040	Que jogou o episódio.
90520	91640	Que ajuda lá no Instagram.
91880	93340	Que é uma pessoa maravilhosa.
93820	96840	É mais uma incrível amiga que o RP Guaxa me deu.
97040	98080	Que a taberna me deu.
98340	99860	Então quero agradecer muito a ela.
100140	101920	Quero dizer pra vocês nos seguirem nas redes sociais.
102040	102740	Arroba Marcelo Guaxinim.
102940	104740	Arroba RP Guaxa.
104900	106320	Tanto no Twitter quanto no Instagram.
106580	109140	No Instagram tá rolando lá o nosso reality show.
109560	110800	O reality Guaxa.
111300	113080	Dá uma conferida lá, tá bem divertido.
113120	114280	É uma brincadeira com o Big Brother.
114280	117560	Só que com personagens de vários episódios.
117680	118540	Tem a Mirita.
118740	119460	Tem o Capitão.
119660	120760	Tem a Jaquita Vermelha.
121000	123240	Tem uma infinidade de personagens.
123360	124100	Dá uma conferida lá.
124440	126840	Faça sua torcida e vote pra ir eliminando.
126940	129160	Pra ver quem vai vencer esta loucura.
129420	131280	Lembrando que este reality não é canônico.
131960	133240	Caso exista um Guaxa verso.
133680	135120	E obviamente não faz parte.
135480	137380	Convido você também a ser nosso padrinho.
137860	141020	A ser um dos nossos membros da taberna.
141100	142000	Gravar vozes.
142300	143620	Receber o episódio antes.
143620	144780	Discutir teorias.
144940	147040	Participar de uma infinidade de grupos de discussões.
147320	148500	Então se você quiser ser nosso padrinho.
148500	151400	Procure a RPG Guaxa lá no PicPay ou no Padrim.
151720	152120	Mas vamos lá.
152280	154840	Vamos ver essa leitura de comentários que ficou gigante.
155940	157260	Primeiro eu queria comentar.
157880	159200	Que o Felipe colocou.
159280	161260	Acabou com a maldição do episódio 2.
161680	163280	Eu por muito tempo tive um problema.
163440	165320	Porque o meu melhor episódio era o episódio 2.
165720	167980	E eu tava, sei lá, nos cinquenta e tanto.
168080	168660	E as pessoas diziam.
168720	169620	Ah, meu favorito é o 2.
170060	172360	Significa que eu fui superado por mim mesmo.
172800	173240	Sempre.
173840	175920	E isso era chato.
175920	177740	Mas depois veio o episódio do Beijo é uma Garota.
177740	179020	Que é o favorito de muita gente.
179400	183380	E agora o episódio 100 parece ser o favorito de muita, muita gente.
184500	186800	Eu botei muito hype nesse episódio.
186900	187620	Entre os padrinhos.
187720	188260	Quando ele ia sair.
188760	192280	Eu fiquei com medo de ele não chegar nessa expectativa de ninguém.
192920	194620	E no fim chegou.
194740	195940	Na expectativa de todo mundo.
196020	198300	Todo mundo até onde eu sei elogiou.
198380	200080	A gente vai ver os comentários hoje pra saber.
200660	201520	E no fim.
201660	203720	Quem ficou um pouco triste no final fui eu.
204200	205800	Porque eu esperava.
205800	206560	Assim, óbvio.
206980	207340	É.
207740	210760	Que ele fosse aquele episódio que trouxesse mais ouvintes.
211180	211420	É.
211540	212160	No sentido de.
212380	213720	Ele é um episódio fechado e tal.
214240	214600	E.
215040	216400	E aconteceu de que.
216460	216640	Não.
216780	216900	Assim.
216980	217720	Ele é um episódio.
218620	220080	Quem gostou ouviu.
220180	221760	E quem ouviu é a pessoa que já gostou.
222200	223340	Então fica meio aquele.
223560	223800	Hum.
224260	224860	Mas tudo bem.
225040	225300	Tudo bem.
225380	226120	Já passou.
226620	226820	Já.
226940	227180	Já.
227860	229520	Já passou esse sentimento.
229640	230400	E eu já tô com a cabeça.
231000	231880	No 101.
232580	234420	Que vai ter a participação do Zorzal.
234500	235340	Que edita os episódios.
235340	236520	Ele vai jogar.
237620	237640	E.
237740	239640	Nos comentários do próximo episódio.
239740	240520	Eu quero que vocês digam.
240920	242900	Se eu deveria ou não chamá-lo novamente.
243340	245060	Depois de tudo que vai acontecer.
245380	246000	Dito isso.
246440	247120	Boa noite, Dani.
247480	248560	Boa noite, Guax.
248820	250340	Você estava no episódio 100.
250440	251660	Mas você gostou do episódio 100?
252020	252660	Eu gostei.
253220	254360	Quando terminou de gravar.
254380	254480	Gostei.
254580	255100	Gostei dele.
255280	255940	Pode falar.
256300	256780	Gostei.
256840	257280	Gostei dele.
257340	258440	Como ele ficou editado.
258900	259860	Gostei de jogar ele.
260400	262200	Foi um episódio muito gostosinho de jogar.
262660	264280	Mas quando tu terminou de gravar ele.
265000	266300	Quando terminou de gravar ele.
266300	266780	Tu sentiu.
266860	266960	Pô.
266980	267400	Esse episódio.
267400	267920	Esse episódio vai ser legal.
268100	269140	Ou vai ser mais um?
269540	269940	Não.
270120	271240	Eu senti.
271660	273360	Que esse episódio estava fora da curva.
273520	273720	Ah.
274080	274500	É assim.
274760	276120	Tinha o fato de que tu estava jogando com o Felipe.
276320	276400	Né?
277020	277420	Mas.
278400	278800	Ajuda.
279180	279460	Mas.
280880	281280	Pessoal.
281500	281840	No final.
281960	283280	Eu vou fazer algumas perguntas para a Dani.
283480	284780	Que todas que eu lembrar.
284940	286040	Eu tenho que anotar isso um dia.
286540	286900	E.
287100	288100	Se algum padrinho quiser.
288320	289280	Ouvir os episódios.
289420	290060	Guaxa Versos.
290120	290820	Com participação.
291460	291860	Todos.
292120	293480	E anotar as perguntas que eu já fiz.
293880	294840	Para eu ter um padrão.
294920	295740	Eu aceito.
296240	296640	E.
296640	297280	Dito isso.
297280	297380	Eu vou fazer um padrão.
297400	299400	Tu organizou os comentários por.
300400	301260	Mais antigos?
301640	302480	Mais antigos.
302680	302820	Tá.
303220	304340	Eu vou ler o primeiro comentário então.
304440	304740	Que é do.
305180	306660	Alisson da Silva Araújo.
306760	307120	Ele coloca.
307200	307960	Boa noite a todos.
308420	309780	E possível convidado.
309940	311220	Temos um possível convidado.
311480	311600	Né?
311860	312200	É possível.
312200	312940	Boa noite.
313900	314480	Episódio 100.
314580	315820	É algo incrível.
316040	317580	Estou no misto de confusão.
317880	319260	E compreensão.
319740	320180	No entanto.
320260	321280	Tenho tantas perguntas.
321380	322300	Tantas dúvidas.
322640	322860	Tão.
323200	324380	Noira pronuncia certa?
324560	324880	Noir?
325220	325680	Noir?
325860	326280	Noar?
326280	326340	Noir.
326340	328700	No português seria Noir.
329100	329540	Então Noir.
329780	330220	Incrível.
330340	331060	Essa sensação.
331180	334420	Já declaro que será o segundo melhor episódio de 2022.
335060	335860	Desculpe Guaxa.
335900	338180	Não posso voltar com a minha palavra.
338680	338820	Ah.
338880	342560	Porque o Alisson tinha dito que o Monstro tinha sido o melhor episódio do ano.
343080	343520	Então.
343640	345640	Se ele falasse que esse foi o melhor episódio do ano.
346080	348300	Ele estaria anulando aquilo que ele falou na semana passada.
348600	349020	Então tá bom.
349280	349680	Tá bom.
349800	350640	Tá nesse ano ainda.
351100	353600	Eu quero ver quando tiver a votação dos quatro episódios desse.
354320	354840	Desse.
354840	356180	Dessa quadra.
356180	356980	Desses dois meses.
357060	357760	Desse bimestre.
358160	360240	Eu quero ver se o 100 ganha ou não.
360600	364580	Mas vamos teorizar e viajar a partir daqui.
364860	367580	Irani, Morgana e Leopoldina.
367680	367980	Certo?
368180	368560	Certo.
368820	372460	Digamos que o livro que a orienta só faltava o final e a Dina se comprometeu em completar
372460	372960	essa situação.
373820	374320	Desculpa.
374420	377780	Essa interação com os personagens e criadores é algo incrível de se pensar.
378100	378940	Situação 1.
379400	383900	Irani sofreu um acidente de carro com sua esposa o que levou a óbito.
384140	385980	Onde ela, por sua vez, gerou um acidente.
385980	386860	Gerou um trauma.
387260	390000	Ela manteve ele vivo por uns instantes em sua memória.
390380	397600	Achei que estaria em um coma induzido vivendo essas lembranças reais que antecederam o
397600	402660	acontecimento e fictícias sobre o final do livro e até mesmo da sua vida.
402820	403700	Situação 2.
403800	409300	O acidente causado gerou traumas nela, Dina, que após um tempo esqueceu do que houve,
409300	410340	mas o tempo não.
410740	413940	Notei isso porque nenhuma vez foi citado espelhos.
414140	415960	Talvez se ela tivesse visto o reflexo.
415980	421540	Se deparado com alguma foto tal citada no episódio, ela poderia sofrer um estresse
421540	422540	mental.
422540	427300	O fato da Morgana aparecer seria uma ligação com seu marido autor e criador dos livros.
427300	428500	Situação 3.
428500	434200	Ela usou um nome masculino como pseudônimo, visto que o carteiro não conhecia o autor
434200	439800	por estar no nome dela e a idade talvez tivesse deixado sua aparência com o semblante mais
439800	443560	de senhorinha e não de uma escritora.
443560	445260	Por ora, farei só isso.
445260	445940	Sem spoiler.
446380	446880	Nem nada.
446980	448220	Apenas um obrigado por tudo.
448620	449920	Espero poder retribuir um dia.
450400	455280	E se hidratem bem, porque esse episódio é muito bom para ficar sem líquido corporal.
455640	456400	Ha ha ha ha ha.
456840	460200	Menos eu sou mais do racional do que emocional.
460780	462900	Ele ainda completou no comentário de baixo.
462980	467880	Valeu a pena ficar de madrugada esperando mesmo que eu tenha viajado nas teorias.
467880	472980	Eu me sinto privilegiado de ser um participante e contribuinte deste lindo projeto.
473320	474460	Seja padrinho também, gente.
475040	475960	Ajuda a gente bastante.
475980	478220	O pessoal recebeu o episódio antes, né?
478720	484240	E, assim, a obra depois de lançada não é mais minha, né?
484320	486220	Então vocês podem ter a interpretação de vocês.
486760	489080	Até porque cada episódio é fechado e sem ligação.
489600	494980	E esse sem foi feito para não ter realmente ligação com nenhum dos 99 episódios anteriores.
495900	502560	Dito isso, na minha ideia da história, eu esqueci de comentar isso no escudo do mestre
502560	505560	porque eu fui muito mais emoção do que racional.
505980	509240	A ideia inicial veio dos livros da Agatha Christie.
509580	514240	Pra quem não sabe, a Agatha Christie lançou dois livros depois de morrer.
514760	519340	Um que é A Morte do Hércules Poirot, que é o personagem principal dela.
519800	525600	E o outro é A Morte da Miss Maple, que também era outro personagem principal dela.
526080	530920	Ela escreveu esses livros e deixou como uma herança pra que os descendentes,
531020	534700	lá o pessoal que, não sei se ela teve filhos e como é que funcionou,
534700	535700	mas o pessoal que ficou...
535980	540420	pudesse lançar aqueles livros depois que ela morresse e ganhassem muito dinheiro.
540800	546480	Então a minha ideia inicial era só uma senhorinha tentando lembrar onde estava guardado o livro final.
546960	548160	Ou tendo essa ideia.
548580	554420	Mas à medida que eu fui trabalhando na minha cabeça essa ideia de quem era o personagem e tal,
554960	556140	e isso foi mudando.
556600	558980	Então a minha interpretação é...
559640	561640	A Leopoldina estava realmente muito doente.
562220	564640	Talvez ela realmente estivesse alucinando.
565980	567980	Talvez não foi só a obra da cabeça dela.
568320	577220	Ou talvez ela realmente recebeu não só o espírito do marido ali pra ajudar ela nesse último trabalho,
577580	583580	que salvou não só a obra do marido, como a personagem e a própria Dina, né?
584060	590380	Porque resolvendo as dívidas e fazendo o museu que ela queria, ela volta a recuperar a saúde dela.
590780	594620	É como a volta do personagem naquela ideia meio...
594620	595120	É como a volta do personagem naquela ideia meio...
595120	595620	É como a volta do personagem naquela ideia meio...
595620	596320	O Gaiman, né?
596360	601560	Que se todo mundo pensa num ser, ele passa a existir.
601960	607200	Então que personagens da fantasia possam vir a existir, mesmo que momentaneamente.
607620	612600	Então a Morgana, ela existia, mesmo que na memória de algumas poucas pessoas.
613160	619700	E a ideia ali, a mensagem toda do episódio era aquilo de não ser esquecido, né?
619700	621960	O marido não queria ser esquecido como autor.
621960	625260	A Morgana não queria ser esquecida como personagem.
625620	628760	E a Dina, que queria reviver isso tudo, né?
629440	635240	Toda essa história, ela também não queria morrer, né?
635240	639140	Ela não queria ir embora deixando aquela obra incompleta.
639460	644780	Então, pelo menos, essa foi a minha intencionalidade ao fazer o episódio.
645140	646680	Não sei se a Dani tem alguma coisa a comentar.
646680	652200	Eu acho que, pelo menos pra mim, como interpretando a Dina,
652700	655600	a Dina, ela era a maior fã do marido.
655620	658780	Então ela não queria que aquela história acabasse nunca.
659060	662600	Ela ia fazer de qualquer coisa pra aquilo tá vivo.
663100	665220	Então acho que é bem isso que tu trouxe, Guaxa.
665520	668220	Acho que foi esse o sentimento que tu trouxe pros jogadores.
668840	670080	Perfeito, perfeito.
670300	671200	Quer ler o próximo comentário?
671620	672080	Vamos lá.
673240	674760	Mike D. Nunes.
675080	676100	Olha ali, Guaxa.
676300	680400	É um ouvinte Ninho com biscoito querendo perguntar se tem relação com o Corvo.
680760	681560	Empeça ele.
682000	683180	Enquanto o Guaxa vai ali.
683180	685180	Bem-vindos a mais um...
685620	686540	SBS.
687180	688300	Digo, digo.
688700	691500	Ao Guaxa, versão de número 100.
691920	693320	Agora vou ouvir o episódio.
693840	694380	Beijunda.
694840	695240	Ah, sim.
695360	696840	Isso é uma piada de One Piece.
697160	699160	Ele já fez isso mais de uma vez.
700060	700520	É aqui, olha.
700740	706960	O SBS é o lugar onde o Oda, o criador, lê as cartas dos comentários dele.
707460	710060	E ele nunca consegue abrir a sessão de cartas
710060	713180	porque alguém manda uma carta que abre a sessão antes dele.
713660	714140	Sempre.
714560	715300	Então essa foi...
715300	717500	Essa foi a piada do Mike ali.
717840	719540	Muito obrigado pelo seu comentário, Mike.
720120	723400	E sabe-se lá o que seja, um beijunda pra ti também.
723820	725340	A Dani tá com muita sorte, né?
725740	726740	Ela pegou os pequenininhos.
726820	727660	Vamos lá, próximo.
727900	731020	O Jorge Marcos Santos Silva, que tá sempre aqui, ele comenta.
731020	734100	Acho que um dos motivos de eu gostar tanto de RPG desde criança
734100	739340	é poder experienciar uma quantidade enorme de emoções e sensações
739340	742400	sem sair da cadeira em que se está.
742820	745020	Bom, talvez uma outra vez pra poder...
745300	747500	Encenar, mas no geral, sem sair.
747900	751300	Por mais que os personagens não sejam reais, e a história também não,
751660	755580	seja a emoção, a sensação física que aquilo causa em você é.
755980	758880	Está com você e te afeta.
759160	762100	Às vezes por um curto tempo, às vezes pro resto da vida.
762420	766640	Uma sensação que pode ser parte responsável por como você afeta outras pessoas
766640	772200	e assim, indiretamente, se torna algo que se propaga no mundo e que é real.
772540	774640	Talvez até mais do que nós chamamos...
775300	783880	Essas foram algumas tortas palavras que me vieram para descrever em parte
783880	786100	como esse episódio me fez sentir.
786500	788340	Porque é difícil realmente descrever.
788340	792340	Uma tristeza reconfortante, um carinho pulsante,
793360	803780	algo na barriga que parece com a sensação de ter tomado chocolate quente em um dia frio.
804120	804860	E um sorriso.
804940	805280	Não lá.
805300	807220	Algo mais sincero.
807760	813920	Belíssimas palavras, assim, aquele tom do episódio, aquele agridoce, né?
814400	815180	E ele continua.
815620	816740	Bom dia, Sr. Aguaxinim.
816880	818160	Agora ele começou a comentar.
