start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45220	50400	Ô professora, pode fritar a quinta série, não tem medo de empatar.
50880	51580	Foi excelente.
51780	52460	Um ótimo grito.
57460	58540	Olá, eu sou Marcelo.
58560	61820	Eu sou o Guaxanin, narrador, produtor, idealizador, podcast de realidade para o lado do Guaxanin.
62040	64500	E será que um dia vão acabar esses Guaxaversos?
64880	67060	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
67180	70980	Aqui vamos ler os seus comentários e discutir as teorias do último episódio,
71300	74040	que, no caso, foi Chocados no Espaço.
74460	78120	Assim como o episódio anterior, ele foi gravado tudo de uma vez só lá na Twitch.
78200	79500	A gente gravou os quatro episódios.
79880	82620	Eu e a Ju, que jogou os quatro episódios, né?
83060	86540	E assim como o episódio anterior, ele foi um oferecimento da Fanta.
86960	88540	Afinal, o G do RPG.
88560	89620	O G é de game.
90140	91380	E game pede Fanta.
91860	97760	Foi uma ação que a Fanta do Brasil fez em parceria com a CCXP Worlds 2021,
98020	103200	em que ela apoiou lá o projeto, teve o Tribarena by Fanta, entre outras atrações.
103420	105720	A CCXP, que esse ano foi totalmente digital.
106060	109520	Se você perdeu esse incrível evento, dá uma olhada lá no Instagram da Fanta.
109740	114920	E, obviamente, se você gostou de ter três episódios extras, não esqueça de agradecer a Fanta.
114920	117920	O link do Twitter e do Instagram dela está aqui.
118560	120120	E descrição do episódio.
120420	122900	E muito obrigado, Fanta, por esse apoio incrível.
123260	125160	Como falei pra vocês, gravei com a Ju.
125340	128720	Então fica aí com a nossa leitura de comentários de episódios chocados no espaço.
129180	132860	Então vamos à máxima leitura de comentários aos episódios chocados no espaço.
133280	138040	O segundo episódio extra que a Fanta nos proporcionou neste mês de dezembro.
138460	139800	Ele foi o episódio 94.
140700	144740	E, assim como no episódio anterior, porque eu tô gravando tudo junto num dia só na Twitch, gente.
144740	146120	Eu estou aqui com a Ju.
146540	146940	Oi, Ju.
147340	148180	Oi, Guaxa.
148560	149200	Oi, chat.
150460	152840	É complicado porque a Ju pode ser...
152840	153580	As pessoas dizem assim...
153580	154200	A Jujuba?
154320	155220	Não, não é a Jujuba.
155620	156480	É a Juliana.
156900	157540	A Jujuba?
157680	158920	Não, não é a Jujuba.
159220	160360	É a outra Juliana.
160580	161440	É a baixinha?
161660	162260	Como é que a Ju...
162260	162540	Não.
162840	163500	É a baixinha?
163620	164600	Não adianta também.
165080	167460	Como é que as pessoas te acham na internet, outra Ju?
167940	169660	Vocês não me acham na internet.
169660	175460	Se quiserem, eu estou no Instagram como Guaxete ou Guaxete RPG.
176020	177920	Que é basicamente pra seguir coisas de RPG.
178560	179580	Algumas de comida.
180120	180560	Perfeito.
180780	181220	Perfeito.
181400	181720	Perfeito.
182080	182580	As pessoas acham...
182580	186640	Ah, o Guaxa chama as pessoas pra jogar porque ele quer divulgação do podcast.
186820	187020	Não.
187240	188820	Chamar a Ju não me adianta de nada.
189000	192280	Porque as pessoas que ela segue com o perfil dela são pessoas que já conhecem o RPG.
192840	194780	Não me adianta de nada no sentido de...
194780	195320	Como é que se diz?
196120	198400	De ampliação de público, talvez.
198700	199140	Isso.
199660	200100	Isso.
200620	202260	Mas adianta sim, porque fica bacana.
202800	205420	O primeiro comentário é do Jorge Marcos Santos Silva.
205460	206020	Ele conseguiu.
206080	206760	Agora ele conseguiu, Ju.
207360	207800	Vitória.
207800	207900	Vitória.
208560	210120	Vamos ver se os próximos dois ele consegue também.
210620	212700	Senhor Marcelo Guaxinim, parabéns.
213460	213860	Fantástico.
214180	215280	Simplesmente fantástico.
215560	219500	Antes de mais nada, olá para você, chat e possível convidade.
219860	220660	Você é convidado.
220880	221400	Deu olá.
221580	221840	Olá.
222560	223340	Tudo certo com vocês?
223600	223840	Comigo?
223940	224220	Tudo bem.
224300	224740	Contigo, Ju?
225140	225740	Tudo certo.
225980	226580	Tudo certo.
227140	227860	Eu sempre...
227860	230780	O teu marido já me odeia por tu estar aqui gravando, fazendo um monte de coisa?
230860	231260	Não.
231400	232300	Não te odeia.
232520	233620	Ficou ouvindo os episódios.
233700	234300	Está tudo certo.
234320	235120	Ah, ele ouve os episódios.
235240	235480	Ah, tá.
235480	235600	Sim.
236060	237020	A minha esposa não escuta.
237120	238460	Ela diz que ela já me escuta todo dia.
238460	239600	Ela não vai ouvir daí de novo.
239720	241000	Eu tenho um plano secreto.
241320	242800	Ah, mas se eu falar não é mais secreto.
242920	243720	Isso é que é assim.
244780	246280	De obrigar ela a ouvir?
246380	246680	Pode ser.
246720	247040	Não.
247160	247800	Vamos continuar aqui.
247800	248400	Vamos lá.
250780	253680	Eu tenho uma ideia secreta e vou contar aqui para todo mundo que está ouvindo.
253700	253780	Exatamente.
255900	259120	E provavelmente o Guaxinim vai esquecer de cortar isso do episódio final, então vai
259120	259860	sair até no feed.
260420	260740	Continuando.
261200	262300	A primazia...
262300	263980	Olha só como é bonito isso.
263980	268440	A primazia entre história, jogadores e edição foi de torrar o fôlego.
268460	270500	É porque é cada vez 50% do episódio.
270840	275860	Por favor, de coração, considere explorar mais esse mundo, essa linha sci-fi, por favor,
276320	281200	porque a desculpa de você não saber se conseguiria fazer nem esse tipo de história
281200	282840	já não dá mais para usar.
283260	284980	Caraca, esse foi o episódio de chocada no espaço.
285520	290760	Esse foi o episódio que, quando eu olhei assim, o que tinha sido aprovado pela Fanta,
290840	292500	eu pensei, eu sou uma anta?
293040	294880	Por que eu mandei esse episódio?
296540	297020	Sabe?
297020	297100	Sabe?
297100	299720	Por que não pegar uma coisa mais leve?
300560	308060	E é esse, e é o da caçada, que envolve lá os ricos usando um cachorro para matar a população
308060	308520	carente.
308880	313020	Eu sou um imbecil, mas eu mandei, eles ouviram, tá?
313120	313680	Para aprovar.
313880	317940	Eu não sei se ouviram só a parte que eu falo na marca, ou se ouviram o episódio todo,
318500	320700	mas tipo, horas depois eu recebi.
320960	322380	Ok, pode prosseguir.
322540	323440	Ah, que legal.
323940	325040	Foi assim, ó.
325180	327040	Entre eu mandar pela manhã e receber recebido.
327100	331960	A resposta final do dia, para poder soltar a noite, eu assim, gosta, você é um imbecil.
332460	335680	Mas ok, deu tudo certo, e os ouvintes gostaram.
335840	336580	Então tá bom.
337000	341440	E ok, eu pretendo explorar mais esse mundinho mais vezes.
341940	346360	Não é um, como eu falei, não é um tipo de cenário que eu me sinta confortável,
346420	350280	porque não é um gênero que eu bebi tanto da fonte, mas farei, farei mais vezes.
350400	350940	Teremos mais.
351380	353100	Embora para o ano que vem a gente tenha...
353100	354880	O que eu gravei com os orzóis é medieval.
355660	356940	Tem mais coisas com crianças.
357100	359040	Eu não lembro, é isso.
359440	362420	Mas não, por enquanto, espaço eu não fui ainda.
362840	366120	Novamente, mas iremos, onde nenhum guaxinim jamais esteve.
366840	371100	Spoilers! Adorei a ambientação do mundo e o fato das galinhas serem os alienígenas.
372000	372800	Muito incrível.
373240	375740	Ainda mais considerando a inteligência que esses animais têm.
376120	377100	São praticamente raptors.
378320	378980	É verdade.
379620	384600	E um dia teremos mais galinhas raptors no mundo do RPG Guaxa,
384860	386300	sem ligação com esse episódio, inclusive.
386460	387060	Ou será?
387260	389280	Puta, olha só, eu acabei de criar uma...
389280	390480	Eu me senti um ouvinte agora.
390900	392240	Eu criei uma ligação que não existe.
392520	394080	Que é desse episódio com o outro que vai sair.
394240	397480	Havia algo mais na nave de relevante que eles não exploraram ou descobriram?
397540	398180	Eu não sei.
398460	402080	Grande parte da nave eles iam explorando e eu ia criando na hora.
402440	405080	Então, a menos que eles fossem até lá, eu não sei o que tinha lá.
405380	409440	Porque exatamente aquele ricaço tinha decidido deixar tudo pra trás
409440	411300	e seguir aquele tipo de vida.
411620	413180	Porque é isso que o rico faz.
413620	415200	O rico, ele tá cheio de dinheiro,
415200	416000	aí ele faz o quê?
416080	417040	Ele aproveita esse dinheiro?
417340	417680	Não.
418220	419720	Ele vai fazer uma coisa maluca.
419820	421680	Ele vai escalar o Everest, sabe?
422120	423460	Por que as pessoas fazem isso?
423520	424140	Eu não sei.
424560	425340	Ele foi fazer isso.
425720	429940	No caso do episódio, ele estava num mundo completamente dominado pelo capitalismo
429940	432460	e ele encontrou o amor e foi fazer merda.
432660	434440	Que é o que a gente faz quando encontra o amor.
434800	435240	Certo, Jão?
435740	437980	Encontrou o amor e foi fazer merda.
438260	441400	Eu vou salvar essa frase nos meus blocos de anotações.
441900	442760	Frases clássicas.
443220	443460	Ok.
443660	443960	Ok.
443960	447040	Os planos da senhora Amazon eram realmente aqueles?
447060	447660	Eu tinha algo mais.
448040	448980	Não, ela precisava...
448980	450680	Ela tinha que casar entre a família dela
450680	452380	pra manter o poder ali
452380	454620	e ela precisava de alguém fraco pra ela continuar no poder.
455120	457540	E o outro primo, que ela tentou matar algumas vezes,
458020	458920	não era uma boa opção.
459180	460360	Então ela queria...
460360	461580	Aquela pessoa que foi...
461580	462940	Largou tudo, que não liga pra dinheiro.
463340	463680	Assim, ó.
463780	466520	Nada melhor pro rico do que uma pessoa que não liga pro dinheiro.
467000	468380	Porque daí o rico, ele continua rico
468380	469580	com o dinheiro da pessoa que não liga.
469820	470060	Entendeu?
470540	472180	Você tem alguma ideia de que...
472180	476040	De que queremos pode se tornar aquele ovo vendido por tanto dinheiro?
476040	478360	Aquele ovo é uma arma biológica?
478880	480080	Ou frango frito?
480300	481680	Depende das mãos de quem cair.
482160	483440	Eu torço que vire frango frito.
483760	484720	Porque é bom, né?
485360	485640	É bom.
485740	486440	Gosta de frango frito?
486780	487400	Ajuda, me escuta.
487420	488540	Não, eu discuto sim.
488640	489200	Eu só tô pensando...
489200	490940	Eu acho que eu tô ouvindo podcast.
491280	493280	Eu não acho que eu tô pra conversar, entendeu?
493800	494600	Eu fico assim...
494600	495700	Tá, ele vai continuar.
496060	496460	Beleza.
496980	498060	Não, mas eu gosto de frango frito.
498140	498600	Muito bom.
499080	500760	Eu lembro uma vez na CCXP,
500860	502540	quando a gente podia se aglomerar.
502980	503920	Eu já contei a história um milhão de vezes,
503940	504460	eu vou contar de novo.
504860	505580	Vudu Reverso,
505580	506200	procura ele lá no Twitter,
506280	507440	Vudu Reverso, pergunta pra ele.
507840	508860	Tinha mais gente nessa mesa,
508940	509540	tinha fencas,
509660	510420	tinha jujuba,
510880	511660	tinha uma galera.
512840	513160	E...
513160	514380	E daí a gente conversando.
514480	515400	Tava lá Tarek,
515440	516760	a gente conversando, rindo.
517360	519300	E o Vudu Reverso sentado na cena,
519400	520420	a gente juntou duas mesas.
520680	522200	Tava comendo frango frito, inclusive.
522760	525040	Na CCXP tinha frango frito com fritas.
525380	526060	A gente comprou vários,
526140	527660	tava lá comendo, bebendo Fanta.
528040	529140	E daí, do nada,
529320	532040	o Vudu deu um tapa na própria cara.
532540	534180	Aí a gente parou o que tava fazendo.
534580	535540	E daí todo mundo olhou pra cara dele,
535580	536540	e por que ele se estapiou?
536980	538280	É porque a gente tava conversando,
538360	539920	mas por causa do barulho da CCXP,
540380	543020	ele não tava ouvindo a gente alto o suficiente.
543580	544540	E daí ele pegou o celular
544540	545940	e tava aumentando o volume,
546380	548860	porque ele achou que estava ouvindo um podcast.
550980	553200	E daí quando ele aumentou o volume do celular
553200	555560	e se tocou que aquilo não eram as vozes
555560	556920	no celular dele,
557060	558640	era as pessoas que estavam em volta dele,
559000	560740	ele deu um tapa na própria cara.
560740	561940	Isso foi maravilhoso.
562160	562280	É.
562520	564460	Se eu levantar pra ir lavar uma louça,
564540	565260	vocês já entenderam
565260	565880	o que aconteceu.
566500	566960	É isso.
567160	568140	O Charles tá rindo.
568400	569200	Se não conhecia a história,
569340	570780	isso é clássico, gente.
571120	572080	Mas voltando aqui,
572120	572760	isso vai ficar no episódio,
572860	574120	inclusive um beijo do Reverso.
574260	574840	Te amo, cara.
575200	575640	Vamos lá.
576140	577140	Ele tinha um podcast também,
577240	578320	mas acabou, infelizmente,
578420	579220	entrando em ato.
579540	581160	Acho que por conta da pandemia, né?
582160	582560	Acontece.
582980	583920	Mas continuando aqui,
584260	585620	vamos lá onde eu estava.
587160	587420	Ah, tá.
587600	588500	Do Frank Frito.
588600	588940	Continuando.
588940	590960	Não só por gostar muito do gênero,
591040	592860	mas também pela maestria do episódio.
593020	593540	Parabéns.
593960	595020	Biscoitos lunares.
595020	595720	Parabéns para todos.
596220	597540	Eu não gosto de biscoito de queijo.
597920	599360	Porque o biscoito lunar é de queijo, né?
599380	600620	A lua é de queijo, não é isso?
600880	602100	Desejo mais patrocínios
602100	602800	e muito mais histórias
602800	603840	desse universo maravilhoso.
603940	604160	É isso.
604240	605620	Força e luz para todos nós
605620	606640	e até mais, querido.
606740	607680	O próximo comentário
607680	608880	é do Gabriel Ballardino,
609200	610540	que estava jogando comigo.
610940	611320	Vamos lá.
611520	612940	Ah, nesse episódio, exato.
613320	613720	Sim.
614060	615180	Ele era o robô ou o outro?
615720	616600	Ele era o robô.
616920	617320	Ah, tá.
618440	621720	Olá, Guaxa, Guaxate e ouvintins.
622100	622680	Tudo bem?
623000	623600	Tudo bem, querido.
624220	624660	Primeiro,
625020	625840	queria agradecer
625840	626960	por ter participado
626960	628420	de mais um jogo com você.
628940	630380	A Ju é maravilhosa.
630900	632320	Ok, muito obrigada, Gabriel.
632920	634700	E estar na companhia dela jogando
634700	635860	é sempre ótimo.
636100	637080	Você tá vendo como eu me sinto?
637080	638020	É uma bosta.
638200	639800	Tu elogias assim mesmo, não é?
640380	641380	É uma bosta.
641820	643120	Estou ruborizada.
643660	644140	É, ok.
644500	644980	Obrigado.
645060	645460	Continua.
646040	647380	O Hugo e suas referências
647380	648080	estavam hilárias
648700	650220	e foi muito divertido.
650600	651720	Adorei ouvir de novo
651720	653960	e perceber o quanto rimos jogando.
654460	655000	E os orzinhos,
655020	656960	o Zal consegue dar uma magia
656960	658960	que faz a gente parecer atores.
659380	660400	Concordo, ele é bom.
660820	661460	Que incrível.
661780	662960	Minha voz ficou muito legal.
663420	664560	Vamos aos spoilers.
665340	666840	Primeiro, um pedido.
667320	669620	O Zig pode se tornar um cidadão
669620	671760	e lutar pelos direitos de robôs?
672000	673660	Quem decidiu é o personagem da Ju, inclusive.
674300	675300	Ai, meu Deus, que tensão.
675800	677180	A manipulação genética das galinhas.
677180	678440	Ela não respondeu, Zig.
678700	679600	Você se ferrou.
679960	680920	Só queria deixar isso registrado.
681220	681840	Continua, desculpa.
682160	683020	Mas é que tem que...
683020	684600	Tem que ter uma discussão.
684600	684860	Não, não.
684860	685280	Tudo bem, a gente entende.
685280	686600	Para saber se ele vai ser liberado.
686980	688480	É uma posse cara, né?
689100	690280	Ele era...
690280	690880	Não sei.
691460	693660	A personagem estava reticente em liberá-lo.
693920	695500	Faz sentido ela estar reticente agora.
695900	696400	Não, é isso.
696440	697620	A culpa é da personagem, Ju.
697680	698160	Exatamente.
698880	700060	Exatamente, claro.
700640	701340	Próxima pergunta.
701860	703780	A manipulação genética das galinhas
703780	706620	fez elas se tornarem mais agressivas
706620	709860	ou elas apenas não maturaram aqueles yuppies?
710280	711920	Elas se tornaram mais agressivas.
711920	713980	A ideia ali é...
713980	715300	O mundo mudou, né?
715320	717600	Os animais evoluíram.
