start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32080	33720	Eu acredito no Guaixaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaixaverso, onde o que não existe é debatido.
45180	45700	Gravando.
46060	46580	Gravando.
47180	49440	Essa é a tua vingança, porque depois quem edita sou eu.
49920	50800	Ha ha ha ha!
51800	56500	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade pela Luz Guaxinim
56500	58540	e fulião em casa.
58560	61560	Pulo do sofá pra cama, da cama pro sofá.
61920	64760	Pra quem não sabe, o nosso Guaixaverso é o antigo escudo-mestre aqui.
64860	67500	Vamos ler seus comentários e discutir as teorias do último episódio,
67680	70340	que no caso foi o casamento da bruxa.
70520	74020	Eu recebi pra leitura dos comentários essa semana o Zorzal, que é nosso editor,
74400	77200	e também foi jogador desta aventura.
77660	82340	Mas antes de mais nada, é bom lembrar que o RPG Guaxa tem um grupo de padrinhos,
82500	83360	que é esse nosso padrinho.
83440	85380	A partir de 10 reais você faz parte do grupo do Telegram.
85380	88180	Você recebe o episódio antes, você faz parte de grupos maravilhosos,
88180	91200	você discute teorias dos teóricos do Guaixaverso,
91360	93480	você conversa comigo, você me ajuda a criar aventuras.
93720	96280	Eu tô escrevendo uma aventura num colégio interno na Suíça,
96420	102760	que deve sair pra vocês no feed lá pro final de março, início de abril.
103100	106280	Mas enquanto eu escrevia, eu pedi ajuda pros padrinhos.
106560	109180	Nome do colégio interno, nome da melhor amiga das jogadoras.
110040	111940	Sim, são jogadoras, são três meninas.
112360	113880	Vai ser uma aventura bem bacana.
114440	117880	E já soltei no grupo de spoilers aquele textinho introdutório
117880	121000	que eu mando pros jogadores, pra eles montarem os personagens.
121340	124040	Você não faz ideia de como é que é feito o planejamento das aventuras?
124320	126480	Sendo padrinho, você tem um vislumbre disso.
126480	132780	Você também tem acesso a grupos que estão discutindo anime, videogame,
133140	137160	até o BBB, Clube do Livro e um monte de outras coisas.
137360	140720	Então seja nosso padrinho, as vantagens são infinitas.
141280	144600	Não pode ou não quer ajudar financeiramente?
145020	145880	Não tem problema.
146340	147400	Seguindo a agenda das redes sociais,
147400	153920	você está ajudando muito esse projeto a crescer cada vez mais.
154300	157400	Segue a gente lá nas redes sociais, que você está ajudando muito.
158260	162780	Mas agora sim, vamos ouvir a leitura dos comentários que eu fiz lá com o Zorzal.
163340	168360	Então, como eu avisei antes, que eu vou gravar depois, mas viagem no tempo é isso, gente.
168760	172160	Eu estou aqui com o Zorzal, nosso querido editor, que jogou o último episódio.
172460	174320	Olá, como vocês estão?
175060	177320	O Zorzal, no final, ele vai falar um pouquinho...
177400	180400	um pouquinho do Arquivos da Patrulha, como é que vocês acham pela internet,
180560	184020	como é que vocês procuram um novo editor ou aprendem a editar, né?
184600	185300	Sim, sim.
186200	187540	Fiquem ligados aí.
188080	191040	Mas antes, a gente vai fazer a nossa leitura de comentários.
191680	193380	Por sinal, antes de começar a leitura de comentários,
193640	197900	eu queria dedicar o episódio de hoje à minha esposa,
198080	200960	que faz aniversário amanhã, dia 23.
202180	204160	E eu estou aqui gravando, mas amanhã...
204160	205900	Eu tinha até uma gravação de sidecast, desmarquei.
206740	207260	Amanhã...
207260	208060	Eu sou dela.
209800	210280	Parabéns.
211320	215260	Mas então, feliz aniversário para a minha patrulha que me atura.
216600	217080	Parabéns.
217660	219980	Eu comprei um perfume que ela pode trocar se ela não gostar.
220620	223220	E se ela trocar, eu vou me sentir bem mal.
226360	230560	Mas o primeiro comentário é do Luiz Edivaldo Correia.
230880	231060	Ele escreve...
231060	235460	Oi Guaxa, não consigo comentar a tempo para a leitura de comentários do episódio 100.
235940	237220	Então aqui posto o meu comentário.
237260	237820	De novo.
238380	238940	Desculpe.
239920	241500	Estou de pé batendo palmas.
241580	241960	Obrigado.
242340	243640	Parabéns a todos os envolvidos.
243800	245260	Orgulho do pós-episódio.
246200	250760	Bendito seja você, Guaxá, por me fazer entrar no metrô de São Paulo chorando.
251280	254040	Isso é arte quando causa sensações.
254520	257060	Obrigado por todo o seu trabalho e de toda a equipe.
257580	259300	Orgulho de poder ajudar este projeto.
259740	265380	Parabéns ao Guaxa, aos Guaxouvintes, aos Ouvintinins, aos Guaxetes,
265380	266380	aos Guaxaversos.
267260	272800	Às Comunxins, ao Trabalho Duro e à Dedicação.
272980	273860	Bravo, bravo.
273880	274420	Comunxinins.
