0;10120;"03";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;15000;"04, 03";É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120;15960;"03";Como assim?
16180;18000;"03";Você entendeu a referência do último episódio?
18260;18980;"04, 03";Olha só, faz tudo!
18980;20020;"04, 03";Não, o Guaixa sabe o que faz!
20020;20960;"04, 03";Espera, o que é o Guaixaverso?
21000;22980;"04, 03";Era só uma questão de tempo.
23080;23460;"04";Todos vão conhecer o Guaixaverso!
23460;24520;"04";O Guaixaverso sempre existiu!
24520;27140;"04, 02, 03";Eu quero entender o Guaixaverso!
27220;28560;"04, 02";Alguém me explica o que é o Guaixaverso?
28560;32020;"04, 02";É, pessoal, não existe o Guaixaverso.
32080;33720;"02";Eu acredito no Guaixaverso!
33820;36560;"02";Mas supondo que ele exista...
37880;41540;"00";Guaixaverso, onde o que não existe é debatido.
45180;45700;"02";Gravando.
46060;46580;"02";Gravando.
47180;49440;"02";Essa é a tua vingança, porque depois quem edita sou eu.
49920;50800;"02";Ha ha ha ha!
51800;56500;"02";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade pela Luz Guaxinim
56500;58540;"02";e fulião em casa.
58560;61560;"02";Pulo do sofá pra cama, da cama pro sofá.
61920;64760;"02";Pra quem não sabe, o nosso Guaixaverso é o antigo escudo-mestre aqui.
64860;67500;"02";Vamos ler seus comentários e discutir as teorias do último episódio,
67680;70340;"02";que no caso foi o casamento da bruxa.
70520;74020;"02";Eu recebi pra leitura dos comentários essa semana o Zorzal, que é nosso editor,
74400;77200;"02";e também foi jogador desta aventura.
77660;82340;"02";Mas antes de mais nada, é bom lembrar que o RPG Guaxa tem um grupo de padrinhos,
82500;83360;"02";que é esse nosso padrinho.
83440;85380;"02";A partir de 10 reais você faz parte do grupo do Telegram.
85380;88180;"02";Você recebe o episódio antes, você faz parte de grupos maravilhosos,
88180;91200;"02";você discute teorias dos teóricos do Guaixaverso,
91360;93480;"02";você conversa comigo, você me ajuda a criar aventuras.
93720;96280;"02";Eu tô escrevendo uma aventura num colégio interno na Suíça,
96420;102760;"02";que deve sair pra vocês no feed lá pro final de março, início de abril.
103100;106280;"02";Mas enquanto eu escrevia, eu pedi ajuda pros padrinhos.
106560;109180;"02";Nome do colégio interno, nome da melhor amiga das jogadoras.
110040;111940;"02";Sim, são jogadoras, são três meninas.
112360;113880;"02";Vai ser uma aventura bem bacana.
114440;117880;"02";E já soltei no grupo de spoilers aquele textinho introdutório
117880;121000;"02";que eu mando pros jogadores, pra eles montarem os personagens.
121340;124040;"02";Você não faz ideia de como é que é feito o planejamento das aventuras?
124320;126480;"02";Sendo padrinho, você tem um vislumbre disso.
126480;132780;"02";Você também tem acesso a grupos que estão discutindo anime, videogame,
133140;137160;"02";até o BBB, Clube do Livro e um monte de outras coisas.
