start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
44720	48160	Um colchão! 37 andares, um colchão!
53040	56000	Editor, corta tudo isso, gente. Isso aqui foi na live, perdão.
58560	72280	O Guaxaverso é o nosso antigo escudo-mestre, aqui.
72640	75140	Vamos ler os seus comentários e discutir as teorias do último episódio.
75480	77440	Que, no caso, foi seguro de vida.
78020	81340	Além de todos os comentários que você foi ouvir, daqui a pouco foi gravado na Twitch, na segunda-feira.
81340	84740	E eu tive a participação maravilhosa do Felipe Xavier.
85140	88540	Felipe Xavier, além de ser nosso padrinho, de ter jogado a aventura anterior,
88560	92060	ele faz parte também do Arquivos da Patrulha, lá com o Rafael Zorzal.
92440	96180	Dê uma conferida, conheça o Arquivos da Patrulha, é um podcast de audiodramas, né?
96400	98460	E ele também tem uma lojinha lá no Dungeon List.
98820	102100	Vai lá no Dungeon List, procura por Felipe Xavier, ou vai no link aqui no post.
102340	104520	Ele tem alguns RPGs que ele escreveu.
104800	107740	Estão lá com um pague quanto quiser, então tu podes dar nada,
107960	112060	que é uma sacanagem, ou dar um real, dois reais, dez reais, o que tu achar justo.
112320	116340	Tu podes ir lá, baixar o RPGzinho dele, jogar com os seus amigos, né?
116340	118340	Dá um feedback pro Felipe depois, seria bem bacana.
118560	119640	Bacana se você fizesse isso.
119880	122720	Mas conheçam lá os jogos do Felipe.
123140	125880	Esse podcast é um oferecimento do Promobit.
126260	130060	Promobit, como a gente veio falando nesse mês de novembro que passou,
130580	133700	ele é um aplicativo e um site que agrega ofertas.
134280	138700	Os usuários encontram ofertas nos mais diversos sites da internet
138700	140340	e cadastram no Promobit.
140620	144960	A equipe do Promobit e os outros usuários avaliam esta oferta
144960	148240	pra saber se é uma oferta de verdade, ou seja,
148560	152360	se há um ganho real em você por estar comprando aquele produto
152360	155700	e avalia se a loja é realmente de confiança.
156040	158940	Assim não tem perigo de tu estar comprando gato por lebre.
158940	161160	O famoso Pedra Station, sabe?
161520	166880	Então são lojas reconhecidas, ofertas validadas, tudo por uma comunidade
166880	169440	que tem quase dois milhões de usuários.
169780	172300	Além disso, o produto tem um espaço pra comentários
172300	176960	onde você pode deixar uma pergunta, sei lá se é compatível com alguma coisa que você tem,
177340	178440	se as pessoas realmente reconhecem.
178560	182820	E tu pode ler comentários e perguntas de outros usuários.
183720	186240	Quando tu entra no aplicativo ou no site,
186660	188500	tem a página com as principais ofertas,
188960	190680	tem uma lista gigantesca de ofertas,
191140	192400	pode dar uma passeada por ali,
192460	195920	tu vai encontrar muita coisa que tu realmente queira comprar,
196000	199740	muita coisa barata que vai te fazer querer adquirir aquilo,
200140	203520	mas tu também pode fazer busca por ofertas específicas.
203820	206280	Ah, eu preciso de uma cadeira gamer nova,
206280	208100	eu preciso de uma lavadora,
208100	209480	eu preciso de uma geladeira,
209480	212980	eu preciso de um jogo de videogame,
212980	215860	eu preciso de um presente agora que o Natal tá chegando,
215860	217860	eu preciso de um Funko, o que seja.
217860	219860	Tu vai lá, digita, procura.
219860	223060	Se houver alguma oferta cadastrada, tu já vai ter acesso a ela,
223060	225620	tu já vai poder comprar e resolver o teu problema.
225620	228420	Mas se não tiver o que tu precisa, não tem problema.
228420	231320	Promobit tem a opção Lista de Desejos.
231320	232620	O que é essa lista de desejos?
232620	235960	É um lugar onde tu cadastra os produtos que tu quer,
235960	237960	e sempre que esse produto aparecer,
237960	241720	pra quem usa o aplicativo vai aparecer a notificação,
241720	245160	pra quem usa o site vai receber a notificação também quando entrar no site, né?
245160	249960	Mas o ideal mesmo é tu baixar o seu aplicativo pela facilidade que ele tem.
249960	253760	Até porque muitas dessas ofertas são com estoques limitados,
253760	256360	às vezes é uma loja que quer se desfazer do estoque,
256360	259160	ou às vezes é só uma promoção pra chamar a atenção das pessoas,
259160	261160	e acaba colocando poucas unidades,
261160	264560	e quando a oferta é boa mesmo, ela costuma acabar rápido.
264560	267360	Então tu tendo o celular na tua mão, surgiu a oferta,
267360	269360	tu já vai lá, compra, pega aquilo que tu queria,
269360	271160	é uma facilidade gigantesca.
271160	278360	Baixa o aplicativo http://rpguaxa.promobit.com.br
278360	280760	Algumas pessoas no início da campanha não conseguiram baixar,
280760	283560	porque faltava esse S no http e dava um errinho,
283560	286060	mas vai lá no post, já tá com o link atualizado,
286060	288360	ou entra pra esse link que eu acabei de falar.
288360	290760	Baixa o aplicativo, cria a tua conta,
290760	292360	tu vai estar economizando,
292360	294560	tu vai estar recebendo as melhores ofertas,
294560	296560	e tu vai estar ajudando o rpguaxa.
296560	299960	ProMobit apoia uma quantidade gigantesca de produtores de conteúdo,
299960	302560	tenho certeza, e se tu escuta outros podcasts,
302560	303760	tu já ouviu falar deles,
303760	307160	porque é uma empresa que realmente investe na produção de conteúdo nacional,
307160	310160	até porque uma das pessoas que tá à frente disso,
310160	311160	que aqui é o Evandro,
311160	315360	que é um dos grandes produtores de conteúdo que a gente tem hoje no Brasil.
315360	320160	Então é uma empresa que se preocupa com os produtores de conteúdo,
320160	322760	se preocupa em agradar você que é o usuário,
322760	326360	e tenha certeza, se preocupa em entregar o que realmente,
326360	327360	te promete.
327360	330360	Baixa o aplicativo, você não vai se arrepender,
330360	333360	eu recomendo que você faça parte dessa comunidade,
333360	335760	não só catando as ofertas,
335760	337760	como também ajudando outras pessoas.
337760	341560	Baixa lá, ProMobit, e comece a economizar.
341560	342960	Não esquece de seguir a gente nas redes sociais,
342960	346960	e considere se tornar padrinho deste projeto,
346960	348760	pra poder gravar voz de NPC,
348760	351760	pra poder concorrer a participar de episódios, né?
351760	354360	Esse episódio que passou, os três são padrinhos,
354360	356360	o episódio que sai amanhã, na sexta-feira, é o seguinte,
356360	358360	a quarta-feira também é com três padrinhos.
358360	362360	Ah, vou comentar rapidamente, mas não sei se você notou,
362360	365360	a Fanta tá patrocinando três episódios extras,
365360	368360	ontem, na quarta-feira, já saiu o primeiro episódio extra,
368360	370360	amanhã tem mais um, na sexta-feira,
370360	372360	e terça-feira, que vem, tem o terceiro.
372360	374360	Não é o momento de falar sobre isso,
374360	376360	mas vai lá, baixa esses episódios,
376360	379360	porque você ganhou episódios extras.
379360	382360	Saiu um podcast muito parecido com o RPG Guaxa,
382360	385360	lá no D21, é o último episódio deles,
385360	389360	eu faço a voz de um NPC, quem tá mestrando é a Fer Cortez,
389360	391360	que já gravou o RPG Guaxa aqui com a gente, né?
391360	394360	Então, dá uma conferida lá, eu vou deixar o link no post também.
394360	397360	A Lucy, do RPG Next, tem um recado pra vocês,
397360	398360	gostaria que vocês ouvissem.
402360	404360	Oi, pessoal, tudo bem?
404360	407360	Aqui quem tá falando é a Lucy, do RPG Next,
407360	410360	e eu vim fazer um convite muito especial pra você.
412360	414360	A Ação Social dos Guerreiros do Bem
414360	417360	está fazendo uma mini campanha super rápida,
417360	420360	em parceria com alguns dos canais amigos nossos,
420360	422360	que vocês já conhecem,
422360	427360	o RPG Guaxa, Questcast, Dado Viciado, Taverna Online e Dice Masters,
427360	430360	para ajudar a instituição AUMA,
430360	433360	Associação dos Amigos da Criança Autista,
433360	436360	a dar um Natal um pouquinho mais feliz para seus alunos.
436360	439360	A escola atende famílias que não têm recursos
439360	441360	para pagar uma clínica particular,
441360	443360	e está contando com a sua ajuda,
443360	447360	para arrecadar fundos para conseguir fazer essa boa ação natalina.
447360	451360	As doações estão sendo recolhidas através da conta do PicPay,
451360	454360	arroba Natal do Bem 2021,
454360	457360	ou também podem ser feitas através do Pix,
457360	458360	pelo endereço de e-mail,
458360	462360	lucy, com Y, ferrato, com dois R's e dois T's,
462360	465360	arroba Outlook, ponto com.
465360	467360	As crianças da AUMA,
467360	470360	estão cheias de expectativas para esse Natal,
470360	472360	e nós vamos fazer o possível,
472360	474360	para ajudar a realizar esses sonhos.
474360	476360	Acompanhe nas redes sociais,
476360	479360	do RPG Next e dos canais parceiros,
479360	481360	algumas informações sobre a campanha,
481360	483360	vídeos, fotos,
483360	485360	um acesso prático ao QR Code,
485360	488360	e a atualização da quantia que estamos arrecadando.
488360	491360	Vem ajudar a gente a realizar essa ação de amor,
491360	494360	e colocar aquele sorriso impagável,
494360	496360	no rosto dessas crianças.
496360	499360	A ação só vai até dia 6 de dezembro,
499360	500360	então corre aí,
500360	502360	aproveita o seu tempinho,
502360	504360	e fique livre para fazer,
504360	507360	essa boa ação de um verdadeiro guerreiro do bem.
507360	509360	A gente conta muito com a sua ajuda.
509360	510360	Participe,
510360	513360	e não esqueça de compartilhar essa ideia.
513360	515360	Valeu, gente!
523360	524360	Além disso,
524360	526360	essas doações tem metas extras,
526360	527360	uma delas é uma mesa,
527360	528360	um manchote,
528360	530360	que provavelmente eu vou participar como jogador,
530360	532360	caso a meta seja atendida, né?
532360	533360	Então dá uma conferida lá,
533360	534360	dá uma conferida nas redes sociais,
534360	536360	porque devemos sempre ajudar os outros, né gente?
536360	537360	Mas vamos lá,
537360	538360	sem mais enrolação,
538360	540360	escuta o que a gente gravou na live,
540360	541360	lá na Twitch.
541360	543360	Primeiro comentário é do Jorge Marcos Santos Silva,
543360	545360	normalmente ele é o primeiro.
545360	548360	Raras foram as vezes que ele perdeu essa posição.
548360	549360	Então,
549360	551360	espera que o Jorge esteja ligado,
551360	553360	porque vai ter episódio de quarta.
553360	556360	Será que ele vai saber que tem episódio de quarta?
556360	558360	Será que ele vai conseguir ser o primeiro colocado,
558360	559360	a comentar?
559360	560360	Vamos descobrir isso,
560360	561360	porque esse episódio de hoje,
561360	562360	é um pochaverso.
562360	563360	Eu já estou morrendo com isso.
563360	564360	Mas,
564360	566360	vamos ver se ele vai conseguir ser o primeiro, né?
566360	567360	E ele comenta aqui.
567360	568360	Eu sabia,
568360	569360	eu sabia.
569360	570360	Caraca,
570360	571360	no final arrepiei.
571360	572360	Tudo bem, guacha?
572360	573360	Tudo bem.
573360	574360	Como está tudo por aí?
574360	575360	Está refrescante.
575360	576360	Está calor,
576360	577360	mas está...
577360	580360	Acho que uma caixa de biscoitos não vai ser o suficiente hoje.
580360	583360	Embora tenha achado uma história simples,
583360	584360	ficou maravilhosa.
584360	586360	Incrível mesmo.
586360	588360	Parabéns a você e a todos.
588360	589360	Engraçado falar em biscoito,
589360	590360	porque
590360	593360	tem biscoito na quarta-feira.
593360	594360	Biscoitão.
594360	595360	Bolacha.
595360	596360	Ih, rapaz.
596360	597360	Spoilers.
597360	598360	Ok.
598360	601360	Então aqui temos a confirmação de que acabar com o Dante
601360	604360	não será nem de longe uma tarefa fácil.
604360	606360	Filão fácil derrotar não tem graça, né?
606360	607360	Desculpa,
607360	608360	desculpa,
608360	609360	Rico.
609360	610360	É, a gente sofre.
610360	613360	Esse então é o mundo do faroeste inicialmente, certo?
613360	614360	Não necessariamente.
614360	615360	Talvez,
615360	616360	provavelmente,
616360	617360	não sei.
617360	619360	O qual ele já foi influenciado por outros mundos?
619360	621360	Os poderes dos personagens...
621360	623360	Já foi influenciado por outros mundos?
623360	624360	Talvez.
624360	625360	Talvez.
625360	627360	Não vou cravar nada aqui.
627360	630360	Os poderes dos personagens vêm dessa possível influência?
630360	632360	Eu não parei pra pensar nisso,
632360	633360	mas é muito provável.
633360	635360	E como ele funciona exatamente?
635360	636360	O poder era muito simples.
636360	640360	O tempo parava se algo fosse matar os jogadores.
640360	641360	E só os jogadores.
641360	644360	Se os jogadores tivessem abandonado aquele prédio,
644360	646360	Pietro teria morrido ali.
646360	650360	Mas,
650360	651360	por isso que,
651360	652360	ah,
652360	655360	quando a personagem da Duny fez aquilo no final do episódio,
655360	657360	por que ela não morreu?
657360	660360	Porque não ia voltar a andar o tempo
660360	663360	enquanto ela não estivesse distante o suficiente
663360	664360	pra não morrer.
664360	665360	O poder não...
665360	668360	Embora ele seja um poder que pare o tempo,
668360	670360	ele não é um poder sobre parar o tempo.
670360	674360	Ele é um poder sobre salvar a pessoa que está em risco.
674360	675360	Uma proteção do tempo.
675360	676360	Algo assim.
676360	677360	O próprio Dante possui algum dom?
677360	678360	Ou apenas a filha?
678360	679360	O próprio Dante,
679360	680360	até onde a gente viu,
680360	681360	não tem dom nenhum,
681360	682360	exceto um bonfaro pra negócios
682360	683360	e uma filha,
683360	684360	que talvez não tenha sido coincidência
684360	685360	ela ter nascido com algum dom.
685360	686360	Quem colocou a bomba e por quê?
686360	687360	Porque o Dante,
687360	688360	como dito antes,
688360	689360	ele é um vilão.
689360	690360	E uma coisa que o vilão tem
690360	691360	são pessoas que querem o mal dele.
691360	692360	Então,
692360	693360	provavelmente,
693360	694360	houve uma outra aventura,
694360	695360	que vocês não vão ouvir,
695360	696360	mas,
696360	697360	eu acho que,
697360	698360	eu acho que,
698360	699360	eu acho que,
699360	700360	eu acho que,
700360	701360	eu acho que,
701360	702360	eu acho que,
702360	703360	eu acho que,
703360	704360	eu acho que,
704360	705360	eu acho que,
705360	706360	eu acho que,
706360	707360	eu acho que,
707360	708360	eu acho que,
708360	709360	eu acho que,
709360	710360	eu acho que,
710360	711360	eu acho que,
711360	712360	eu acho que,
712360	713360	eu acho que,
713360	714360	eu acho que,
714360	715360	eu acho que,
715360	716360	eu acho que,
716360	717360	eu acho que,
717360	718360	eu acho que,
718360	719360	eu acho que,
719360	720360	eu acho que,
720360	721360	eu acho que,
721360	722360	eu acho que,
722360	723360	eu acho que,
723360	724360	eu acho que,
724360	725360	eu acho que,
725360	726360	que,
726360	727360	que,
727360	728360	que ...
728360	729360	que ...
729360	730360	que ...
731360	732360	lift,
732360	733360	ainda não tinha,
733360	734360	ainda não tinha,
734360	735660	e até mais, até mais
735660	737800	você ganhou biscoito, Felipe
737800	740440	o Maxioli ainda completa, caraca
740440	741660	arrepiei também no final
741660	744360	aqueles 22 deveriam virar 21, tá vendo
744360	746860	vai lá, lê o próximo
746860	748540	olá guaxa
748540	751160	olá guaxavos e guaxetes
751160	751980	ok
751980	754260	guaxavos, como sempre
754260	755820	não desisto, ai meu dedão
755820	758860	gente, pessoa nova
758860	760440	tô desistindo
760440	762480	amar comigo, pessoal
762480	763820	não desisto, meu querido
763820	766200	agora sim, olá guaxa
766200	768520	olá guaxavos e guaxetes
768520	770380	como sempre, não desisto
770380	772440	demoro, mas estou sempre aqui
772440	774860	história interessante, hora de spoiler
774860	776140	Pedro Dante
776140	778700	será que teremos mais com a
778700	780560	chuva genocida e pessoas cheias
780560	782480	de poderes aniquilando populações
782480	784640	tomara que sim, né, porque é isso que vem de episódio
784640	787300	digo não, espero que não
787300	789740	boa sorte, Rico
789740	791820	o grupo consegue voltar e avançar
791820	793740	o tempo como uma fita cassete, guaxa
793820	795440	não, como eu disse antes
795440	797980	o poder faz com que eles sobrevivam
797980	799220	se eles, assim
799220	802280	se eles se colocassem em risco
802280	803300	diretamente
803300	805540	eles talvez tivessem algum controle
805540	808040	em parar o tempo, não em alterar
808040	809720	o andamento dele
809720	811060	pra frente ou pra trás
811060	813880	mas, não, não é assim que funciona
813880	815220	ok, justo
815220	818120	muito bem, se você está escutando esse guaxa verso
818120	820420	entender do que se trata uma fita cassete
820420	822460	por favor, completar seu esquema vacinal
822460	823160	concorda, Tode?
823820	825420	é, tá vindo aí a terceira dose
825420	827920	eu acho que eu já posso tomar, eu tenho que ver isso aí direitinho
