start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37920	41540	Guaxaverso, onde o que não existe é debatido.
45100	47400	Guax, antes de começar a gravar, tenho uma dúvida.
47720	49540	Como você quer que a gente apresente os personagens?
50000	50940	Igual aos episódios?
52920	54320	Sim, mas...
54320	55640	Você já ouviu o RPG? Olha só!
55640	57120	Você já ouviu o RPG?
57120	59300	Cara, eu nunca ouvi.
59520	61000	Eu não faço ideia do que eu estou fazendo aqui.
61100	62060	Eu só tenho seis anos.
62940	64220	Olá, eu sou o Marcelo Guaxinim,
64320	65860	narrador, produtor, idealizador,
65980	67380	podcast de realidade para a hora do Guaxinim.
67580	69100	E se você é dono de um grande portal,
69340	71520	desses de entretenimento, o dono,
71560	73020	ou tem um contato muito bom com ele,
73140	75480	e está precisando de um podcast de RPG,
76120	77680	tipo o meu,
78300	78940	manda uma mensagem.
79420	82140	Vamos conversar em uma casinha nova.
82140	84240	Seria bem-vinda ao RPG Watch.
84460	85340	Enquanto isso não acontece,
85740	87100	para quem não sabe, o Guaxaverso é o nosso...
87120	88220	antigo escudo do mestre.
88300	90060	Aqui vamos ler os comentários e discutir as teorias
90060	92140	do último episódio, que no caso foi
92140	93940	Reality ou Show.
94460	95940	Antes de ler os comentários, eu queria
95940	98460	pedir para vocês, estamos participando do prêmio
98460	100640	iBest. Lá está tendo votação.
100840	102360	O link está ali no post. Você pode votar
102360	104440	uma vez por dia no seu podcast favorito,
104680	107080	que talvez seja esse que você está ouvindo.
107280	108340	Então eu vou deixar o link no post.
108440	110020	Você vai lá, deixe seu votinho por mim,
110020	112320	sempre que você puder. Isso vai ajudar bastante
112320	113840	a divulgar o RPG Watch
113840	116080	para ele crescer cada vez mais.
116080	118340	Outra forma de ajudar o nosso projeto a crescer
118340	119520	é nos seguir nas redes sociais.
119920	122540	Arroba Marcelo Guaxinim, arroba RPG Watch.
122700	124540	Tanto no Twitter quanto no Instagram.
124940	126440	E óbvio, se você quiser
126440	127880	realmente, assim, muito, muito
127880	129960	apoiar este projeto, a partir de um real
129960	131420	você está ajudando a pagar os editores,
131680	134400	a pagar todos os gastos que envolvem
134400	136120	manter este hobby
136120	138200	no ar. Então, seja nosso
138200	139900	padrinho lá no PicPay ou no
139900	142160	padrim.com.br. Procure por
142160	143780	RPG Watch. Tem link no post também.
143780	145580	E assim você pode apoiar a partir de 10 reais.
146080	147900	Parte do nosso grupo do Telegram.
148140	150220	Agora, a partir da semana que vem, entre o
150220	152320	meu aniversário e o aniversário da RPG Watch
152320	154240	teremos episódios semanais que vão sair
154240	156180	um pouco antes para os padrinhos. Vamos ter
156180	158200	distribuição de Vale Aventura.
158540	160120	Pelo menos 6 Vale Aventuras, ou seja,
160220	162520	6 padrinhos vão poder jogar uma aventura
162520	164320	de RPG comigo. E se
164320	166060	ela ficar bacana, ela até sai no feed.
166240	167960	Então, essa é a sua oportunidade.
168140	170380	Eu não acho que vai ter outra promoção como essa
170380	172220	ainda esse ano. Fora isso,
172320	173900	você vai poder gravar voz de NPC,
174460	175800	vai poder ajudar a dar nome,
176080	178340	em NPC, em cidade, em local,
178720	179980	ler sinopse de aventura
179980	182240	antes de eu gravar, poder ouvir o episódio
182240	183940	antes, como eu disse antes,
184140	186000	discutir no grupo de teóricos
186000	187660	os spoilers dos episódios que saem,
187980	189900	de teorias que você cria sobre esse
189900	192020	corte-avesso que não existe, poder fazer parte de
192020	193900	grupos bem específicos, grupos de
193900	195840	leitura, ter um grupo de fofoca,
195920	198060	que foi o último grupo criado lá, ter um grupo
198060	200100	de literatura, de perrengues domésticos.
200300	202480	É um grupo extremamente receptivo,
202660	204240	acolhedor a todo tipo de
204240	206040	crença e sexualidade.
206080	208120	Então, quer um grupo de amigos?
208260	209780	Quer conhecer gente nova? Quer jogar RPG?
210060	211920	Porque embora você não necessariamente vá jogar comigo,
212100	214080	tá sempre rolando mesa lá. Pessoal, os
214080	216300	padrinhos estão sempre mestrando. Dá uma conferida
216300	217940	que você vai poder jogar
217940	220140	também. Além disso, se você não é padrinho
220140	222100	e quer jogar com o pessoal do RPGuacha,
222260	224080	dá uma olhada lá no Instagram, que tem todas
224080	226120	as informações direitinho, mas em
226120	227700	maio, no dia 22,
228280	229780	vai ter o RPGuacha Day.
230020	231960	Ou seja, no dia 22 de maio,
232140	234440	teremos várias mesas. As inscrições
234440	236000	já estão disponíveis. Quem vai me
236000	238080	mostrar são padrinhos do RPGuacha. Então, se você
238080	239980	quiser poder jogar, tem as regrinhas lá,
240120	241860	não vai poder ser menor de 18 anos,
241980	244160	a menos que seja acompanhado por um responsável.
244360	245920	As vagas são limitadas pra
245920	248040	cada uma das aventuras. Dá uma
248040	249880	olhada lá. E eu vou deixar informações no
249880	251940	post também, mas é só outra
251940	253960	chance de estar jogando RPG
253960	256120	com o pessoal da taberna. Essa leitura
256120	258280	teve a participação da jogadora da Débora,
258360	260060	da Déba. Ela gravou a
260060	261760	leitura de comentários comigo lá na Twitch.
261920	263620	Segue a gente na Twitch, twitch.tv
263620	265560	barra RPGuacha. No fim de semana,
265560	267320	inclusive, eu entrei rapidinho pra jogar
267320	269680	alguns joguinhos. Joguei principalmente House Flipper,
269820	271500	bati um papo com o pessoal. Segue
271500	273400	a gente lá pra ver esses joguinhos e também
273400	275540	pra ver uma semana sim, uma semana não
275540	277680	a leitura de comentários, o nosso
277680	279220	Guachaverso.
279500	281680	Dito isso, vamos ver o que eu e a Débora
281680	283460	aprontamos na leitura de comentários.
284080	285540	Então, olá pessoas. A gente tá aqui
285540	287540	pra ler hoje os comentários do último episódio
287540	289160	do 105, que foi
289160	291960	Reality ou Show, como eu comentei
291960	293500	lá no Escudo do Mestre.
293720	295260	Quando eu pensei em Reality Show,
295560	297680	que eu tava acompanhando um programa que já acabou,
298060	299660	embora ele continue passando, eu fiquei
299660	301860	pô, é legal, assim, Big Brother e tal.
302340	303980	O passado, o Big Brother
303980	305860	passado, eu comecei a ver
305860	307460	na metade, porque
307460	308960	eu tava sem ver minha mãe, né,
309000	311980	da pandemia e tal. Aí quando eu comecei
311980	313720	a revê-la,
313840	315560	a gente tava se cuidando,
315640	317600	tava em casa, assim, vamos direto
317600	319660	pro apartamento, né. E
319660	321600	ela tava acompanhando, eu comecei a acompanhar com ela
321600	323660	e daí o Gil saiu, o programa acabou,
323760	325440	eu parei de ver. Foi triste.
325560	327100	E daí esse ano eu peguei desde
327100	329260	dia 1, assim, todos os
329260	331820	episódios
331820	333340	eu fui assistindo e à medida que
333340	335580	foi acontecendo, eu fui ficando triste, até chegar
335580	337320	um ponto que eu abandonei completamente.
337960	339440	No momento atual da
339440	340760	gravação deste programa,
341340	343560	virou o Clube do
343560	344940	Bolinha, só tem
344940	347120	meninos lá, sendo
347120	349020	o Bolinha o pãozinho, né.
349320	351180	Que era realmente uma criança bem problemática,
351280	353200	acho que faz bastante sentido nessa analogia.
353200	354480	O Seven Boys.
355560	357240	É, o Seven Boys.
357700	359400	Porra, é Seven Boys, parabéns.
359440	361640	Nesse caso, Six Boys, né, porque
361640	362680	acho que eles são em seis, né.
363120	365460	Ah, é, o sétimo era a Jess e a professora
365460	366580	e ela foi embora. Saudades, Jess.
366840	368640	Esse é o Brasil, gente. Esse é o Brasil.
369080	371680	O cara tem uma mansão de 17 banheiro
371680	372980	e o seu é o professor.
373540	375460	Mas, não é pra reclamar
375460	377860	da divisão de renda nos programas de televisão.
378420	379100	Como eu falei,
379620	381520	eu gosto bastante da ideia de
381520	383600	reality, acompanho quando era a primeira
383600	385520	edição do Big Brother, a segunda, um
385520	387760	pedaço da terceira, o No Limite,
388520	389540	é...
389540	391060	Sei lá, outros programas, assim.
391120	393580	Eu gosto de ver um programa com a minha mãe, que é do SBT
393580	395260	de bolo. É, Bake Off Brasil.
395260	396360	É legal esse reality.
397540	399020	É massa. É legal, assim, tipo,
399400	401340	o Olivier Prove, ele inventa
401340	402380	umas coisas que não existem.
403020	405080	E é good vibes. Vê uns bolos, assim, massa.
405600	407360	Porra, muito, muito. Agora tá a
407360	409100	versão atual, é com
409100	411320	artistas, entre
411320	413520	muitas aspas, que é tipo, é ex-carrossel,
414660	415460	é... gente que
415460	417240	só existe no SBT, sabe?
417920	419780	É... tinha a Sula Miranda,
419940	421480	mas ela já saiu, a rainha dos
421480	423340	caminhoneiros. Gente, conheço.
423340	424460	A Débora conhece a Sula Miranda.
424800	427460	Quem não tinha a fita catete da Sula Miranda
427460	428640	que atira a primeira pedra.
430080	431360	A rainha dos caminhoneiros tava
431360	433440	lá, e daí ela
433440	435500	saiu porque ela ficou puta, ela errou
435500	437080	tipo assim, uma receita,
437540	439420	em vez dela refazer, ela só jogou
439420	441480	tudo em cima, assim, entregou de qualquer
441480	442940	jeito, e foi embora.
443160	445020	Tinha aquele Sebastian,
445460	447600	que é aquele modelo da C&A, sabe?
448000	448580	Sim, sim.
449060	451160	Pô, ele também, é muito engraçado, fazendo
451160	453020	umas brincadeiras dele, também foi eliminado,
453360	455200	e daí sobrou as pessoas que ninguém conhece.
455520	457360	Tipo, Marcelo, acho que é
457360	459040	Torres, jornalista.
459440	461300	Nunca vi na vida. Mas é um cara
461300	463260	bacana, tava torcendo, tava torcendo
463260	465500	pra ele, foi eliminado. Acho que o problema sou eu.
466500	467180	Mas, e daí,
467380	469260	voltando ao foco, e daí a gente
469260	471220	tava com um grupo de... quando o Big Brother
471220	473340	ia começar, eu sabia que o assunto
473340	475240	ia aparecer no nosso grupo principal,
475240	477100	da taberna, e tem gente
477100	479560	que é fresca, e diz, ah, não posso
479560	480500	saber de Big Brother,
481040	483260	eu quero ler um livro, então a gente
483260	484660	criou um grupo
484660	487480	só pro Big Brother, e daí quem queria
487480	488620	fazer parte desse grupo,
489100	491160	entrou nesse grupo, por coincidência
491160	492980	um tempo depois surgiu um clube do livro.
493500	495580	Até onde eu sei. Dos livros que a gente queimou, né?
495820	497340	Antes de entrar no grupo do Big Brother.
497760	498960	É, então,
499120	501040	o clube do livro, eu não sei o que acontece lá, porque
501040	503160	eu sou do clube dos alienados
503160	505220	do BBB. Talvez agora,
505240	507440	que o BBB caiu, eu volto pra lá.
508240	509560	Mas, e daí, eu tive a ideia
509560	511460	da aventura. Fiquei brincando
511460	513000	por reality show, né? A realidade,
513360	514780	o que é realidade, o que não é,
515220	517200	o quanto é armado, o quanto é a pessoa
517200	519320	fingindo ser vítima, o quanto
519320	521400	é a produção preparando
521400	523140	aquilo, né? Então, veio a ideia
523140	524880	desse programa, o último que apaga é a luz.
525420	526880	E daí eu olhei no grupo
526880	529140	do Vale Aventura, pra quem não sabe,
529200	530700	quem é padrinho, pode concorrer
530700	533260	a chance de participar de episódios,
533260	535140	e agora, entre o meu e o meu,
535240	536960	aniversário, e o aniversário da RPG Watch,
537380	539120	vão ter seis, se eu não me engano, pra ser
539120	540580	sorteados na taberna.
541040	543240	E daí, eu tava olhando lá, tinha gente que tava
543240	545420	no grupo com o Vale Aventura,
545480	547200	que podia jogar uma aventura,
547680	548840	e no grupo do BBB.
549280	550940	Pensei, essas pessoas
550940	552780	deveriam ter prioridade.
553240	554920	Então, tinha a Debra, que eu vou entregar,
555060	557400	ela estava, hein, está, no grupo
557400	559360	do BBB. Tinha a Mel,
559600	561700	que também estava no grupo do BBB.
562180	563080	E tinha a Agatha,
563080	564800	que também estava no grupo do BBB.
565240	567100	Ou não estava? A Agatha estava.
567480	569420	Ela estava, mas não estava
569420	570700	acompanhando o programa, não.
570720	573700	Ela acompanhava o programa
573700	575220	pelo grupo.
575740	577480	E no fim, ela teve um gatilho
577480	577920	e foi embora.
578980	579900	Mas, o fato...
579900	583140	Estamos lá, firmes e fortes, só lamentando
583140	584840	esse final horrível desse BBB.
585480	587420	Pelo menos serviu pra gente se divertir
587420	588060	entre nós.
588940	590900	Sim, e teve um bolão,
591400	592700	que provavelmente a Mel vai ganhar,
592700	593840	pela última vez que eu olhei.
595240	597260	E, desse bolão, a gente vai dar um
597260	599400	Vale Aventura. Então, a Mel, que saiu
599400	601260	do grupo, que a ideia é a gente ter um grupo, que a pessoa que
601260	602400	joga Aventura, ela sai, né?
602760	604240	A Mel deve voltar pra esse grupo.
604560	606120	No grupo do Vale Aventura, você está falando.
606220	609120	Do Vale Aventura. Ela vai ganhar um Vale Aventura,
609200	610580	ela volta pro grupo do Vale Aventura.
611120	613400	Então, tudo indica que ela vai levar. Pode ter uma reviravolta?
613480	615300	Não sei. Eu vou olhar, depois,
615600	617400	a nossa tabela. Eu vou modificar
617400	619200	algumas coisinhas lá. Ninguém vai ficar
619200	619680	sabendo.
620680	622940	Se eu aparecer de novo num episódio, gente,
623260	625080	já sabem, eu fraudei esse Vale Aventura.
625080	625220	Eu vou ficar sabendo.
625240	625600	Vale Aventura.
626300	628640	Isso que, quando sugeriram a ideia, eu falei, beleza.
629220	631500	Se for auditável, eu aceito.
631880	633100	E eles disseram, não, pode confiar.
633480	634200	Vai dar certo.
634320	637380	Gente, todo mundo tem acesso. Todo mundo do grupo tem acesso à planilha.
637780	638220	É verdade.
638440	641000	Eu olhei e a Mel estava ganhando.
641240	642260	Ela está muito na frente.
643320	645340	Dito tudo isso, a gente gravou o episódio,
645440	647020	teve a participação da Débora. No final,
647660	649120	a gente vai ter umas perguntinhas
649120	650580	pra fazer pra ela aqui.
651020	652880	Pra ela se comprometer com outros jogadores.
653200	655220	Mas, por enquanto, a gente vai ler os comentários.
655240	657120	Então, desse episódio, eu sempre
657120	659440	começo. Eu não olhei os comentários ainda.
659560	661100	Eu não sei quais são os grandes e os pequenos.
661420	663360	Espero que os maiores caiam pra Débora,
663440	664320	que é alfabetizada.
664580	666920	Em mais de um idioma, porque ela está nos Estados Unidos.
667420	668800	Ai, Jesus. Vamos lá.
669220	671160	Falando em gente alfabetizada em mais de um idioma,
671260	673140	eu vou ler aqui o primeiro comentário do Alan
673140	675240	Felipe. Ele coloca...
676820	678940	Oi.
679840	681160	Guaxate, que é o pessoal que está
681160	682500	vendo ao vivo na Twitch.
682500	684020	E ouvinte Nins,
684020	685600	que é quem está ouvindo de casa.
685920	687340	Queria dar meus parabéns pelo episódio.
687720	690180	Muito, muito melhor que um certo outro reality show
690180	692080	flopado que acabou no domingo
692080	694160	passado. Tecnicamente, ele ainda está
694160	696240	acontecendo, mas a saída da Lina
696240	697720	acabou com o programa pra mim.
698200	700080	Agora, resta a esperança da Iuliana
700080	702240	vencer o reality que importa.
702700	703360	Rê, rê, rê, rê.
703820	705920	Ah, Iuliana, seria o Arthur
705920	708300	do reality? Guaxate, eu ia deixar isso no ar.
708300	709560	Não, pelo amor de Deus.
709680	711360	Porque ela está ganhando todas.
711360	712360	Sim, mas...
712360	714380	Mas ela não é dissimulada.
714520	717440	Quer dizer, né, gente? Não, o pãozinho não é dissimulado.
717520	719080	Gente, eu estou dizendo que a Iuliana
719080	720940	ela é guerreira.
721060	722880	Ela não se faz de vídeo.
722980	724520	Ai, meu Deus, vou me enrolar, Guaxa, vai.
725700	726780	Foi a Beba que falou.
727120	728160	Vamos lá, sobre o episódio.
728760	730400	O que aconteceu com o pipoqueiro gato?
730520	732940	Ele surtou ou foi hipnotizado, foi pago?
733780	735240	Pelo boninho, ele coloca, né?
735640	737240	Como eu falei, eu vou deixar
