0;10120;"03";Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;15000;"03";É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120;15960;"04";Como assim?
16180;18000;"04";Você entendeu a referência do último episódio?
18240;18980;"03, 04";Olha só, faz tudo!
18980;19620;"03, 04";Não, o Guaxaverso sabe!
19620;20960;"02, 03, 04, 01";Espera! O que é o Guaxaverso?
20980;22980;"02, 04";Era só uma questão de tempo!
23080;24020;"02";Todos vão conhecer!
24020;24540;"02";O Guaxaverso sempre existiu!
24540;27180;"02, 00, 01";Eu quero entender o Guaxaverso!
27220;28560;"02, 00, 01";Alguém me explica o que é o Guaxaverso?
28560;32020;"00, 01";É, pessoal, não existe o Guaxaverso!
32100;33720;"03, 00";Eu acredito no Guaxaverso!
33760;36560;"00";Mas supondo que ele exista...
37880;41560;"03";Guaxaverso, onde o que não existe é debatido!
44900;48340;"03";Mas a gente tem que se apresentar, professora!
49240;51420;"00";E se a gente quiser conversar com eles?
51560;55000;"00";Ah, mímica! Qualquer coisa que não gere um NPC!
58560;62780;"00";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, relógio para narradores do Guaxinim,
62920;67260;"00";e a Esqueletiza, ela é cunhada da Bia.
67660;68060;"00";É isso?
68420;69180;"02, 00";Eu acho que é!
69540;69800;"02";É!
70240;70460;"02";É!
70980;71220;"02";É!
71540;74360;"00";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
74680;77040;"00";Aqui vamos ler os comentários discutidos nas teorias do último episódio,
77520;81820;"00";que no caso foi o baile RPG Guaxa 131.
82200;87440;"00";E eu estou aqui hoje com a juvidada do dia, ou da noite, no caso do momento dessa gravação,
87440;88440;"00";a nossa...
88560;89600;"00";Querida Rebel Bia!
89760;90240;"02, 00";Olá, Bia!
90260;90840;"02, 00";Oi, gente!
91700;93720;"02";Nossa, realmente, o meu irmão é vocilário...
93720;98020;"02";O meu marido, companheiro, não sei, é vocilário público,
98180;100300;"02";e a minha cunhada é diretora de uma escola.
100820;101840;"02";Eu estou muito bem na vida!
102380;104980;"00";Tem que ver se no momento deste episódio,
105660;109120;"00";morte e Gabriel estão de bem ou de mal, né?
109760;111120;"02";É um vai e volta, né?
111140;112840;"02";Mas a gente confia no amor, eu acho.
113340;114280;"00";É, é verdade.
114760;116180;"00";Mas fica aí, fiquem abertos.
116380;117140;"00";Fiquem abertos.
117140;118420;"00";Mas estamos aqui, então,
118420;121640;"00";para, nos comentários, eu queria convidar você, sério,
122080;125440;"00";a gente está indo agora entre o meu aniversário, que é dia 26 de abril,
125880;127420;"00";e o aniversário do RPG Guaxa.
127980;130620;"00";O primeiro episódio, a Bruxa, a Morte e as Quatro Gatas,
131060;133520;"00";sai no dia 24 de maio de 2018.
133980;134980;"00";Em outra vida, já.
135000;135480;"02, 00";Realmente.
135600;137500;"00";Então a gente vai fazer cinco anos, é isso?
138260;138720;"02";Isso.
139740;142500;"00";Cinco anos de RPG Guaxa, que bagulho doido.
142720;145300;"00";Então, entre o meu aniversário e o aniversário do RPG Guaxa,
145740;147120;"00";teremos episódios extras.
147120;148400;"00";Dois episódios extras, na verdade,
148420;150840;"00";eles vão sair entre os episódios normais.
151380;155480;"00";Então vai ser o mês de maio, começando pelo último dia de abril,
155940;160200;"00";mas o mês de maio vai ter um episódio toda quinta-feira.
160820;163460;"00";Significa que o nosso editor está fazendo episódios por metade do preço?
163620;163960;"00";Não.
164380;166380;"00";Então, vamos lá, a gente apoia esse projeto,
166500;168040;"00";me ajuda a estar pagando os episódios.
168420;172400;"00";Seja nosso padrinho para ajudar a ter cada vez mais RPG Guaxa
172400;175100;"00";para fazer parte dessa comunidade maravilhosa.
175600;178160;"02, 00, 05";A Bia é nossa madrinha, conheci ela lá.
178160;178260;"02, 00";Sim.
178420;182080;"00";A Bia fez muitos amigos, me corrija se eu estiver errado, tá, Bia?
182440;184720;"00";A Bia fez muitos, muitos amigos lá na taberna.
184820;185120;"00";Sim.
185540;186580;"02, 00";Inclusive, arrumou um namorado.
186600;187020;"02, 00";Exatamente.
187820;190060;"02";Eu desencalhei, finalmente, por causa da taberna.
190600;191180;"00";Não, não é...
191180;193160;"00";Não fala desencalhei, fica feio.
193640;194480;"02, 00";Fica assim, né?
194500;197100;"02, 00";Gente, eu estava ali realmente na dificuldade.
197700;199160;"02";Eu achei um doido que gostou de mim.
199840;200240;"02";Acontece.
200560;201460;"00";Ok, ok.
201840;205840;"00";Então, ela encontrou um doido que gostou dela, sim, e também, principalmente,
205840;208340;"00";ela encontrou pessoas que gostam das minhas...
208340;211160;"00";as mesmas coisas que ela, e foi isso que deu os amigos,
211320;214280;"00";e, por consequência, um Jean na vida dela.
215260;215620;"00";E...
215620;218920;"00";E para você fazer parte dessa comunidade, a partir de 10 reais,
219460;219900;"00";você vai...
219900;221780;"00";Às vezes demora uma semana ou duas para receber o e-mail,
221860;222700;"00";porque eu faço sozinho.
222860;225200;"00";Você vai receber o e-mail do grupo do Telegram, você vai clicar,
225640;228140;"00";você vai chegar lá no grupo, vai conhecer um monte de pessoas maravilhosas,
228400;229980;"00";tem um grupo principal para trocar ideia,
230320;232400;"00";tem um grupo de spoilers, você recebe o episódio antes,
232820;234320;"00";você grava voz de NPC.
235000;237160;"00";Quais são os grupos que tu mais conversa lá, Bia?
237420;238320;"02";Caraca, eu não fico muito...
238320;242160;"02";Eu não fico muito de spoiler, porque eu ainda estou me atualizando com os episódios,
242620;245180;"02";mas eu fico muito na sala de jogos, pegando mesas,
245500;248100;"02, 00";porque, sim, tem entrada de games.
248120;248880;"02, 00";Está sempre rolando mesa.
249020;250420;"02, 00";Exatamente, rola muita mesa boa.
250800;253000;"02";Tem o grupo das meninas também, que é maravilhoso.
253380;256280;"02";A gente está saindo agora do mês de março, que é o mês das mulheres,
256420;258020;"02";então a gente fez as mesas das manas.
258420;259280;"02";Foi muito legal.
259800;263360;"00, 05";Isso eu não fico sabendo, porque eu não faço parte desse grupo mesmo.
263700;266520;"00";Ele faz parte da família RPG Guaxa,
266520;268280;"00";mas, obviamente, eu não faço parte.
268320;273020;"00";Mas eu sei que tem pessoas maravilhosas lá, neste grupo,
273380;275800;"00";e que saem essas mesas específicas só para as meninas.
276320;280720;"00";Se você é menina, ou, por algum motivo, tem vergonha,
280820;284860;"00";ou tem, sei lá, medo de jogar RPG, por qualquer motivo que seja,
285600;290220;"00";todas as mesas são bem tranquilas, inclusivas, lá na RPG Guaxa,
290620;292960;"00";mas, se tu quiser, dá para fazer uma mesa só com as meninas.
