start	end	text
0	10120	Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18960	Olha só, quase tudo!
18960	19620	Não, o Guaxaverso sabe!
19620	20960	Espera! O que é o Guaxaverso?
20980	22980	Era só uma questão de tempo!
23080	24220	Todo mundo conheceu!
24220	24540	O Guaxaverso sempre existiu!
24540	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso!
32100	33720	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido!
45080	45640	Guaxa?
46020	47880	Eu tô respondendo o chat, desculpa!
48180	49780	Não? É que eu tô lendo, então não tô vendo a câmera!
49780	51840	Obrigado pelo Prime, Laura César!
52520	56140	É... voltando, desculpa! Eu não me acostumei ainda com a Twitch!
56400	56860	Vamos lá!
58560	65760	...
65760	67500	Olá, eu sou Marcelo Guaxanini,
67620	69700	narrador, produtor, idealizador, podcast de realidade
69700	71080	para a entails do Guaxanini e...
71080	73880	eu queria que o carnaval fosse umas duas semanas.
74420	75300	Eu só dormi
75300	77620	durante esses dias, eu só queria dormir mais.
77900	79420	Pra quem não sabe, o Guaxaverso é o nosso
79420	81620	antigo escudo mestre. Aqui vamos ler os comentários
81620	82960	discutidos nas teorias do último episódio,
83380	84240	que no caso foi
84240	87340	RPG Guaxa 129, Febre
87340	88300	da Lebre.
88560	91840	E hoje eu tô aqui com o Tiki, que jogou o episódio.
92380	94460	Ele foi o Marinho, né?
94900	95380	Tudo bem, Tiki?
95440	98220	Olá, olá. Tudo bem, Guaxa. Graças a Deus, e contigo?
98660	99460	Tô bem, tô bem.
99740	103120	Antes de começar aqui, apanhei um pouco pra instalar uma impressora nova.
103460	104040	É, normal.
104080	104740	Mas tá tudo certo.
104860	107560	A impressora, ela sente cheiro de medo, esse que é o problema.
107700	108380	Medo e pressa.
108420	111140	É. Ela viu que eu tinha pressa, ela disse, ok, vou demorar.
111740	115200	Não consegui pelo USB, mas ela tem Wi-Fi e o futuro é o Wi-Fi.
115360	116880	Cara, impressora com Wi-Fi é excelente.
116880	118560	Não, foi maravilhoso.
118740	120860	Eu tenho que só ver depois como é que faz pra botar nos celulares.
121200	124620	Mas, né, sobre impressora, o episódio de hoje, a gente tá aqui pra ler os comentários, como eu falei.
125320	126960	Tiki, como é que as pessoas te acham nas redes sociais?
127220	128780	Quais são os teus projetos? Fala pra gente.
129000	130920	Rede social é difícil.
131680	135000	A única rede social que eu tenho usado é o TikTok e eu só vejo vídeo curto.
135380	136280	Não posto nada.
136760	143180	Meus projetos são o RPG Guaxa, o Sycash e nós temos um canal, nós, eu e meus amigos,
143180	146800	temos um canal na Twitch que é o Pequenos Dados, Grande Falha.
146880	150940	Grandes falhas, mas o S na hora de...
150940	151180	Não coube.
151500	155120	Não coube e a gente aproveitou e já fez uma piada junto.
155480	158740	Mas na Twitch não tem o S no final de falha.
159420	164880	Você que quer ajudar esse projeto, você pode, assim como o Tiki, ser nosso padrinho.
165440	168480	Parte de 10 reais e faz parte de um grupo incrível do Telegram
168480	172320	que se divide em vários subgrupos que discutem vários outros temas.
172320	176120	Então venham conhecer o RPG Guaxa e apoiar o projeto.
176260	176860	Açaí cada vez mais.
176880	177580	Mais episódios.
178060	185360	Eu já estou arrependido, mas em abril, entre o meu aniversário, que é no final de abril,
185440	189200	e o mês de aniversário do RPG Guaxa, que é no final de maio,
189680	192000	o RPG Guaxa vai ter episódio toda semana.
192720	196960	E preciso da ajuda de vocês para pagar editor, para fazer tudo bonitinho.
197400	199460	Então, por favor, a gente seja nosso padrinho.
199700	203380	Não pode ajudar, não quer ajudar ou não consegue, né?
203840	205640	Seguir a gente nas redes sociais já ajuda bastante.
205740	206460	Arroba o Marcelo Gostininho.
206880	208900	Arroba o RPG Guaxa no Twitter e no Instagram.
209440	211380	E lembrar vocês que a gente está aqui na Twitch.
211900	216960	A única coisa que o RPG Guaxa faz na Twitch atualmente é ler comentários dos episódios.
217400	221920	A gente não joga às mesas aqui porque é muito, muito, muito, muito trabalhoso.
222480	225820	E eu não estava afim de mais trabalho para a minha vida.
226320	227900	Então, por enquanto, a gente só lê comentários.
228080	233260	Mas talvez se muitos padrinhos aparecerem e eu puder me dedicar mais a esse projeto,
233380	235040	a gente comece a fazer alguma coisa por aqui.
235040	236860	Mas, por enquanto, segue a Twitch.
236880	239660	Para ler os comentários do episódio anterior.
240040	242580	Como eu falei, Febre da Lebre.
243060	244520	Eu vou ler, então, o primeiro comentário.
244680	247700	Eu só queria dizer que eu adoro esse mês.
248380	250780	Entre o seu aniversário e o aniversário do RPG Guaxa.
251200	252480	Eu toquei.
252900	258280	Era um negócio que era para ser um ano só específico e virou uma tradição.
258900	260900	Olha como eu estou triste com essa tradição.
261740	262260	Vamos lá.
262360	264940	O primeiro comentário é do Adriano Trota.
264940	265560	Ele coloca.
266880	272140	Só para dizer que eu acho um absurdo quem só comenta no episódio
272140	274720	em que sugeriu um nome de NPC.
275340	279800	Que bom que a ditadora Amaris Trombeta foi derrubada.
280280	282060	Grande abraço a todes.
282560	285760	Então, como a Fábio coloca embaixo, né?
285840	289120	Mas a Amaris Trombeta era legal a favor do ecoterrorismo.
289580	290400	O Adriano Trota colocou.
290500	292780	Ela era a favor das corporações e foi derrubada pelo ecoterrorismo.
292920	293380	Tudo bem, não foi isso?
293780	294700	Não, pelo contrário.
294700	296480	Ela era a pessoa boa.
296880	297560	Pelo que eu me lembro.
298580	299140	Boa, né?
299200	301360	No sentido de que ela estava só do lado certo da política.
301840	303520	E ela foi derrubada.
303960	305820	Então, o Trota comemorou uma coisa errada.
306180	306660	Mas tudo bem.
306800	307720	É o que a gente espera da morte.
307740	311580	Ela foi derrubada antes de entrar a ditadura militar, né?
311600	311840	É.
312200	313200	Pela ditadura militar.
313820	314220	Exato.
314540	317520	Mas foi sugestão do nosso padrinho, Adriano Trota.
318000	321340	Então, seja nosso padrinho para dar nomes também.
321760	322240	Como esse.
322580	326380	Cara, você vai gostar muito do comentário seguinte.
326880	327540	De Jorge Marcos.
327800	328260	Mas vamos lá.
328960	330600	Jorge Marcos Santos Silva.
331800	334160	Eu comprava vários desses álbuns com prêmios.
334480	338240	E a melhor coisa que já ganhei foi uma bicicleta que com certeza não era nova.
339060	340480	Um bom dia, seu aguaxinim.
340860	343000	Convidade, chat e eu vim chinins.
343360	344740	Tudo bem com vocês, meus queridos?
345080	346760	Comigo tá tudo bem, graças a Deus.
346880	347540	Você, aguaxa?
347680	349080	Tudo bem, tudo bem, tudo ótimo.
349460	352580	Melhor agora que a Itz, Jéssica, passou aqui pra dar oi.
352580	356300	Ela não tá atualizada nos episódios, mas ela passou aqui na Twitch deixando oi pra gente.
356400	356660	Oi.
357200	357520	É.
358720	361860	Antes de mais nada, muitíssimo é merecido todas as premiações.
362320	365320	Sei que você, guaxa, fala tanto de sofrer a síndrome do impostor.
365800	367700	E acho que isso acontece com os melhores mesmo.
368120	372220	Mas o RP Guaxa já vai além da sua habilidade incrível de criar e contar histórias.
372520	379360	Está nos jogadores, ouvintes, teóricos, na taverna e em toda a maravilhosa comunidade que o senhor plantou desde sementinha.
379800	381380	Então, é muito mais que merecido.
381380	386860	Espero que os elogios de coração possam servir para me perdoar do ver mais.
386880	388280	KKKKJ
388280	389600	Não teve ver mais.
390020	392680	Então, você tá com uma ficha de perdão do guaxa aí.
393160	394480	É, eu tô tranquilo, não era minha mesmo.
394500	395760	Então, você não tá com ficha nenhuma.
396280	397320	É, spoilers.
398240	402400	Mary e Shelly, ou qualquer que seja o nome do refri do Eu Beijei Uma Garota.
402540	403520	Há conexão, certo?
