start	end	text
0	10120	Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18960	Olha só, quase tudo!
18960	19620	Não, o Guaxaverso sabe!
19620	20960	Espera! O que é o Guaxaverso?
20980	22980	Era só uma questão de tempo!
23080	24220	Todo mundo conheceu!
24220	24540	O Guaxaverso sempre existiu!
24540	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso!
32100	33720	Eu acredito no Guaxaverso!
33880	36560	Mas, supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido!
44960	49580	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para nós do Guaxinim, e...
49580	51620	Vocês estão prontos para ter um mês de episódio semanal?
51980	52700	Eu não tô!
53080	55920	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
56080	58500	Aqui vamos ler os comentários e discutir as teorias do último episódio,
58560	60660	que, no caso, foi 5.
61220	62340	RPG Guaxa 130.
62840	66860	E hoje eu tô aqui com ele, que é um teórico.
67420	71880	Ele veio pro mundo do empírico agora, ele veio botar em prática tudo que ele acredita.
72180	74480	Nosso querido amigo, Caio.
74860	78660	Caio Cruz ou Craio, como ficou conhecido no Guaxaverso.
79000	79620	Boa noite, querido.
79840	80360	Boa noite!
80960	87500	É, realmente, esse termo aí, esse nome pelo qual foi me dado, eu guardo com muito carinho.
87500	87960	Eu não sei o que é o Guaxaverso.
87960	87980	Eu não sei o que é o Guaxaverso.
87980	88040	Eu não sei o que é o Guaxaverso.
88040	88100	Eu não sei o que é o Guaxaverso.
88100	88160	Eu não sei o que é o Guaxaverso.
88160	88180	Eu não sei o que é o Guaxaverso.
88180	88220	Eu não sei o que é o Guaxaverso.
88220	88240	Eu não sei o que é o Guaxaverso.
88240	88260	Eu não sei o que é o Guaxaverso.
88260	88320	Eu não sei o que é o Guaxaverso.
88320	92660	Eu já fui zoado até por outras pessoas fora do ciclo do RPG Guaxa, pra você ver o
92660	93360	qual onde foi.
93720	94120	Perfeito.
94280	94680	Perfeito.
94760	95040	Perfeito.
95460	98840	E você tem vários projetos na internet, poderia falar sobre eles, como é que as
98840	99460	pessoas te acham?
99840	100260	Claro.
100760	103220	Eu sou jornalista a princípio, né?
103300	108000	Tô me formando, mas eu sou bastante do meio do áudio, audiovisual.
108220	110700	E eu tenho alguns projetos paralelos, assim, que eu faço.
110980	117660	Acho que os principais hoje em dia são o Solman One Shot, que é basicamente um
117660	123320	podcast de RPG também, que usa vários sistemas diferentes, mas sempre fazendo
123320	123820	um one shot.
124140	127120	E alguns episódios também tem o sistema da RPG Guaxa, né?
127140	128820	O Guaxinha e o Gabi Ars e tudo.
129380	133520	E você pode encontrar a gente no Spotify ou em qualquer outro agregador de podcast
133520	134640	e no Instagram também.
135140	136300	É só uma one shot.
136520	137880	É um plágio, basicamente.
138120	139620	É, basicamente isso.
139620	139780	Ah, tá.
140140	142960	Assim como vários outros que eu não vou citar aqui pra, né?
143200	143740	É verdade.
144880	146760	Atualmente, o único plágio liberado é o teu.
147180	147620	Tem um paralelo?
147740	148520	Bem, mas ele parou.
148720	149820	Eu não lembro se...
149820	150980	Então, por enquanto, tá contigo.
151280	152620	Ok, menos mal, menos mal.
153500	155000	Isso não vai dar uma briga na taberna.
155220	156020	Então, é isso.
156320	160880	E, além disso, eu também tenho o Arquivos SCP, que é um podcast de áudio drama que
160880	161440	eu edito.
161580	164780	Sobre o Só Pra Contrariar, que é esta banda, não?
165360	166140	Pois é, né?
166580	166980	Diferentão.
167480	171940	E também, tá no Spotify, pode encontrar também o Instagram, que tá meio parado,
172020	172760	mas eu vou voltar já.
172760	175140	Tá, não é sobre Só Pra Contrariar, explica direito, desculpa.
175320	176000	Tá, tudo bem.
176000	181600	O Arquivos SCP é um podcast de áudio drama que trata do universo de SCP,
181820	183820	que é um universo bem maluco, assim, da internet,
184460	191600	que fala de teoria da conspiração, fala de objetos que não fazem sentido no nosso mundo
191600	194880	e tem uma fundação que tá ali pra aguardar eles,
195380	197440	mas é tudo ficção, então tá tranquilo.
197680	199480	É teoria da conspiração do bem.
199860	201600	E é isso, a princípio.
201980	203480	A princípio são esses meus projetos.
203920	204400	Perfeito.
204400	205960	O Troto perguntou o que é SCP.
206320	208100	SCP é Só Pra Contrariar.
208520	209700	Ah, mas não tá invertido, então?
209800	210780	É Para Contrariar.
211060	212680	Nossa Senhora, agora que eu entendi.
212980	213420	Ai.
213960	215380	Esporte Clube Corinthians...
215380	218080	Esporte Clube Corinthians Paulista.
218140	218560	É isso mesmo.
218880	219300	É isso mesmo.
219600	221080	Mas não é isso, gente.
221120	221440	Tá aqui.
221800	225740	O Caio, assim como muitas dessas pessoas falando bobagem no chat agora,
226220	227820	são padrinhos do RPG Watch.
228400	231120	Se você quer apoiar esse projeto, vencer nossos padrinhos,
231480	232800	a partir de um real você ajuda muito.
232800	235820	A partir de 10 reais você faz parte do melhor grupo,
236000	238340	de Telegram, do universo.
238780	240300	Porque ele tem vários subgrupos.
240740	244100	Tem o grupo do Spoiler, que é onde o Caio mora.
244540	247300	Tem o grupo geral, onde a gente conversa sobre tudo.
247920	250640	Tem grupos específicos, tem o grupo só das meninas.
251100	252740	Tem o grupo do pessoal além do Arco-Íris.
252840	254240	Tem o grupo dos games.
254820	255900	Tem grupo de anime.
256460	257720	Tem grupo de idioma.
258000	259500	Tem grupo de música.
260080	262940	Tem grupo do Caio organizando lá o pessoal
262940	265820	pra gravar regras, que vocês escutam nisso dos episódios.
265820	265960	Tem grupo de música.
265960	265980	Tem grupo de música.
265980	266000	Tem grupo de música.
266000	266640	Tem grupo de episódios.
267700	270380	Ele faz também uns audiodramas, como a gente viu no outro episódio.
270820	271860	Por sinal, Caio,
271960	272980	fica aqui um desafio.
273520	275500	Tu escolheu alguma coisa pra gente botar,
275580	278280	uma música ou o que seja, no final desse episódio.
278940	279980	Porque esse episódio,
280260	281320	não sei se por...
281320	283800	porque os jogadores foram muito diretos,
284340	285420	não teve extras.
286140	288120	O Zorzal mandou só o arquivo final.
288560	290160	Então eu precisei de alguma coisa pra botar no final.
290440	292620	Pra segurar o público até o último segundo.
293120	294740	Então fica o desafio.
295420	295860	Perfeito.
295860	297440	Desafio aceito.
297880	300200	Eu sempre falo que a partir de um real, você tá ajudando.
300280	302120	A partir de 10 reais, você faz parte do Telegram.
302600	304920	E tu pode também ajudar com 20.
305480	307380	Tu ganha as mesmas coisas que tu ganha com 10.
307440	308440	Não faz diferença nenhuma.
309100	310060	Pode ajudar com mais.
310160	311220	Tem ganhadores da Mega Sena.
311300	311700	Tamo aí.
312200	314300	Porque, pô, um mês de episódio...
314300	315560	Assim, não é um mês de episódio extra.
315840	317640	Ah, o Zorzal vai cobrar metade do preço.
317700	318960	Não, eu tô ferrado.
319000	320840	Eu tenho que pagar todos os episódios.
321120	322860	Pô, eu preciso da ajuda de vocês.
323020	324180	Tem servidor, tem um monte de coisa.
324680	325780	Segue a gente nas redes sociais.
325780	329000	Tanto no Twitter quanto no Instagram.
329280	330960	Na Twitch é o rpguaxa, né?
331020	331880	Barra rpguaxa.
332000	334500	Aqui na Twitch eu não faço live de jogos, por enquanto.
334600	335440	E não vou fazer tão cedo.
335940	338940	Mas a gente faz a leitura de comentários semana sim, semana não.
339340	341140	E depois isso vai pro feed de vocês.
341540	343740	Tem o pessoal aqui fazendo bingo na live.
344220	344760	Vendo ao vivo.
344840	347520	Vendo todos os erros que eu vou cortar pra fingir que eu sou inteligente.
347980	349380	E os erros do Caio, você não precisa se preocupar.
349420	350660	Porque se eu não vou cortar, né?
350720	351320	É preguiça.
