start	end	text
0	8140	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um
8140	9460	zumbi e ali não tinha, e agora?
10160	10700	É isso!
10900	11440	É isso!
11900	12540	Eu sabia!
12680	13240	Eu sabia!
14020	15020	O Guaxaverso existe!
15140	16000	Como assim?
16200	18160	Você entendeu a referência do último episódio?
18280	19000	Olha só, faz tudo!
19000	19620	Não, o Guaxaverso sabe!
19620	20980	Espera, o que é o Guaxaverso?
21000	23000	Era só uma questão de tempo.
23100	23440	Todo mundo conheceu o Guaxaverso!
23440	24760	O Guaxaverso sempre existiu!
24780	25460	Até o nosso final!
25540	27200	Eu quero entender o Guaxaverso!
27240	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33740	Eu acredito no Guaxaverso!
33820	36560	Mas supondo que ele exista...
37900	41560	Guaxaverso, onde o que não existe é debatido.
45280	45840	Gravão.
45940	46420	Gravão.
47020	49680	Seu corpo é o mar por onde quer navegar...
49680	50620	Cadê o roteiro aqui?
51280	54500	Olá, eu sou Marcelo Guaxinim, narrador, produtor e analisador do podcast Galerias para o Guaxinim
54500	58500	e o próximo episódio que eu vou escrever é o de...
58560	58980	Halloween.
59380	60900	Que é o extra de Halloween.
61300	62560	Mas deixa eu conferir uma coisa.
62980	63460	Ah, tá.
63720	64500	Ah, eu fiz errado.
64680	65060	Mas tá bom.
65820	70180	A meta pro episódio extra de Halloween já foi batida e eu já tinha prometido ele também.
70620	75440	Então eu nem posso obrigar vocês a assinarem lá no apoia.se barra rpguaixa, mas eu peço
75440	79900	que você vá em apoia.se barra rpguaixa, a partir das 10 reais você faz parte de um
79900	81940	grupo incrível, tá vendo, Guaxinim?
82420	83420	Então apoia a gente lá.
83840	85220	Tá quase batendo a próxima meta.
85540	88480	Eu estou aqui hoje com alguém que ajuda a bater.
88480	88540	Eu estou aqui com alguém que ajuda a bater.
88540	90560	Eu estou aqui com alguém que está...
90560	91520	Ah, não, olha só.
91980	94760	O episódio extra de Halloween é a próxima meta que não foi batida.
95160	97260	Mas eu já tinha prometido esse episódio e isso vai ficar pro ano que vem.
97580	98640	Mas fingem que não.
98780	100300	Então vão lá ajudar, senão pode ser que não tenha.
101240	105200	Eu estou aqui com alguém que ajuda com essa meta, que é o nosso querido Dr.
105400	105620	Tic.
105800	106400	Tudo bem, querido?
106680	107280	Fala, Guaxinim.
107280	107640	Tudo bem.
107740	108300	Graças a Deus.
108540	109300	Cansado, mas bem.
109720	111340	Tic que jogou o episódio.
111840	114360	A gente está aqui pra falar do episódio e de cartas de tarô.
114740	117100	Eu não sei se tem perguntas sobre as cartas de tarô.
117580	118380	Vou esperar.
118540	123240	Mas caso chegue no final e eu não tenha o que falar, eu quero falar sobre as cartas de tarô
123240	130400	e sobre uma coisa que eu disse pro Tic e pra Agatha, que era início de setembro.
130900	131640	Me lembrem disso.
131740	132280	Eu tinha falado.
132400	133000	E eu lembro que é.
133160	134140	Então é pra explicar.
134620	136200	Envolve uma carta de tarô também.
136580	138240	Tic, como é que as pessoas te acham na internet, querido?
138580	144620	As pessoas me acham na Tabernáculo Guaxinim e seus grupos adjacentes, no RP Guaxa.
144620	147960	E eu estou tentando usar o Blue Sky.
147960	154960	E, tanto na Taberna, no Telegram, quanto no Blue Sky, é o arroba Tic308.
155920	157140	T-I-C-K.
157520	158960	T-I-C-K-308.
159840	160420	Achei aqui.
160980	161780	Já estava seguindo.
161880	162400	Estou feliz.
162680	163620	Sigam lá vocês também.
164100	167780	Tem a foto do Tic e de uma coisa maravilhosa vestida de tigre.
168220	168980	Vamos lá descobrir.
169200	170420	É verdade.
170940	173180	Ou seja, é o Guaxa Versa afetando a vida de uma pessoa.
173580	173920	Talvez.
174260	176420	Assim, não é a pessoa que eu mais afetei a vida.
176420	178540	A gente estava fazendo um top hoje à tarde.
179100	180500	Eu sou o um, obviamente.
181280	186080	E tem uma outra pessoa que eu afetei nome, casamento, tudo.
186440	188420	E eu tinha aqui uma roupinha para tiquito.
189300	190320	Não só, né? Mas...
190320	191540	É, assim, assim.
191960	193560	Eu também estou lá no Blue Sky.
193740	198420	Então sigam arroba Marcelo Guaxinim, arroba rpguaxa.biscate.social.
199200	200180	Não lembro como é que funciona lá.
200560	205420	Mas procurar por Marcelo Guaxinim e por RP Guaxa, você consegue me achar lá.
205420	206420	Então me sigam.
206420	206940	Me sigam.
207480	209080	É uma rede social nova.
209220	210540	Estamos reconstruindo do zero.
211020	215240	Muita gente fala, ah, o engajamento no Blue Sky é muito melhor que o do Twitter.
215540	216240	Isso é verdade.
216660	221360	Eu com quase mil ali consigo engajamento muito melhor do que eu tinha com 12 mil
221360	224160	nesse último ano do X, né?
224720	228320	Mas, quando a gente vai falar com uma fanta, por exemplo,
228840	230420	a gente tem que apresentar números.
230820	233420	Porque eles são todos de...
233420	235980	Mas são pessoas de humanas que idolatram exatas,
235980	236660	pelo que eu entendi.
237180	238500	Então precisa de números altos.
238620	239380	Então segue a gente lá.
239820	243580	Dá uma moral pra gente que vai ajudar o RP Guaxa a conseguir mais coisas.
244080	245780	A fanta lançou aí um fanta caju.
245880	247260	Não encontrei pra vender aqui no Sul.
247840	250020	Agora tem um fanta mistério.
250940	251300	Spoiler.
251560	252260	É maçã verde.
252740	254040	Pô, eu queria muito estocar aquilo.
254320	254900	E seria...
254900	255980	É do Beetlejuice, né?
256100	256760	É do Beetlejuice.
257260	258040	Ela é verde, assim.
258160	260120	Parece radioativa, mas...
260120	261100	Dizem que é maravilhosa.
261160	262580	Eu ainda não tomei, mas a Fábio tomou.
262980	264360	E assim que eu achar, eu vou estocar.
264700	265080	Muitas.
265080	265520	Muitas.
265520	265540	Muitas.
265540	265560	Muitas.
265560	265580	Muitas.
265580	266380	Porque é só latinha, né?
266380	267840	Eu queria os dois litros.
268080	270100	Então segue a gente também no Instagram.
270260	271900	Arroba maçã gostinha, arroba RP Guaxa.
272320	273580	Lá sim, tem bastante gente.
273780	275220	O Instagram do RP Guaxa.
275580	276720	Ele é maravilhoso, assim.
276780	277720	Ele tem muito conteúdo.
278140	279460	Vocês deviam lá conhecer.
280100	281860	Tem pessoas maravilhosas cuidando dele.
282240	286740	A Fabi, a Ju, a Dani e o Felipe também ajudam, né?
287060	288980	E tem mais gente lá que ajuda também.
289440	291480	Então muito obrigado a todos vocês.
292020	295160	Estamos aqui pra ler muitos comentários do episódio
295160	297320	Memórias Nebulosas.
297800	300500	Assim, de novo, se não perguntarem a inspiração do episódio,
300640	301560	que foi algo bem bacana,
302100	303800	eu no final, se eu lembrar, falo.
303840	305680	Vamos torcer que no final a gente lembre de alguma coisa.
306160	308400	Mas o primeiro comentário é do Jorge Marcos Santos Silva,
308900	309560	que coloca...
309560	314300	Chega a ser impressionante como esse episódio foi cinematográfico na minha cabeça.
314500	315060	Na minha também.
315500	317180	Um bom dia, Sr. Guaxa, que sou eu.
317780	318660	Convidante, que é o Tic.
318800	319280	Certo, Tic?
319360	319680	Certo.
320000	321260	Tentei ser a Shelly, mas falei.
321660	324100	E Guaxual, que é o Guaxa sensual.
324500	325120	Tudo bem, queridos?
325160	325660	Comigo tudo bem.
325740	326320	Tudo bem contigo, Tic?
326340	327340	Tudo bem também, graças a Deus.
327800	328200	Spoilers.
328320	330000	Tudo foi motivado pelo quê, exatamente?
330240	332480	Loucura, inveja, frustração ou um pouco de tudo?
332820	333500	Pai ausente.
334020	339600	Toda a ideia da aventura é uma criança que foi totalmente negligenciada.
340920	345100	Todas as vezes que ela era referida nos poucos flashbacks
345100	349320	que o personagem do Trota teve, o Richard,
349480	354080	era, poxa, ele não estava no parto da menina,
354080	360540	a menina vai presa, tudo ela faz para chamar a atenção do pai,
360640	363480	seja com 10 anos, seja no futuro ali.
363880	365300	Você tinha algum plano para um final diferente?
365840	372380	Eu não planejei um final, eu sabia todo o plot de que a Karinen estava
372380	376680	realmente manipulando as imagens, que ela escolheu manter a Capitã
376680	379580	porque é a única que tem autorização para comandar a nave,
379580	382580	que ela escolheu ter um Adão para a nova...
384080	386540	para a nova vida que ela ia ter.
387320	390980	E daí sim, por inveja do amor que ele tinha com a Cristal,
391500	394180	ela acaba tentando roubar ele para ela.
394800	398120	O Tiki que está aqui, o Victor, na aventura original.
399260	402820	Mas o que eu esperava no final é que ela fosse descoberta de alguma forma.
404120	405880	Talvez ela pudesse ter chego...
405880	408080	Os jogadores podiam ser muito trouxas e cair na história dela
408080	412720	e chegar no planeta e o Trota ia lembrar só quando fosse tarde demais.
413060	413960	Era uma possibilidade.
414080	418520	Mas assim, eu normalmente não me foco muito em pensar finais de aventura.
419000	421640	Eu me foco muito em escrever o começo da aventura
421640	424140	e deixo os jogadores moldarem as ideias.
424540	429700	Embora tudo que a Karinen fez e ia fazer e o reflexo disso
429700	434220	em cima do que estava acontecendo, obviamente era planejado com antecedência.
434560	437920	Eu não inventei o que a Karinen fez à medida que a aventura avançou.
437920	440840	Mas todas as atitudes dela e as consequências
440840	443120	foi uma criação junto com os jogadores.
444080	447760	Como está a Terra nesse universo ou tempo, além do que foi dito?
448060	450300	É o que foi dito na introdução da própria Shelley.
450740	454880	É uma Terra que as mudanças climáticas, a poluição,
455380	457880	está tentando eliminar a raça humana, né?
458360	460960	Mas o ser humano está numa guerra eterna
460960	465560	e está tentando ser mais rápido que o próprio planeta em se destruir.
465560	468800	Por isso, um novo planeta verde, etc.,
468800	472560	ele é realmente algo muito importante para a humanidade.
474080	476940	As pessoas separadas naquela área de carga
476940	479480	são pessoas com muito dinheiro,
479820	482100	são pessoas que pagaram para essa viagem
482100	484680	para ter uma nova chance, né?
485120	488700	Então, talvez futuramente cheguem novas naves,
488820	490740	embora leve muito tempo para chegar até lá, né?
491120	494120	E como as demais pessoas lidam com o ocorrido?
494360	496220	Como as demais pessoas lidam com o ocorrido, o que ocorrido?
496320	497820	Na Terra, as pessoas estão morrendo.
497820	499040	É tipo agora.
499060	502860	Seria como as pessoas lidaram com o ocorrido dentro da nave.
503260	504020	Como essas outras duas...
504020	509200	Então, quando tu chega no fim da rodoviária,
509760	511800	se o motorista do ônibus mudou no caminho,
512220	514020	não te faz diferença, tu chegou no final.
514560	516900	Para aquelas pessoas, elas não tinham contato nenhum,
517320	519460	elas passaram 50 anos dormindo,
520020	522860	elas sabiam que elas iam fundar um novo planeta
522860	524400	que teria uma nova regência.
524400	528160	A regência estava lá, o próprio personagem da Shelly, né?
528640	530200	Então, para as pessoas em geral,
530600	533860	a menos que os jogadores queiram abrir a história toda para todo mundo,
534400	536300	para eles é indiferente.
536660	539460	Todo mundo já foi mais ou menos lá com seus parzinhos,
539580	542900	com as suas ideias do que ia fazer naquele novo planeta, né?
543260	545700	Vou deixar outras perguntas para os meus colegas mais inteligentes,
546080	547280	que é isso, foram perguntas muito boas.
547660	551980	Os jogadores foram incríveis, mas a campanha e a edição fizeram uma imersão maravilhosa.
552320	554760	Biscoitos com desenhos de aliens holográficos para todos.
555100	555500	Obrigado.
555860	556780	Por hoje é isso, fico por aqui.
