start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18140	Você entendeu a referência do último episódio?
18260	20040	Olha só, quase tudo o Guaxa sabe e faz.
20060	20960	Espera, o que é o Guaxaverso?
20980	22980	Era só uma questão de tempo.
23100	24020	Todo mundo conhece o Guaxaverso!
24020	24520	O Guaxaverso sempre existiu!
24520	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33800	36560	Mas supondo que ele exista...
37900	41560	Guaxaverso, onde o que não existe é debatido.
45500	47760	Rodando, rodando, rodando...
47760	50340	Por favor, alguém coloque na sala da música do Silvio Santos.
51420	52580	Não, por favor.
54200	55380	Não, por favor.
58560	63940	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o Guaxinim e...
63940	67440	Há um dilúvio lá fora e eu achei que eu cheguei em casa e não ia ter internet nem luz.
67960	70820	Mas tem, incluindo luz dos raios que caem ao longe.
71260	74500	Caiu um agora, inclusive, mas o abafador de som deve ter tirado.
74620	77060	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
77420	79780	Aqui vamos ler os comentários e discutir as teorias do último episódio.
80260	84880	Que, no caso, foi o Chapéu do Mineiro e os Zumbis, RPG Guaxa 127.
85440	88520	E eu achei que hoje, com ele, que eu jurava que ele já tinha...
88520	89300	Gravado aqui.
89920	91460	Mas é o nosso...
91460	92960	É o nosso quarto jogador.
93580	96940	Sempre que tem uma aventura com três pessoas e uma pessoa falha,
97480	99480	ele é o nome que vem à mente, assim.
99580	99860	É verdade.
99960	102080	É o nosso querido Rafael Tellerman.
102220	102780	Boa noite, querido.
103000	103480	Boa noite.
103840	105060	Quantas aventuras você já gravou?
105540	105980	Vamos ver.
106400	108000	Eu acho que essa é a sexta.
108000	110920	Eu gravei três com a Ju, contando com essa.
111480	117000	Que teve também aquela medieval fantasia e teve a de...
118520	120360	Primeira Guerra Mundial, eu acho.
120660	121900	Ou perto da Primeira Guerra.
123980	124340	Teve...
124340	125140	Essa é a sexta.
