0;10120;"00";Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120;11420;"00";É isso! É isso!
11920;13220;"00";Eu sabia! Eu sabia!
13840;15000;"00, 02";O Guaxaverso existe!
15120;15960;"02";Como assim?
16180;18140;"02";Você entendeu a referência do último episódio?
18260;20040;"01, 00, 02";Olha só, quase tudo o Guaxa sabe e faz.
20060;20960;"01, 02";Espera, o que é o Guaxaverso?
20980;22980;"01, 02";Era só uma questão de tempo.
23100;24020;"01";Todo mundo conhece o Guaxaverso!
24020;24520;"01";O Guaxaverso sempre existiu!
24520;27140;"01, 00, 07, 04";Eu quero entender o Guaxaverso!
27220;28560;"04, 07";Alguém me explica o que é o Guaxaverso?
28560;32020;"04, 07";É, pessoal, não existe o Guaxaverso.
32080;33740;"00, 04";Eu acredito no Guaxaverso!
33800;36560;"04";Mas supondo que ele exista...
37900;41560;"01";Guaxaverso, onde o que não existe é debatido.
45500;47760;"00, 02";Rodando, rodando, rodando...
47760;50340;"02";Por favor, alguém coloque na sala da música do Silvio Santos.
51420;52580;"00";Não, por favor.
54200;55380;"07";Não, por favor.
58560;63940;"04";Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para o Guaxinim e...
63940;67440;"04";Há um dilúvio lá fora e eu achei que eu cheguei em casa e não ia ter internet nem luz.
67960;70820;"04";Mas tem, incluindo luz dos raios que caem ao longe.
71260;74500;"04";Caiu um agora, inclusive, mas o abafador de som deve ter tirado.
74620;77060;"04";Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
77420;79780;"04";Aqui vamos ler os comentários e discutir as teorias do último episódio.
80260;84880;"04";Que, no caso, foi o Chapéu do Mineiro e os Zumbis, RPG Guaxa 127.
85440;88520;"04";E eu achei que hoje, com ele, que eu jurava que ele já tinha...
88520;89300;"04";Gravado aqui.
89920;91460;"04";Mas é o nosso...
91460;92960;"04";É o nosso quarto jogador.
93580;96940;"04";Sempre que tem uma aventura com três pessoas e uma pessoa falha,
97480;99480;"04";ele é o nome que vem à mente, assim.
99580;99860;"04";É verdade.
99960;102080;"04";É o nosso querido Rafael Tellerman.
102220;102780;"04";Boa noite, querido.
103000;103480;"04";Boa noite.
103840;105060;"04";Quantas aventuras você já gravou?
105540;105980;"04, 03";Vamos ver.
106400;108000;"03";Eu acho que essa é a sexta.
108000;110920;"03";Eu gravei três com a Ju, contando com essa.
111480;117000;"03";Que teve também aquela medieval fantasia e teve a de...
118520;120360;"03";Primeira Guerra Mundial, eu acho.
120660;121900;"04, 03";Ou perto da Primeira Guerra.
123980;124340;"04";Teve...
124340;125140;"04";Essa é a sexta.
125580;126480;"04";Ou três com a Ju.
126820;127720;"04";Jogou todas com a Ju.
127800;129540;"04";Porque eu acho que a Ju jogou só as três aventuras também.
129880;130280;"03";É, então.
131380;133120;"04, 03";Normalmente, quando eu jogo, eu falo...
133120;134640;"04";Você da Ju, aí você lembra que ela existe.
135080;135400;"04";É verdade.
135560;136140;"04";Pode dizer...
136140;138940;"04";Assim, tem a teoria que talvez a Ju lembre de você.
139080;139720;"04";Porque normalmente eu falo...
139720;140760;"04";Ju, quer jogar com quem?
140840;141620;"04";Ela fala Tellerman.
142000;142520;"04, 03";Olha só.
142960;144780;"03";Ela tá tentando me matar desde a primeira mesa.
145180;147780;"04";Se você quer ajudar esse projeto, seja nosso padrinho,
147780;151220;"04";o Tellerman é padrinho do projeto desde o começo, né?
151500;152400;"04";Desde o oitavo dia.
152900;153420;"04";Do oitavo...
