start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32100	33740	Eu acredito no Guaxaverso!
33900	36560	Mas supondo que ele exista...
37880	41560	Guaxaverso, onde o que não existe é debatido.
47520	50140	Leiva não é o nome de verdade? Guaxinim não é o meu sobrenome de verdade.
50540	51400	É nome artístico.
51880	54320	Minha mãe perguntou uma vez, por que tu não gosta do teu sobrenome?
58560	59560	Cobrado.
59880	61180	É foda, gente, é foda.
61460	61940	Mas vamos lá.
64800	69300	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Produtora do Guaxinim.
69460	71680	E terceiro Guaxaverso seguido.
71840	74800	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
74980	78400	Aqui nós vamos ler os comentários e discutir as teorias do último episódio.
78580	82140	No caso, não é exatamente o último, né, porque a gente teve três episódios na sequência.
82140	87520	Aqui seria referente ao Guaxaverso Tinta, o episódio 95.
87520	91080	Assim como os episódios anteriores, a gente gravou em live lá na Twitch.
91240	93380	Twitch.tv barra rpguaxa.
93500	97240	Eu gravei com a presença ilustre da mundialmente famosa Ju.
97480	99360	E então fica com a nossa leitura.
99740	103880	E vamos lá ler mais um comentário do episódio Tinta, que foi o episódio 95.
104400	108640	Outro episódio extra, que saiu no seu feed graças a Fanta.
109440	111940	E eu tô aqui novamente pela terceira vez seguindo.
112260	115200	O pessoal lá, o Guaxa chama Ju Vário, tá vendo?
115200	117060	Até pro Guaxaverso.
117520	119540	Guaxa chama Ju várias vezes.
119620	120500	Não é isso, gente.
120760	121940	Eu tô gravando tudo de uma vez.
122000	124280	Eu tô suando porque eu desliguei o ventilador.
124760	126300	E a gente tá gravando tudo de uma vez.
126460	129080	E a Ju tá aqui maravilhosa pra me ajudar a ler.
129520	130460	Então, muito obrigado, Ju.
131020	132140	Eu que agradeço.
132340	133540	Como é que as pessoas não te acham?
134520	140320	As pessoas não me acham no Instagram, que se chama, acho que é arroba guaxete, guaxete rpg.
140320	147440	E eu uso pra pesquisar sobre RPG e um pouco sobre comida, como já me entregaram aqui antes.
147520	148520	Perfeito.
148520	150520	E o primeiro comentário é dele.
150520	151520	Conseguiu!
151520	152520	Olha só.
152520	154520	Voltou a ter o combo dele.
154520	155520	Chegou no segundo hit.
155520	157520	Vamos ver se ele chega no terceiro.
157520	159520	O Jorge Marcos Santos Silva.
159520	160520	Ele comenta.
160520	161520	Deidei, deidei, deidei.
161520	162520	Adoro deidei.
162520	164520	Foi o meu primeiro sistema.
164520	168520	O primeiro que narrei desde quando nem sabia inglês o suficiente para entender.
168520	169520	Os livros xerocados.
169520	171520	Jorge Marcos Santos Silva.
171520	173520	Eu espero que você tenha tomado a terceira dose.
173520	174520	Porque, porra.
174520	177520	Então as regras eram meio alternativas.
177520	179520	Mas era muito bom mesmo assim.
179520	182520	E ainda toda essa nostalgia em relação a reunir os amigos.
182520	184520	Guloseimas e Fanta.
184520	186520	Realmente trouxe muita nostalgia.
186520	188520	Muito grato, Guaxa.
188520	189520	Eu errei meu nome.
189520	191520	Muito grato, Guaxa, de coração.
191520	192520	Aliás, sempre esqueço.
192520	193520	Olá, Guaxa.
193520	194520	Olá, chat.
194520	196520	Impossível convidado.
196520	197520	Fala com você de novo, Ju.
197520	198520	Olá.
198520	199520	Como vocês estão?
199520	200520	Eu tô bem.
200520	201520	E você?
201520	202520	Tô bem.
202520	203520	Com calor.
203520	204520	Tá foda.
204520	205520	Tá foda.
205520	206520	Santa Catarina tá...
206520	207520	Assim.
207520	209520	Pessoal, se eu mostrar quanto tá de temperatura.
209520	212520	O pessoal do Rio de Janeiro, do Nordeste, do Norte vai dizer.
212520	213520	Isso é frio.
213520	214520	Mas não pra mim, gente.
214520	216520	É legal que ele fala que jogou D&D.
216520	221520	Os primeiros sistemas que eu joguei eram os sistemas gratuitos que eu peguei na internet.
221520	222520	Eu fui autodidata.
222520	223520	Eu ensinei as pessoas da...
223520	225520	Meus amiguinhos de rua pra gente jogar.
225520	227520	A gente jogava numa mesa de sinuca.
227520	231520	A gente usava uma mesa de sinuca como mesa de RPG.
231520	232520	Eu devo ter contado isso em algum lugar.
232520	233520	Não vou contar de novo.
233520	234520	E...
234520	238520	O mais difícil era o jogador se distrair brincando de tirar a bola e ficar jogando
238520	239520	dentro da caçapa.
239520	241520	Isso se resolve escondendo as bolas.
241520	242520	E...
242520	246520	A gente jogou vários sistemas até chegar o D&D terceira edição.
246520	248520	Mas aí já eram anos depois.
248520	250520	Eu já tava na faculdade.
250520	252520	E daí o 3.0 eu joguei por muito tempo.
252520	253520	Depois joguei o 3.5.
253520	254520	E...
254520	255520	E é isso.
255520	256520	Qual foi o teu primeiro RPG, Ju?
256520	259520	Eu conheci o RPG por causa do RPGuache.
259520	260520	Não faz sentido.
260520	261520	Eu conheci o Missangas.
261520	262520	Ah.
262520	263520	Eu conheci o�
263520	264520	E...
264520	265520	Comecei a ouvir o RPGuache.
265520	272520	Por causa do RPGuache em 2018 mesmo, eu comecei a jogar D&D quinta edição, eu acho já,
272520	275520	num grupo de meninas aqui presencial.
275520	276520	E...
276520	277520	E daí foi pra outras coisas.
277520	278520	Eu não sabia.
278520	279520	Eu não fazia ideia.
279520	280520	Muito obrigada por me apresentar ao RPG.
280520	281520	É maravilhoso.
281520	282520	E...
282520	283520	Por isso que eu me chamo Guaxete.
283520	284520	Muito bom.
284520	285520	Falou ali pelo lugar tão mágico que a pessoa...
285520	286520	Eu quero um grupo de D&D só de meninas.
286520	287520	Tem.
287520	288520	Tá aqui.
288520	289520	Tá.
289520	290520	Pode jogar.
290520	291520	É.
291520	295500	É as vantagens da capital
295500	297620	Aqui em Gaspar, se eu quiser um grupo de RPG
297620	299140	Não tem, quer dizer, deve ter
299140	300980	Eles só vivem na caverna deles
300980	302480	E eu tô na minha caverna
302480	304820	Por sinal, eu fui a Brusque, aquele dia que eu
304820	307360	Falei, mandei, recomendei o restaurante, inclusive
307360	309040	Aí eu disse, porra, eu preciso
309040	310540	Queria comprar umas cartinhas de Magic
310540	313540	E daí eu joguei, abri o celular, Google Maps
313540	314860	Loja de Magic
314860	317620	E daí achei uma, tipo, a 4 minutos do lugar que eu tava
317620	319100	E daí eu fui lá
319100	320860	Aí eu passei na frente
320860	322900	Era uma casa com uma bandeira assim, escrito
322900	324620	Eu não vou dizer o nome da loja porque
324620	326540	Não tão me pagando e eu vou falar mal
326540	329020	E tinha a bandeira
329020	335580	A loja é boa
335580	337120	Eu vou voltar lá um dia, inclusive
337120	339260	Aí eu passei na frente
339260	340980	Eu não acreditei, era uma casa normal
340980	342600	Tinha uma bandeira com o nome da loja
342600	345060	Aí eu, porra, é aqui mesmo, é aqui mesmo
345060	345740	Não tenho onde parar
345740	349300	Aí eu dei a volta, fui mais à frente, dei a volta, voltei
349300	350840	E daí eu disse, ah, vou entrar
350840	353040	Vou entrar nessa garagem, a garagem era grande, assim, era um espaço grande
353040	355060	Entrei na garagem da casa, fiquei ali
355060	357100	Assim, a garagem aberta, assim, de frente pra garagem
357100	358800	Não, entrei na garagem, né, fiquei de frente
358800	360400	À porta da garagem
360400	363120	Aí, nas colunas da casa, eu tinha uma setinha
363120	364900	Apontando, tipo, vá pra lá
364900	367120	E daí eu fui seguindo, tinha uma quest pra achar a loja
367120	368920	E daí eu dei a volta em toda
368920	370280	A casa
370280	372940	Lá nos fundos da casa tinha uma escada
372940	375340	Eu subia a escada, ela terminava numa porta
375340	377260	Que tava com a chave da porta
377260	378120	Pelo lado de fora
378120	380800	Eu podia só trecar, se tivesse lá dentro, eu ia embora
380840	383400	Inclusive, a chave tava lá de fora da porta
383400	384540	Aí eu abri a porta
384540	386940	Tinha um cara montando ficha numa mesa
386940	389260	E mais, é...
389260	391160	O mestre e quatro jogadores
391160	392880	Numa outra mesa, eles estavam jogando RPG
392880	393920	Jogando D&D
393920	397100	E tinha a loja, o balcão, e não tinha ninguém no balcão
397100	399100	Aí eu perguntei, eu tô no lugar certo?
399580	401760	Aí o cara falou, depende, você queria chegar onde?
402200	403580	Aí eu falei, ah, tô procurando a loja
403580	404880	E tal, ele falou, não, é aqui
404880	406540	Ah, beleza, aí eu entrei
406540	408680	E ele continuou mestrando D&D
408680	410420	Foda-se que tem um cliente
410840	413260	Que ficou mestrando D&D, e ele ficou mestrando D&D pros amigos dele
413260	414840	Ninguém me atendeu
414840	416700	Ninguém conversou comigo
416700	417800	E os caras só jogando
417800	419760	Beleza, vou esperar
419760	422960	Era um grupo de nível baixo de D&D
422960	424720	Que em tradição, pelo que eu entendi
424720	426540	Tinha um monge que já tinha morrido
426540	429420	No encontro anterior, porque ele achou que era uma boa ideia
429420	430980	Entrar no mar pra lutar
430980	432740	Contra seis tubarões sozinho
432740	434280	Dentro d'água
434280	435780	E daí ele morreu, né
435780	439080	E daí tinha um bardo e dois rangers
439080	440820	Assim que montei
440820	442080	Esse grupo tá de parabéns
442080	443400	Tinha um bardo e dois rangers
443400	446280	E daí um ranger, o bardo morreu primeiro
446280	448000	Depois morreu o ranger
448000	449500	E depois morreu o outro ranger
449500	451740	Eu sei que daí o grupo acabou com todo mundo morrendo
451740	454120	Aí o mestre falou, beleza gente
454120	456220	Agora monta a ficha de tormenta
456220	458420	Que era o que o outro cara tava fazendo já
458420	460420	Então aquele grupo morreu no D&D
460420	462720	E iam fazer uma nova ficha em tormenta
462720	464460	Eu pensei, porra, não vão me atender?
465000	466180	Aí um dos jogadores falou
466180	467660	Ah, já que acabou aqui
467660	469280	Faz uma pizza lá pra mim
469280	470660	Aí o cara que é o mestre
470820	471860	Ele veio me atender?
472160	472400	Não
472400	473740	Ele vai fazer a pizza
473740	475120	Pro outro jogador
475120	477440	E eu tava lá de fomeira
477440	478780	Aí quando eu vi que assim
478780	480500	Beleza, eu acho que eu sei como essa loja funciona
480500	481580	Eu perguntei pro cara
481580	483180	Cara, eu posso ir ali atrás do balcão
483180	485440	Ver o shield e as coisas que eu quero ver?
485820	486200	Vai lá
486200	487860	Aí eu fui pra trás do balcão
487860	489660	Mexi nas coisas que eu queria
489660	490360	Vi o que eu queria
490360	490880	Aí ele disse
490880	491760	Ah, não, eu vou levar isso aqui
491760	492400	Levei o shield
492400	493440	Só tinha shield rosa
493440	495660	E combina com a minha deck box
495660	496240	Não tem problema
496240	498940	E daí eu peguei o shield que eu precisava
498940	500200	Peguei uma coca gelada
500820	502480	Que é do grupo Fanta, né?
502540	503740	A gente que fica registrado aqui
503740	505460	E daí
505460	507040	Conversei com eles mais um pouco
507040	507620	Não, porque a gente
507620	510000	Aqui a gente joga bastante RPG
510000	510900	Eu quase falei
510900	511660	Eu sei
511660	513720	Vender vocês não vendem
513720	514340	Vocês jogam RPG
514340	515520	E daí eu fui embora
515520	517160	E essa é a minha experiência com a loja lá
517160	518880	Depois de 5 horas
518880	520760	Tu conseguiste comprar o que tu queria
520760	521180	O que eu queria
521180	522480	Mas foi divertido
522480	523680	Eu tenho uma história pra contar
523680	525280	E daí eu fiquei de mandar um WhatsApp
525280	525920	Pro cara da loja
525920	527920	Que eu queria comprar umas cartas à bolsa de Magic
527920	530120	Mas eu perdi o papel que ele me deu com o WhatsApp
530120	530160	Então eu desculpei o cara da loja
530160	530180	Mas eu perdi o papel que ele me deu com o WhatsApp
530180	530280	Então eu desculpei o cara da loja
530280	531060	Então desculpa
531060	531980	Tá, cara
531980	533500	Mas eu vou achar
533500	534400	Ou eu vou voltar aí um dia
534400	536060	Altas aventuras
536060	537780	Desculpa o grande parênteses
537780	538920	Eu sei que eu queria ser rápido
538920	539680	Mas eu sou assim
539680	540640	Tá ótimo
540640	541680	Essa história é maravilhosa
541680	543100	Continuando, Jorge
543100	544540	Spoilers
544540	546480	Sei que bem provavelmente
546480	547240	É forçar a barra
547240	548240	Mas percebo que pode haver
548240	550280	Uma breve conexão desse mundinho
550280	552820	Com aquele dos elos original
552820	554160	Do um punhado de armas
554160	554960	Alguma possibilidade?
555360	556420	Esse mundo é um quadro
556420	558120	Esse quadro pode estar em qualquer lugar
558120	559080	Talvez sim
559080	559880	Ter o item mágico
559880	560260	Que é o pincel
560260	562880	Mas eu não pensei muito sobre isso
562880	564400	Não sei se você já pensou
564400	565360	Na origem do pincel
565360	566220	Não pensei
566220	567720	Mas se sim, de onde ele veio?
567840	568280	Eu não sei
568280	569920	Qual era o limite do poder dele?
570160	572360	Ele é poderoso infinitamente
572360	573720	Dentro da pintura
573720	575500	Ele não consegue fazer nada fora
575500	576400	No mundo real
576400	578760	Se tu pintar uma porta na parede
578760	580180	Ele não vai fazer nada
580180	581760	Ele cria mundos
581760	583440	Aquela porta vai existir em algum lugar
583440	584420	Embora
584420	585900	E tu podia atravessar ela
585900	588340	Por um vazio, provavelmente
588340	590240	Mas o poder dela
590240	591400	Tá dentro dos quadros
591400	593120	E lá dentro sim
593120	594400	O poder dela é infinito
594400	595140	Se não, cara
595140	596180	Isso na mão do Dante
596180	597440	Eu espero que o Dante
597440	598180	Não ponha a mão nisso
598180	599400	Mas não vou dar ideia
599400	600200	Pro mestre, não
600200	600940	KKKKK
600940	601520	Obrigado
601520	603080	Que ótimo início de semana
603080	604380	Grato pela nostalgia
604380	605420	Pelo episódio maravilhoso
605420	606160	De ouvir
606160	607320	E grato pela Fanta
607320	608320	Pelo apoio
608320	609520	Por muitos mais outros
609520	610260	Por favor, Fanta
610260	610640	Porra
610640	611620	Por hoje é isso
611620	613100	Força e luz para todos nós
613100	613480	E até mais
613480	614100	Até mais, querido
614100	615360	Vamos ao próximo?
615860	616260	Sim
616260	617820	O próximo comentário
617820	619440	É do Maxwell Rocha Santos
619440	620080	Não é um comentário
620080	620780	Nossa
620780	623340	Rocha, que genial
623340	624400	Que incrível
624400	625840	Olá, Rocha
625840	627520	Olá, Rocha ouvintes
627520	628860	Olá, Rochate
628860	630700	Olá, Rocha
630700	631600	Olá
631600	632740	Rocha
632740	633640	Convidado
633640	634000	A
634000	634500	E
634500	636400	Você é um Rocha convidada
636400	638380	Sou uma Rocha convidada
638380	639320	Gostei do nome
639320	641320	Meu almoço hoje
641320	642660	Foi mais empolgante
642660	643940	Graças a este
643940	644660	E
644660	645540	Meu Deus
645540	646500	Eu estou gaguejando
646500	647860	Meu almoço hoje
647860	649440	Foi mais empolgante
649440	650060	Graças a este
650080	652320	Episódio incrível
652320	654040	O título do episódio
654040	655680	Me remeteu ao filme
655680	657040	Coração de Tinta
657040	658080	E até pensei
658600	659600	Que haveria algo
659600	660460	Nesse sentido
660460	661460	Qual é o Coração de Tinta?
661780	662520	Tu lembra?
663060	663940	Não me extrai isso não
663940	664140	Não sei
664140	666000	Coração de Tinta
666000	666840	A Beta já viu
666840	667460	A Beta já viu
667460	668340	Todos os filmes do Mônica
668340	669180	Tem um livro
669180	670900	Ah, é com o Brandon Fraser
670900	671720	Então é um bom filme
671720	672360	Eu não vi
672360	673780	Mas tem o Brandon Fraser
673780	675160	Então é um bom filme
675160	676360	Justo
676360	677940	Mas assim que a Trin
677940	678980	Sangrou o touro
678980	680060	E ele vazou o tinto
680060	681580	Pensei em
681580	683520	Princesa Mononoke
683520	684420	Só que então
684420	686000	O grupo entrou no quadro
686000	686860	E depois
686860	688000	No outro quadro
688000	689440	Lembrei de Matrix
689440	690880	Mas não tive tempo
690880	692140	De pensar muito a respeito
692140	693740	Porque foi uma explosão
