start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaixaverso existe!
15120	15960	Como assim?
16180	18140	Você entendeu a referência do último episódio?
18260	20020	Olha só, quase tudo o Guaixa sabe e faz.
20020	20960	Espera, o que é o Guaixaverso?
20980	22980	Era só uma questão de tempo.
23100	24020	Todo mundo conhece o Guaixaverso!
24020	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28540	Alguém me explica o que é o Guaixaverso?
28540	32020	É, pessoal, não existe o Guaixaverso.
32080	33740	Eu acredito no Guaixaverso!
33820	36540	Mas supondo que ele exista...
37900	41540	Guaixaverso, onde o que não existe é debatido.
44940	47700	Não precisa parar de gravar, Ju, a gente vai seguindo.
48200	48580	Ok.
49120	51060	Eu e a Carol, disse a Beatriz.
51420	52640	Ah, é verdade, mas...
52640	54480	Faltou eu e o Gus, disse o Vitor Hugo.
54480	56660	Mas, Vitor, vocês são um trisal, não dá.
57060	58520	Daí é outra contabilidade.
58780	59860	É outra contabilidade.
60240	62900	E daí, trisal, eu vou pro episódio do convite de casamento.
63160	64360	Mas é um quadrisal.
64560	66400	O Gus é o futuro marido da K.
66760	68980	Vocês ficam brincando, essas coisas acontecem, gente.
70980	72260	A Ju fez um contrato.
72540	73380	Ju, tu casou alguém?
73900	76000	Não, é que na taberna, assim...
76000	78420	Eu já fiz alguns contratos na taberna de zoeira.
78540	79580	Eu tenho eles escritos.
80160	81500	Contratos de casamento,
82700	84880	contratos de outras coisas que eu não vou falar agora.
85020	86140	Mas, assim, tipo...
86140	88300	Se acontecer tal evento, fulanos,
88300	89740	vamos fazer, enfim...
89740	91180	Vamos fazer tal camiseta.
91660	93200	Fulano vai casar com fulano.
93300	95280	Vamos adotar crianças de 10 anos.
95820	96920	Brincando, claro, né?
97360	100060	Tu assina como Ju ou como Ativo Goblin?
100180	101900	Não, eu assino como...
101900	103540	Eu sou só uma das testemunhas.
103700	105860	Tem as testemunhas e daí tem...
105860	106760	E a gente bota a data.
107100	109040	Porque daí sabe quando que essa zoeira foi feita.
109500	110500	Ah, tá. Ok.
110760	113640	Olá, eu sou Marcelo Gostin, narrador, produtor, idealizador,
