start	end	text
0	10120	Se eu pegar essa ilha, e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi, e ali não tinha, e agora...
10120	13220	É isso! É isso! Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15980	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18240	18940	Olha só, faz tudo!
18940	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	23080	Era só uma questão de tempo...
23080	24020	Todos nos conhecemos!
24020	24540	O Guaxaverso sempre existiu!
24540	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso!
32100	33740	Eu acredito no Guaxaverso!
33820	36560	Mas, supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido!
44940	46260	Eu queria mais uma tela.
46660	47760	Eu vou, eu vou...
47760	50600	Não era pra ter coisa extra, mas já tá tendo aqui.
51080	51900	Eu quero...
51900	58200	Voltando das férias, eu vou trocar a cama da Malu, e vou trocar minha mesa, e talvez minha cadeira.
58200	58280	Tá.
58560	60040	Cadeira cara, eu queria uma cadeira boa.
60480	62200	E daí eu quero ver se eu pego uma mesa em L, assim.
62420	64620	Porque essa minha mesa agora, ela tá em itálico.
64800	66600	Porque eu vou puxando ela assim, ela vai...
66600	67300	É pra não...
67300	69500	Porque pra lá, tá a cozinha, né?
69560	72220	E daí eu não quero mostrar os meus passos aqui e tal.
72660	76180	E eu tenho um fio, um cabo de rede agora, cruzando a cozinha e a sala, assim.
76600	77940	Que é horrível, mas é isso.
78400	78900	Vamos lá.
79380	83080	Olá, eu sou Marcelo Guaxinim, narrador, produtor e idealizador do podcast Realidade Parada do Guaxinim.
83200	85180	E eu não preparei uma frase.
85480	87640	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
87640	88440	Aqui vamos ler...
88560	90060	Os comentários discutindo as teorias do último episódio.
90520	92260	Que, no caso, foi Os Filhos da Rainha Lira.
92680	94060	RPG Guaxa 141.
94460	98500	E eu estou aqui hoje com a nossa querida madrinha, que estreou no RPG Guaxa.
98880	100060	Estreou como jogadora, né?
100060	102520	Já tinha aparecido como NPC antes.
102980	104300	A nossa querida Sara.
104420	104900	Olá, Sara.
105360	105900	Oi, Guaxa.
105920	106440	Oi, pessoal.
106980	107560	Tudo bem com vocês?
108140	108840	Tudo certinho.
109420	110380	Como foi gravar o episódio?
111480	111920	Maravilhoso.
111920	114460	Eu acho que, assim, como fã, né?
114780	115980	Surtando aqui como uma fã.
116240	117300	Foi tipo, meu Deus!
117640	118540	Eu vou jogar um RPG.
118560	119520	RPG Guaxa!
119800	121320	E eu literalmente falei...
121320	123260	Mãe, eu tô no RPG Guaxa.
