start	end	text
0	10120	Se eu pegasse a ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18960	Olha só, faz tudo!
18960	19620	Não, o Guaxaverso sabe!
19620	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24220	Todo mundo conheceu!
24220	24540	O Guaxaverso sempre existiu!
24540	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37860	41520	Guaxaverso, onde o que não existe é debatido.
58560	60820	O Guaxaverso é o nosso antigo escudo-mestre.
61140	65200	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso foi
65200	70100	As Orquizas e a Copa do Mundo, RP Guaxa 1, 2, 3.
70960	78620	Eu estou aqui com ela, que já gravou algumas vezes, o nosso querido Guaxaverso, a Juleiva.
78860	79160	Oi, Ju!
79520	82680	Oi, Guaxa! Oi, Guaxa-humanidade! Tudo bom?
84200	86360	Quantas vezes você já gravou o Guaxaverso, São Francisco?
87000	87680	Olha, eu...
88560	90940	Sinceramente, eu não lembro, mas...
90940	94600	São três só dos episódios de festa, não foi?
94980	97000	Eu acho, eu não tenho certeza.
97540	99180	Talvez seja a quinta, é.
99580	101400	Talvez seja a quinta ou sexta, não sei.
101900	102460	Desculpa.
103080	108300	Eu gostaria de estar ouvindo a Sinara com a sua voz maravilhosa aqui.
108480	109000	Eu também.
109440	110620	Você e a Sinara.
111360	114760	As duas podiam estar aqui e eu não precisaria ler.
115320	118300	Teria começado no horário, seria mais bonito.
118560	122060	Se a Fabi estivesse aqui, ia estar assim, ó, cravado no horário.
122420	127720	O dia que eu terceirizar, o dia que eu puder pagar o passe da Fabi, aí o Guaxaverso deslancha.
127880	129400	Aí vai funcionar.
129720	132740	A Fabi, quinta-feira, ela está cantando para mim, tinha que vir gravar comigo.
133200	135060	Eu não sabia nem que eu ia gravar o Guaxaverso.
135140	137000	Ela me lembra que eu vou gravar e que eu tenho que chamar alguém.
137740	138140	Maravilhosa.
138540	143060	Mas, se você quer ajudar na RP Guaxa, você pode seguir nas redes sociais,
143060	144860	arroba Marcelo Guaxa, arroba RP Guaxa.
145240	147080	Está no Twitter, quanto no Instagram.
147580	148060	Instagram em especial.
148700	156720	Quem cuida são pessoas como a Fabi, como a Ju, como a Sinara, como a Dani, como o Felipe, como o Biel.
156920	160700	Está meio sumido, mas o Bigins, ele estava lá.
161260	163500	Então, pessoas melhores do que eu.
163920	165980	Então, sigam a gente em todas as redes sociais.
166640	171640	E, principalmente, se você quer receber episódio antes, se você quer gravar voz de NPC,
171880	177720	se você quer jogar, se você quer que a Jumozinha mexa em uma aventura para você,
177720	179280	seja nosso padrinho.
179680	184360	A partir de 10 reais, você vai receber no seu e-mail, em até uma semana, gente, às vezes duas,
184760	190020	um link, em janeiro 12, um link para entrar no grupo do Telegram.
190360	195460	Lá você tem acesso a vários outros grupos, você tem acesso a pessoas maravilhosas,
195520	198460	você pode estar conversando, está tendo um bolão da Copa do Mundo.
198980	202700	Quem ficar em primeiro vai poder jogar uma aventura do RP Guaxa.
203140	206140	Se você ficar em primeiro e tem um bom microfone, vai jogar uma aventura do RP Guaxa.
206140	207420	No momento, ela é um trota.
207720	208940	No momento, é um trota.
209420	212820	O cara não tinha nenhum vale, a aventura vai ter dois.
213160	214860	Eu fiquei de convidar ele.
215340	216720	Então, está lá, está o trota.
217080	220080	Mas, já fui, quase eu, já foi a Ju.
221160	222860	Por um momento, foi a Ju.
223420	225720	Mas, aí, secaram a menina e disseram, o que é a Ju?
225820	226920	Daí, ela começou a perder palco.
227000	227800	Eu estou em segunda, hein?
228080	229580	Em segunda agora, olha só.
230080	232500	Tem, assim, vários grupos.
233120	234840	Faça parte dessa comunidade maravilhosa.
235480	237340	A Ju é uma pessoa que eu conheci.
237720	238740	Graças a essa comunidade.
239280	242440	A Ju tem um bilhão de amigos que ela conheceu, graças a essa comunidade.
242860	246720	Ela está, de madrugada, jogando RPG, com um monte de gente por ali.
247220	251460	Então, vem fazer parte dessa família, que eu tenho certeza que você não vai se arrepender.
251860	252360	Certo, Ju?
252740	256880	Gente, RP Guaxa é o lugar mais quentinho da podosfera.
257380	259780	Muito bom, vale muito a pena, tem muita gente legal.
260240	260860	Só venham.
261240	266540	Não só pelo RPG, mas por todos os milhares de grupos e benefícios associados.
266540	267540	E você ajuda?
267540	274540	Você ajuda a manter o RP Guaxa saindo toda quinzena, o Guaxaver saindo toda quinzena, e...
274540	277220	Porra, tem gente que deixa o comentário depois de começar o negócio, sério, cara.
277760	285360	Você ajuda o RP Guaxa a estar saindo toda quinzena, e agradeço, agradeço a todo mundo que pode ir à Ju.
285580	288360	Mas eu vou ler o primeiro comentário, que é do Jorge Marcos Santos Silva.
288980	290600	E, normalmente, ele é o primeiro, né?
291080	292400	A gente tem figuras.
292400	296580	E esse, eu estou vendo aqui já o segundo comentário.
297540	302920	Eu tenho medo do número de personagens que tem surgido nessa leitura de comentários.
303680	310320	Mas o Jorge Marcos Silva, o Jorge Marcos Santos Silva, ele é uma dessas criaturas, embora seja ele mesmo.
310820	312820	E isso, às vezes, é o mais assustador.
313200	319640	Aquela maravilhosa época do ano em que, mesmo pessoas como eu, que não gostam ou entendem nada de futebol,
320100	325120	podem apreciar jogos que continuamos não entendendo muita coisa além dos gols.
325420	327420	Jorge, nesse bolão que eu falei.
327540	331960	Antes, eu apostei que o primeiro jogo do Japão, eles iam ganhar.
332440	333320	E eles ganharam.
333800	337900	E eu marquei, assim, não só apostei, eu apostei o placar que eles iam fazer.
338420	340100	E eu ganhei muitos pontos sozinho.
340460	341720	Não há chance disso acontecer.
341900	342260	Nenhuma.
342760	343440	Isso é futebol.
343920	344820	Um bom dia, Guaxa.
344940	345380	Sou eu.
346060	347900	Convidade, que é a Juvidade.
348280	348580	Olá.
349340	350540	Ouvinte Nins e Chates.
350600	351180	Tudo bem com vocês?
351300	351760	Tudo bem comigo?
351880	352600	Tudo bem contigo, Ju?
352820	353680	Tudo ótimo.
354180	355940	Eu falei tanto de mim, não perguntei de você.
356060	356940	Está tudo certo contigo?
356980	357520	Está tudo certo.
357520	360800	Estou apostando com o coração.
361280	362240	Está dando tudo certo.
362880	363420	Vamos que vamos.
363860	364220	Tá bom.
364600	367420	No dia que a gente ia gravando isso, o Brasil fez o segundo jogo.
367800	369540	Qual vai ser o resultado do terceiro jogo, Ju?
369740	370900	É com Camarões, né?
371400	372520	Eu acho que vai ser...
373060	373800	Quando é que é esse jogo?
374320	375020	Sexta-feira.
375500	375780	Ah, tá.
375880	377660	Então, provavelmente, isso já saiu editado depois.
378080	379220	Mas estamos gravando na segunda.
379720	380900	Quando é que vai ser contra Camarões?
381460	383600	Agora, o meu coração está dizendo 2x1.
383840	385400	Mas eu não sei o que eu botei no bolão.
385840	386460	Por Camarões?
386460	387060	Não.
387520	388520	Para o Brasil.
388520	389520	Para o Brasil.
389520	390520	Ah, ok.
390520	391520	Ok.
391520	392520	Só para a gente saber, né?
392520	393520	Vai.
393520	394520	Ok.
394520	395520	Ok.
395520	396520	Eu devo ter botado mais do que isso.
396520	397520	Eu apostei 4x1 no jogo de hoje e foi só 1x0.
397520	398520	Mas tá lá.
398520	399520	Vamos continuar.
399520	404280	Esse episódio me foi memorável, pois além de adorar essa temática fantasia com orcs,
404280	405280	elfos, etc.
405280	409480	Estávamos ouvindo na academia, que voltei a fazer após muito tempo.
409480	412780	Tudo isso graças a ser padrinho e poder ouvir o episódio antes.
412780	415280	Sejam padrinhos, vale muitíssimo a pena.
415280	416280	Isso é verdade.
416280	417280	Spoilers.
